,QUARTER,TIME_REMAINING,DALLAS_ACTION,BROOKLYN_ACTION,DALLAS_SCORE,BROOKLYN_SCORE
0,1,11:48.0,,B. Lopez misses 2-pt jump shot from 15 ft (block by Y. Ferrell),0,0
1,1,11:47.0,,Offensive rebound by B. Lopez,0,0
2,1,11:41.0,,B. Lopez misses 2-pt jump shot from 14 ft,0,0
3,1,11:39.0,Defensive rebound by W. Matthews,,0,0
4,1,11:27.0,W. Matthews makes 2-pt jump shot from 12 ft,,2,0
5,1,11:17.0,,R. Hollis-Jefferson misses 2-pt jump shot from 12 ft,2,0
6,1,11:16.0,Defensive rebound by Team,,2,0
7,1,11:01.0,Turnover by W. Matthews (bad pass; steal by R. Foye),,2,0
8,1,10:50.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,2,0
9,1,10:48.0,Defensive rebound by D. Nowitzki,,2,0
10,1,10:43.0,S. Curry misses 3-pt jump shot from 23 ft,,2,0
11,1,10:42.0,,Defensive rebound by R. Foye,2,0
12,1,10:34.0,,B. Lopez makes 2-pt hook shot from 8 ft (assist by R. Foye),2,2
13,1,10:20.0,H. Barnes makes 2-pt layup from 3 ft (assist by Y. Ferrell),,4,2
14,1,10:20.0,Shooting foul by C. LeVert (drawn by H. Barnes),,4,2
15,1,10:20.0,H. Barnes makes free throw 1 of 1,,5,2
16,1,10:15.0,,Turnover by J. Lin (lost ball; steal by Y. Ferrell),5,2
17,1,10:06.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by Y. Ferrell),,7,2
18,1,9:49.0,,J. Lin misses 3-pt jump shot from 23 ft,7,2
19,1,9:48.0,Defensive rebound by D. Nowitzki,,7,2
20,1,9:31.0,Y. Ferrell makes 2-pt layup from 1 ft,,9,2
21,1,9:30.0,,Brooklyn full timeout,9,2
22,1,9:13.0,,Shooting foul by D. Nowitzki (drawn by R. Foye),9,2
23,1,9:13.0,,R. Foye makes free throw 1 of 2,9,3
24,1,9:13.0,,R. Foye makes free throw 2 of 2,9,4
25,1,8:48.0,Y. Ferrell makes 2-pt layup from 3 ft (assist by W. Matthews),,11,4
26,1,8:37.0,,Turnover by B. Lopez (bad pass; steal by Y. Ferrell),11,4
27,1,8:31.0,S. Curry misses 3-pt jump shot from 24 ft,,11,4
28,1,8:30.0,,Defensive rebound by C. LeVert,11,4
29,1,8:20.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,11,4
30,1,8:19.0,Defensive rebound by H. Barnes,,11,4
31,1,8:08.0,Inbound foul by C. LeVert,,11,4
32,1,8:08.0,W. Matthews misses free throw 1 of 1,,11,4
33,1,8:08.0,Offensive rebound by Team,,11,4
34,1,8:08.0,,K. McDaniels enters the game for C. LeVert,11,4
35,1,8:04.0,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by H. Barnes),,13,4
36,1,7:52.0,,B. Lopez misses 2-pt hook shot from 10 ft,13,4
37,1,7:49.0,Defensive rebound by H. Barnes,,13,4
38,1,7:42.0,H. Barnes makes 2-pt jump shot from 19 ft (assist by Y. Ferrell),,15,4
