,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MINNESOTA_ACTION,HOUSTON_SCORE,MINNESOTA_SCORE
0,1,11:39.0,Turnover by J. Harden (bad pass; steal by Z. LaVine),,0,0
1,1,11:35.0,,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),0,2
2,1,11:20.0,R. Anderson misses 3-pt jump shot from 26 ft,,0,2
3,1,11:19.0,,Defensive rebound by A. Wiggins,0,2
4,1,11:07.0,,Turnover by R. Rubio (lost ball; steal by T. Ariza),0,2
5,1,10:57.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by J. Harden),,3,2
6,1,10:45.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by K. Towns),3,5
7,1,10:32.0,R. Anderson misses 3-pt jump shot from 25 ft,,3,5
8,1,10:31.0,,Defensive rebound by R. Rubio,3,5
9,1,10:26.0,,Turnover by Z. LaVine (bad pass; steal by P. Beverley),3,5
10,1,10:22.0,Turnover by P. Beverley (bad pass; steal by R. Rubio),,3,5
11,1,10:18.0,,R. Rubio misses 2-pt layup from 2 ft,3,5
12,1,10:16.0,Defensive rebound by R. Anderson,,3,5
13,1,10:09.0,C. Capela makes 2-pt layup from 1 ft (assist by P. Beverley),,5,5
14,1,9:53.0,,Z. LaVine misses 3-pt jump shot from 25 ft,5,5
15,1,9:52.0,,Offensive rebound by R. Rubio,5,5
16,1,9:43.0,,K. Towns makes 2-pt hook shot from 10 ft,5,7
17,1,9:34.0,T. Ariza misses 3-pt jump shot from 25 ft,,5,7
18,1,9:33.0,,Defensive rebound by Z. LaVine,5,7
19,1,9:14.0,,K. Towns makes 2-pt jump shot from 8 ft (assist by Z. LaVine),5,9
20,1,8:59.0,T. Ariza misses 3-pt jump shot from 23 ft,,5,9
21,1,8:58.0,,Defensive rebound by G. Dieng,5,9
22,1,8:51.0,,Turnover by Z. LaVine (bad pass; steal by T. Ariza),5,9
23,1,8:30.0,Turnover by T. Ariza (bad pass),,5,9
24,1,8:16.0,,K. Towns misses 2-pt jump shot from 10 ft,5,9
25,1,8:15.0,Defensive rebound by C. Capela,,5,9
26,1,7:57.0,Shooting foul by Z. LaVine (drawn by J. Harden),,5,9
27,1,7:57.0,J. Harden makes free throw 1 of 3,,6,9
28,1,7:57.0,J. Harden makes free throw 2 of 3,,7,9
29,1,7:57.0,J. Harden makes free throw 3 of 3,,8,9
30,1,7:50.0,,K. Towns misses 2-pt layup from 3 ft,8,9
31,1,7:49.0,Defensive rebound by J. Harden,,8,9
32,1,7:42.0,C. Capela makes 2-pt layup from 3 ft (assist by J. Harden),,10,9
33,1,7:23.0,,Shooting foul by C. Capela (drawn by K. Towns),10,9
34,1,7:23.0,,K. Towns makes free throw 1 of 2,10,10
35,1,7:23.0,,K. Towns makes free throw 2 of 2,10,11
36,1,7:10.0,R. Anderson makes 2-pt layup from 4 ft (assist by P. Beverley),,12,11
37,1,6:56.0,,K. Towns misses 2-pt jump shot from 6 ft,12,11
38,1,6:55.0,,Offensive rebound by A. Wiggins,12,11
39,1,6:53.0,,A. Wiggins makes 2-pt jump shot from 12 ft,12,13
40,1,6:35.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,15,13
41,1,6:17.0,,R. Rubio misses 3-pt jump shot from 24 ft,15,13
42,1,6:16.0,Defensive rebound by P. Beverley,,15,13
43,1,6:08.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,18,13
44,1,6:01.0,,Minnesota full timeout,18,13
45,1,6:01.0,E. Gordon enters the game for P. Beverley,,18,13
46,1,5:43.0,,G. Dieng makes 2-pt jump shot from 17 ft (assist by Z. LaVine),18,15
47,1,5:15.0,J. Harden misses 2-pt jump shot from 19 ft,,18,15
48,1,5:15.0,Offensive rebound by Team,,18,15
49,1,5:15.0,Turnover by Team (shot clock),,18,15
50,1,4:59.0,,A. Wiggins misses 2-pt jump shot from 10 ft,18,15
51,1,4:58.0,Defensive rebound by R. Anderson,,18,15
52,1,4:56.0,Turnover by R. Anderson (bad pass; steal by R. Rubio),,18,15
53,1,4:53.0,,K. Towns makes 2-pt layup from 2 ft (assist by R. Rubio),18,17
54,1,4:39.0,Shooting foul by G. Dieng (drawn by J. Harden),,18,17
55,1,4:39.0,J. Harden makes free throw 1 of 2,,19,17
56,1,4:39.0,,S. Muhammad enters the game for Z. LaVine,19,17
57,1,4:39.0,N. Hilário enters the game for C. Capela,,19,17
58,1,4:39.0,J. Harden makes free throw 2 of 2,,20,17
59,1,4:29.0,,Personal foul by E. Gordon (drawn by R. Rubio),20,17
60,1,4:29.0,S. Dekker enters the game for R. Anderson,,20,17
61,1,4:15.0,,Turnover by Team (shot clock),20,17
62,1,4:01.0,J. Harden misses 3-pt jump shot from 27 ft,,20,17
63,1,4:00.0,Offensive rebound by S. Dekker,,20,17
64,1,3:57.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by S. Dekker),,23,17
65,1,3:39.0,,R. Rubio misses 2-pt jump shot from 7 ft,23,17
66,1,3:38.0,Defensive rebound by E. Gordon,,23,17
67,1,3:33.0,Turnover by J. Harden (bad pass),,23,17
68,1,3:33.0,,C. Aldrich enters the game for G. Dieng,23,17
69,1,3:18.0,,A. Wiggins misses 2-pt jump shot from 19 ft,23,17
70,1,3:17.0,Defensive rebound by S. Dekker,,23,17
71,1,3:11.0,T. Ariza misses 3-pt jump shot from 25 ft,,23,17
72,1,3:10.0,,Defensive rebound by K. Towns,23,17
73,1,2:58.0,,Shooting foul by J. Harden (drawn by S. Muhammad),23,17
74,1,2:58.0,Houston full timeout,,23,17
75,1,2:58.0,,S. Muhammad makes free throw 1 of 2,23,18
76,1,2:58.0,P. Beverley enters the game for T. Ariza,,23,17
77,1,2:58.0,,S. Muhammad misses free throw 2 of 2,23,18
78,1,2:58.0,Defensive rebound by J. Harden,,23,18
79,1,2:35.0,S. Dekker misses 3-pt jump shot from 25 ft,,23,18
80,1,2:34.0,,Defensive rebound by R. Rubio,23,18
81,1,2:34.0,,Personal foul by P. Beverley (drawn by R. Rubio),23,18
82,1,2:22.0,,A. Wiggins misses 2-pt jump shot from 17 ft,23,18
83,1,2:21.0,,Offensive rebound by C. Aldrich,23,18
84,1,2:18.0,,K. Towns misses 3-pt jump shot from 25 ft,23,18
85,1,2:17.0,Defensive rebound by P. Beverley,,23,18
86,1,2:10.0,N. Hilário misses 2-pt layup from 2 ft,,23,18
87,1,2:09.0,,Defensive rebound by C. Aldrich,23,18
88,1,2:06.0,,S. Muhammad makes 2-pt layup from 1 ft (assist by C. Aldrich),23,20
89,1,1:53.0,N. Hilário makes 2-pt layup at rim (assist by J. Harden),,25,20
90,1,1:53.0,Shooting foul by K. Towns (drawn by N. Hilário),,25,20
91,1,1:53.0,N. Hilário misses free throw 1 of 1,,25,20
92,1,1:53.0,,Defensive rebound by N. Bjelica,25,20
93,1,1:53.0,,N. Bjelica enters the game for K. Towns,25,20
94,1,1:53.0,C. Brewer enters the game for J. Harden,,25,20
95,1,1:35.0,,A. Wiggins misses 2-pt jump shot from 12 ft,25,20
96,1,1:35.0,Defensive rebound by P. Beverley,,25,20
97,1,1:22.0,N. Hilário misses 2-pt jump shot from 16 ft,,25,20
98,1,1:21.0,,Defensive rebound by S. Muhammad,25,20
99,1,1:10.0,,A. Wiggins misses 2-pt jump shot from 12 ft,25,20
100,1,1:09.0,Defensive rebound by P. Beverley,,25,20
101,1,1:04.0,Turnover by S. Dekker (lost ball),,25,20
102,1,0:45.0,,S. Muhammad misses 3-pt jump shot from 24 ft,25,20
103,1,0:44.0,,Offensive rebound by C. Aldrich,25,20
104,1,0:38.0,,N. Bjelica makes 3-pt jump shot from 24 ft (assist by R. Rubio),25,23
105,1,0:13.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by S. Dekker),,28,23
106,1,0:01.0,,Shooting foul by E. Gordon (drawn by A. Wiggins),28,23
107,1,0:01.0,,A. Wiggins misses free throw 1 of 2,28,23
108,1,0:01.0,,Offensive rebound by Team,28,23
109,1,0:01.0,,A. Wiggins makes free throw 2 of 2,28,24
110,1,0:00.0,E. Gordon misses 3-pt jump shot from 67 ft,,28,24
111,1,0:00.0,Offensive rebound by Team,,28,24
112,2,11:47.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by K. Dunn),28,27
113,2,11:30.0,E. Gordon makes 3-pt jump shot from 26 ft,,31,27
114,2,11:14.0,,Z. LaVine misses 2-pt jump shot from 20 ft,31,27
115,2,11:12.0,Defensive rebound by N. Hilário,,31,27
116,2,11:07.0,Personal foul by K. Dunn (drawn by E. Gordon),,31,27
117,2,11:00.0,N. Hilário misses 2-pt layup from 2 ft,,31,27
118,2,10:59.0,,Defensive rebound by S. Muhammad,31,27
119,2,10:55.0,,S. Muhammad makes 2-pt layup from 1 ft,31,29
120,2,10:41.0,E. Gordon misses 3-pt jump shot from 24 ft,,31,29
121,2,10:40.0,,Defensive rebound by S. Muhammad,31,29
122,2,10:28.0,,K. Dunn makes 2-pt jump shot from 22 ft,31,31
123,2,10:16.0,Turnover by N. Hilário (bad pass),,31,31
124,2,10:16.0,C. Capela enters the game for N. Hilário,,31,31
125,2,10:04.0,,N. Bjelica misses 2-pt jump shot from 7 ft,31,31
126,2,10:03.0,,Offensive rebound by N. Bjelica,31,31
127,2,10:00.0,,N. Bjelica makes 2-pt hook shot from 7 ft,31,33
128,2,9:51.0,E. Gordon misses 3-pt jump shot from 23 ft,,31,33
129,2,9:49.0,,Defensive rebound by C. Aldrich,31,33
130,2,9:35.0,,K. Dunn misses 2-pt jump shot from 18 ft,31,33
131,2,9:34.0,Defensive rebound by C. Capela,,31,33
