,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MILWAUKEE_ACTION,OKLAHOMA CITY_SCORE,MILWAUKEE_SCORE
0,1,11:35.0,,M. Brogdon misses 2-pt jump shot from 21 ft,0,0
1,1,11:34.0,Defensive rebound by D. Sabonis,,0,0
2,1,11:19.0,S. Adams makes 2-pt hook shot from 6 ft,,2,0
3,1,10:55.0,,J. Henson makes 2-pt hook shot from 2 ft (assist by M. Brogdon),2,2
4,1,10:43.0,Shooting foul by J. Henson (drawn by S. Adams),,2,2
5,1,10:43.0,S. Adams makes free throw 1 of 2,,3,2
6,1,10:43.0,S. Adams makes free throw 2 of 2,,4,2
7,1,10:22.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,4,4
8,1,10:04.0,R. Westbrook makes 3-pt jump shot from 27 ft (assist by S. Adams),,7,4
9,1,9:55.0,,Personal block foul by A. Roberson (drawn by G. Antetokounmpo),7,4
10,1,9:43.0,,J. Parker misses 2-pt jump shot from 18 ft,7,4
11,1,9:43.0,,Offensive rebound by Team,7,4
12,1,9:43.0,Loose ball foul by D. Sabonis (drawn by J. Henson),,7,4
13,1,9:32.0,,G. Antetokounmpo misses 2-pt jump shot from 13 ft,7,4
14,1,9:30.0,Defensive rebound by V. Oladipo,,7,4
15,1,9:21.0,Personal foul by M. Brogdon (drawn by D. Sabonis),,7,4
16,1,9:17.0,S. Adams makes 2-pt dunk at rim (assist by V. Oladipo),,9,4
17,1,8:51.0,,J. Parker misses 3-pt jump shot from 27 ft,9,4
18,1,8:50.0,Defensive rebound by Team,,9,4
19,1,8:37.0,S. Adams makes 2-pt layup at rim (assist by V. Oladipo),,11,4
20,1,8:08.0,,G. Antetokounmpo misses 2-pt hook shot from 8 ft,11,4
21,1,8:07.0,Defensive rebound by V. Oladipo,,11,4
22,1,8:01.0,V. Oladipo makes 2-pt layup from 1 ft,,13,4
23,1,8:01.0,,Milwaukee full timeout,13,4
24,1,7:36.0,,J. Parker misses 2-pt jump shot from 9 ft,13,4
25,1,7:34.0,,Offensive rebound by J. Henson,13,4
26,1,7:34.0,,J. Henson makes 2-pt layup at rim,13,6
27,1,7:16.0,V. Oladipo makes 3-pt jump shot from 25 ft,,16,6
28,1,6:56.0,,G. Antetokounmpo makes 3-pt jump shot from 28 ft (assist by J. Parker),16,9
29,1,6:29.0,Turnover by R. Westbrook (bad pass; steal by T. Snell),,16,9
30,1,6:19.0,,J. Parker misses 3-pt jump shot from 24 ft,16,9
31,1,6:18.0,Defensive rebound by A. Roberson,,16,9
32,1,6:11.0,R. Westbrook makes 2-pt jump shot from 17 ft,,18,9
33,1,5:44.0,,Turnover by Team (shot clock),18,9
34,1,5:44.0,,G. Monroe enters the game for J. Parker,18,9
35,1,5:44.0,,M. Teletović enters the game for J. Henson,18,9
36,1,5:31.0,Turnover by V. Oladipo (step out of bounds),,18,9
37,1,5:07.0,,Turnover by Team (shot clock),18,9
38,1,4:59.0,R. Westbrook makes 2-pt layup at rim,,20,9
39,1,4:59.0,Shooting foul by G. Monroe (drawn by R. Westbrook),,20,9
40,1,4:59.0,R. Westbrook misses free throw 1 of 1,,20,9
41,1,4:59.0,Á. Abrines enters the game for V. Oladipo,,20,9
42,1,4:59.0,,J. Terry enters the game for T. Snell,20,9
43,1,4:58.0,Offensive rebound by S. Adams,,20,9
44,1,4:55.0,S. Adams makes 2-pt layup at rim,,22,9
45,1,4:38.0,,Shooting foul by S. Adams (drawn by G. Monroe),22,9
46,1,4:38.0,,G. Monroe misses free throw 1 of 2,22,9
47,1,4:38.0,,Offensive rebound by Team,22,9
48,1,4:38.0,,G. Monroe makes free throw 2 of 2,22,10
49,1,4:25.0,Á. Abrines makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,25,10
50,1,4:04.0,,M. Teletović makes 3-pt jump shot from 29 ft (assist by M. Brogdon),25,13
51,1,3:48.0,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),,27,13
52,1,3:36.0,,M. Brogdon misses 2-pt layup from 1 ft,27,13
53,1,3:35.0,,Offensive rebound by G. Monroe,27,13
54,1,3:35.0,Violation by A. Roberson (def goaltending),,27,13
55,1,3:35.0,,G. Monroe makes 2-pt layup from 1 ft,27,15
56,1,3:10.0,D. Sabonis misses 3-pt jump shot from 28 ft,,27,15
57,1,3:09.0,,Defensive rebound by M. Teletović,27,15
58,1,2:56.0,,J. Terry misses 2-pt layup at rim,27,15
59,1,2:52.0,Defensive rebound by Á. Abrines,,27,15
60,1,2:45.0,R. Westbrook misses 2-pt jump shot from 17 ft,,27,15
61,1,2:44.0,,Defensive rebound by G. Monroe,27,15
62,1,2:40.0,,Turnover by G. Monroe (bad pass; steal by R. Westbrook),27,15
63,1,2:32.0,A. Roberson misses 3-pt jump shot from 26 ft,,27,15
64,1,2:30.0,,Defensive rebound by G. Monroe,27,15
65,1,2:22.0,,M. Brogdon makes 2-pt layup from 1 ft,27,17
66,1,2:22.0,,Shooting foul by S. Adams (drawn by M. Brogdon),27,17
67,1,2:22.0,Oklahoma City full timeout,,27,17
68,1,2:22.0,V. Oladipo enters the game for A. Roberson,,27,17
69,1,2:22.0,J. Lauvergne enters the game for D. Sabonis,,27,17
70,1,2:22.0,E. Freedom enters the game for S. Adams,,27,17
71,1,2:22.0,S. Christon enters the game for R. Westbrook,,27,17
72,1,2:22.0,A. Roberson enters the game for V. Oladipo,,27,17
73,1,2:22.0,,J. Parker enters the game for G. Antetokounmpo,27,17
74,1,2:22.0,,M. Brogdon makes free throw 1 of 1,27,18
75,1,2:06.0,Turnover by S. Christon (bad pass),,27,18
76,1,1:57.0,,Turnover by J. Terry (bad pass; steal by Á. Abrines),27,18
77,1,1:57.0,Personal foul by J. Terry (drawn by E. Freedom),,27,18
78,1,1:38.0,E. Freedom misses 2-pt jump shot from 11 ft,,27,18
79,1,1:38.0,,Defensive rebound by Team,27,18
80,1,1:26.0,,M. Brogdon makes 2-pt layup from 1 ft,27,20
81,1,1:10.0,Personal foul by M. Teletović (drawn by J. Lauvergne),,27,20
82,1,1:10.0,J. Lauvergne makes free throw 1 of 2,,28,20
83,1,1:10.0,J. Lauvergne misses free throw 2 of 2,,28,20
84,1,1:10.0,J. Grant enters the game for A. Roberson,,28,20
85,1,1:09.0,,Defensive rebound by J. Parker,28,20
86,1,0:56.0,,G. Monroe makes 2-pt hook shot from 4 ft (assist by M. Brogdon),28,22
87,1,0:36.0,S. Christon makes 2-pt jump shot from 17 ft,,30,22
88,1,0:24.0,,G. Monroe misses 2-pt jump shot from 17 ft,30,22
89,1,0:23.0,Defensive rebound by J. Grant,,30,22
90,1,0:00.0,S. Christon misses 3-pt jump shot from 24 ft,,30,22
91,1,0:00.0,Offensive rebound by Team,,30,22
92,2,11:43.0,J. Lauvergne makes 2-pt hook shot from 3 ft (assist by Á. Abrines),,32,22
93,2,11:23.0,,M. Teletović misses 3-pt jump shot from 30 ft,32,22
94,2,11:22.0,Defensive rebound by J. Grant,,32,22
95,2,10:59.0,E. Freedom misses 2-pt jump shot from 14 ft,,32,22
96,2,10:57.0,,Defensive rebound by G. Monroe,32,22
97,2,10:40.0,,G. Antetokounmpo makes 2-pt jump shot from 9 ft,32,24
98,2,10:19.0,J. Grant misses 2-pt jump shot from 6 ft,,32,24
99,2,10:18.0,,Defensive rebound by M. Teletović,32,24
100,2,10:15.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Parker),32,26
101,2,10:14.0,Oklahoma City full timeout,,32,26
102,2,10:14.0,V. Oladipo enters the game for Á. Abrines,,32,26
103,2,10:14.0,,M. Beasley enters the game for M. Teletović,32,26
104,2,9:54.0,Shooting foul by M. Beasley (drawn by J. Grant),,32,26
105,2,9:54.0,J. Grant misses free throw 1 of 2,,32,26
106,2,9:54.0,Offensive rebound by Team,,32,26
107,2,9:54.0,J. Grant misses free throw 2 of 2,,32,26
