,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
0,1,11:38.0,,Turnover by A. Johnson (lost ball; steal by E. İlyasova),0,0
1,1,11:23.0,Turnover by G. Henderson (bad pass; steal by M. Smart),,0,0
2,1,11:08.0,,Turnover by M. Smart (bad pass; steal by G. Henderson),0,0
3,1,11:02.0,R. Covington makes 2-pt layup from 3 ft (assist by N. Noel),,2,0
4,1,10:47.0,,Turnover by A. Horford (lost ball; steal by R. Covington),2,0
5,1,10:34.0,G. Henderson makes 2-pt jump shot from 21 ft (assist by N. Noel),,4,0
6,1,10:34.0,,Boston full timeout,4,0
7,1,10:24.0,,Turnover by I. Thomas (bad pass; steal by T. McConnell),4,0
8,1,10:20.0,N. Noel makes 2-pt dunk at rim,,6,0
9,1,10:03.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Horford),6,3
10,1,9:49.0,E. İlyasova misses 3-pt jump shot from 26 ft,,6,3
11,1,9:48.0,,Defensive rebound by M. Smart,6,3
12,1,9:38.0,,J. Crowder makes 2-pt jump shot from 18 ft (assist by M. Smart),6,5
13,1,9:22.0,G. Henderson makes 2-pt jump shot from 9 ft (assist by T. McConnell),,8,5
14,1,9:07.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by M. Smart),8,8
15,1,8:40.0,E. İlyasova misses 2-pt jump shot from 12 ft,,8,8
16,1,8:39.0,,Defensive rebound by A. Horford,8,8
17,1,8:33.0,,Turnover by J. Crowder (bad pass; steal by R. Covington),8,8
18,1,8:28.0,R. Covington makes 3-pt jump shot from 26 ft (assist by N. Noel),,11,8
19,1,8:10.0,,A. Johnson misses 2-pt jump shot from 6 ft,11,8
20,1,8:09.0,,Offensive rebound by J. Crowder,11,8
21,1,8:09.0,,J. Crowder misses 2-pt layup from 1 ft,11,8
22,1,8:08.0,,Offensive rebound by J. Crowder,11,8
23,1,8:06.0,,J. Crowder makes 2-pt hook shot from 3 ft,11,10
24,1,8:06.0,,Shooting foul by E. İlyasova (drawn by J. Crowder),11,10
25,1,8:06.0,,J. Crowder makes free throw 1 of 1,11,11
26,1,7:53.0,N. Noel misses 2-pt jump shot from 15 ft,,11,11
27,1,7:52.0,,Defensive rebound by A. Johnson,11,11
28,1,7:44.0,,I. Thomas makes 3-pt jump shot from 25 ft,11,14
29,1,7:34.0,T. McConnell misses 2-pt layup from 2 ft,,11,14
30,1,7:34.0,,Defensive rebound by A. Horford,11,14
31,1,7:20.0,,M. Smart makes 2-pt jump shot from 10 ft,11,16
32,1,7:10.0,R. Covington makes 3-pt jump shot from 25 ft (assist by T. McConnell),,14,16
33,1,6:53.0,,A. Johnson misses 2-pt layup from 1 ft,14,16
34,1,6:53.0,Defensive rebound by R. Covington,,14,16
35,1,6:39.0,E. İlyasova misses 2-pt hook shot from 3 ft,,14,16
36,1,6:39.0,Offensive rebound by E. İlyasova,,14,16
37,1,6:36.0,E. İlyasova misses 2-pt layup from 3 ft,,14,16
38,1,6:36.0,,Defensive rebound by M. Smart,14,16
39,1,6:32.0,,Shooting foul by R. Covington (drawn by A. Horford),14,16
40,1,6:32.0,,A. Horford misses free throw 1 of 2,14,16
41,1,6:32.0,,Offensive rebound by Team,14,16
42,1,6:32.0,D. Šarić enters the game for E. İlyasova,,14,16
43,1,6:32.0,N. Stauskas enters the game for G. Henderson,,14,16
44,1,6:32.0,,A. Horford makes free throw 2 of 2,14,17
45,1,6:05.0,N. Noel misses 2-pt jump shot from 7 ft (block by M. Smart),,14,17
46,1,6:04.0,,Defensive rebound by M. Smart,14,17
47,1,6:04.0,,Turnover by M. Smart (lost ball; steal by N. Noel),14,17
48,1,6:02.0,T. McConnell makes 2-pt layup from 2 ft,,16,17
49,1,5:48.0,,I. Thomas makes 3-pt jump shot from 25 ft,16,20
50,1,5:32.0,D. Šarić misses 3-pt jump shot from 25 ft,,16,20
51,1,5:32.0,Offensive rebound by Team,,16,20
52,1,5:32.0,J. Okafor enters the game for N. Noel,,16,20
53,1,5:32.0,,T. Rozier enters the game for M. Smart,16,20
54,1,5:32.0,,K. Olynyk enters the game for A. Johnson,16,20
55,1,5:12.0,N. Stauskas misses 3-pt jump shot from 24 ft,,16,20
56,1,5:11.0,Offensive rebound by R. Covington,,16,20
57,1,5:03.0,R. Covington makes 3-pt jump shot from 25 ft (assist by T. McConnell),,19,20
58,1,4:48.0,,Shooting foul by R. Covington (drawn by I. Thomas),19,20
59,1,4:48.0,,I. Thomas makes free throw 1 of 2,19,21
60,1,4:48.0,T. Luwawu-Cabarrot enters the game for R. Covington,,19,21
61,1,4:48.0,,I. Thomas makes free throw 2 of 2,19,22
62,1,4:38.0,T. McConnell misses 2-pt jump shot from 7 ft,,19,22
63,1,4:36.0,,Defensive rebound by Team,19,22
64,1,4:19.0,,I. Thomas misses 2-pt jump shot from 3 ft,19,22
65,1,4:18.0,Defensive rebound by T. Luwawu-Cabarrot,,19,22
66,1,4:12.0,D. Šarić misses 2-pt layup from 2 ft,,19,22
67,1,4:11.0,,Defensive rebound by K. Olynyk,19,22
68,1,4:08.0,,Shooting block foul by T. Luwawu-Cabarrot (drawn by J. Crowder),19,22
69,1,4:08.0,,J. Crowder makes free throw 1 of 2,19,23
70,1,4:08.0,S. Rodríguez enters the game for T. McConnell,,19,23
71,1,4:08.0,,G. Green enters the game for I. Thomas,19,23
72,1,4:08.0,,J. Crowder makes free throw 2 of 2,19,24
73,1,3:49.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,,19,24
74,1,3:48.0,,Defensive rebound by Team,19,24
75,1,3:35.0,,A. Horford makes 2-pt jump shot from 21 ft (assist by K. Olynyk),19,26
76,1,3:15.0,D. Šarić makes 2-pt dunk at rim (assist by J. Okafor),,21,26
77,1,3:06.0,,T. Rozier misses 2-pt layup from 2 ft (block by J. Okafor),21,26
78,1,3:05.0,Defensive rebound by J. Okafor,,21,26
79,1,2:59.0,D. Šarić makes 2-pt layup from 1 ft,,23,26
80,1,2:52.0,,K. Olynyk misses 2-pt layup from 2 ft,23,26
81,1,2:51.0,Defensive rebound by S. Rodríguez,,23,26
82,1,2:45.0,J. Okafor misses 2-pt layup from 2 ft,,23,26
83,1,2:44.0,,Defensive rebound by K. Olynyk,23,26
84,1,2:37.0,,K. Olynyk makes 3-pt jump shot from 24 ft (assist by G. Green),23,29
85,1,2:37.0,Philadelphia full timeout,,23,29
86,1,2:37.0,,J. Jerebko enters the game for A. Horford,23,29
87,1,2:22.0,D. Šarić misses 2-pt layup from 2 ft (block by J. Jerebko),,23,29
88,1,2:21.0,Offensive rebound by Team,,23,29
89,1,2:18.0,J. Okafor makes 2-pt layup from 2 ft (assist by S. Rodríguez),,25,29
90,1,2:01.0,,J. Crowder misses 2-pt layup from 1 ft,25,29
91,1,2:01.0,,Offensive rebound by Team,25,29
92,1,1:57.0,,G. Green misses 2-pt jump shot from 14 ft,25,29
93,1,1:56.0,Defensive rebound by J. Okafor,,25,29
94,1,1:44.0,S. Rodríguez misses 2-pt jump shot from 16 ft,,25,29
95,1,1:43.0,Offensive rebound by J. Okafor,,25,29
96,1,1:42.0,Turnover by J. Okafor (traveling),,25,29
97,1,1:21.0,,Turnover by K. Olynyk (lost ball; steal by T. Luwawu-Cabarrot),25,29
98,1,1:14.0,D. Šarić makes 2-pt layup from 1 ft (assist by T. Luwawu-Cabarrot),,27,29
99,1,1:00.0,,G. Green misses 2-pt layup from 2 ft,27,29
100,1,1:00.0,Defensive rebound by N. Stauskas,,27,29
101,1,0:54.0,D. Šarić misses 3-pt jump shot from 24 ft,,27,29
102,1,0:53.0,,Defensive rebound by J. Jerebko,27,29
103,1,0:41.0,,T. Rozier misses 2-pt layup from 1 ft,27,29
104,1,0:41.0,Defensive rebound by D. Šarić,,27,29
105,1,0:39.0,J. Okafor makes 2-pt dunk at rim,,29,29
106,1,0:26.0,,J. Crowder misses 3-pt jump shot from 26 ft,29,29
107,1,0:24.0,Defensive rebound by N. Stauskas,,29,29
108,1,0:01.0,D. Šarić misses 3-pt jump shot from 24 ft,,29,29
109,1,0:00.0,Offensive rebound by Team,,29,29
110,2,11:47.0,Turnover by N. Stauskas (bad pass; steal by M. Smart),,29,29
111,2,11:33.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by M. Smart),29,31
112,2,11:14.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by K. Olynyk),,29,31
113,2,11:09.0,,T. Rozier makes 2-pt dunk at rim (assist by M. Smart),29,33
114,2,10:49.0,Shooting foul by J. Jerebko (drawn by T. Luwawu-Cabarrot),,29,33
115,2,10:49.0,T. Luwawu-Cabarrot misses free throw 1 of 2,,29,33
116,2,10:49.0,Offensive rebound by Team,,29,33
117,2,10:49.0,N. Noel enters the game for D. Šarić,,29,33
118,2,10:49.0,E. İlyasova enters the game for N. Stauskas,,29,33
119,2,10:49.0,G. Henderson enters the game for J. Okafor,,29,33
120,2,10:49.0,T. Luwawu-Cabarrot makes free throw 2 of 2,,30,33
121,2,10:39.0,,Offensive foul by K. Olynyk (drawn by T. Luwawu-Cabarrot),30,33
122,2,10:39.0,,Turnover by K. Olynyk (offensive foul),30,33
123,2,10:29.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,,30,33
124,2,10:28.0,Offensive rebound by N. Noel,,30,33
125,2,10:28.0,N. Noel makes 2-pt dunk at rim,,32,33
126,2,10:09.0,,M. Smart makes 2-pt jump shot from 4 ft,32,35
127,2,10:09.0,,Shooting foul by E. İlyasova (drawn by M. Smart),32,35
128,2,10:09.0,,M. Smart makes free throw 1 of 1,32,36
129,2,9:56.0,N. Noel makes 2-pt hook shot from 4 ft (assist by T. Luwawu-Cabarrot),,34,36
130,2,9:45.0,,G. Green misses 3-pt jump shot from 25 ft,34,36
131,2,9:44.0,Defensive rebound by S. Rodríguez,,34,36
132,2,9:40.0,Shooting foul by G. Green (drawn by G. Henderson),,34,36
133,2,9:40.0,G. Henderson makes free throw 1 of 2,,35,36
134,2,9:40.0,G. Henderson misses free throw 2 of 2,,35,36
135,2,9:40.0,,J. Young enters the game for G. Green,35,36
136,2,9:38.0,Offensive rebound by E. İlyasova,,35,36
137,2,9:37.0,E. İlyasova makes 2-pt hook shot from 1 ft,,37,36
138,2,9:23.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by T. Rozier),37,39
139,2,9:09.0,N. Noel makes 2-pt layup from 1 ft (assist by S. Rodríguez),,39,39
140,2,8:55.0,,J. Young makes 3-pt jump shot from 25 ft (assist by J. Jerebko),39,42
141,2,8:49.0,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by S. Rodríguez),,41,42
142,2,8:49.0,,Boston full timeout,41,42
143,2,8:34.0,,Turnover by T. Rozier (bad pass; steal by G. Henderson),41,42
144,2,8:30.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by M. Smart),,41,42
145,2,8:23.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by T. Rozier),41,44
146,2,8:11.0,Turnover by E. İlyasova (bad pass; steal by J. Young),,41,44
147,2,7:55.0,,K. Olynyk makes 2-pt layup from 2 ft,41,46
148,2,7:39.0,E. İlyasova misses 3-pt jump shot from 23 ft,,41,46
149,2,7:38.0,,Defensive rebound by K. Olynyk,41,46
150,2,7:18.0,,M. Smart makes 2-pt jump shot from 21 ft,41,48
151,2,7:01.0,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft (block by J. Jerebko),,41,48
152,2,7:00.0,Offensive rebound by Team,,41,48
153,2,7:00.0,,A. Johnson enters the game for K. Olynyk,41,48
154,2,7:00.0,R. Covington enters the game for T. Luwawu-Cabarrot,,41,48
155,2,7:00.0,Philadelphia full timeout,,41,48
156,2,7:00.0,,I. Thomas enters the game for T. Rozier,41,48
157,2,6:55.0,G. Henderson makes 2-pt jump shot from 14 ft (assist by S. Rodríguez),,43,48
158,2,6:33.0,,J. Young misses 3-pt jump shot from 25 ft,43,48
159,2,6:32.0,Defensive rebound by N. Noel,,43,48
160,2,6:25.0,G. Henderson misses 3-pt jump shot from 26 ft,,43,48
161,2,6:24.0,,Defensive rebound by A. Johnson,43,48
162,2,6:10.0,,I. Thomas makes 2-pt layup from 2 ft,43,50
163,2,6:04.0,S. Rodríguez misses 2-pt jump shot from 4 ft,,43,50
164,2,6:03.0,Offensive rebound by E. İlyasova,,43,50
165,2,6:03.0,E. İlyasova misses 2-pt layup from 3 ft,,43,50
166,2,6:02.0,,Defensive rebound by A. Johnson,43,50
167,2,5:54.0,,I. Thomas misses 3-pt jump shot from 26 ft,43,50
168,2,5:54.0,Defensive rebound by S. Rodríguez,,43,50
169,2,5:51.0,Shooting foul by J. Young (drawn by E. İlyasova),,43,50
170,2,5:51.0,,Violation by M. Smart (def goaltending),43,50
171,2,5:51.0,E. İlyasova makes 2-pt layup from 2 ft,,45,50
172,2,5:51.0,T. McConnell enters the game for S. Rodríguez,,45,50
173,2,5:51.0,,J. Crowder enters the game for M. Smart,45,50
174,2,5:51.0,E. İlyasova makes free throw 1 of 1,,46,50
175,2,5:38.0,,J. Crowder misses 2-pt jump shot from 14 ft,46,50
176,2,5:37.0,Defensive rebound by R. Covington,,46,50
177,2,5:17.0,R. Covington makes 2-pt layup from 1 ft,,48,50
178,2,5:02.0,,J. Young makes 2-pt jump shot from 13 ft (assist by J. Crowder),48,52
179,2,4:47.0,Shooting foul by J. Young (drawn by G. Henderson),,48,52
180,2,4:47.0,G. Henderson makes free throw 1 of 2,,49,52
181,2,4:47.0,,A. Horford enters the game for J. Jerebko,49,52
182,2,4:47.0,G. Henderson makes free throw 2 of 2,,50,52
183,2,4:46.0,,Turnover by A. Horford (bad pass; steal by T. McConnell),50,52
184,2,4:41.0,G. Henderson makes 2-pt layup from 2 ft (assist by T. McConnell),,52,52
185,2,4:16.0,,J. Crowder misses 2-pt jump shot from 18 ft,52,52
186,2,4:15.0,Defensive rebound by T. McConnell,,52,52
187,2,4:04.0,E. İlyasova misses 3-pt jump shot from 26 ft,,52,52
188,2,4:03.0,Offensive rebound by R. Covington,,52,52
189,2,3:59.0,R. Covington makes 3-pt jump shot from 26 ft (assist by T. McConnell),,55,52
190,2,3:47.0,,Shooting foul by T. McConnell (drawn by I. Thomas),55,52
191,2,3:47.0,,I. Thomas makes free throw 1 of 3,55,53
192,2,3:47.0,,I. Thomas misses free throw 2 of 3,55,53
193,2,3:47.0,,Offensive rebound by Team,55,53
194,2,3:47.0,,K. Olynyk enters the game for A. Johnson,55,53
195,2,3:47.0,D. Šarić enters the game for E. İlyasova,,55,53
196,2,3:47.0,,I. Thomas makes free throw 3 of 3,55,54
197,2,3:29.0,G. Henderson misses 2-pt jump shot from 15 ft,,55,54
198,2,3:28.0,,Defensive rebound by J. Crowder,55,54
199,2,3:18.0,,Turnover by K. Olynyk (bad pass; steal by T. McConnell),55,54
200,2,3:14.0,T. McConnell misses 2-pt layup from 2 ft (block by J. Young),,55,54
201,2,3:13.0,Offensive rebound by R. Covington,,55,54
202,2,3:13.0,R. Covington makes 2-pt layup from 1 ft,,57,54
203,2,2:57.0,,Shooting foul by G. Henderson (drawn by J. Crowder),57,54
204,2,2:57.0,Official timeout,,57,54
205,2,2:57.0,,J. Crowder makes free throw 1 of 2,57,55
206,2,2:57.0,,M. Smart enters the game for A. Horford,57,54
207,2,2:57.0,,T. Zeller enters the game for J. Young,57,54
208,2,2:57.0,,J. Crowder misses free throw 2 of 2,57,55
209,2,2:57.0,Defensive rebound by D. Šarić,,57,55
210,2,2:46.0,Turnover by G. Henderson (lost ball),,57,55
211,2,2:25.0,,M. Smart makes 2-pt layup from 1 ft,57,57
