,QUARTER,TIME_REMAINING,MIAMI_ACTION,MINNESOTA_ACTION,MIAMI_SCORE,MINNESOTA_SCORE
0,1,11:42.0,,A. Wiggins misses 2-pt jump shot from 10 ft,0,0
1,1,11:41.0,Defensive rebound by H. Whiteside,,0,0
2,1,11:24.0,H. Whiteside misses 2-pt hook shot from 8 ft,,0,0
3,1,11:22.0,,Defensive rebound by G. Dieng,0,0
4,1,11:11.0,,Turnover by R. Rubio (bad pass; steal by H. Whiteside),0,0
5,1,11:00.0,D. Waiters misses 3-pt jump shot from 27 ft,,0,0
6,1,10:59.0,Offensive rebound by H. Whiteside,,0,0
7,1,10:58.0,H. Whiteside makes 2-pt layup from 1 ft,,2,0
8,1,10:43.0,,K. Towns makes 2-pt jump shot from 20 ft (assist by R. Rubio),2,2
9,1,10:26.0,L. Babbitt misses 3-pt jump shot from 25 ft,,2,2
10,1,10:24.0,,Defensive rebound by A. Wiggins,2,2
11,1,10:16.0,,K. Towns misses 2-pt layup from 2 ft,2,2
12,1,10:16.0,Defensive rebound by H. Whiteside,,2,2
13,1,10:08.0,D. Waiters makes 2-pt layup from 1 ft,,4,2
14,1,9:58.0,,Personal foul by L. Babbitt (drawn by K. Towns),4,2
15,1,9:54.0,,Turnover by K. Towns (bad pass),4,2
16,1,9:39.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by R. McGruder),,7,2
17,1,9:15.0,,G. Dieng misses 2-pt jump shot from 7 ft (block by H. Whiteside),7,2
18,1,9:13.0,Defensive rebound by D. Waiters,,7,2
19,1,8:57.0,Turnover by G. Dragić (bad pass),,7,2
20,1,8:47.0,,R. Rubio misses 2-pt jump shot from 19 ft,7,2
21,1,8:46.0,Defensive rebound by H. Whiteside,,7,2
22,1,8:32.0,H. Whiteside makes 2-pt hook shot from 5 ft (assist by G. Dragić),,9,2
23,1,8:16.0,,K. Towns makes 2-pt hook shot from 8 ft,9,4
24,1,8:02.0,L. Babbitt makes 3-pt jump shot from 24 ft (assist by G. Dragić),,12,4
25,1,7:42.0,,G. Dieng makes 2-pt layup at rim,12,6
26,1,7:42.0,,Shooting foul by L. Babbitt (drawn by G. Dieng),12,6
27,1,7:42.0,J. Johnson enters the game for L. Babbitt,,12,6
28,1,7:42.0,,G. Dieng makes free throw 1 of 1,12,7
29,1,7:23.0,J. Johnson makes 2-pt layup from 1 ft (assist by H. Whiteside),,14,7
30,1,7:11.0,,B. Rush makes 3-pt jump shot from 24 ft (assist by R. Rubio),14,10
31,1,6:59.0,Personal foul by A. Wiggins (drawn by H. Whiteside),,14,10
32,1,6:49.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by D. Waiters),,17,10
33,1,6:28.0,,G. Dieng makes 2-pt jump shot from 9 ft (assist by B. Rush),17,12
34,1,6:20.0,H. Whiteside makes 2-pt jump shot from 11 ft (assist by R. McGruder),,19,12
35,1,6:00.0,,K. Towns makes 2-pt hook shot from 3 ft (assist by R. Rubio),19,14
36,1,5:49.0,Miami full timeout,,19,14
37,1,5:28.0,G. Dragić makes 3-pt jump shot from 24 ft,,22,14
38,1,5:20.0,,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),22,16
39,1,5:07.0,Shooting foul by K. Towns (drawn by J. Johnson),,22,16
40,1,5:07.0,J. Johnson misses free throw 1 of 2,,22,16
41,1,5:07.0,Offensive rebound by Team,,22,16
42,1,5:07.0,J. Johnson misses free throw 2 of 2,,22,16
43,1,5:07.0,,Defensive rebound by G. Dieng,22,16
44,1,4:52.0,,Shooting foul by J. Johnson (drawn by K. Towns),22,16
45,1,4:52.0,,K. Towns makes free throw 1 of 2,22,17
46,1,4:52.0,,K. Towns makes free throw 2 of 2,22,18
47,1,4:38.0,D. Waiters misses 2-pt layup from 3 ft,,22,18
48,1,4:35.0,,Defensive rebound by K. Towns,22,18
49,1,4:24.0,,K. Towns misses 2-pt layup from 2 ft,22,18
50,1,4:23.0,Defensive rebound by H. Whiteside,,22,18
51,1,4:16.0,J. Johnson makes 2-pt jump shot from 3 ft,,24,18
52,1,3:55.0,,B. Rush misses 2-pt jump shot from 19 ft,24,18
53,1,3:54.0,,Offensive rebound by K. Towns,24,18
54,1,3:53.0,,Shooting foul by J. Johnson (drawn by K. Towns),24,18
55,1,3:53.0,,K. Towns misses free throw 1 of 2,24,18
56,1,3:53.0,,Offensive rebound by Team,24,18
57,1,3:53.0,T. Johnson enters the game for D. Waiters,,24,18
58,1,3:53.0,O. White enters the game for J. Johnson,,24,18
59,1,3:53.0,,K. Towns makes free throw 2 of 2,24,19
60,1,3:42.0,T. Johnson misses 2-pt layup from 2 ft,,24,19
61,1,3:41.0,Offensive rebound by O. White,,24,19
62,1,3:37.0,R. McGruder makes 3-pt jump shot from 24 ft (assist by O. White),,27,19
63,1,3:23.0,,R. Rubio makes 2-pt layup at rim,27,21
64,1,3:07.0,,Violation by G. Dieng (kicked ball),27,21
65,1,3:07.0,,N. Bjelica enters the game for G. Dieng,27,21
66,1,3:07.0,,S. Muhammad enters the game for B. Rush,27,21
67,1,2:57.0,H. Whiteside makes 2-pt layup from 2 ft (assist by G. Dragić),,29,21
68,1,2:57.0,Shooting foul by R. Rubio (drawn by H. Whiteside),,29,21
69,1,2:57.0,,Minnesota full timeout,29,21
70,1,2:57.0,H. Whiteside makes free throw 1 of 1,,30,21
71,1,2:51.0,,S. Muhammad makes 2-pt layup from 1 ft (assist by R. Rubio),30,23
72,1,2:28.0,H. Whiteside misses 2-pt jump shot from 17 ft,,30,23
73,1,2:27.0,Offensive rebound by R. McGruder,,30,23
74,1,2:22.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by G. Dragić),,33,23
75,1,2:03.0,,Personal foul by O. White (drawn by S. Muhammad),33,23
76,1,2:03.0,,S. Muhammad makes free throw 1 of 2,33,24
77,1,2:03.0,,T. Jones enters the game for R. Rubio,33,24
78,1,2:03.0,,S. Muhammad makes free throw 2 of 2,33,25
79,1,1:43.0,H. Whiteside misses 2-pt layup from 3 ft,,33,25
80,1,1:42.0,Offensive rebound by R. McGruder,,33,25
81,1,1:42.0,R. McGruder makes 2-pt layup from 1 ft,,35,25
82,1,1:22.0,,A. Wiggins misses 2-pt jump shot from 18 ft,35,25
83,1,1:20.0,,Offensive rebound by K. Towns,35,25
84,1,1:15.0,,K. Towns makes 2-pt layup from 1 ft (assist by S. Muhammad),35,27
85,1,1:03.0,G. Dragić makes 2-pt jump shot from 19 ft,,37,27
86,1,0:49.0,,K. Towns makes 2-pt jump shot from 18 ft,37,29
87,1,0:40.0,O. White makes 2-pt layup from 1 ft (assist by T. Johnson),,39,29
88,1,0:40.0,Shooting foul by N. Bjelica (drawn by O. White),,39,29
89,1,0:40.0,W. Reed enters the game for H. Whiteside,,39,29
90,1,0:40.0,W. Ellington enters the game for G. Dragić,,39,29
