,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
0,1,11:40.0,,A. Drummond misses 2-pt jump shot from 7 ft (block by J. Noah),0,0
1,1,11:39.0,Defensive rebound by J. Noah,,0,0
2,1,11:18.0,C. Anthony makes 2-pt jump shot from 17 ft,,2,0
3,1,11:06.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by A. Drummond),2,2
4,1,11:06.0,,Shooting foul by C. Lee (drawn by K. Caldwell-Pope),2,2
5,1,11:06.0,,K. Caldwell-Pope makes free throw 1 of 1,2,3
6,1,10:43.0,K. Porziņģis misses 2-pt jump shot from 9 ft,,2,3
7,1,10:41.0,,Defensive rebound by A. Drummond,2,3
8,1,10:37.0,,Shooting foul by J. Noah (drawn by A. Drummond),2,3
9,1,10:37.0,,A. Drummond misses free throw 1 of 2,2,3
10,1,10:37.0,,Offensive rebound by Team,2,3
11,1,10:37.0,,A. Drummond misses free throw 2 of 2,2,3
12,1,10:37.0,Defensive rebound by C. Lee,,2,3
13,1,10:18.0,C. Lee makes 2-pt jump shot from 15 ft,,4,3
14,1,9:57.0,,A. Drummond makes 2-pt hook shot from 8 ft (assist by K. Caldwell-Pope),4,5
15,1,9:45.0,C. Anthony makes 2-pt jump shot from 20 ft (assist by J. Noah),,6,5
16,1,9:26.0,,M. Morris makes 2-pt jump shot from 18 ft,6,7
17,1,9:19.0,D. Rose misses 2-pt layup from 1 ft (block by T. Harris),,6,7
18,1,9:16.0,,Defensive rebound by A. Drummond,6,7
19,1,9:10.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by I. Smith),6,10
20,1,8:58.0,D. Rose misses 2-pt jump shot from 6 ft,,6,10
21,1,8:57.0,,Defensive rebound by A. Drummond,6,10
22,1,8:41.0,,A. Drummond misses 2-pt jump shot from 4 ft,6,10
23,1,8:41.0,Defensive rebound by K. Porziņģis,,6,10
24,1,8:37.0,D. Rose makes 2-pt layup from 1 ft,,8,10
25,1,8:21.0,,I. Smith makes 2-pt jump shot from 8 ft,8,12
26,1,8:11.0,J. Noah misses 2-pt jump shot from 18 ft,,8,12
27,1,8:10.0,,Defensive rebound by T. Harris,8,12
28,1,8:09.0,,Offensive foul by T. Harris (drawn by K. Porziņģis),8,12
29,1,8:09.0,,Turnover by T. Harris (offensive foul),8,12
30,1,7:57.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,8,12
31,1,7:57.0,,Defensive rebound by Team,8,12
32,1,7:41.0,,I. Smith makes 2-pt jump shot from 18 ft,8,14
33,1,7:31.0,Shooting foul by T. Harris (drawn by K. Porziņģis),,8,14
34,1,7:31.0,K. Porziņģis makes free throw 1 of 2,,9,14
35,1,7:31.0,,J. Leuer enters the game for T. Harris,9,14
36,1,7:31.0,K. Porziņģis makes free throw 2 of 2,,10,14
37,1,7:17.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,10,14
38,1,7:14.0,Defensive rebound by C. Anthony,,10,14
39,1,7:09.0,Shooting foul by M. Morris (drawn by C. Anthony),,10,14
40,1,7:09.0,C. Anthony misses free throw 1 of 2,,10,14
41,1,7:09.0,Offensive rebound by Team,,10,14
42,1,7:09.0,C. Anthony makes free throw 2 of 2,,11,14
43,1,6:53.0,,I. Smith makes 2-pt layup from 1 ft,11,16
44,1,6:40.0,C. Anthony misses 3-pt jump shot from 25 ft,,11,16
45,1,6:39.0,Offensive rebound by J. Noah,,11,16
46,1,6:23.0,C. Lee makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),,14,16
47,1,6:01.0,,M. Morris makes 2-pt jump shot from 14 ft,14,18
48,1,5:56.0,D. Rose makes 2-pt layup from 1 ft,,16,18
49,1,5:56.0,Shooting foul by I. Smith (drawn by D. Rose),,16,18
50,1,5:56.0,,Detroit full timeout,16,18
51,1,5:56.0,D. Rose makes free throw 1 of 1,,17,18
52,1,5:47.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by I. Smith),17,20
53,1,5:26.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by C. Lee),,19,20
54,1,5:14.0,,Personal foul by C. Anthony (drawn by M. Morris),19,20
55,1,5:14.0,L. Thomas enters the game for K. Porziņģis,,19,20
56,1,5:00.0,,I. Smith misses 2-pt layup at rim,19,20
57,1,5:00.0,,Offensive rebound by J. Leuer,19,20
58,1,4:57.0,,J. Leuer makes 2-pt layup at rim,19,22
59,1,4:42.0,D. Rose makes 2-pt layup at rim,,21,22
60,1,4:22.0,,Personal foul by C. Lee (drawn by M. Morris),21,22
61,1,4:22.0,K. O'Quinn enters the game for J. Noah,,21,22
62,1,4:22.0,J. Holiday enters the game for C. Lee,,21,22
63,1,4:07.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,21,22
64,1,4:07.0,Defensive rebound by D. Rose,,21,22
65,1,4:01.0,C. Anthony misses 2-pt jump shot from 20 ft,,21,22
66,1,4:00.0,,Defensive rebound by J. Leuer,21,22
67,1,3:55.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by I. Smith),21,25
68,1,3:43.0,D. Rose makes 2-pt jump shot from 15 ft (assist by C. Anthony),,23,25
69,1,3:26.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by I. Smith),23,28
70,1,3:09.0,D. Rose makes 2-pt jump shot from 18 ft,,25,28
71,1,2:57.0,,I. Smith misses 2-pt jump shot from 6 ft (block by D. Rose),25,28
72,1,2:57.0,,Offensive rebound by Team,25,28
73,1,2:57.0,New York full timeout,,25,28
74,1,2:57.0,,B. Udrih enters the game for A. Drummond,25,28
75,1,2:57.0,,A. Baynes enters the game for I. Smith,25,28
76,1,2:48.0,,M. Morris makes 2-pt jump shot from 20 ft,25,30
77,1,2:25.0,Turnover by L. Thomas (bad pass),,25,30
78,1,2:25.0,,S. Johnson enters the game for K. Caldwell-Pope,25,30
79,1,2:09.0,,J. Leuer misses 2-pt jump shot from 19 ft,25,30
80,1,2:08.0,Defensive rebound by J. Holiday,,25,30
81,1,1:55.0,Shooting foul by A. Baynes (drawn by C. Anthony),,25,30
82,1,1:55.0,C. Anthony makes free throw 1 of 2,,26,30
83,1,1:55.0,B. Jennings enters the game for D. Rose,,26,30
84,1,1:55.0,C. Anthony makes free throw 2 of 2,,27,30
85,1,1:33.0,,M. Morris misses 2-pt jump shot from 6 ft,27,30
86,1,1:33.0,Defensive rebound by K. O'Quinn,,27,30
87,1,1:31.0,M. Ndour enters the game for C. Anthony,,27,30
88,1,1:20.0,M. Ndour makes 2-pt layup from 1 ft (assist by B. Jennings),,29,30
89,1,1:08.0,,B. Udrih misses 2-pt jump shot from 14 ft,29,30
90,1,1:08.0,Defensive rebound by M. Ndour,,29,30
91,1,1:00.0,M. Ndour misses 2-pt jump shot from 3 ft (block by S. Johnson),,29,30
92,1,1:00.0,,Defensive rebound by M. Morris,29,30
93,1,0:50.0,,J. Leuer misses 2-pt jump shot from 5 ft (block by K. O'Quinn),29,30
94,1,0:49.0,,Offensive rebound by Team,29,30
95,1,0:37.0,,S. Johnson misses 2-pt jump shot from 14 ft,29,30
96,1,0:37.0,Defensive rebound by L. Thomas,,29,30
97,1,0:30.0,J. Holiday misses 3-pt jump shot from 27 ft,,29,30
98,1,0:29.0,,Defensive rebound by B. Udrih,29,30
99,1,0:19.0,,M. Morris misses 2-pt jump shot from 15 ft,29,30
100,1,0:18.0,,Offensive rebound by J. Leuer,29,30
101,1,0:00.0,,A. Baynes makes 2-pt layup at rim (assist by S. Johnson),29,32
102,2,11:46.0,L. Thomas misses 2-pt jump shot from 8 ft,,29,32
103,2,11:44.0,,Defensive rebound by J. Leuer,29,32
104,2,11:37.0,,B. Udrih misses 2-pt jump shot from 9 ft,29,32
105,2,11:37.0,Defensive rebound by K. O'Quinn,,29,32
106,2,11:24.0,Turnover by K. O'Quinn (lost ball; steal by J. Leuer),,29,32
107,2,11:17.0,,B. Udrih misses 2-pt layup from 1 ft (block by J. Holiday),29,32
108,2,11:16.0,Defensive rebound by J. Holiday,,29,32
109,2,11:10.0,B. Jennings makes 3-pt jump shot from 26 ft,,32,32
110,2,11:00.0,,Personal foul by M. Ndour (drawn by T. Harris),32,32
111,2,10:47.0,,Shooting foul by K. O'Quinn (drawn by T. Harris),32,32
112,2,10:47.0,,T. Harris makes free throw 1 of 2,32,33
