,QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
0,1,11:34.0,T. Hardaway misses 2-pt jump shot from 3 ft,,0,0
1,1,11:33.0,,Defensive rebound by J. Wall,0,0
2,1,11:09.0,,M. Morris makes 2-pt jump shot from 19 ft (assist by O. Porter),0,2
3,1,10:51.0,P. Millsap makes 2-pt layup from 1 ft (assist by D. Schröder),,2,2
4,1,10:51.0,Shooting foul by M. Morris (drawn by P. Millsap),,2,2
5,1,10:51.0,P. Millsap misses free throw 1 of 1,,2,2
6,1,10:50.0,,Defensive rebound by M. Morris,2,2
7,1,10:37.0,,B. Beal misses 2-pt jump shot from 20 ft,2,2
8,1,10:36.0,Defensive rebound by P. Millsap,,2,2
9,1,10:21.0,Turnover by P. Millsap (bad pass),,2,2
10,1,10:11.0,,Washington full timeout,2,2
11,1,10:11.0,,J. Smith enters the game for M. Morris,2,2
12,1,9:58.0,,M. Gortat misses 2-pt layup from 1 ft,2,2
13,1,9:57.0,Defensive rebound by D. Howard,,2,2
14,1,9:50.0,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),,4,2
15,1,9:36.0,,Turnover by J. Wall (back court),4,2
16,1,9:36.0,,M. Morris enters the game for J. Smith,4,2
17,1,9:22.0,P. Millsap misses 2-pt jump shot from 12 ft,,4,2
18,1,9:21.0,,Defensive rebound by O. Porter,4,2
19,1,9:14.0,,M. Morris misses 3-pt jump shot from 27 ft,4,2
20,1,9:13.0,Defensive rebound by D. Schröder,,4,2
21,1,8:49.0,D. Schröder misses 3-pt jump shot from 27 ft,,4,2
22,1,8:48.0,,Defensive rebound by B. Beal,4,2
23,1,8:40.0,,B. Beal misses 3-pt jump shot from 26 ft,4,2
24,1,8:38.0,Defensive rebound by T. Prince,,4,2
25,1,8:30.0,D. Howard makes 2-pt layup from 2 ft (assist by D. Schröder),,6,2
26,1,8:21.0,,Personal foul by D. Schröder (drawn by J. Wall),6,2
27,1,8:13.0,,B. Beal makes 2-pt jump shot from 5 ft,6,4
28,1,8:04.0,T. Prince misses 2-pt layup from 1 ft,,6,4
29,1,8:03.0,,Defensive rebound by M. Morris,6,4
30,1,7:57.0,,J. Wall makes 2-pt jump shot from 21 ft,6,6
31,1,7:42.0,D. Schröder misses 2-pt jump shot from 17 ft,,6,6
32,1,7:42.0,,Defensive rebound by Team,6,6
33,1,7:42.0,Loose ball foul by D. Howard (drawn by M. Gortat),,6,6
34,1,7:25.0,,J. Wall makes 3-pt jump shot from 29 ft (assist by M. Morris),6,9
35,1,7:06.0,T. Prince misses 2-pt layup from 1 ft (block by M. Gortat),,6,9
36,1,7:06.0,Offensive rebound by Team,,6,9
37,1,7:06.0,Inbound foul by M. Morris,,6,9
38,1,7:06.0,D. Schröder misses free throw 1 of 1,,6,9
39,1,7:06.0,Offensive rebound by Team,,6,9
40,1,7:06.0,,J. Smith enters the game for M. Morris,6,9
41,1,7:05.0,Turnover by T. Hardaway (bad pass; steal by B. Beal),,6,9
42,1,7:05.0,,Turnover by B. Beal (bad pass),6,9
43,1,7:02.0,Personal foul by O. Porter (drawn by T. Prince),,6,9
44,1,6:52.0,D. Howard misses 2-pt layup from 1 ft (block by M. Gortat),,6,9
45,1,6:50.0,,Defensive rebound by J. Wall,6,9
46,1,6:44.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),6,12
47,1,6:23.0,D. Howard misses 2-pt layup from 2 ft (block by M. Gortat),,6,12
48,1,6:21.0,,Defensive rebound by J. Smith,6,12
49,1,6:12.0,,J. Smith misses 2-pt jump shot from 19 ft (block by P. Millsap),6,12
50,1,6:10.0,,Offensive rebound by M. Gortat,6,12
51,1,6:03.0,,J. Wall makes 2-pt jump shot from 11 ft (assist by M. Gortat),6,14
52,1,6:03.0,Atlanta full timeout,,6,14
53,1,5:56.0,T. Hardaway misses 3-pt jump shot from 24 ft,,6,14
54,1,5:55.0,Offensive rebound by D. Howard,,6,14
55,1,5:43.0,T. Hardaway misses 2-pt jump shot from 20 ft,,6,14
56,1,5:42.0,,Defensive rebound by O. Porter,6,14
57,1,5:24.0,,B. Beal makes 2-pt jump shot from 16 ft (assist by M. Gortat),6,16
58,1,5:00.0,D. Schröder makes 2-pt jump shot from 13 ft (assist by T. Prince),,8,16
59,1,4:51.0,,Offensive foul by O. Porter (drawn by D. Schröder),8,16
60,1,4:51.0,,Turnover by O. Porter (offensive foul),8,16
61,1,4:51.0,M. Dunleavy enters the game for T. Prince,,8,16
62,1,4:51.0,E. İlyasova enters the game for D. Howard,,8,16
63,1,4:51.0,K. Bazemore enters the game for T. Hardaway,,8,16
64,1,4:51.0,,K. Oubre enters the game for O. Porter,8,16
65,1,4:36.0,P. Millsap makes 2-pt jump shot from 8 ft,,10,16
66,1,4:25.0,,Shooting block foul by E. İlyasova (drawn by J. Wall),10,16
67,1,4:25.0,,J. Wall misses free throw 1 of 2,10,16
68,1,4:25.0,,Offensive rebound by Team,10,16
69,1,4:25.0,,J. Wall makes free throw 2 of 2,10,17
70,1,4:14.0,K. Bazemore makes 2-pt layup from 2 ft (assist by P. Millsap),,12,17
71,1,3:55.0,,Turnover by M. Gortat (lost ball; steal by P. Millsap),12,17
72,1,3:47.0,P. Millsap misses 2-pt layup at rim,,12,17
73,1,3:46.0,,Defensive rebound by J. Smith,12,17
74,1,3:40.0,,Turnover by J. Wall (bad pass; steal by E. İlyasova),12,17
