,QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
0,1,11:42.0,,S. Ibaka misses 2-pt jump shot from 20 ft,0,0
1,1,11:41.0,,Offensive rebound by B. Biyombo,0,0
2,1,11:32.0,,D. Augustin misses 3-pt jump shot from 26 ft,0,0
3,1,11:31.0,Defensive rebound by W. Barton,,0,0
4,1,11:13.0,W. Barton misses 2-pt layup from 1 ft,,0,0
5,1,11:09.0,Offensive rebound by J. Nurkić,,0,0
6,1,11:09.0,J. Nurkić makes 2-pt layup from 2 ft,,2,0
7,1,10:45.0,,A. Gordon misses 3-pt jump shot from 25 ft,2,0
8,1,10:44.0,Defensive rebound by W. Barton,,2,0
9,1,10:37.0,Turnover by J. Nurkić (bad pass),,2,0
10,1,10:29.0,,Personal foul by W. Barton (drawn by E. Fournier),2,0
11,1,10:22.0,,E. Fournier makes 2-pt jump shot from 10 ft,2,2
12,1,9:59.0,E. Mudiay misses 2-pt jump shot from 17 ft,,2,2
13,1,9:57.0,,Defensive rebound by A. Gordon,2,2
14,1,9:43.0,,B. Biyombo misses 2-pt layup from 3 ft,2,2
15,1,9:41.0,Defensive rebound by J. Nurkić,,2,2
16,1,9:36.0,Shooting foul by B. Biyombo (drawn by J. Nurkić),,2,2
17,1,9:36.0,J. Nurkić misses free throw 1 of 2,,2,2
18,1,9:36.0,Offensive rebound by Team,,2,2
19,1,9:36.0,J. Nurkić makes free throw 2 of 2,,3,2
20,1,9:21.0,,S. Ibaka misses 3-pt jump shot from 25 ft,3,2
21,1,9:19.0,Defensive rebound by Team,,3,2
22,1,9:10.0,Shooting foul by A. Gordon (drawn by D. Gallinari),,3,2
23,1,9:10.0,D. Gallinari makes free throw 1 of 2,,4,2
24,1,9:10.0,D. Gallinari makes free throw 2 of 2,,5,2
25,1,9:01.0,,E. Fournier misses 2-pt jump shot from 11 ft,5,2
26,1,9:00.0,Defensive rebound by J. Nurkić,,5,2
27,1,8:53.0,W. Barton makes 2-pt layup from 2 ft,,7,2
28,1,8:37.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by B. Biyombo),7,5
29,1,8:22.0,Turnover by J. Nurkić (lost ball; steal by B. Biyombo),,7,5
30,1,8:16.0,,E. Fournier misses 2-pt layup from 1 ft,7,5
31,1,8:14.0,,Offensive rebound by A. Gordon,7,5
32,1,8:14.0,,A. Gordon makes 2-pt layup from 2 ft,7,7
33,1,7:58.0,D. Arthur makes 2-pt jump shot from 17 ft,,9,7
34,1,7:43.0,,B. Biyombo misses 2-pt hook shot from 11 ft,9,7
35,1,7:40.0,Defensive rebound by E. Mudiay,,9,7
36,1,7:36.0,E. Mudiay misses 2-pt layup from 2 ft,,9,7
37,1,7:36.0,Offensive rebound by Team,,9,7
38,1,7:23.0,J. Nurkić makes 2-pt hook shot from 8 ft (assist by D. Gallinari),,11,7
39,1,7:04.0,,S. Ibaka misses 2-pt hook shot from 11 ft,11,7
40,1,7:02.0,Defensive rebound by D. Gallinari,,11,7
41,1,6:55.0,J. Nurkić misses 2-pt hook shot from 6 ft,,11,7
42,1,6:54.0,,Defensive rebound by B. Biyombo,11,7
43,1,6:47.0,,Shooting foul by J. Nurkić (drawn by B. Biyombo),11,7
44,1,6:47.0,,B. Biyombo misses free throw 1 of 2,11,7
45,1,6:47.0,,Offensive rebound by Team,11,7
46,1,6:47.0,K. Faried enters the game for D. Arthur,,11,7
47,1,6:47.0,,B. Biyombo makes free throw 2 of 2,11,8
48,1,6:37.0,K. Faried makes 2-pt hook shot from 8 ft (assist by E. Mudiay),,13,8
49,1,6:21.0,,S. Ibaka makes 2-pt jump shot from 11 ft,13,10
50,1,6:01.0,Turnover by W. Barton (bad pass; steal by S. Ibaka),,13,10
51,1,5:44.0,,A. Gordon makes 2-pt jump shot from 15 ft,13,12
52,1,5:34.0,W. Barton misses 2-pt jump shot from 7 ft,,13,12
53,1,5:32.0,Offensive rebound by W. Barton,,13,12
54,1,5:31.0,W. Barton misses 2-pt jump shot from 6 ft,,13,12
55,1,5:29.0,,Defensive rebound by A. Gordon,13,12
56,1,5:18.0,,B. Biyombo makes 2-pt layup from 3 ft (assist by A. Gordon),13,14
57,1,5:06.0,W. Barton makes 2-pt jump shot from 17 ft,,15,14
