,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ATLANTA_ACTION,WASHINGTON_SCORE,ATLANTA_SCORE
0,1,11:42.0,Violation by M. Morris (def goaltending),,0,0
1,1,11:42.0,,D. Schröder makes 2-pt layup from 2 ft,0,2
2,1,11:23.0,J. Wall misses 2-pt jump shot from 13 ft,,0,2
3,1,11:21.0,Offensive rebound by M. Gortat,,0,2
4,1,11:16.0,B. Beal misses 3-pt jump shot from 26 ft,,0,2
5,1,11:14.0,Offensive rebound by O. Porter,,0,2
6,1,11:09.0,O. Porter misses 2-pt jump shot from 18 ft,,0,2
7,1,11:08.0,,Defensive rebound by P. Millsap,0,2
8,1,10:53.0,,T. Prince misses 2-pt jump shot from 5 ft,0,2
9,1,10:53.0,,Offensive rebound by P. Millsap,0,2
10,1,10:53.0,,P. Millsap makes 2-pt layup from 1 ft,0,4
11,1,10:53.0,,Shooting foul by O. Porter (drawn by P. Millsap),0,4
12,1,10:53.0,,P. Millsap misses free throw 1 of 1,0,4
13,1,10:52.0,Defensive rebound by M. Gortat,,0,4
14,1,10:38.0,B. Beal makes 2-pt jump shot from 21 ft (assist by J. Wall),,2,4
15,1,10:18.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by P. Millsap),2,7
16,1,9:52.0,M. Morris misses 3-pt jump shot from 23 ft,,2,7
17,1,9:50.0,,Defensive rebound by T. Prince,2,7
18,1,9:48.0,,Personal foul by J. Wall (drawn by T. Prince),2,7
19,1,9:42.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. Millsap),2,10
20,1,9:27.0,O. Porter misses 2-pt jump shot from 12 ft,,2,10
21,1,9:26.0,,Defensive rebound by P. Millsap,2,10
22,1,9:21.0,,P. Millsap misses 2-pt jump shot from 10 ft,2,10
23,1,9:21.0,Defensive rebound by Team,,2,10
24,1,9:21.0,,Loose ball foul by D. Howard (drawn by M. Gortat),2,10
25,1,9:12.0,Turnover by J. Wall (bad pass; steal by D. Howard),,2,10
26,1,9:01.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by D. Howard),2,13
27,1,9:00.0,Washington full timeout,,2,13
28,1,8:43.0,O. Porter makes 2-pt jump shot from 17 ft (assist by J. Wall),,4,13
29,1,8:24.0,,D. Schröder makes 2-pt jump shot from 12 ft (assist by T. Hardaway),4,15
30,1,8:12.0,B. Beal misses 2-pt jump shot from 14 ft,,4,15
31,1,8:11.0,,Defensive rebound by P. Millsap,4,15
32,1,8:11.0,,Turnover by P. Millsap (bad pass),4,15
33,1,8:07.0,M. Morris misses 2-pt jump shot from 18 ft,,4,15
34,1,8:06.0,,Defensive rebound by T. Prince,4,15
35,1,7:54.0,,Turnover by T. Hardaway (bad pass; steal by O. Porter),4,15
36,1,7:49.0,Turnover by O. Porter (lost ball; steal by T. Prince),,4,15
37,1,7:44.0,,T. Prince makes 2-pt jump shot from 6 ft,4,17
38,1,7:26.0,M. Morris misses 2-pt layup from 2 ft,,4,17
39,1,7:25.0,,Defensive rebound by D. Howard,4,17
40,1,7:19.0,,P. Millsap makes 2-pt layup from 3 ft (assist by D. Schröder),4,19
41,1,7:00.0,B. Beal misses 3-pt jump shot from 26 ft,,4,19
42,1,6:58.0,,Defensive rebound by P. Millsap,4,19
43,1,6:50.0,,D. Schröder misses 2-pt jump shot from 16 ft,4,19
44,1,6:48.0,Defensive rebound by B. Beal,,4,19
45,1,6:39.0,M. Morris misses 2-pt jump shot from 18 ft,,4,19
46,1,6:37.0,,Defensive rebound by P. Millsap,4,19
47,1,6:30.0,,Atlanta full timeout,4,19
48,1,6:27.0,,P. Millsap misses 3-pt jump shot from 25 ft,4,19
49,1,6:26.0,Defensive rebound by B. Beal,,4,19
50,1,6:02.0,J. Wall makes 2-pt jump shot from 19 ft,,6,19
51,1,5:42.0,,D. Howard makes 2-pt layup from 2 ft (assist by D. Schröder),6,21
52,1,5:42.0,,Shooting foul by M. Morris (drawn by D. Howard),6,21
53,1,5:42.0,,D. Howard makes free throw 1 of 1,6,22
54,1,5:31.0,Shooting foul by P. Millsap (drawn by J. Wall),,6,22
55,1,5:31.0,J. Wall makes free throw 1 of 2,,7,22
56,1,5:31.0,K. Oubre enters the game for M. Morris,,7,22
57,1,5:31.0,J. Smith enters the game for O. Porter,,7,22
58,1,5:31.0,J. Wall makes free throw 2 of 2,,8,22
59,1,5:21.0,,Shooting foul by J. Smith (drawn by P. Millsap),8,22
60,1,5:21.0,,P. Millsap misses free throw 1 of 2,8,22
61,1,5:21.0,,Offensive rebound by Team,8,22
62,1,5:21.0,,K. Bazemore enters the game for T. Prince,8,22
63,1,5:21.0,,P. Millsap makes free throw 2 of 2,8,23
64,1,5:05.0,,Offensive charge foul by J. Smith (drawn by D. Schröder),8,23
65,1,5:05.0,Turnover by J. Smith (offensive foul),,8,23
66,1,4:52.0,,T. Hardaway misses 3-pt jump shot from 25 ft,8,23
67,1,4:51.0,Defensive rebound by K. Oubre,,8,23
68,1,4:38.0,Def 3 sec tech foul by D. Howard,,8,23
69,1,4:38.0,J. Wall misses technical free throw,,8,23
70,1,4:38.0,Offensive rebound by Team,,8,23
71,1,4:38.0,,E. İlyasova enters the game for P. Millsap,8,23
72,1,4:38.0,,M. Dunleavy enters the game for T. Hardaway,8,23
73,1,4:38.0,B. Bogdanović enters the game for J. Smith,,8,23
74,1,4:34.0,B. Beal misses 2-pt jump shot from 20 ft,,8,23
75,1,4:33.0,,Defensive rebound by D. Howard,8,23
76,1,4:28.0,,Personal foul by K. Oubre (drawn by D. Schröder),8,23
77,1,4:28.0,,D. Schröder misses free throw 1 of 2,8,23
78,1,4:28.0,,Offensive rebound by Team,8,23
79,1,4:28.0,,D. Schröder makes free throw 2 of 2,8,24
80,1,4:16.0,K. Oubre misses 3-pt jump shot from 25 ft,,8,24
81,1,4:14.0,Offensive rebound by K. Oubre,,8,24
82,1,4:12.0,K. Oubre misses 2-pt layup from 1 ft,,8,24
83,1,4:11.0,,Defensive rebound by D. Howard,8,24
84,1,4:02.0,,D. Howard makes 2-pt dunk at rim (assist by K. Bazemore),8,26
85,1,3:42.0,J. Wall makes 2-pt jump shot from 15 ft,,10,26
86,1,3:31.0,,D. Schröder makes 2-pt jump shot from 17 ft,10,28
87,1,3:10.0,B. Beal misses 2-pt jump shot from 20 ft,,10,28
88,1,3:09.0,,Defensive rebound by D. Howard,10,28
89,1,2:56.0,,D. Howard misses 2-pt dunk at rim,10,28
90,1,2:54.0,,Offensive rebound by E. İlyasova,10,28
91,1,2:41.0,,D. Schröder makes 2-pt layup from 2 ft,10,30
92,1,2:27.0,Shooting foul by D. Schröder (drawn by J. Wall),,10,30
93,1,2:27.0,J. Wall makes free throw 1 of 2,,11,30
94,1,2:27.0,J. Wall misses free throw 2 of 2,,11,30
95,1,2:27.0,B. Jennings enters the game for B. Beal,,11,30
96,1,2:26.0,,Defensive rebound by K. Bazemore,11,30
97,1,2:17.0,,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by K. Bazemore),11,33
98,1,1:59.0,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by B. Jennings),,13,33
99,1,1:43.0,,Turnover by K. Bazemore (bad pass; steal by K. Oubre),13,33
100,1,1:43.0,Turnover by K. Oubre (bad pass),,13,33
101,1,1:38.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by D. Schröder),13,35
102,1,1:23.0,M. Gortat misses 2-pt hook shot from 9 ft,,13,35
103,1,1:20.0,,Defensive rebound by E. İlyasova,13,35
104,1,1:09.0,,D. Schröder makes 3-pt jump shot from 25 ft,13,38
105,1,0:59.0,J. Wall makes 2-pt dunk at rim,,15,38
106,1,0:48.0,,D. Schröder misses 3-pt jump shot from 25 ft,15,38
107,1,0:47.0,Defensive rebound by M. Gortat,,15,38
108,1,0:38.0,Shooting foul by D. Howard (drawn by J. Wall),,15,38
109,1,0:38.0,J. Wall makes free throw 1 of 2,,16,38
110,1,0:38.0,,M. Muscala enters the game for D. Howard,16,38
111,1,0:38.0,,J. Calderón enters the game for D. Schröder,16,38
112,1,0:38.0,J. Wall makes free throw 2 of 2,,17,38
113,1,0:29.0,,M. Muscala misses 3-pt jump shot from 25 ft,17,38
114,1,0:28.0,Defensive rebound by B. Bogdanović,,17,38
115,1,0:05.0,K. Oubre misses 3-pt jump shot from 23 ft,,17,38
116,1,0:03.0,Offensive rebound by M. Gortat,,17,38
117,1,0:00.0,J. Wall makes 3-pt jump shot from 24 ft,,20,38
118,2,11:47.0,B. Beal makes 2-pt jump shot from 18 ft,,22,38
119,2,11:31.0,,P. Millsap makes 2-pt layup from 2 ft (assist by J. Calderón),22,40
120,2,11:22.0,,Offensive charge foul by K. Oubre (drawn by P. Millsap),22,40
121,2,11:22.0,Turnover by K. Oubre (offensive foul),,22,40
122,2,11:22.0,O. Porter enters the game for K. Oubre,,22,40
123,2,11:10.0,,P. Millsap misses 2-pt jump shot from 12 ft (block by M. Morris),22,40
124,2,11:06.0,,Offensive rebound by P. Millsap,22,40
125,2,11:01.0,,K. Bazemore misses 3-pt jump shot from 25 ft,22,40
126,2,11:00.0,Defensive rebound by M. Morris,,22,40
127,2,10:51.0,M. Morris misses 2-pt jump shot from 4 ft (block by P. Millsap),,22,40
128,2,10:50.0,,Defensive rebound by J. Calderón,22,40
129,2,10:40.0,,K. Bazemore misses 2-pt jump shot from 19 ft,22,40
130,2,10:38.0,Defensive rebound by B. Bogdanović,,22,40
131,2,10:29.0,B. Beal makes 2-pt jump shot from 15 ft,,24,40
132,2,10:09.0,,J. Calderón makes 2-pt jump shot from 17 ft,24,42
133,2,9:55.0,Turnover by M. Morris (lost ball; steal by M. Muscala),,24,42
134,2,9:37.0,,K. Bazemore makes 2-pt layup from 2 ft,24,44
135,2,9:24.0,B. Beal misses 2-pt jump shot from 19 ft,,24,44
136,2,9:23.0,,Defensive rebound by Team,24,44
137,2,9:23.0,,T. Hardaway enters the game for M. Dunleavy,24,44
138,2,9:12.0,,P. Millsap misses 2-pt dunk at rim,24,44
139,2,9:11.0,Defensive rebound by B. Bogdanović,,24,44
140,2,9:09.0,B. Bogdanović makes 2-pt layup from 2 ft,,26,44
141,2,9:09.0,Shooting block foul by T. Hardaway (drawn by B. Bogdanović),,26,44
142,2,9:09.0,,T. Prince enters the game for K. Bazemore,26,44
143,2,9:09.0,B. Bogdanović makes free throw 1 of 1,,27,44
144,2,9:00.0,,P. Millsap makes 2-pt layup from 2 ft (assist by J. Calderón),27,46
145,2,8:51.0,Turnover by B. Jennings (bad pass),,27,46
146,2,8:51.0,Official timeout,,27,46
147,2,8:40.0,,Turnover by J. Calderón (bad pass),27,46
148,2,8:22.0,Turnover by B. Jennings (lost ball; steal by P. Millsap),,27,46
149,2,8:06.0,,P. Millsap makes 2-pt jump shot from 13 ft,27,48
150,2,7:50.0,M. Morris makes 2-pt layup at rim,,29,48
151,2,7:38.0,,P. Millsap misses 2-pt jump shot from 7 ft,29,48
152,2,7:37.0,,Offensive rebound by M. Muscala,29,48
153,2,7:37.0,,M. Muscala misses 2-pt layup from 1 ft,29,48
154,2,7:35.0,Defensive rebound by M. Morris,,29,48
155,2,7:31.0,B. Jennings makes 2-pt jump shot from 17 ft,,31,48
156,2,7:18.0,,T. Hardaway makes 2-pt layup at rim,31,50
157,2,7:05.0,B. Bogdanović misses 2-pt jump shot from 19 ft,,31,50
158,2,7:03.0,,Defensive rebound by P. Millsap,31,50
159,2,6:42.0,,P. Millsap misses 2-pt jump shot from 17 ft (block by B. Beal),31,50
160,2,6:42.0,Defensive rebound by B. Beal,,31,50
161,2,6:41.0,Personal take foul by J. Calderón (drawn by B. Beal),,31,50
162,2,6:41.0,J. Wall enters the game for B. Jennings,,31,50
163,2,6:41.0,M. Gortat enters the game for B. Bogdanović,,31,50
164,2,6:41.0,,D. Schröder enters the game for J. Calderón,31,50
165,2,6:29.0,M. Morris misses 3-pt jump shot from 23 ft,,31,50
166,2,6:26.0,,Defensive rebound by T. Hardaway,31,50
167,2,6:21.0,,T. Hardaway misses 3-pt jump shot from 25 ft,31,50
168,2,6:17.0,Defensive rebound by M. Gortat,,31,50
169,2,6:08.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),,34,50
170,2,5:58.0,,D. Schröder misses 2-pt jump shot from 6 ft (block by M. Gortat),34,50
171,2,5:55.0,Defensive rebound by M. Gortat,,34,50
172,2,5:51.0,B. Beal misses 3-pt jump shot from 24 ft,,34,50
173,2,5:50.0,,Defensive rebound by Team,34,50
174,2,5:50.0,,Atlanta full timeout,34,50
175,2,5:35.0,,D. Schröder misses 2-pt jump shot from 9 ft,34,50
176,2,5:33.0,Defensive rebound by Team,,34,50
177,2,5:19.0,Turnover by M. Morris (step out of bounds),,34,50
178,2,5:19.0,,E. İlyasova enters the game for P. Millsap,34,50
179,2,5:19.0,,D. Howard enters the game for M. Muscala,34,50
180,2,5:07.0,,D. Schröder makes 3-pt jump shot from 25 ft,34,53
181,2,4:49.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,37,53
182,2,4:41.0,,Personal foul by J. Wall (drawn by D. Schröder),37,53
183,2,4:41.0,,K. Bazemore enters the game for T. Hardaway,37,53
184,2,4:34.0,,D. Schröder makes 2-pt layup from 1 ft,37,55
185,2,4:12.0,B. Beal misses 3-pt jump shot from 25 ft,,37,55
186,2,4:10.0,,Defensive rebound by D. Schröder,37,55
187,2,4:00.0,,T. Prince makes 2-pt layup from 1 ft (assist by D. Schröder),37,57
188,2,3:53.0,J. Wall makes 2-pt layup from 1 ft,,39,57
189,2,3:32.0,,D. Schröder misses 2-pt jump shot from 16 ft,39,57
190,2,3:31.0,Defensive rebound by M. Morris,,39,57
191,2,3:31.0,Personal foul by D. Howard (drawn by M. Morris),,39,57
192,2,3:16.0,M. Morris misses 2-pt layup from 2 ft,,39,57
193,2,3:13.0,,Defensive rebound by D. Howard,39,57
194,2,3:06.0,,Turnover by D. Schröder (bad pass; steal by M. Morris),39,57
195,2,3:02.0,M. Morris makes 2-pt layup from 1 ft,,41,57
196,2,2:58.0,,Atlanta full timeout,41,57
197,2,2:58.0,Washington full timeout,,41,57
198,2,2:58.0,,P. Millsap enters the game for D. Howard,41,57
199,2,2:46.0,,Shooting foul by O. Porter (drawn by E. İlyasova),41,57
200,2,2:46.0,,E. İlyasova makes free throw 1 of 2,41,58
201,2,2:46.0,,E. İlyasova makes free throw 2 of 2,41,59
202,2,2:32.0,O. Porter misses 3-pt jump shot from 24 ft,,41,59
203,2,2:29.0,,Defensive rebound by P. Millsap,41,59
204,2,2:15.0,Offensive charge foul by D. Schröder (drawn by B. Beal),,41,59
205,2,2:15.0,,Turnover by D. Schröder (offensive foul),41,59
206,2,2:03.0,Turnover by J. Wall (lost ball; steal by D. Schröder),,41,59
207,2,1:52.0,,P. Millsap makes 2-pt layup from 1 ft (assist by K. Bazemore),41,61
208,2,1:36.0,M. Morris misses 2-pt jump shot from 13 ft,,41,61
209,2,1:34.0,,Defensive rebound by E. İlyasova,41,61
210,2,1:23.0,,P. Millsap makes 2-pt layup from 1 ft (assist by D. Schröder),41,63
211,2,1:12.0,J. Wall makes 2-pt layup from 3 ft,,43,63
212,2,1:12.0,Shooting foul by P. Millsap (drawn by J. Wall),,43,63
213,2,1:12.0,,T. Hardaway enters the game for T. Prince,43,63
214,2,1:12.0,J. Wall makes free throw 1 of 1,,44,63
215,2,0:51.0,,E. İlyasova misses 2-pt jump shot from 15 ft,44,63
216,2,0:49.0,Defensive rebound by M. Gortat,,44,63
217,2,0:44.0,J. Wall makes 2-pt layup from 1 ft,,46,63
218,2,0:34.0,,Personal foul by M. Gortat (drawn by P. Millsap),46,63
219,2,0:30.0,,D. Schröder misses 3-pt jump shot from 24 ft,46,63
220,2,0:28.0,Defensive rebound by J. Wall,,46,63
