,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,TORONTO_ACTION,MINNESOTA_SCORE,TORONTO_SCORE
0,1,11:43.0,,D. DeRozan misses 2-pt jump shot from 8 ft,0,0
1,1,11:43.0,Defensive rebound by R. Rubio,,0,0
2,1,11:25.0,A. Wiggins makes 2-pt jump shot from 18 ft,,2,0
3,1,11:11.0,,J. Valančiūnas misses 2-pt layup from 4 ft,2,0
4,1,11:11.0,Defensive rebound by K. Towns,,2,0
5,1,10:53.0,G. Dieng misses 2-pt dunk from 1 ft (block by J. Valančiūnas),,2,0
6,1,10:52.0,Offensive rebound by Z. LaVine,,2,0
7,1,10:48.0,G. Dieng makes 2-pt dunk at rim (assist by Z. LaVine),,4,0
8,1,10:37.0,,D. DeRozan misses 2-pt jump shot from 11 ft,4,0
9,1,10:36.0,,Offensive rebound by J. Valančiūnas,4,0
10,1,10:33.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft,4,2
11,1,10:18.0,Z. LaVine makes 3-pt jump shot from 23 ft (assist by G. Dieng),,7,2
12,1,9:54.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,7,2
13,1,9:54.0,Defensive rebound by G. Dieng,,7,2
14,1,9:38.0,G. Dieng misses 2-pt jump shot from 11 ft,,7,2
15,1,9:37.0,Offensive rebound by K. Towns,,7,2
16,1,9:35.0,K. Towns makes 2-pt layup from 4 ft,,9,2
17,1,9:27.0,,Toronto full timeout,9,2
18,1,9:15.0,,Turnover by K. Lowry (bad pass; steal by G. Dieng),9,2
19,1,9:06.0,A. Wiggins makes 2-pt jump shot from 20 ft,,11,2
20,1,8:49.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by D. DeRozan),11,4
21,1,8:33.0,Z. LaVine makes 2-pt jump shot from 22 ft (assist by K. Towns),,13,4
22,1,8:13.0,,Shooting foul by A. Wiggins (drawn by D. DeRozan),13,4
23,1,8:13.0,,D. DeRozan makes free throw 1 of 2,13,5
24,1,8:13.0,,P. Patterson enters the game for P. Siakam,13,5
25,1,8:13.0,,D. DeRozan makes free throw 2 of 2,13,6
26,1,8:02.0,Personal foul by D. Carroll (drawn by G. Dieng),,13,6
27,1,7:47.0,R. Rubio misses 3-pt jump shot from 28 ft,,13,6
28,1,7:47.0,,Defensive rebound by J. Valančiūnas,13,6
29,1,7:31.0,,P. Patterson misses 3-pt jump shot from 25 ft,13,6
30,1,7:30.0,,Offensive rebound by J. Valančiūnas,13,6
31,1,7:29.0,,J. Valančiūnas misses 2-pt layup at rim,13,6
32,1,7:29.0,Defensive rebound by G. Dieng,,13,6
33,1,7:13.0,Shooting foul by J. Valančiūnas (drawn by A. Wiggins),,13,6
34,1,7:13.0,A. Wiggins makes free throw 1 of 2,,14,6
35,1,7:13.0,A. Wiggins misses free throw 2 of 2,,14,6
36,1,7:12.0,,Defensive rebound by D. Carroll,14,6
37,1,6:57.0,,K. Lowry makes 2-pt jump shot from 4 ft,14,8
38,1,6:45.0,Personal block foul by J. Valančiūnas (drawn by R. Rubio),,14,8
39,1,6:45.0,,L. Nogueira enters the game for J. Valančiūnas,14,8
40,1,6:34.0,Personal foul by D. Carroll (drawn by G. Dieng),,14,8
