,QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
0,1,11:46.0,Turnover by H. Whiteside (lost ball; steal by D. Liggins),,0,0
1,1,11:38.0,,K. Love misses 3-pt jump shot from 26 ft,0,0
2,1,11:37.0,Defensive rebound by G. Dragić,,0,0
3,1,11:28.0,H. Whiteside makes 2-pt jump shot from 5 ft (assist by G. Dragić),,2,0
4,1,11:12.0,,K. Love makes 2-pt layup from 1 ft (assist by L. James),2,2
5,1,10:53.0,J. McRoberts misses 2-pt jump shot from 14 ft,,2,2
6,1,10:53.0,,Defensive rebound by K. Irving,2,2
7,1,10:45.0,,D. Liggins makes 2-pt layup from 1 ft (assist by K. Irving),2,4
8,1,10:27.0,J. McRoberts makes 2-pt dunk at rim (assist by G. Dragić),,4,4
9,1,10:12.0,,K. Irving makes 2-pt jump shot from 16 ft,4,6
10,1,9:52.0,H. Whiteside misses 2-pt hook shot from 7 ft,,4,6
11,1,9:50.0,Offensive rebound by J. McRoberts,,4,6
12,1,9:49.0,J. McRoberts makes 2-pt layup from 1 ft,,6,6
13,1,9:37.0,,L. James misses 2-pt layup at rim,6,6
14,1,9:36.0,,Offensive rebound by T. Thompson,6,6
15,1,9:33.0,,Shooting foul by G. Dragić (drawn by K. Love),6,6
16,1,9:33.0,,K. Love misses free throw 1 of 2,6,6
17,1,9:33.0,,Offensive rebound by Team,6,6
18,1,9:33.0,,K. Love makes free throw 2 of 2,6,7
19,1,9:26.0,W. Ellington misses 3-pt jump shot from 25 ft,,6,7
20,1,9:24.0,,Defensive rebound by K. Love,6,7
21,1,9:18.0,,D. Liggins makes 2-pt layup from 1 ft (assist by K. Love),6,9
22,1,9:00.0,J. McRoberts misses 2-pt jump shot from 17 ft,,6,9
23,1,9:00.0,,Defensive rebound by T. Thompson,6,9
24,1,8:54.0,,L. James makes 2-pt dunk at rim,6,11
25,1,8:41.0,J. McRoberts misses 2-pt jump shot from 9 ft,,6,11
26,1,8:41.0,,Defensive rebound by T. Thompson,6,11
27,1,8:28.0,,T. Thompson misses 2-pt jump shot from 9 ft,6,11
28,1,8:25.0,,Offensive rebound by K. Love,6,11
29,1,8:21.0,,K. Love misses 3-pt jump shot from 23 ft,6,11
30,1,8:20.0,,Offensive rebound by T. Thompson,6,11
31,1,8:20.0,,Turnover by T. Thompson (step out of bounds),6,11
32,1,8:10.0,Shooting foul by D. Liggins (drawn by G. Dragić),,6,11
33,1,8:10.0,G. Dragić misses free throw 1 of 2,,6,11
34,1,8:10.0,Offensive rebound by Team,,6,11
35,1,8:10.0,G. Dragić makes free throw 2 of 2,,7,11
36,1,7:56.0,,L. James makes 2-pt jump shot from 14 ft,7,13
37,1,7:38.0,W. Ellington misses 3-pt jump shot from 25 ft,,7,13
38,1,7:37.0,Offensive rebound by J. McRoberts,,7,13
39,1,7:35.0,J. McRoberts makes 2-pt layup from 2 ft,,9,13
40,1,7:16.0,,K. Irving makes 2-pt jump shot from 15 ft,9,15
41,1,7:01.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. McRoberts),,12,15
42,1,6:50.0,,Shooting foul by W. Ellington (drawn by D. Liggins),12,15
43,1,6:50.0,,D. Liggins misses free throw 1 of 2,12,15
44,1,6:50.0,,Offensive rebound by Team,12,15
45,1,6:50.0,T. Johnson enters the game for W. Ellington,,12,15
46,1,6:50.0,,D. Liggins makes free throw 2 of 2,12,16
47,1,6:33.0,T. Johnson makes 2-pt jump shot from 13 ft (assist by J. McRoberts),,14,16
48,1,6:16.0,,K. Love makes 2-pt jump shot from 17 ft (assist by K. Irving),14,18
49,1,5:58.0,T. Johnson makes 2-pt layup at rim,,16,18
50,1,5:36.0,,K. Love misses 2-pt jump shot from 15 ft,16,18
51,1,5:35.0,Defensive rebound by T. Johnson,,16,18
52,1,5:22.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by G. Dragić),,19,18
53,1,5:21.0,,Cleveland full timeout,19,18
