,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PORTLAND_ACTION,GOLDEN STATE_SCORE,PORTLAND_SCORE
0,1,11:41.0,K. Durant misses 2-pt jump shot from 18 ft,,0,0
1,1,11:39.0,Offensive rebound by Z. Pachulia,,0,0
2,1,11:34.0,K. Durant misses 3-pt jump shot from 25 ft,,0,0
3,1,11:33.0,,Defensive rebound by M. Plumlee,0,0
4,1,11:22.0,,M. Plumlee misses 2-pt jump shot from 18 ft,0,0
5,1,11:22.0,Defensive rebound by D. Green,,0,0
6,1,11:15.0,Shooting block foul by D. Lillard (drawn by D. Green),,0,0
7,1,11:15.0,D. Green misses free throw 1 of 2,,0,0
8,1,11:15.0,Offensive rebound by Team,,0,0
9,1,11:15.0,D. Green makes free throw 2 of 2,,1,0
10,1,11:02.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by C. McCollum),1,2
11,1,10:48.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Green),,3,2
12,1,10:28.0,,D. Lillard misses 3-pt jump shot from 27 ft,3,2
13,1,10:28.0,Defensive rebound by D. Green,,3,2
14,1,10:22.0,Turnover by S. Curry (bad pass),,3,2
15,1,10:07.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by M. Plumlee),3,5
16,1,9:51.0,S. Curry misses 3-pt jump shot from 23 ft,,3,5
17,1,9:51.0,,Defensive rebound by A. Aminu,3,5
18,1,9:39.0,,D. Lillard makes 2-pt layup from 1 ft (assist by M. Plumlee),3,7
19,1,9:28.0,K. Thompson makes 2-pt layup from 3 ft (assist by S. Curry),,5,7
20,1,9:15.0,,C. McCollum makes 2-pt jump shot from 15 ft,5,9
21,1,9:03.0,K. Durant makes 2-pt layup from 2 ft (assist by D. Green),,7,9
22,1,8:45.0,,C. McCollum misses 3-pt jump shot from 25 ft,7,9
23,1,8:44.0,Defensive rebound by Z. Pachulia,,7,9
24,1,8:37.0,S. Curry misses 3-pt jump shot from 27 ft,,7,9
25,1,8:36.0,,Defensive rebound by C. McCollum,7,9
26,1,8:31.0,,D. Lillard misses 3-pt jump shot from 25 ft,7,9
27,1,8:30.0,Defensive rebound by D. Green,,7,9
28,1,8:18.0,K. Durant misses 2-pt jump shot from 16 ft,,7,9
29,1,8:17.0,,Defensive rebound by A. Aminu,7,9
30,1,8:07.0,,C. McCollum makes 2-pt jump shot from 19 ft,7,11
31,1,7:46.0,K. Thompson misses 2-pt jump shot from 12 ft,,7,11
32,1,7:45.0,,Defensive rebound by A. Aminu,7,11
33,1,7:37.0,,M. Harkless misses 3-pt jump shot from 22 ft,7,11
34,1,7:36.0,,Offensive rebound by M. Plumlee,7,11
35,1,7:32.0,,D. Lillard makes 3-pt jump shot from 29 ft (assist by M. Plumlee),7,14
36,1,7:31.0,Golden State full timeout,,7,14
37,1,7:19.0,D. Green makes 2-pt layup from 2 ft (assist by Z. Pachulia),,9,14
