,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,M. Gortat makes 2-pt jump shot from 16 ft,0,2
1,1,11:19.0,M. Smart misses 3-pt jump shot from 26 ft,,0,2
2,1,11:18.0,,Defensive rebound by J. Wall,0,2
3,1,11:10.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),0,4
4,1,10:52.0,M. Smart makes 2-pt jump shot from 6 ft (assist by A. Horford),,2,4
5,1,10:37.0,,Offensive foul by M. Gortat (drawn by A. Horford),2,4
6,1,10:37.0,,Turnover by M. Gortat (offensive foul),2,4
7,1,10:22.0,I. Thomas makes 2-pt layup from 2 ft (assist by J. Crowder),,4,4
8,1,10:06.0,,M. Morris makes 2-pt layup from 1 ft (assist by B. Beal),4,6
9,1,9:51.0,A. Horford makes 2-pt jump shot from 18 ft (assist by J. Crowder),,6,6
10,1,9:36.0,,B. Beal makes 3-pt jump shot from 26 ft,6,9
11,1,9:19.0,A. Johnson misses 2-pt hook shot from 10 ft,,6,9
12,1,9:18.0,,Defensive rebound by M. Morris,6,9
13,1,9:01.0,,M. Gortat makes 2-pt jump shot from 16 ft (assist by B. Beal),6,11
14,1,8:46.0,A. Johnson misses 3-pt jump shot from 27 ft,,6,11
15,1,8:46.0,,Defensive rebound by Team,6,11
16,1,8:37.0,,Turnover by B. Beal (lost ball; steal by M. Smart),6,11
17,1,8:37.0,Personal foul by B. Beal (drawn by M. Smart),,6,11
18,1,8:20.0,M. Smart misses 3-pt jump shot from 25 ft,,6,11
19,1,8:19.0,,Defensive rebound by M. Morris,6,11
20,1,8:13.0,,J. Wall makes 2-pt jump shot from 18 ft (assist by M. Morris),6,13
21,1,7:58.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),,9,13
22,1,7:41.0,,Shooting foul by A. Johnson (drawn by M. Morris),9,13
23,1,7:41.0,,M. Morris misses free throw 1 of 2,9,13
24,1,7:41.0,,Offensive rebound by Team,9,13
25,1,7:41.0,K. Olynyk enters the game for A. Johnson,,9,13
26,1,7:41.0,,M. Morris makes free throw 2 of 2,9,14
27,1,7:31.0,Shooting foul by M. Morris (drawn by I. Thomas),,9,14
28,1,7:31.0,I. Thomas makes free throw 1 of 2,,10,14
29,1,7:31.0,I. Thomas makes free throw 2 of 2,,11,14
30,1,7:14.0,,M. Morris misses 3-pt jump shot from 24 ft,11,14
31,1,7:13.0,Defensive rebound by J. Crowder,,11,14
32,1,6:59.0,A. Horford misses 3-pt jump shot from 25 ft,,11,14
33,1,6:58.0,,Defensive rebound by M. Morris,11,14
34,1,6:47.0,Violation by M. Smart (def goaltending),,11,14
35,1,6:47.0,,M. Gortat makes 2-pt layup at rim (assist by M. Morris),11,16
36,1,6:33.0,I. Thomas misses 3-pt jump shot from 26 ft,,11,16
37,1,6:32.0,,Defensive rebound by J. Wall,11,16
38,1,6:22.0,,M. Morris misses 3-pt jump shot from 25 ft,11,16
39,1,6:21.0,Defensive rebound by A. Horford,,11,16
40,1,6:15.0,Shooting foul by J. Wall (drawn by I. Thomas),,11,16
