,QUARTER,TIME_REMAINING,BOSTON_ACTION,HOUSTON_ACTION,BOSTON_SCORE,HOUSTON_SCORE
0,1,11:41.0,,J. Harden misses 2-pt jump shot from 6 ft (block by A. Horford),0,0
1,1,11:38.0,Defensive rebound by A. Bradley,,0,0
2,1,11:34.0,A. Bradley misses 2-pt jump shot from 15 ft,,0,0
3,1,11:33.0,,Defensive rebound by R. Anderson,0,0
4,1,11:30.0,,Turnover by J. Harden (bad pass),0,0
5,1,11:16.0,Turnover by A. Horford (lost ball; steal by C. Capela),,0,0
6,1,11:09.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),0,3
7,1,10:54.0,I. Thomas makes 3-pt jump shot from 23 ft (assist by A. Horford),,3,3
8,1,10:32.0,,P. Beverley misses 2-pt jump shot from 8 ft,3,3
9,1,10:30.0,,Offensive rebound by C. Capela,3,3
10,1,10:28.0,,C. Capela misses 2-pt hook shot from 4 ft,3,3
11,1,10:27.0,Defensive rebound by A. Horford,,3,3
12,1,10:15.0,A. Bradley misses 2-pt jump shot from 21 ft,,3,3
13,1,10:14.0,,Defensive rebound by J. Harden,3,3
14,1,10:06.0,,P. Beverley misses 2-pt jump shot from 7 ft,3,3
15,1,10:03.0,Defensive rebound by A. Horford,,3,3
16,1,9:57.0,Turnover by A. Horford (bad pass; steal by J. Harden),,3,3
17,1,9:47.0,,R. Anderson misses 3-pt jump shot from 26 ft,3,3
18,1,9:47.0,Defensive rebound by Team,,3,3
19,1,9:31.0,I. Thomas misses 2-pt jump shot from 17 ft,,3,3
20,1,9:30.0,,Defensive rebound by C. Capela,3,3
21,1,9:11.0,,T. Ariza misses 3-pt jump shot from 23 ft,3,3
22,1,9:10.0,Defensive rebound by J. Jerebko,,3,3
23,1,8:58.0,J. Jerebko misses 2-pt jump shot from 4 ft,,3,3
24,1,8:57.0,Offensive rebound by A. Bradley,,3,3
25,1,8:52.0,A. Horford misses 2-pt layup from 3 ft,,3,3
26,1,8:50.0,Offensive rebound by A. Horford,,3,3
27,1,8:50.0,A. Horford makes 2-pt layup at rim,,5,3
28,1,8:47.0,,Houston full timeout,5,3
29,1,8:34.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),5,5
30,1,8:13.0,A. Horford makes 2-pt jump shot from 16 ft (assist by I. Thomas),,7,5
31,1,7:54.0,,T. Ariza makes 2-pt jump shot from 5 ft (assist by R. Anderson),7,7
32,1,7:38.0,A. Horford misses 3-pt jump shot from 24 ft,,7,7
33,1,7:37.0,Offensive rebound by J. Jerebko,,7,7
34,1,7:21.0,I. Thomas makes 2-pt layup from 2 ft,,9,7
35,1,7:08.0,,Shooting foul by A. Horford (drawn by J. Harden),9,7
36,1,7:08.0,,J. Harden makes 2-pt layup from 2 ft,9,9
37,1,7:08.0,,J. Harden makes free throw 1 of 1,9,10
38,1,6:46.0,J. Crowder misses 2-pt jump shot from 22 ft,,9,10
39,1,6:45.0,,Defensive rebound by T. Ariza,9,10
40,1,6:40.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),9,12
41,1,6:20.0,J. Jerebko misses 3-pt jump shot from 25 ft,,9,12
42,1,6:19.0,,Defensive rebound by C. Capela,9,12
43,1,6:13.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by R. Anderson),9,15
44,1,5:56.0,A. Bradley misses 3-pt jump shot from 26 ft,,9,15
45,1,5:55.0,Offensive rebound by Team,,9,15
46,1,5:50.0,A. Johnson enters the game for A. Horford,,9,15
47,1,5:50.0,M. Smart enters the game for A. Bradley,,9,15
48,1,5:50.0,,E. Gordon enters the game for P. Beverley,9,15
49,1,5:43.0,J. Jerebko misses 2-pt jump shot from 11 ft,,9,15
50,1,5:42.0,,Defensive rebound by R. Anderson,9,15
51,1,5:32.0,,R. Anderson misses 3-pt jump shot from 25 ft,9,15
52,1,5:31.0,,Offensive rebound by C. Capela,9,15
53,1,5:24.0,,J. Harden misses 2-pt jump shot from 6 ft,9,15
54,1,5:23.0,,Offensive rebound by J. Harden,9,15
55,1,5:19.0,,Turnover by J. Harden (traveling),9,15
56,1,5:03.0,M. Smart misses 2-pt jump shot from 20 ft,,9,15
57,1,5:02.0,Offensive rebound by Team,,9,15
58,1,4:51.0,Personal foul by J. Harden (drawn by I. Thomas),,9,15
59,1,4:47.0,I. Thomas misses 3-pt jump shot from 25 ft,,9,15
60,1,4:46.0,,Defensive rebound by C. Capela,9,15
61,1,4:38.0,,Personal foul by J. Jerebko (drawn by C. Capela),9,15
62,1,4:38.0,K. Olynyk enters the game for J. Jerebko,,9,15
63,1,4:29.0,,Shooting foul by K. Olynyk (drawn by J. Harden),9,15
64,1,4:29.0,,J. Harden makes free throw 1 of 2,9,16
65,1,4:29.0,,S. Dekker enters the game for R. Anderson,9,16
66,1,4:29.0,,N. Hilário enters the game for C. Capela,9,16
67,1,4:29.0,,J. Harden makes free throw 2 of 2,9,17
68,1,4:14.0,Turnover by K. Olynyk (traveling),,9,17
69,1,4:00.0,,T. Ariza misses 3-pt jump shot from 24 ft,9,17
70,1,3:59.0,Defensive rebound by J. Crowder,,9,17
71,1,3:51.0,J. Crowder misses 3-pt jump shot from 26 ft,,9,17
72,1,3:50.0,,Defensive rebound by T. Ariza,9,17
73,1,3:42.0,,J. Harden makes 3-pt jump shot from 28 ft,9,20
74,1,3:39.0,Boston full timeout,,9,20
75,1,3:22.0,M. Smart makes 2-pt jump shot from 18 ft,,11,20
76,1,2:54.0,,E. Gordon misses 3-pt jump shot from 32 ft,11,20
77,1,2:53.0,Defensive rebound by A. Johnson,,11,20
78,1,2:44.0,M. Smart misses 3-pt jump shot from 26 ft,,11,20
79,1,2:42.0,,Defensive rebound by T. Ariza,11,20
80,1,2:35.0,,T. Ariza misses 3-pt jump shot from 26 ft,11,20
81,1,2:33.0,,Offensive rebound by S. Dekker,11,20
82,1,2:33.0,Offensive charge foul by S. Dekker (drawn by M. Smart),,11,20
83,1,2:33.0,,Turnover by S. Dekker (offensive foul),11,20
84,1,2:33.0,,C. Brewer enters the game for T. Ariza,11,20
85,1,2:23.0,J. Brown enters the game for I. Thomas,,11,20
86,1,2:23.0,,P. Beverley enters the game for J. Harden,11,20
87,1,2:13.0,J. Crowder makes 2-pt jump shot from 22 ft,,13,20
88,1,1:59.0,,P. Beverley misses 3-pt jump shot from 25 ft,13,20
89,1,1:57.0,Defensive rebound by K. Olynyk,,13,20
90,1,1:55.0,Personal foul by C. Brewer (drawn by K. Olynyk),,13,20
91,1,1:47.0,K. Olynyk misses 2-pt layup from 1 ft,,13,20
92,1,1:45.0,Offensive rebound by A. Johnson,,13,20
93,1,1:43.0,A. Johnson misses 2-pt jump shot from 4 ft,,13,20
94,1,1:42.0,,Defensive rebound by N. Hilário,13,20
95,1,1:38.0,,S. Dekker misses 2-pt jump shot from 6 ft,13,20
96,1,1:37.0,Defensive rebound by K. Olynyk,,13,20
97,1,1:25.0,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Crowder),,15,20
98,1,1:18.0,,Shooting foul by A. Johnson (drawn by E. Gordon),15,20
99,1,1:18.0,,E. Gordon makes free throw 1 of 2,15,21
100,1,1:18.0,,E. Gordon makes free throw 2 of 2,15,22
101,1,1:05.0,Turnover by A. Johnson (lost ball; steal by N. Hilário),,15,22
102,1,1:05.0,,Personal foul by A. Johnson (drawn by N. Hilário),15,22
103,1,1:05.0,,N. Hilário makes free throw 1 of 2,15,23
104,1,1:05.0,,N. Hilário misses free throw 2 of 2,15,23
105,1,1:05.0,A. Horford enters the game for A. Johnson,,15,23
106,1,1:05.0,T. Rozier enters the game for J. Crowder,,15,23
107,1,1:04.0,Defensive rebound by K. Olynyk,,15,23
108,1,0:42.0,A. Horford misses 2-pt jump shot from 22 ft,,15,23
109,1,0:41.0,,Defensive rebound by S. Dekker,15,23
110,1,0:34.0,,E. Gordon makes 3-pt jump shot from 27 ft,15,26
111,1,0:25.0,A. Horford makes 2-pt layup from 2 ft (assist by K. Olynyk),,17,26
112,1,0:02.0,,N. Hilário misses 3-pt jump shot from 26 ft,17,26
113,1,0:01.0,Defensive rebound by K. Olynyk,,17,26
114,2,11:42.0,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford),,20,26
115,2,11:36.0,,Personal block foul by M. Smart (drawn by E. Gordon),20,26
116,2,11:13.0,,N. Hilário misses 2-pt layup from 2 ft (block by A. Horford),20,26
117,2,11:11.0,Defensive rebound by T. Rozier,,20,26
118,2,11:07.0,J. Brown makes 2-pt layup from 2 ft (assist by T. Rozier),,22,26
119,2,10:54.0,,E. Gordon misses 3-pt jump shot from 25 ft,22,26
120,2,10:53.0,Defensive rebound by J. Brown,,22,26
121,2,10:29.0,M. Smart misses 3-pt jump shot from 24 ft,,22,26
122,2,10:29.0,,Defensive rebound by Team,22,26
123,2,10:15.0,,S. Dekker makes 3-pt jump shot from 25 ft (assist by E. Gordon),22,29
124,2,9:59.0,,Violation by N. Hilário (kicked ball),22,29
125,2,9:53.0,A. Horford misses 3-pt jump shot from 26 ft,,22,29
126,2,9:51.0,Offensive rebound by K. Olynyk,,22,29
127,2,9:49.0,K. Olynyk misses 2-pt layup from 2 ft,,22,29
128,2,9:47.0,,Defensive rebound by S. Dekker,22,29
129,2,9:43.0,,Shooting foul by K. Olynyk (drawn by E. Gordon),22,29
130,2,9:43.0,,E. Gordon misses free throw 1 of 2,22,29
131,2,9:43.0,,Offensive rebound by Team,22,29
132,2,9:43.0,A. Bradley enters the game for K. Olynyk,,22,29
133,2,9:43.0,,E. Gordon makes free throw 2 of 2,22,30
134,2,9:28.0,T. Rozier misses 3-pt jump shot from 25 ft,,22,30
135,2,9:27.0,,Defensive rebound by C. Brewer,22,30
136,2,9:21.0,,E. Gordon misses 3-pt jump shot from 26 ft,22,30
137,2,9:20.0,Defensive rebound by A. Horford,,22,30
138,2,9:07.0,M. Smart makes 2-pt jump shot from 11 ft,,24,30
139,2,9:07.0,Shooting foul by E. Gordon (drawn by M. Smart),,24,30
140,2,9:07.0,M. Smart misses free throw 1 of 1,,24,30
141,2,9:07.0,,Defensive rebound by S. Dekker,24,30
142,2,8:44.0,,C. Brewer misses 3-pt jump shot from 27 ft,24,30
143,2,8:44.0,Defensive rebound by Team,,24,30
144,2,8:44.0,Official timeout,,24,30
145,2,8:44.0,,R. Anderson enters the game for E. Gordon,24,30
146,2,8:44.0,,C. Capela enters the game for N. Hilário,24,30
147,2,8:44.0,,J. Harden enters the game for C. Brewer,24,30
148,2,8:30.0,J. Brown misses 3-pt jump shot from 26 ft,,24,30
149,2,8:29.0,,Defensive rebound by J. Harden,24,30
150,2,8:21.0,,Shooting foul by J. Brown (drawn by R. Anderson),24,30
151,2,8:21.0,,R. Anderson makes free throw 1 of 2,24,31
152,2,8:21.0,,R. Anderson makes free throw 2 of 2,24,32
153,2,7:56.0,T. Rozier makes 2-pt layup from 4 ft (assist by A. Horford),,26,32
154,2,7:44.0,,J. Harden misses 2-pt jump shot from 4 ft,26,32
155,2,7:43.0,Defensive rebound by T. Rozier,,26,32
156,2,7:38.0,T. Rozier makes 2-pt layup from 2 ft,,28,32
157,2,7:23.0,,S. Dekker misses 2-pt jump shot from 18 ft,28,32
158,2,7:22.0,Defensive rebound by A. Horford,,28,32
159,2,7:12.0,A. Bradley misses 2-pt layup from 4 ft,,28,32
160,2,7:11.0,Offensive rebound by A. Bradley,,28,32
161,2,7:11.0,A. Bradley makes 2-pt layup from 3 ft,,30,32
162,2,7:02.0,,Personal foul by A. Bradley (drawn by J. Harden),30,32
163,2,7:02.0,,T. Ariza enters the game for S. Dekker,30,32
164,2,7:02.0,K. Olynyk enters the game for A. Horford,,30,32
