,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHILADELPHIA_ACTION,HOUSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,,J. Embiid makes 2-pt dunk at rim (assist by T. McConnell),0,2
1,1,11:26.0,N. Hilário makes 2-pt layup from 3 ft (assist by J. Harden),,2,2
2,1,11:11.0,,J. Embiid misses 2-pt jump shot from 14 ft,2,2
3,1,11:10.0,Defensive rebound by J. Harden,,2,2
4,1,10:55.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),,5,2
5,1,10:32.0,,R. Covington misses 3-pt jump shot from 24 ft,5,2
6,1,10:31.0,Defensive rebound by Team,,5,2
7,1,10:18.0,J. Harden misses 3-pt jump shot from 25 ft,,5,2
8,1,10:17.0,,Defensive rebound by J. Embiid,5,2
9,1,10:08.0,,Turnover by J. Embiid (traveling),5,2
10,1,10:01.0,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),,7,2
11,1,9:51.0,,J. Embiid makes 3-pt jump shot from 24 ft (assist by T. McConnell),7,5
12,1,9:42.0,T. Ariza misses 3-pt jump shot from 25 ft,,7,5
13,1,9:41.0,,Defensive rebound by T. McConnell,7,5
14,1,9:37.0,,Personal foul by N. Hilário (drawn by J. Embiid),7,5
15,1,9:30.0,,N. Stauskas makes 2-pt jump shot from 18 ft,7,7
16,1,9:15.0,N. Hilário makes 2-pt layup from 2 ft (assist by J. Harden),,9,7
17,1,9:15.0,Shooting foul by J. Embiid (drawn by N. Hilário),,9,7
18,1,9:15.0,N. Hilário makes free throw 1 of 1,,10,7
19,1,9:06.0,,Personal foul by R. Anderson (drawn by J. Embiid),10,7
20,1,8:56.0,,T. McConnell misses 2-pt jump shot from 14 ft,10,7
21,1,8:55.0,Defensive rebound by P. Beverley,,10,7
22,1,8:47.0,R. Anderson misses 3-pt jump shot from 28 ft,,10,7
23,1,8:46.0,,Defensive rebound by E. İlyasova,10,7
24,1,8:37.0,,J. Embiid makes 2-pt layup from 2 ft (assist by T. McConnell),10,9
