,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SAN ANTONIO_ACTION,PORTLAND_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. Dedmon),0,2
1,1,11:26.0,D. Lillard makes 3-pt jump shot from 25 ft,,3,2
2,1,11:11.0,,Turnover by D. Green (bad pass; steal by J. Nurkić),3,2
3,1,10:59.0,C. McCollum misses 2-pt jump shot from 17 ft,,3,2
4,1,10:59.0,Offensive rebound by J. Nurkić,,3,2
5,1,10:56.0,Turnover by J. Nurkić (lost ball; steal by K. Leonard),,3,2
6,1,10:42.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by K. Leonard),3,5
7,1,10:25.0,Turnover by C. McCollum (bad pass),,3,5
8,1,10:00.0,,L. Aldridge misses 2-pt jump shot from 19 ft,3,5
9,1,9:58.0,,Offensive rebound by P. Mills,3,5
10,1,9:55.0,,D. Dedmon makes 2-pt dunk at rim (assist by P. Mills),3,7
11,1,9:28.0,N. Vonleh makes 2-pt jump shot from 23 ft (assist by M. Harkless),,5,7
12,1,9:17.0,,Turnover by K. Leonard (lost ball; steal by M. Harkless),5,7
13,1,9:11.0,D. Lillard makes 2-pt layup from 1 ft (assist by C. McCollum),,7,7
14,1,8:57.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by P. Mills),7,9
15,1,8:42.0,J. Nurkić misses 2-pt layup from 2 ft,,7,9
16,1,8:41.0,,Defensive rebound by L. Aldridge,7,9
17,1,8:35.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by K. Leonard),7,11
18,1,8:16.0,C. McCollum misses 2-pt jump shot from 4 ft,,7,11
19,1,8:16.0,,Defensive rebound by K. Leonard,7,11
20,1,8:07.0,,K. Leonard misses 2-pt jump shot from 15 ft,7,11
21,1,8:06.0,Defensive rebound by J. Nurkić,,7,11
22,1,7:57.0,D. Lillard misses 3-pt jump shot from 24 ft,,7,11
23,1,7:55.0,,Defensive rebound by K. Leonard,7,11
24,1,7:51.0,,K. Leonard makes 3-pt jump shot from 25 ft,7,14
25,1,7:51.0,Portland full timeout,,7,14
26,1,7:31.0,N. Vonleh makes 2-pt hook shot from 9 ft (assist by M. Harkless),,9,14
27,1,7:12.0,,K. Leonard misses 2-pt jump shot from 15 ft,9,14
28,1,7:12.0,Defensive rebound by Team,,9,14
29,1,7:02.0,Personal foul by D. Green (drawn by J. Nurkić),,9,14
30,1,6:58.0,D. Lillard makes 2-pt layup at rim (assist by J. Nurkić),,11,14
31,1,6:41.0,,L. Aldridge makes 2-pt jump shot from 8 ft (assist by K. Leonard),11,16
32,1,6:23.0,M. Harkless misses 2-pt layup from 3 ft,,11,16
33,1,6:22.0,,Defensive rebound by D. Dedmon,11,16
34,1,6:04.0,,L. Aldridge misses 2-pt jump shot from 18 ft,11,16
35,1,6:03.0,Defensive rebound by C. McCollum,,11,16
36,1,6:00.0,Shooting block foul by P. Mills (drawn by C. McCollum),,11,16
37,1,6:00.0,C. McCollum makes free throw 1 of 2,,12,16
38,1,6:00.0,C. McCollum makes free throw 2 of 2,,13,16
39,1,5:43.0,,P. Mills misses 3-pt jump shot from 25 ft,13,16
40,1,5:43.0,Defensive rebound by N. Vonleh,,13,16
41,1,5:34.0,D. Lillard makes 2-pt jump shot from 18 ft,,15,16
42,1,5:15.0,,L. Aldridge misses 2-pt hook shot at rim,15,16
43,1,5:13.0,Defensive rebound by C. McCollum,,15,16
44,1,5:09.0,C. McCollum misses 2-pt jump shot from 17 ft,,15,16
45,1,5:09.0,,Defensive rebound by Team,15,16
46,1,5:09.0,,M. Ginóbili enters the game for D. Green,15,16
47,1,5:09.0,,P. Gasol enters the game for D. Dedmon,15,16
48,1,5:09.0,A. Crabbe enters the game for C. McCollum,,15,16
49,1,4:59.0,,Turnover by M. Ginóbili (bad pass; steal by J. Nurkić),15,16
50,1,4:53.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by M. Harkless),,18,16
51,1,4:52.0,,San Antonio full timeout,18,16
52,1,4:52.0,,D. Lee enters the game for L. Aldridge,18,16
53,1,4:38.0,,Shooting foul by M. Harkless (drawn by K. Leonard),18,16
54,1,4:38.0,,K. Leonard makes free throw 1 of 3,18,17
55,1,4:38.0,,K. Leonard misses free throw 2 of 3,18,17
56,1,4:38.0,,Offensive rebound by Team,18,17
57,1,4:38.0,,K. Leonard makes free throw 3 of 3,18,18
58,1,4:26.0,Turnover by M. Harkless (lost ball; steal by M. Ginóbili),,18,18
59,1,4:11.0,,D. Lee misses 2-pt jump shot from 5 ft,18,18
60,1,4:11.0,Defensive rebound by J. Nurkić,,18,18
61,1,3:58.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by N. Vonleh),,21,18
62,1,3:40.0,,P. Gasol misses 2-pt jump shot from 17 ft,21,18
63,1,3:39.0,Defensive rebound by A. Crabbe,,21,18
64,1,3:17.0,M. Harkless misses 2-pt layup from 1 ft,,21,18
65,1,3:17.0,,Defensive rebound by K. Leonard,21,18
66,1,3:04.0,,P. Gasol makes 2-pt jump shot from 21 ft (assist by K. Leonard),21,20
67,1,2:49.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by D. Lillard),,24,20
68,1,2:25.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),24,23
69,1,2:05.0,J. Nurkić misses 2-pt jump shot from 19 ft,,24,23
70,1,2:04.0,,Defensive rebound by P. Gasol,24,23
71,1,1:56.0,,D. Lee makes 2-pt layup at rim (assist by P. Gasol),24,25
72,1,1:41.0,D. Lillard misses 2-pt jump shot from 9 ft,,24,25
73,1,1:40.0,,Defensive rebound by Team,24,25
74,1,1:40.0,,K. Anderson enters the game for P. Mills,24,25
75,1,1:40.0,,B. Forbes enters the game for K. Leonard,24,25
76,1,1:40.0,C. McCollum enters the game for D. Lillard,,24,25
77,1,1:40.0,A. Aminu enters the game for N. Vonleh,,24,25
78,1,1:23.0,,P. Gasol makes 2-pt jump shot from 7 ft (assist by M. Ginóbili),24,27
79,1,1:00.0,J. Nurkić makes 2-pt jump shot from 5 ft,,26,27
80,1,0:45.0,,M. Ginóbili misses 2-pt layup from 1 ft,26,27
81,1,0:44.0,,Offensive rebound by P. Gasol,26,27
82,1,0:43.0,,P. Gasol makes 2-pt layup from 5 ft,26,29
83,1,0:34.0,J. Nurkić makes 2-pt jump shot from 19 ft (assist by C. McCollum),,28,29
84,1,0:23.0,,Turnover by K. Anderson (bad pass),28,29
85,1,0:23.0,S. Napier enters the game for M. Harkless,,28,29
86,1,0:23.0,M. Leonard enters the game for J. Nurkić,,28,29
87,1,0:14.0,Personal take foul by M. Ginóbili,,28,29
88,1,0:14.0,D. Lillard enters the game for A. Aminu,,28,29
89,1,0:14.0,,D. Green enters the game for P. Gasol,28,29
90,1,0:03.0,D. Lillard misses 2-pt layup from 1 ft,,28,29
91,1,0:02.0,,Defensive rebound by K. Anderson,28,29
92,1,0:00.0,,D. Green misses 3-pt jump shot from 54 ft,28,29
93,1,0:00.0,,Offensive rebound by Team,28,29
94,2,11:41.0,A. Aminu misses 3-pt jump shot from 24 ft,,28,29
95,2,11:41.0,,Defensive rebound by K. Anderson,28,29
96,2,11:33.0,,Shooting foul by M. Leonard (drawn by D. Lee),28,29
97,2,11:33.0,,D. Lee makes free throw 1 of 2,28,30
98,2,11:33.0,,D. Lee misses free throw 2 of 2,28,30
99,2,11:31.0,Defensive rebound by M. Leonard,,28,30
100,2,11:16.0,C. McCollum misses 2-pt jump shot from 19 ft,,28,30
101,2,11:15.0,,Defensive rebound by P. Gasol,28,30
102,2,11:01.0,,D. Lee makes 2-pt jump shot from 8 ft,28,32
103,2,10:43.0,A. Aminu misses 2-pt layup from 1 ft (block by P. Gasol),,28,32
104,2,10:41.0,,Defensive rebound by P. Gasol,28,32
105,2,10:28.0,,K. Anderson misses 2-pt jump shot from 14 ft,28,32
106,2,10:27.0,,Offensive rebound by D. Lee,28,32
107,2,10:16.0,,M. Ginóbili makes 2-pt jump shot from 9 ft (assist by D. Lee),28,34
108,2,9:57.0,M. Leonard misses 3-pt jump shot from 25 ft,,28,34
109,2,9:55.0,,Defensive rebound by D. Lee,28,34
110,2,9:47.0,,Turnover by M. Ginóbili (bad pass; steal by C. McCollum),28,34
111,2,9:41.0,S. Napier makes 2-pt jump shot from 16 ft,,30,34
112,2,9:27.0,,Personal foul by M. Leonard (drawn by M. Ginóbili),30,34
113,2,9:27.0,,D. Dedmon enters the game for P. Gasol,30,34
114,2,9:27.0,,D. Green enters the game for M. Ginóbili,30,34
115,2,9:16.0,,D. Lee makes 2-pt layup from 1 ft,30,36
116,2,9:01.0,A. Crabbe makes 2-pt jump shot from 22 ft (assist by S. Napier),,32,36
117,2,8:47.0,,B. Forbes makes 2-pt jump shot from 22 ft,32,38
118,2,8:24.0,A. Crabbe misses 2-pt jump shot from 20 ft,,32,38
119,2,8:23.0,,Defensive rebound by D. Lee,32,38
120,2,8:13.0,,Turnover by B. Forbes (bad pass; steal by A. Crabbe),32,38
121,2,8:07.0,C. McCollum makes 2-pt jump shot from 9 ft (assist by A. Crabbe),,34,38
122,2,8:07.0,,San Antonio full timeout,34,38
123,2,8:07.0,,P. Mills enters the game for B. Forbes,34,38
