,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MEMPHIS_ACTION,LA CLIPPERS_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,M. Gasol misses 2-pt jump shot from 21 ft,0,0
1,1,11:40.0,Defensive rebound by C. Paul,,0,0
2,1,11:21.0,Turnover by D. Jordan (lost ball; steal by M. Conley),,0,0
3,1,11:13.0,,J. Green misses 2-pt jump shot from 23 ft,0,0
4,1,11:10.0,,Offensive rebound by J. Ennis,0,0
5,1,11:01.0,,T. Allen misses 2-pt jump shot from 20 ft,0,0
6,1,11:01.0,Defensive rebound by J. Redick,,0,0
7,1,10:39.0,Turnover by Team (shot clock),,0,0
8,1,10:23.0,,M. Gasol misses 2-pt jump shot from 12 ft,0,0
9,1,10:19.0,,Offensive rebound by J. Ennis,0,0
10,1,10:19.0,,J. Ennis misses 2-pt layup from 2 ft,0,0
11,1,10:18.0,,Offensive rebound by J. Ennis,0,0
12,1,10:18.0,,J. Ennis misses 2-pt layup from 2 ft,0,0
13,1,10:17.0,,Offensive rebound by Team,0,0
14,1,10:13.0,,M. Conley makes 3-pt jump shot from 24 ft (assist by T. Allen),0,3
15,1,9:55.0,J. Redick makes 2-pt jump shot from 20 ft (assist by C. Paul),,2,3
16,1,9:39.0,,Turnover by J. Ennis (bad pass; steal by L. Mbah a Moute),2,3
17,1,9:23.0,B. Griffin makes 2-pt jump shot from 17 ft (assist by C. Paul),,4,3
18,1,9:12.0,,M. Gasol misses 2-pt jump shot from 17 ft,4,3
19,1,9:08.0,Defensive rebound by D. Jordan,,4,3
20,1,9:04.0,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by B. Griffin),,6,3
21,1,8:49.0,,Turnover by J. Green (bad pass; steal by L. Mbah a Moute),6,3
22,1,8:44.0,Shooting foul by T. Allen (drawn by J. Redick),,6,3
23,1,8:44.0,J. Redick makes free throw 1 of 2,,7,3
24,1,8:44.0,J. Redick makes free throw 2 of 2,,8,3
25,1,8:23.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by J. Green),8,6
26,1,8:13.0,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by C. Paul),,10,6
27,1,8:02.0,,M. Conley misses 2-pt jump shot from 6 ft (block by D. Jordan),10,6
28,1,8:00.0,Defensive rebound by L. Mbah a Moute,,10,6
29,1,7:58.0,Personal foul by M. Gasol (drawn by L. Mbah a Moute),,10,6
30,1,7:42.0,C. Paul makes 3-pt jump shot from 25 ft,,13,6
31,1,7:22.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),13,9
32,1,7:09.0,Turnover by J. Redick (lost ball),,13,9
33,1,6:56.0,,Turnover by M. Gasol (lost ball; steal by L. Mbah a Moute),13,9
34,1,6:46.0,C. Paul makes 2-pt jump shot from 12 ft,,15,9
35,1,6:39.0,,Memphis full timeout,15,9
36,1,6:32.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),15,11
37,1,6:14.0,J. Redick misses 2-pt jump shot from 22 ft,,15,11
38,1,6:11.0,Offensive rebound by D. Jordan,,15,11
39,1,6:04.0,,Loose ball foul by J. Green (drawn by B. Griffin),15,11
40,1,5:59.0,B. Griffin misses 2-pt jump shot from 22 ft,,15,11
41,1,5:58.0,,Defensive rebound by M. Gasol,15,11
42,1,5:41.0,,M. Conley misses 2-pt jump shot from 14 ft,15,11
43,1,5:39.0,Defensive rebound by D. Jordan,,15,11
44,1,5:28.0,Turnover by C. Paul (step out of bounds),,15,11
45,1,5:17.0,,M. Gasol misses 3-pt jump shot from 26 ft,15,11
46,1,5:16.0,Defensive rebound by B. Griffin,,15,11
47,1,5:07.0,Turnover by B. Griffin (bad pass; steal by M. Gasol),,15,11
48,1,4:56.0,,Shooting foul by B. Griffin (drawn by M. Gasol),15,11
49,1,4:56.0,,M. Gasol makes free throw 1 of 2,15,12
50,1,4:56.0,,V. Carter enters the game for T. Allen,15,12
51,1,4:56.0,,W. Baldwin enters the game for M. Conley,15,12
52,1,4:56.0,,M. Gasol makes free throw 2 of 2,15,13
53,1,4:46.0,Personal foul by J. Green (drawn by B. Griffin),,15,13
54,1,4:46.0,J. Crawford enters the game for L. Mbah a Moute,,15,13
55,1,4:46.0,,Z. Randolph enters the game for J. Green,15,13
56,1,4:31.0,C. Paul misses 3-pt jump shot from 25 ft,,15,13
57,1,4:30.0,,Defensive rebound by M. Gasol,15,13
58,1,4:21.0,,Turnover by Z. Randolph (lost ball; steal by C. Paul),15,13
59,1,4:17.0,C. Paul makes 2-pt jump shot from 2 ft,,17,13
60,1,4:17.0,Shooting foul by V. Carter (drawn by C. Paul),,17,13
61,1,4:17.0,A. Rivers enters the game for J. Redick,,17,13
62,1,4:17.0,C. Paul makes free throw 1 of 1,,18,13
63,1,4:02.0,,Personal foul by A. Rivers (drawn by J. Ennis),18,13
64,1,3:55.0,,W. Baldwin misses 2-pt jump shot from 11 ft (block by D. Jordan),18,13
65,1,3:53.0,Defensive rebound by D. Jordan,,18,13
66,1,3:40.0,A. Rivers misses 3-pt jump shot from 24 ft,,18,13
67,1,3:40.0,,Defensive rebound by M. Gasol,18,13
68,1,3:31.0,,M. Gasol misses 3-pt jump shot from 25 ft,18,13
69,1,3:28.0,Defensive rebound by D. Jordan,,18,13
70,1,3:17.0,C. Paul misses 2-pt jump shot from 21 ft,,18,13
71,1,3:16.0,,Defensive rebound by Z. Randolph,18,13
72,1,3:00.0,,Z. Randolph misses 2-pt jump shot from 14 ft,18,13
73,1,2:59.0,,Offensive rebound by J. Ennis,18,13
74,1,2:59.0,,J. Ennis misses 2-pt layup from 2 ft (block by C. Paul),18,13
75,1,2:56.0,Defensive rebound by J. Crawford,,18,13
76,1,2:49.0,D. Jordan makes 2-pt layup from 1 ft (assist by J. Crawford),,20,13
77,1,2:30.0,,V. Carter misses 2-pt layup from 2 ft,20,13
78,1,2:29.0,,Offensive rebound by V. Carter,20,13
79,1,2:29.0,,V. Carter misses 2-pt layup from 2 ft,20,13
80,1,2:26.0,Defensive rebound by A. Rivers,,20,13
81,1,2:17.0,J. Crawford misses 3-pt jump shot from 25 ft,,20,13
82,1,2:17.0,,Defensive rebound by M. Gasol,20,13
83,1,2:12.0,,Shooting foul by D. Jordan (drawn by J. Ennis),20,13
84,1,2:12.0,LA Clippers full timeout,,20,13
85,1,2:12.0,,J. Ennis misses free throw 1 of 2,20,13
86,1,2:12.0,,Offensive rebound by Team,20,13
87,1,2:12.0,R. Felton enters the game for D. Jordan,,20,13
88,1,2:12.0,M. Speights enters the game for C. Paul,,20,13
89,1,2:12.0,,J. Martin enters the game for M. Gasol,20,13
90,1,2:12.0,,J. Ennis makes free throw 2 of 2,20,14
91,1,1:50.0,R. Felton misses 3-pt jump shot from 24 ft,,20,14
92,1,1:49.0,,Defensive rebound by J. Martin,20,14
93,1,1:31.0,,V. Carter makes 3-pt jump shot from 24 ft (assist by W. Baldwin),20,17
94,1,1:14.0,B. Griffin makes 2-pt jump shot from 21 ft (assist by R. Felton),,22,17
95,1,0:51.0,,J. Ennis makes 2-pt jump shot from 19 ft,22,19
96,1,0:41.0,J. Crawford misses 2-pt jump shot from 8 ft,,22,19
97,1,0:36.0,,Defensive rebound by Z. Randolph,22,19
98,1,0:36.0,Offensive charge foul by Z. Randolph (drawn by M. Speights),,22,19
99,1,0:36.0,,Turnover by Z. Randolph (offensive foul),22,19
100,1,0:36.0,W. Johnson enters the game for B. Griffin,,22,19
101,1,0:36.0,,M. Conley enters the game for J. Ennis,22,19
102,1,0:27.0,A. Rivers misses 2-pt jump shot from 7 ft,,22,19
103,1,0:26.0,Offensive rebound by Team,,22,19
104,1,0:26.0,,Loose ball foul by Z. Randolph (drawn by M. Speights),22,19
105,1,0:26.0,M. Speights misses free throw 1 of 2,,22,19
106,1,0:26.0,Offensive rebound by Team,,22,19
107,1,0:26.0,M. Speights makes free throw 2 of 2,,23,19
108,1,0:09.0,,Personal foul by R. Felton (drawn by M. Conley),23,19
109,1,0:09.0,L. Mbah a Moute enters the game for J. Crawford,,23,19
110,1,0:06.0,,Shooting foul by W. Johnson (drawn by M. Conley),23,19
111,1,0:06.0,,M. Conley misses free throw 1 of 2,23,19
112,1,0:06.0,,Offensive rebound by Team,23,19
113,1,0:06.0,J. Crawford enters the game for L. Mbah a Moute,,23,19
114,1,0:06.0,,T. Allen enters the game for Z. Randolph,23,19
115,1,0:06.0,,J. Ennis enters the game for W. Baldwin,23,19
116,1,0:06.0,,M. Conley makes free throw 2 of 2,23,20
117,1,0:01.0,J. Crawford misses 2-pt jump shot from 16 ft,,23,20
118,1,0:00.0,,Defensive rebound by V. Carter,23,20
119,2,11:52.0,Shooting foul by W. Baldwin (drawn by A. Rivers),,23,20
120,2,11:52.0,A. Rivers makes free throw 1 of 2,,24,20
121,2,11:52.0,A. Rivers makes free throw 2 of 2,,25,20
122,2,11:39.0,,Personal foul by M. Speights (drawn by M. Conley),25,20
123,2,11:28.0,,J. Martin misses 2-pt jump shot from 21 ft,25,20
124,2,11:26.0,Defensive rebound by J. Crawford,,25,20
125,2,11:14.0,M. Speights misses 3-pt jump shot from 25 ft,,25,20
126,2,11:13.0,,Defensive rebound by J. Martin,25,20
127,2,11:04.0,,W. Baldwin misses 2-pt layup from 2 ft (block by W. Johnson),25,20
128,2,11:02.0,,Offensive rebound by W. Baldwin,25,20
129,2,11:02.0,,W. Baldwin makes 2-pt layup from 1 ft,25,22
130,2,10:45.0,M. Speights misses 2-pt layup from 4 ft (block by M. Conley),,25,22
131,2,10:42.0,,Defensive rebound by V. Carter,25,22
132,2,10:36.0,,Z. Randolph misses 3-pt jump shot from 25 ft,25,22
133,2,10:36.0,,Offensive rebound by Team,25,22
134,2,10:26.0,,Z. Randolph makes 2-pt jump shot from 12 ft (assist by M. Conley),25,24
135,2,10:09.0,W. Johnson misses 3-pt jump shot from 23 ft,,25,24
136,2,10:08.0,Offensive rebound by M. Speights,,25,24
137,2,10:07.0,Inbound foul by W. Baldwin,,25,24
138,2,10:07.0,A. Rivers misses free throw 1 of 1,,25,24
139,2,10:07.0,Offensive rebound by Team,,25,24
140,2,9:58.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by M. Speights),,28,24
141,2,9:42.0,,Turnover by W. Baldwin (bad pass; steal by A. Rivers),28,24
142,2,9:29.0,A. Rivers misses 3-pt jump shot from 25 ft,,28,24
143,2,9:28.0,,Defensive rebound by J. Martin,28,24
144,2,9:17.0,,M. Conley makes 2-pt layup from 3 ft (assist by Z. Randolph),28,26
145,2,9:02.0,Shooting foul by J. Martin (drawn by J. Crawford),,28,26
146,2,9:02.0,J. Crawford makes free throw 1 of 2,,29,26
