,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
0,1,11:43.0,S. Ibaka makes 2-pt hook shot from 8 ft (assist by N. Vučević),,2,0
1,1,11:23.0,,J. Brown makes 2-pt layup from 2 ft (assist by J. Jerebko),2,2
2,1,11:07.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by S. Ibaka),,4,2
3,1,10:57.0,,J. Jerebko misses 3-pt jump shot from 26 ft,4,2
4,1,10:56.0,Defensive rebound by A. Gordon,,4,2
5,1,10:51.0,S. Ibaka misses 2-pt layup from 1 ft (block by J. Jerebko),,4,2
6,1,10:50.0,,Defensive rebound by J. Brown,4,2
7,1,10:45.0,,J. Brown makes 2-pt dunk at rim (assist by I. Thomas),4,4
8,1,10:32.0,N. Vučević misses 2-pt hook shot from 8 ft,,4,4
9,1,10:31.0,,Defensive rebound by J. Jerebko,4,4
10,1,10:24.0,,I. Thomas misses 3-pt jump shot from 25 ft,4,4
11,1,10:23.0,Defensive rebound by C. Watson,,4,4
12,1,10:11.0,S. Ibaka misses 3-pt jump shot from 25 ft,,4,4
13,1,10:10.0,,Defensive rebound by J. Jerebko,4,4
14,1,10:01.0,,J. Crowder misses 3-pt jump shot from 26 ft,4,4
15,1,10:00.0,Defensive rebound by N. Vučević,,4,4
16,1,9:48.0,N. Vučević makes 2-pt hook shot from 10 ft (assist by C. Watson),,6,4
17,1,9:32.0,,I. Thomas misses 2-pt layup from 1 ft,6,4
18,1,9:31.0,Defensive rebound by N. Vučević,,6,4
19,1,9:23.0,S. Ibaka misses 2-pt hook shot from 8 ft,,6,4
20,1,9:22.0,,Defensive rebound by J. Jerebko,6,4
21,1,9:07.0,,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),6,6
22,1,8:42.0,N. Vučević makes 2-pt jump shot from 10 ft,,8,6
23,1,8:18.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by J. Brown),8,9
24,1,7:53.0,C. Watson makes 3-pt jump shot from 26 ft,,11,9
25,1,7:39.0,,I. Thomas makes 2-pt layup from 1 ft,11,11
26,1,7:28.0,C. Watson misses 2-pt layup from 1 ft,,11,11
27,1,7:27.0,,Defensive rebound by J. Jerebko,11,11
28,1,7:08.0,,Shooting block foul by N. Vučević (drawn by J. Jerebko),11,11
29,1,7:08.0,,J. Jerebko makes free throw 1 of 2,11,12
30,1,7:08.0,,J. Jerebko makes free throw 2 of 2,11,13
31,1,7:04.0,Personal foul by J. Brown (drawn by C. Watson),,11,13
32,1,6:59.0,A. Gordon makes 2-pt jump shot from 17 ft (assist by C. Watson),,13,13
33,1,6:38.0,,J. Brown misses 2-pt jump shot from 8 ft,13,13
34,1,6:37.0,,Offensive rebound by J. Crowder,13,13
35,1,6:36.0,,J. Crowder makes 2-pt layup from 2 ft,13,15
36,1,6:26.0,N. Vučević makes 2-pt layup from 2 ft (assist by E. Payton),,15,15
37,1,6:25.0,,Boston full timeout,15,15
38,1,6:09.0,,J. Crowder makes 2-pt jump shot from 16 ft,15,17
39,1,5:52.0,Turnover by N. Vučević (bad pass; steal by I. Thomas),,15,17
40,1,5:49.0,,I. Thomas makes 2-pt layup from 1 ft,15,19
41,1,5:27.0,Turnover by A. Gordon (lost ball; steal by J. Crowder),,15,19
42,1,5:24.0,,Shooting foul by C. Watson (drawn by J. Brown),15,19
43,1,5:24.0,,J. Brown makes free throw 1 of 2,15,20
44,1,5:24.0,,T. Zeller enters the game for A. Johnson,15,20
45,1,5:24.0,,J. Brown makes free throw 2 of 2,15,21
46,1,5:14.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),,17,21
47,1,4:58.0,,T. Zeller makes 2-pt layup from 2 ft (assist by I. Thomas),17,23
48,1,4:45.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by E. Payton),,20,23
49,1,4:35.0,,Turnover by I. Thomas (bad pass; steal by C. Watson),20,23
50,1,4:30.0,Turnover by C. Watson (bad pass; steal by J. Jerebko),,20,23
51,1,4:15.0,,J. Brown makes 3-pt jump shot from 24 ft (assist by J. Crowder),20,26
52,1,4:14.0,Orlando full timeout,,20,26
53,1,4:03.0,N. Vučević misses 2-pt jump shot from 11 ft,,20,26
54,1,4:02.0,,Defensive rebound by J. Crowder,20,26
55,1,3:49.0,,Turnover by J. Jerebko (bad pass),20,26
56,1,3:49.0,D. Augustin enters the game for C. Watson,,20,26
57,1,3:34.0,S. Ibaka misses 3-pt jump shot from 26 ft,,20,26
58,1,3:33.0,Offensive rebound by A. Gordon,,20,26
59,1,3:31.0,Shooting foul by J. Jerebko (drawn by A. Gordon),,20,26
60,1,3:31.0,A. Gordon makes free throw 1 of 2,,21,26
61,1,3:31.0,,M. Smart enters the game for I. Thomas,21,26
62,1,3:31.0,,K. Olynyk enters the game for J. Jerebko,21,26
63,1,3:31.0,A. Gordon makes free throw 2 of 2,,22,26
64,1,3:20.0,,Shooting foul by E. Payton (drawn by J. Brown),22,26
65,1,3:20.0,,J. Brown makes free throw 1 of 2,22,27
66,1,3:20.0,J. Green enters the game for S. Ibaka,,22,27
67,1,3:20.0,,J. Brown makes free throw 2 of 2,22,28
68,1,3:11.0,Turnover by E. Payton (lost ball; steal by T. Zeller),,22,28
69,1,2:54.0,,Turnover by K. Olynyk (traveling),22,28
70,1,2:43.0,E. Payton misses 2-pt jump shot from 12 ft,,22,28
71,1,2:42.0,,Defensive rebound by J. Brown,22,28
72,1,2:28.0,,J. Brown misses 3-pt jump shot from 26 ft,22,28
73,1,2:27.0,Defensive rebound by N. Vučević,,22,28
74,1,2:17.0,A. Gordon misses 2-pt layup from 2 ft,,22,28
75,1,2:16.0,Offensive rebound by A. Gordon,,22,28
76,1,2:15.0,A. Gordon makes 2-pt layup from 1 ft,,24,28
77,1,2:09.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by M. Smart),24,31
78,1,1:55.0,A. Gordon misses 3-pt jump shot from 27 ft,,24,31
79,1,1:55.0,,Defensive rebound by J. Brown,24,31
80,1,1:46.0,,T. Zeller makes 2-pt jump shot from 21 ft (assist by J. Crowder),24,33
81,1,1:40.0,Orlando full timeout,,24,33
82,1,1:40.0,,T. Rozier enters the game for J. Crowder,24,33
83,1,1:40.0,M. Hezonja enters the game for N. Vučević,,24,33
84,1,1:40.0,B. Biyombo enters the game for E. Payton,,24,33
85,1,1:25.0,J. Green misses 3-pt jump shot from 26 ft,,24,33
86,1,1:24.0,,Defensive rebound by T. Rozier,24,33
87,1,1:10.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by T. Zeller),24,35
88,1,0:52.0,D. Augustin misses 2-pt layup from 2 ft,,24,35
89,1,0:52.0,Offensive rebound by Team,,24,35
90,1,0:52.0,D. Rudež enters the game for A. Gordon,,24,35
91,1,0:45.0,M. Hezonja misses 3-pt jump shot from 23 ft,,24,35
92,1,0:43.0,,Defensive rebound by J. Brown,24,35
93,1,0:39.0,,T. Zeller makes 2-pt layup from 1 ft (assist by M. Smart),24,37
94,1,0:22.0,J. Green misses 2-pt jump shot from 20 ft,,24,37
95,1,0:20.0,,Defensive rebound by K. Olynyk,24,37
96,1,0:05.0,,Personal foul by D. Augustin (drawn by T. Rozier),24,37
97,1,0:00.0,,T. Zeller makes 2-pt jump shot from 7 ft (assist by M. Smart),24,39
98,2,11:45.0,,T. Zeller makes 2-pt layup from 1 ft (assist by T. Rozier),24,41
99,2,11:18.0,B. Biyombo misses 2-pt layup from 2 ft,,24,41
100,2,11:17.0,,Defensive rebound by K. Olynyk,24,41
101,2,11:04.0,,G. Green misses 2-pt jump shot from 20 ft,24,41
102,2,11:02.0,Defensive rebound by B. Biyombo,,24,41
103,2,10:58.0,B. Biyombo misses 2-pt jump shot from 4 ft,,24,41
104,2,10:57.0,Offensive rebound by J. Green,,24,41
105,2,10:57.0,Personal foul by G. Green (drawn by J. Green),,24,41
106,2,10:57.0,J. Green makes free throw 1 of 2,,25,41
107,2,10:57.0,J. Green makes free throw 2 of 2,,26,41
108,2,10:35.0,,T. Rozier makes 2-pt layup from 3 ft (assist by M. Smart),26,43
