,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DETROIT_ACTION,GOLDEN STATE_SCORE,DETROIT_SCORE
0,1,11:48.0,,Turnover by R. Jackson (bad pass),0,0
1,1,11:36.0,K. Durant misses 2-pt jump shot from 18 ft,,0,0
2,1,11:35.0,,Defensive rebound by J. Leuer,0,0
3,1,11:26.0,,R. Jackson misses 3-pt jump shot from 26 ft,0,0
4,1,11:26.0,Defensive rebound by Z. Pachulia,,0,0
5,1,11:16.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,3,0
6,1,11:09.0,,Offensive foul by A. Drummond (drawn by S. Curry),3,0
7,1,11:09.0,,Turnover by A. Drummond (offensive foul),3,0
8,1,11:06.0,,Violation by A. Drummond (def goaltending),3,0
9,1,11:06.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),,5,0
10,1,10:50.0,,Personal foul by S. Curry (drawn by J. Leuer),5,0
11,1,10:39.0,,A. Drummond makes 2-pt hook shot from 8 ft (assist by J. Leuer),5,2
12,1,10:21.0,D. Green misses 3-pt jump shot from 26 ft,,5,2
13,1,10:21.0,,Defensive rebound by M. Morris,5,2
14,1,10:14.0,,A. Drummond makes 2-pt layup at rim (assist by M. Morris),5,4
15,1,10:04.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),,8,4
16,1,9:50.0,,M. Morris misses 2-pt layup from 1 ft (block by D. Green),8,4
17,1,9:48.0,Defensive rebound by K. Durant,,8,4
18,1,9:39.0,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),,11,4
19,1,9:33.0,,Detroit full timeout,11,4
20,1,9:17.0,,R. Jackson misses 2-pt jump shot from 15 ft,11,4
21,1,9:16.0,Defensive rebound by D. Green,,11,4
22,1,9:10.0,Turnover by K. Thompson (lost ball; steal by M. Morris),,11,4
23,1,9:07.0,,K. Caldwell-Pope makes 2-pt dunk at rim (assist by M. Morris),11,6
24,1,8:56.0,Turnover by K. Durant (bad pass; steal by K. Caldwell-Pope),,11,6
25,1,8:50.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft,11,9
26,1,8:34.0,K. Thompson makes 2-pt jump shot from 21 ft (assist by K. Durant),,13,9
27,1,8:17.0,,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),13,11
28,1,8:05.0,K. Durant misses 2-pt layup from 1 ft,,13,11
29,1,8:05.0,,Defensive rebound by A. Drummond,13,11
30,1,7:59.0,,J. Leuer makes 2-pt layup from 1 ft (assist by M. Morris),13,13
31,1,7:58.0,Golden State full timeout,,13,13
32,1,7:44.0,S. Curry makes 2-pt jump shot from 17 ft (assist by D. Green),,15,13
33,1,7:18.0,,R. Jackson misses 3-pt jump shot from 26 ft,15,13
34,1,7:17.0,Defensive rebound by Z. Pachulia,,15,13
35,1,7:01.0,K. Durant makes 3-pt jump shot from 25 ft (assist by S. Curry),,18,13
36,1,6:46.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft,18,16
37,1,6:34.0,K. Thompson misses 2-pt jump shot from 10 ft,,18,16
38,1,6:34.0,,Defensive rebound by R. Jackson,18,16
39,1,6:25.0,,J. Leuer misses 2-pt jump shot from 11 ft,18,16
40,1,6:25.0,Defensive rebound by Z. Pachulia,,18,16
41,1,6:22.0,K. Durant makes 2-pt jump shot from 11 ft (assist by D. Green),,20,16
42,1,6:22.0,Shooting foul by M. Morris (drawn by K. Durant),,20,16
43,1,6:22.0,K. Durant misses free throw 1 of 1,,20,16
44,1,6:21.0,,Defensive rebound by A. Drummond,20,16
45,1,6:04.0,,R. Jackson misses 2-pt jump shot from 8 ft,20,16
46,1,6:03.0,Defensive rebound by K. Thompson,,20,16
47,1,5:55.0,Turnover by Z. Pachulia (traveling),,20,16
48,1,5:33.0,,M. Morris misses 3-pt jump shot from 23 ft,20,16
49,1,5:33.0,Defensive rebound by D. Green,,20,16
50,1,5:25.0,D. Green misses 3-pt jump shot from 26 ft,,20,16
51,1,5:25.0,,Defensive rebound by Team,20,16
52,1,5:25.0,J. McGee enters the game for Z. Pachulia,,20,16
53,1,5:09.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,20,16
54,1,5:08.0,Defensive rebound by K. Durant,,20,16
55,1,5:00.0,J. McGee makes 2-pt dunk at rim (assist by D. Green),,22,16
56,1,5:00.0,,Technical foul by Team,22,16
57,1,5:00.0,S. Curry makes technical free throw,,23,16
58,1,5:00.0,A. Iguodala enters the game for K. Durant,,23,16
59,1,4:44.0,,R. Jackson makes 2-pt jump shot from 21 ft,23,18
60,1,4:34.0,Turnover by S. Curry (kicked ball),,23,18
61,1,4:23.0,,M. Morris makes 2-pt jump shot from 19 ft (assist by R. Jackson),23,20
62,1,4:06.0,A. Iguodala misses 2-pt jump shot from 15 ft,,23,20
63,1,4:05.0,,Defensive rebound by A. Drummond,23,20
64,1,3:59.0,,M. Morris misses 3-pt jump shot from 25 ft,23,20
65,1,3:58.0,Defensive rebound by J. McGee,,23,20
66,1,3:43.0,J. McGee misses 2-pt dunk at rim (block by A. Drummond),,23,20
67,1,3:40.0,,Defensive rebound by M. Morris,23,20
68,1,3:28.0,,J. Leuer makes 2-pt layup at rim (assist by A. Drummond),23,22
69,1,3:19.0,Turnover by S. Curry (bad pass; steal by J. Leuer),,23,22
70,1,3:14.0,,J. Leuer makes 2-pt layup from 1 ft,23,24
71,1,3:14.0,Golden State full timeout,,23,24
72,1,3:14.0,I. Clark enters the game for K. Thompson,,23,24
73,1,3:14.0,,T. Harris enters the game for M. Morris,23,24
74,1,2:58.0,Personal foul by T. Harris (drawn by A. Iguodala),,23,24
75,1,2:58.0,,I. Smith enters the game for R. Jackson,23,24
76,1,2:48.0,J. McGee makes 2-pt dunk at rim (assist by D. Green),,25,24
77,1,2:32.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,25,24
78,1,2:31.0,Defensive rebound by I. Clark,,25,24
79,1,2:25.0,Turnover by D. Green (bad pass; steal by K. Caldwell-Pope),,25,24
80,1,2:15.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,25,24
81,1,2:15.0,Defensive rebound by J. McGee,,25,24
82,1,2:00.0,J. McGee makes 2-pt layup from 1 ft (assist by S. Curry),,27,24
83,1,1:47.0,,I. Smith makes 2-pt layup from 1 ft,27,26
84,1,1:47.0,,Shooting foul by I. Clark (drawn by I. Smith),27,26
85,1,1:47.0,,I. Smith misses free throw 1 of 1,27,26
86,1,1:47.0,,A. Baynes enters the game for A. Drummond,27,26
87,1,1:46.0,Defensive rebound by D. Green,,27,26
88,1,1:28.0,D. Green misses 3-pt jump shot from 26 ft,,27,26
89,1,1:28.0,,Defensive rebound by T. Harris,27,26
90,1,1:21.0,,I. Smith makes 2-pt jump shot from 6 ft,27,28
91,1,1:00.0,S. Curry makes 3-pt jump shot from 24 ft,,30,28
92,1,0:44.0,,K. Caldwell-Pope makes 2-pt jump shot from 21 ft,30,30
93,1,0:36.0,D. West enters the game for J. McGee,,30,30
94,1,0:36.0,K. Durant enters the game for D. Green,,30,30
95,1,0:33.0,Personal foul by A. Baynes (drawn by S. Curry),,30,30
96,1,0:30.0,Personal foul by K. Caldwell-Pope (drawn by S. Curry),,30,30
97,1,0:30.0,S. Curry makes free throw 1 of 3,,31,30
98,1,0:30.0,S. Curry makes free throw 2 of 3,,32,30
99,1,0:30.0,S. Curry makes free throw 3 of 3,,33,30
100,1,0:10.0,,A. Baynes makes 2-pt layup at rim (assist by I. Smith),33,32
101,1,0:02.0,K. Durant misses 2-pt jump shot from 16 ft,,33,32
102,1,0:00.0,,Defensive rebound by T. Harris,33,32
103,2,11:41.0,D. West makes 2-pt dunk at rim (assist by K. Durant),,35,32
104,2,11:30.0,,T. Harris misses 2-pt jump shot from 13 ft,35,32
105,2,11:29.0,Defensive rebound by A. Iguodala,,35,32
106,2,11:15.0,S. Livingston misses 2-pt jump shot from 10 ft,,35,32
107,2,11:15.0,,Defensive rebound by S. Johnson,35,32
108,2,11:06.0,,I. Smith makes 2-pt jump shot from 16 ft,35,34
109,2,10:39.0,D. West misses 2-pt jump shot from 11 ft,,35,34
110,2,10:39.0,,Defensive rebound by I. Smith,35,34
111,2,10:22.0,,S. Johnson makes 3-pt jump shot from 26 ft (assist by I. Smith),35,37
112,2,10:04.0,S. Livingston makes 2-pt hook shot from 7 ft (assist by D. West),,37,37
113,2,9:45.0,,T. Harris misses 2-pt jump shot from 12 ft,37,37
114,2,9:45.0,Defensive rebound by K. Durant,,37,37
115,2,9:40.0,K. Durant makes 2-pt layup at rim,,39,37
116,2,9:29.0,,Shooting foul by K. Durant (drawn by T. Harris),39,37
117,2,9:29.0,,T. Harris makes free throw 1 of 2,39,38
118,2,9:29.0,,T. Harris makes free throw 2 of 2,39,39
119,2,9:16.0,K. Thompson makes 2-pt layup from 1 ft,,41,39
120,2,8:59.0,Official timeout,,41,39
121,2,8:59.0,,A. Drummond enters the game for A. Baynes,41,39
122,2,8:59.0,I. Clark enters the game for A. Iguodala,,41,39
123,2,8:53.0,,I. Smith misses 2-pt jump shot from 19 ft,41,39
124,2,8:52.0,Defensive rebound by K. Durant,,41,39
125,2,8:38.0,K. Durant makes 2-pt hook shot from 6 ft (assist by D. West),,43,39
126,2,8:23.0,,S. Johnson misses 2-pt jump shot from 17 ft,43,39
127,2,8:23.0,Defensive rebound by Team,,43,39
128,2,8:23.0,,Loose ball foul by A. Drummond (drawn by D. West),43,39
129,2,7:56.0,K. Durant misses 3-pt jump shot from 26 ft,,43,39
130,2,7:56.0,,Defensive rebound by A. Drummond,43,39
131,2,7:47.0,,Shooting foul by D. West (drawn by T. Harris),43,39
132,2,7:47.0,,T. Harris makes free throw 1 of 2,43,40
133,2,7:47.0,,T. Harris makes free throw 2 of 2,43,41
134,2,7:39.0,Personal foul by M. Morris (drawn by K. Durant),,43,41
135,2,7:36.0,Shooting foul by M. Morris (drawn by I. Clark),,43,41
136,2,7:36.0,I. Clark makes free throw 1 of 2,,44,41
137,2,7:36.0,,J. Leuer enters the game for M. Morris,44,41
138,2,7:36.0,I. Clark makes free throw 2 of 2,,45,41
139,2,7:15.0,,T. Harris misses 2-pt jump shot from 5 ft,45,41
140,2,7:14.0,Defensive rebound by K. Durant,,45,41
141,2,7:10.0,K. Durant makes 2-pt layup at rim,,47,41
142,2,7:05.0,,Detroit full timeout,47,41
143,2,7:05.0,,K. Caldwell-Pope enters the game for I. Smith,47,41
144,2,7:05.0,,R. Jackson enters the game for S. Johnson,47,41
145,2,7:05.0,D. Green enters the game for K. Durant,,47,41
146,2,7:05.0,Z. Pachulia enters the game for D. West,,47,41
147,2,6:50.0,,A. Drummond makes 2-pt hook shot from 7 ft,47,43
148,2,6:31.0,K. Thompson misses 2-pt jump shot from 5 ft (block by A. Drummond),,47,43
149,2,6:30.0,,Defensive rebound by J. Leuer,47,43
150,2,6:26.0,,Turnover by K. Caldwell-Pope (bad pass; steal by S. Livingston),47,43
151,2,6:16.0,D. Green misses 3-pt jump shot from 27 ft,,47,43
152,2,6:16.0,,Defensive rebound by J. Leuer,47,43
153,2,6:06.0,,J. Leuer makes 2-pt hook shot from 7 ft,47,45
154,2,5:58.0,Offensive foul by Z. Pachulia (drawn by R. Jackson),,47,45
155,2,5:58.0,Turnover by Z. Pachulia (offensive foul),,47,45
156,2,5:58.0,S. Curry enters the game for K. Thompson,,47,45
157,2,5:44.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by R. Jackson),47,48
158,2,5:33.0,S. Livingston misses 2-pt jump shot from 14 ft,,47,48
159,2,5:33.0,,Defensive rebound by A. Drummond,47,48
160,2,5:26.0,,R. Jackson makes 2-pt layup from 1 ft,47,50
161,2,5:11.0,Shooting foul by J. Leuer (drawn by D. Green),,47,50
162,2,5:11.0,D. Green makes free throw 1 of 2,,48,50
163,2,5:11.0,D. Green misses free throw 2 of 2,,48,50
164,2,5:11.0,A. Iguodala enters the game for I. Clark,,48,50
165,2,5:10.0,,Defensive rebound by T. Harris,48,50
166,2,4:58.0,,Turnover by R. Jackson (bad pass; steal by S. Curry),48,50
167,2,4:46.0,S. Curry misses 2-pt layup at rim,,48,50
168,2,4:45.0,,Defensive rebound by R. Jackson,48,50
169,2,4:44.0,,Personal foul by S. Livingston (drawn by A. Drummond),48,50
170,2,4:25.0,,T. Harris misses 3-pt jump shot from 27 ft,48,50
171,2,4:24.0,Defensive rebound by Team,,48,50
172,2,4:14.0,S. Curry misses 3-pt jump shot from 25 ft,,48,50
173,2,4:13.0,Offensive rebound by Z. Pachulia,,48,50
174,2,4:03.0,Turnover by A. Iguodala (3 sec),,48,50
175,2,3:46.0,,A. Drummond makes 2-pt dunk at rim (assist by J. Leuer),48,52
176,2,3:46.0,,Shooting foul by S. Livingston (drawn by A. Drummond),48,52
177,2,3:46.0,Golden State full timeout,,48,52
178,2,3:46.0,,A. Drummond misses free throw 1 of 1,48,52
179,2,3:46.0,K. Thompson enters the game for Z. Pachulia,,48,52
180,2,3:46.0,K. Durant enters the game for S. Livingston,,48,52
181,2,3:45.0,Defensive rebound by K. Thompson,,48,52
182,2,3:21.0,Turnover by Team (shot clock),,48,52
183,2,3:08.0,,Shooting foul by K. Durant (drawn by A. Drummond),48,52
184,2,3:08.0,,A. Drummond misses free throw 1 of 2,48,52
185,2,3:08.0,,Offensive rebound by Team,48,52
186,2,3:08.0,,A. Drummond misses free throw 2 of 2,48,52
187,2,3:08.0,Defensive rebound by D. Green,,48,52
188,2,2:55.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),,51,52
189,2,2:43.0,,R. Jackson misses 3-pt jump shot from 26 ft,51,52
190,2,2:43.0,Defensive rebound by A. Iguodala,,51,52
191,2,2:33.0,K. Thompson misses 3-pt jump shot from 24 ft,,51,52
192,2,2:32.0,,Defensive rebound by J. Leuer,51,52
193,2,2:22.0,,R. Jackson misses 2-pt layup at rim,51,52
194,2,2:21.0,Defensive rebound by D. Green,,51,52
195,2,2:14.0,Turnover by S. Curry (bad pass),,51,52
196,2,1:58.0,,A. Drummond misses 2-pt hook shot from 8 ft,51,52
197,2,1:58.0,Defensive rebound by K. Durant,,51,52
198,2,1:56.0,Turnover by K. Durant (lost ball; steal by A. Drummond),,51,52
199,2,1:51.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by A. Drummond),51,55
200,2,1:32.0,Turnover by D. Green (bad pass; steal by R. Jackson),,51,55
201,2,1:25.0,,Turnover by R. Jackson (bad pass),51,55
202,2,1:25.0,,S. Johnson enters the game for A. Drummond,51,55
203,2,1:11.0,Shooting foul by J. Leuer (drawn by K. Durant),,51,55
204,2,1:11.0,K. Durant makes free throw 1 of 2,,52,55
205,2,1:11.0,,A. Baynes enters the game for J. Leuer,52,55
206,2,1:11.0,K. Durant makes free throw 2 of 2,,53,55
207,2,1:00.0,,R. Jackson makes 2-pt layup at rim,53,57
208,2,0:50.0,A. Iguodala makes 2-pt layup from 1 ft,,55,57
209,2,0:37.0,,T. Harris makes 2-pt jump shot from 13 ft (assist by R. Jackson),55,59
210,2,0:32.0,S. Curry misses 3-pt jump shot from 26 ft,,55,59
211,2,0:31.0,,Defensive rebound by T. Harris,55,59
212,2,0:07.0,,R. Jackson misses 2-pt jump shot from 17 ft,55,59
213,2,0:07.0,Defensive rebound by S. Curry,,55,59
214,2,0:02.0,Shooting foul by R. Jackson (drawn by K. Thompson),,55,59
215,2,0:02.0,K. Thompson makes free throw 1 of 2,,56,59
216,2,0:02.0,S. Livingston enters the game for K. Durant,,56,59
217,2,0:02.0,K. Thompson makes free throw 2 of 2,,57,59
218,2,0:01.0,,R. Jackson misses 3-pt jump shot from 51 ft,57,59
219,2,0:00.0,,Offensive rebound by Team,57,59
220,3,11:46.0,K. Thompson misses 2-pt layup from 1 ft (block by K. Caldwell-Pope),,57,59
221,3,11:45.0,,Defensive rebound by A. Drummond,57,59
222,3,11:40.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,57,59
223,3,11:38.0,Defensive rebound by D. Green,,57,59
224,3,11:29.0,K. Durant misses 2-pt jump shot from 18 ft,,57,59
225,3,11:28.0,,Defensive rebound by A. Drummond,57,59
226,3,11:07.0,,R. Jackson makes 2-pt layup at rim,57,61
227,3,10:50.0,S. Curry misses 2-pt jump shot from 10 ft,,57,61
228,3,10:50.0,,Defensive rebound by M. Morris,57,61
229,3,10:41.0,,M. Morris misses 3-pt jump shot from 26 ft,57,61
230,3,10:38.0,Defensive rebound by Z. Pachulia,,57,61
231,3,10:24.0,D. Green misses 3-pt jump shot from 27 ft,,57,61
232,3,10:24.0,,Defensive rebound by J. Leuer,57,61
233,3,10:09.0,,A. Drummond makes 2-pt layup from 1 ft,57,63
234,3,9:55.0,Shooting foul by M. Morris (drawn by Z. Pachulia),,57,63
235,3,9:55.0,Z. Pachulia makes free throw 1 of 2,,58,63
236,3,9:55.0,,T. Harris enters the game for M. Morris,58,63
237,3,9:55.0,Z. Pachulia makes free throw 2 of 2,,59,63
238,3,9:43.0,,Turnover by A. Drummond (lost ball; steal by D. Green),59,63
239,3,9:37.0,K. Durant makes 2-pt dunk at rim (assist by D. Green),,61,63
240,3,9:24.0,,R. Jackson misses 2-pt jump shot from 6 ft,61,63
241,3,9:24.0,Defensive rebound by D. Green,,61,63
242,3,9:23.0,Turnover by K. Thompson (step out of bounds),,61,63
243,3,9:04.0,,T. Harris makes 2-pt jump shot from 14 ft,61,65
244,3,8:47.0,S. Curry misses 3-pt jump shot from 26 ft,,61,65
245,3,8:47.0,Offensive rebound by Z. Pachulia,,61,65
246,3,8:46.0,Z. Pachulia makes 2-pt layup at rim,,63,65
247,3,8:46.0,Shooting foul by A. Drummond (drawn by Z. Pachulia),,63,65
248,3,8:46.0,Z. Pachulia makes free throw 1 of 1,,64,65
249,3,8:24.0,,R. Jackson makes 2-pt jump shot from 7 ft,64,67
250,3,8:00.0,K. Thompson misses 3-pt jump shot from 24 ft,,64,67
251,3,8:00.0,,Defensive rebound by J. Leuer,64,67
252,3,7:54.0,,Personal foul by D. Green (drawn by R. Jackson),64,67
253,3,7:37.0,,R. Jackson makes 2-pt jump shot from 9 ft (assist by T. Harris),64,69
254,3,7:25.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,67,69
255,3,7:11.0,,J. Leuer misses 3-pt jump shot from 26 ft,67,69
256,3,7:11.0,Defensive rebound by K. Thompson,,67,69
257,3,7:00.0,K. Thompson misses 3-pt jump shot from 25 ft,,67,69
