,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MIAMI_ACTION,MINNESOTA_SCORE,MIAMI_SCORE
0,1,11:34.0,,H. Whiteside makes 2-pt jump shot from 5 ft (assist by D. Waiters),0,2
1,1,11:13.0,K. Towns makes 2-pt jump shot from 16 ft,,2,2
2,1,10:56.0,,L. Babbitt misses 3-pt jump shot from 23 ft,2,2
3,1,10:55.0,Defensive rebound by K. Towns,,2,2
4,1,10:39.0,A. Wiggins misses 2-pt layup from 2 ft,,2,2
5,1,10:38.0,,Defensive rebound by D. Waiters,2,2
6,1,10:25.0,,R. McGruder makes 2-pt layup from 1 ft (assist by H. Whiteside),2,4
7,1,10:06.0,A. Wiggins misses 2-pt jump shot from 17 ft,,2,4
8,1,10:04.0,Offensive rebound by G. Dieng,,2,4
9,1,10:02.0,G. Dieng misses 2-pt jump shot from 4 ft,,2,4
10,1,10:01.0,,Defensive rebound by H. Whiteside,2,4
11,1,9:55.0,,Personal foul by R. Rubio (drawn by H. Whiteside),2,4
12,1,9:46.0,,D. Waiters makes 2-pt jump shot from 16 ft (assist by G. Dragić),2,6
13,1,9:31.0,Def 3 sec tech foul by H. Whiteside,,2,6
14,1,9:31.0,R. Rubio makes technical free throw,,3,6
15,1,9:31.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,5,6
16,1,9:14.0,,G. Dragić misses 3-pt jump shot from 24 ft,5,6
17,1,9:13.0,Defensive rebound by G. Dieng,,5,6
18,1,9:05.0,R. Rubio misses 2-pt jump shot from 17 ft,,5,6
19,1,9:04.0,,Defensive rebound by H. Whiteside,5,6
20,1,8:56.0,,G. Dragić makes 2-pt layup at rim,5,8
21,1,8:39.0,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),,7,8
22,1,8:14.0,,L. Babbitt makes 2-pt jump shot from 12 ft (assist by R. McGruder),7,10
23,1,8:01.0,B. Rush misses 3-pt jump shot from 24 ft,,7,10
24,1,8:00.0,,Defensive rebound by H. Whiteside,7,10
25,1,7:53.0,,G. Dragić misses 2-pt layup from 2 ft (block by R. Rubio),7,10
26,1,7:50.0,,Offensive rebound by Team,7,10
27,1,7:43.0,,R. McGruder misses 3-pt jump shot from 23 ft,7,10
28,1,7:42.0,,Offensive rebound by H. Whiteside,7,10
29,1,7:38.0,,H. Whiteside makes 2-pt jump shot from 6 ft,7,12
30,1,7:20.0,G. Dieng misses 2-pt jump shot from 10 ft,,7,12
31,1,7:19.0,,Defensive rebound by L. Babbitt,7,12
32,1,7:13.0,,R. McGruder makes 2-pt layup from 1 ft (assist by D. Waiters),7,14
33,1,6:52.0,G. Dieng misses 2-pt jump shot from 6 ft,,7,14
34,1,6:51.0,,Defensive rebound by H. Whiteside,7,14
35,1,6:41.0,,Turnover by D. Waiters (lost ball; steal by B. Rush),7,14
36,1,6:34.0,R. Rubio misses 2-pt jump shot from 8 ft,,7,14
37,1,6:33.0,,Defensive rebound by D. Waiters,7,14
38,1,6:29.0,,G. Dragić misses 2-pt layup from 2 ft (block by G. Dieng),7,14
39,1,6:28.0,Defensive rebound by B. Rush,,7,14
40,1,6:21.0,A. Wiggins makes 3-pt jump shot from 23 ft (assist by B. Rush),,10,14
41,1,6:08.0,,D. Waiters makes 2-pt layup from 2 ft,10,16
42,1,5:41.0,A. Wiggins makes 2-pt jump shot from 16 ft,,12,16
43,1,5:32.0,,Miami full timeout,12,16
44,1,5:24.0,,G. Dragić misses 2-pt jump shot from 5 ft,12,16
45,1,5:22.0,Defensive rebound by K. Towns,,12,16
46,1,5:14.0,Shooting foul by R. McGruder (drawn by B. Rush),,12,16
47,1,5:14.0,B. Rush makes free throw 1 of 2,,13,16
48,1,5:14.0,B. Rush makes free throw 2 of 2,,14,16
49,1,5:05.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by D. Waiters),14,19
50,1,4:42.0,K. Towns misses 2-pt hook shot from 7 ft,,14,19
51,1,4:41.0,,Defensive rebound by H. Whiteside,14,19
52,1,4:31.0,,L. Babbitt makes 3-pt jump shot from 25 ft (assist by G. Dragić),14,22
53,1,4:12.0,Turnover by A. Wiggins (lost ball; steal by R. McGruder),,14,22
54,1,4:08.0,,Turnover by D. Waiters (lost ball),14,22
55,1,4:08.0,C. Aldrich enters the game for K. Towns,,14,22
56,1,4:08.0,,T. Johnson enters the game for G. Dragić,14,22
57,1,3:44.0,A. Wiggins misses 2-pt jump shot from 17 ft,,14,22
58,1,3:44.0,,Defensive rebound by L. Babbitt,14,22
59,1,3:34.0,,Offensive foul by L. Babbitt (drawn by R. Rubio),14,22
60,1,3:34.0,,Turnover by L. Babbitt (offensive foul),14,22
61,1,3:16.0,G. Dieng misses 2-pt jump shot from 16 ft,,14,22
62,1,3:15.0,,Defensive rebound by T. Johnson,14,22
63,1,3:08.0,,T. Johnson misses 3-pt jump shot from 24 ft,14,22
64,1,3:07.0,Defensive rebound by B. Rush,,14,22
65,1,2:48.0,C. Aldrich makes 2-pt layup from 1 ft (assist by R. Rubio),,16,22
66,1,2:48.0,Shooting foul by H. Whiteside (drawn by C. Aldrich),,16,22
67,1,2:48.0,Minnesota full timeout,,16,22
68,1,2:48.0,S. Muhammad enters the game for G. Dieng,,16,22
69,1,2:48.0,,J. Johnson enters the game for R. McGruder,16,22
70,1,2:48.0,,J. Richardson enters the game for L. Babbitt,16,22
71,1,2:48.0,C. Aldrich makes free throw 1 of 1,,17,22
72,1,2:37.0,,D. Waiters makes 2-pt dunk at rim (assist by J. Johnson),17,24
73,1,2:19.0,A. Wiggins makes 2-pt jump shot from 20 ft,,19,24
74,1,1:59.0,,J. Johnson makes 2-pt jump shot from 22 ft,19,26
75,1,1:48.0,R. Rubio misses 2-pt jump shot from 17 ft,,19,26
76,1,1:47.0,,Defensive rebound by H. Whiteside,19,26
77,1,1:37.0,,H. Whiteside misses 2-pt jump shot from 19 ft,19,26
78,1,1:36.0,Defensive rebound by S. Muhammad,,19,26
79,1,1:24.0,A. Wiggins makes 2-pt layup from 1 ft,,21,26
80,1,1:08.0,,Turnover by J. Johnson (lost ball; steal by A. Wiggins),21,26
81,1,1:05.0,Turnover by S. Muhammad (bad pass),,21,26
82,1,1:05.0,,W. Reed enters the game for H. Whiteside,21,26
83,1,1:05.0,T. Jones enters the game for B. Rush,,21,26
84,1,1:05.0,K. Dunn enters the game for R. Rubio,,21,26
85,1,1:05.0,,W. Ellington enters the game for D. Waiters,21,26
86,1,0:53.0,,Shooting foul by S. Muhammad (drawn by J. Richardson),21,26
87,1,0:53.0,,J. Richardson makes free throw 1 of 2,21,27
88,1,0:53.0,,J. Richardson misses free throw 2 of 2,21,27
89,1,0:53.0,Defensive rebound by C. Aldrich,,21,27
90,1,0:41.0,S. Muhammad misses 3-pt jump shot from 27 ft,,21,27
91,1,0:40.0,,Defensive rebound by W. Reed,21,27
92,1,0:23.0,,W. Ellington misses 3-pt jump shot from 25 ft,21,27
93,1,0:23.0,Defensive rebound by A. Wiggins,,21,27
94,1,0:03.0,A. Wiggins makes 2-pt jump shot from 10 ft,,23,27
95,1,0:01.0,,J. Johnson misses 3-pt jump shot from 43 ft,23,27
96,1,0:00.0,,Offensive rebound by Team,23,27
97,2,11:46.0,T. Jones makes 2-pt jump shot from 10 ft,,25,27
98,2,11:28.0,,T. Johnson makes 2-pt dunk at rim (assist by J. Richardson),25,29
99,2,11:06.0,S. Muhammad makes 2-pt jump shot from 5 ft,,27,29
100,2,10:49.0,,J. Johnson makes 2-pt jump shot from 16 ft,27,31
101,2,10:32.0,T. Jones makes 2-pt jump shot from 7 ft,,29,31
102,2,10:19.0,,W. Ellington misses 3-pt jump shot from 24 ft,29,31
103,2,10:18.0,Defensive rebound by K. Towns,,29,31
104,2,10:06.0,K. Dunn misses 2-pt jump shot from 17 ft,,29,31
105,2,10:05.0,,Defensive rebound by J. Johnson,29,31
106,2,9:58.0,,Personal foul by K. Towns (drawn by T. Johnson),29,31
107,2,9:50.0,,W. Ellington makes 2-pt jump shot from 19 ft,29,33
108,2,9:23.0,B. Rush misses 3-pt jump shot from 25 ft,,29,33
109,2,9:22.0,,Defensive rebound by W. Ellington,29,33
110,2,9:12.0,,T. Johnson misses 2-pt layup from 2 ft,29,33
111,2,9:11.0,,Offensive rebound by W. Reed,29,33
112,2,9:10.0,,W. Reed makes 2-pt dunk at rim,29,35
113,2,8:51.0,S. Muhammad misses 3-pt jump shot from 25 ft,,29,35
114,2,8:50.0,,Defensive rebound by W. Ellington,29,35
115,2,8:38.0,,J. Johnson makes 2-pt jump shot from 8 ft,29,37
116,2,8:31.0,Minnesota full timeout,,29,37
117,2,8:20.0,Shooting foul by W. Reed (drawn by K. Towns),,29,37
118,2,8:20.0,K. Towns makes free throw 1 of 2,,30,37
119,2,8:20.0,K. Towns makes free throw 2 of 2,,31,37
120,2,8:10.0,Violation by K. Dunn (kicked ball),,31,37
121,2,8:00.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by T. Johnson),31,40
122,2,7:49.0,T. Jones misses 2-pt jump shot from 9 ft (block by T. Johnson),,31,40
123,2,7:48.0,,Defensive rebound by J. Richardson,31,40
124,2,7:40.0,,J. Johnson makes 2-pt layup from 2 ft (assist by W. Ellington),31,42
125,2,7:32.0,Minnesota full timeout,,31,42
126,2,7:32.0,G. Dieng enters the game for B. Rush,,31,42
127,2,7:32.0,R. Rubio enters the game for K. Dunn,,31,42
128,2,7:32.0,A. Wiggins enters the game for T. Jones,,31,42
