,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MILWAUKEE_ACTION,GOLDEN STATE_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,J. Parker misses 2-pt hook shot from 4 ft,0,0
1,1,11:40.0,Defensive rebound by K. Durant,,0,0
2,1,11:21.0,S. Curry misses 3-pt jump shot from 26 ft,,0,0
3,1,11:20.0,,Defensive rebound by G. Antetokounmpo,0,0
4,1,11:08.0,,J. Henson makes 2-pt hook shot from 7 ft (assist by M. Dellavedova),0,2
5,1,10:51.0,K. Durant makes 2-pt layup from 1 ft (assist by K. Thompson),,2,2
6,1,10:51.0,Shooting foul by J. Henson (drawn by K. Durant),,2,2
7,1,10:51.0,K. Durant makes free throw 1 of 1,,3,2
8,1,10:33.0,,J. Henson makes 2-pt hook shot from 12 ft,3,4
9,1,10:25.0,K. Durant makes 2-pt dunk at rim (assist by Z. Pachulia),,5,4
10,1,10:12.0,,Personal foul by Z. Pachulia (drawn by J. Henson),5,4
11,1,10:02.0,,G. Antetokounmpo misses 2-pt jump shot from 10 ft,5,4
12,1,10:01.0,Defensive rebound by Z. Pachulia,,5,4
13,1,9:52.0,K. Thompson misses 2-pt jump shot from 14 ft,,5,4
14,1,9:51.0,,Defensive rebound by J. Henson,5,4
15,1,9:45.0,,Turnover by M. Dellavedova (bad pass; steal by K. Durant),5,4
16,1,9:42.0,Shooting foul by T. Snell (drawn by K. Durant),,5,4
17,1,9:42.0,K. Durant makes free throw 1 of 2,,6,4
18,1,9:42.0,K. Durant misses free throw 2 of 2,,6,4
19,1,9:41.0,,Defensive rebound by J. Henson,6,4
20,1,9:30.0,,T. Snell makes 2-pt jump shot from 21 ft (assist by G. Antetokounmpo),6,6
21,1,9:12.0,D. Green misses 2-pt jump shot from 6 ft,,6,6
22,1,9:11.0,Offensive rebound by D. Green,,6,6
23,1,9:07.0,K. Thompson misses 3-pt jump shot from 24 ft,,6,6
24,1,9:06.0,,Defensive rebound by J. Henson,6,6
25,1,9:03.0,,M. Dellavedova makes 2-pt layup at rim,6,8
26,1,8:48.0,,Violation by J. Henson (kicked ball),6,8
27,1,8:43.0,D. Green makes 2-pt dunk at rim (assist by Z. Pachulia),,8,8
28,1,8:31.0,,G. Antetokounmpo makes 2-pt jump shot from 21 ft,8,10
29,1,8:19.0,D. Green makes 2-pt dunk at rim (assist by Z. Pachulia),,10,10
30,1,8:04.0,,Def 3 sec tech foul by K. Durant,10,10
31,1,8:04.0,,M. Dellavedova makes technical free throw,10,11
32,1,7:55.0,,J. Parker makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),10,14
33,1,7:43.0,Personal foul by M. Dellavedova (drawn by Z. Pachulia),,10,14
34,1,7:41.0,Personal foul by G. Antetokounmpo (drawn by S. Curry),,10,14
35,1,7:37.0,Turnover by D. Green (bad pass; steal by J. Henson),,10,14
36,1,7:19.0,,G. Antetokounmpo misses 2-pt jump shot from 10 ft,10,14
37,1,7:17.0,Defensive rebound by K. Durant,,10,14
38,1,7:06.0,K. Thompson makes 2-pt jump shot from 15 ft (assist by K. Durant),,12,14
39,1,6:49.0,,J. Parker makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),12,16
40,1,6:36.0,Def 3 sec tech foul by J. Henson,,12,16
41,1,6:36.0,S. Curry makes technical free throw,,13,16
42,1,6:36.0,,M. Brogdon enters the game for M. Dellavedova,13,16
43,1,6:30.0,S. Curry misses 3-pt jump shot from 27 ft,,13,16
44,1,6:29.0,Offensive rebound by Team,,13,16
45,1,6:17.0,K. Durant makes 3-pt jump shot from 24 ft (assist by S. Curry),,16,16
46,1,6:01.0,,J. Parker misses 2-pt hook shot from 5 ft,16,16
47,1,6:00.0,Defensive rebound by Z. Pachulia,,16,16
48,1,5:53.0,Turnover by S. Curry (bad pass; steal by G. Antetokounmpo),,16,16
49,1,5:51.0,,Personal foul by K. Thompson (drawn by G. Antetokounmpo),16,16
50,1,5:51.0,,Milwaukee full timeout,16,16
51,1,5:51.0,,M. Plumlee enters the game for G. Antetokounmpo,16,16
52,1,5:51.0,,M. Beasley enters the game for J. Henson,16,16
53,1,5:51.0,A. Iguodala enters the game for K. Durant,,16,16
54,1,5:51.0,Violation by Team (jump ball),,16,16
55,1,5:43.0,,Turnover by J. Parker (bad pass; steal by Z. Pachulia),16,16
56,1,5:36.0,D. Green misses 3-pt jump shot from 28 ft,,16,16
