,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHOENIX_ACTION,ATLANTA_SCORE,PHOENIX_SCORE
0,1,11:42.0,,P. Tucker makes 2-pt jump shot from 16 ft,0,2
1,1,11:20.0,D. Schröder makes 2-pt jump shot from 17 ft,,2,2
2,1,11:00.0,,P. Tucker makes 2-pt jump shot from 13 ft,2,4
3,1,10:43.0,Turnover by M. Muscala (bad pass; steal by M. Chriss),,2,4
4,1,10:39.0,,D. Booker makes 2-pt layup from 2 ft,2,6
5,1,10:28.0,M. Muscala misses 2-pt jump shot from 15 ft,,2,6
6,1,10:24.0,,Defensive rebound by E. Bledsoe,2,6
7,1,10:12.0,,P. Tucker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),2,9
8,1,9:56.0,D. Howard misses 2-pt jump shot from 4 ft (block by T. Chandler),,2,9
9,1,9:56.0,Offensive rebound by Team,,2,9
10,1,9:54.0,D. Schröder makes 2-pt jump shot from 16 ft (assist by K. Korver),,4,9
11,1,9:39.0,,D. Booker misses 2-pt jump shot from 14 ft,4,9
12,1,9:37.0,Defensive rebound by D. Howard,,4,9
13,1,9:23.0,D. Howard makes 2-pt jump shot from 12 ft (assist by D. Schröder),,6,9
14,1,9:02.0,,M. Chriss makes 2-pt jump shot from 5 ft,6,11
15,1,8:54.0,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Schröder),,9,11
16,1,8:42.0,,E. Bledsoe misses 2-pt jump shot from 5 ft,9,11
17,1,8:39.0,Defensive rebound by D. Howard,,9,11
18,1,8:36.0,Turnover by D. Howard (bad pass; steal by T. Chandler),,9,11
19,1,8:33.0,,Shooting block foul by D. Schröder (drawn by D. Booker),9,11
20,1,8:33.0,,D. Booker misses free throw 1 of 2,9,11
21,1,8:33.0,,Offensive rebound by Team,9,11
22,1,8:33.0,,D. Booker misses free throw 2 of 2,9,11
23,1,8:31.0,Defensive rebound by M. Muscala,,9,11
24,1,8:21.0,Personal foul by E. Bledsoe (drawn by D. Schröder),,9,11
25,1,8:16.0,K. Bazemore misses 2-pt jump shot from 16 ft,,9,11
26,1,8:14.0,Offensive rebound by K. Bazemore,,9,11
27,1,8:11.0,M. Muscala misses 2-pt jump shot from 16 ft,,9,11
28,1,8:09.0,Offensive rebound by D. Howard,,9,11
