,QUARTER,TIME_REMAINING,DALLAS_ACTION,MILWAUKEE_ACTION,DALLAS_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,,M. Dellavedova makes 2-pt layup from 3 ft,0,2
1,1,11:30.0,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by W. Matthews),,2,2
2,1,11:09.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Dellavedova),2,4
3,1,10:50.0,H. Barnes makes 2-pt jump shot from 16 ft,,4,4
4,1,10:23.0,,K. Middleton misses 3-pt jump shot from 24 ft,4,4
5,1,10:22.0,Defensive rebound by D. Finney-Smith,,4,4
6,1,10:15.0,Y. Ferrell makes 3-pt jump shot from 26 ft,,7,4
7,1,10:02.0,,T. Maker misses 2-pt layup from 1 ft,7,4
8,1,10:01.0,Defensive rebound by D. Nowitzki,,7,4
9,1,9:53.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),,10,4
10,1,9:36.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),10,7
11,1,9:05.0,H. Barnes makes 2-pt jump shot from 19 ft,,12,7
12,1,8:51.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,12,9
13,1,8:32.0,Y. Ferrell makes 3-pt jump shot from 26 ft (assist by D. Nowitzki),,15,9
14,1,8:20.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,15,11
15,1,8:00.0,D. Nowitzki makes 3-pt jump shot from 29 ft (assist by W. Matthews),,18,11
16,1,7:59.0,,Milwaukee full timeout,18,11
17,1,7:59.0,,G. Monroe enters the game for T. Maker,18,11
18,1,7:40.0,,M. Dellavedova makes 2-pt jump shot from 6 ft,18,13
19,1,7:18.0,Y. Ferrell misses 2-pt jump shot from 5 ft,,18,13
20,1,7:17.0,Offensive rebound by D. Finney-Smith,,18,13
21,1,7:13.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Finney-Smith),,21,13
22,1,6:49.0,,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),21,16
23,1,6:30.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,21,16
24,1,6:28.0,,Defensive rebound by K. Middleton,21,16
25,1,6:25.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),21,18
26,1,5:58.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,21,18
27,1,5:57.0,,Defensive rebound by G. Antetokounmpo,21,18
28,1,5:45.0,,Turnover by T. Snell (bad pass),21,18
29,1,5:45.0,Dallas full timeout,,21,18
30,1,5:45.0,D. Harris enters the game for D. Nowitzki,,21,18
31,1,5:45.0,J. Barea enters the game for D. Finney-Smith,,21,18
32,1,5:45.0,N. Noel enters the game for Y. Ferrell,,21,18
33,1,5:32.0,N. Noel makes 2-pt dunk at rim (assist by J. Barea),,23,18
34,1,5:07.0,,G. Antetokounmpo misses 2-pt layup at rim,23,18
35,1,5:05.0,Defensive rebound by D. Harris,,23,18
36,1,4:58.0,Turnover by J. Barea (bad pass; steal by G. Monroe),,23,18
