,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
0,1,11:43.0,,T. Hardaway makes 2-pt layup at rim (assist by K. Bazemore),0,2
1,1,11:27.0,A. Gordon misses 2-pt jump shot from 7 ft,,0,2
2,1,11:26.0,,Defensive rebound by D. Howard,0,2
3,1,11:13.0,,T. Hardaway makes 2-pt dunk at rim (assist by D. Schröder),0,4
4,1,10:52.0,E. Payton makes 2-pt layup from 2 ft (assist by S. Ibaka),,2,4
5,1,10:35.0,,D. Schröder makes 2-pt jump shot from 19 ft (assist by T. Hardaway),2,6
6,1,10:19.0,S. Ibaka misses 2-pt jump shot from 18 ft,,2,6
7,1,10:18.0,,Defensive rebound by D. Howard,2,6
8,1,10:00.0,,D. Howard misses 2-pt layup from 1 ft,2,6
9,1,9:58.0,Defensive rebound by A. Gordon,,2,6
10,1,9:48.0,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),,4,6
11,1,9:35.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by K. Bazemore),4,9
12,1,9:21.0,Turnover by E. Payton (bad pass; steal by D. Schröder),,4,9
13,1,9:18.0,,Shooting foul by S. Ibaka (drawn by P. Millsap),4,9
14,1,9:18.0,,P. Millsap misses free throw 1 of 2,4,9
15,1,9:18.0,,Offensive rebound by Team,4,9
16,1,9:18.0,,P. Millsap makes free throw 2 of 2,4,10
17,1,9:06.0,S. Ibaka misses 2-pt jump shot from 19 ft,,4,10
18,1,9:05.0,,Defensive rebound by K. Bazemore,4,10
19,1,8:56.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Bazemore),4,13
20,1,8:54.0,Orlando full timeout,,4,13
21,1,8:39.0,N. Vučević misses 2-pt jump shot from 17 ft,,4,13
22,1,8:38.0,,Defensive rebound by T. Hardaway,4,13
23,1,8:30.0,,Turnover by D. Schröder (bad pass; steal by N. Vučević),4,13
24,1,8:22.0,E. Payton misses 3-pt jump shot from 24 ft,,4,13
25,1,8:20.0,Offensive rebound by E. Fournier,,4,13
26,1,8:13.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by E. Fournier),,7,13
27,1,7:55.0,,P. Millsap makes 2-pt layup from 2 ft (assist by D. Schröder),7,15
28,1,7:47.0,Shooting foul by D. Schröder (drawn by E. Payton),,7,15
29,1,7:47.0,E. Payton misses free throw 1 of 2,,7,15
30,1,7:47.0,Offensive rebound by Team,,7,15
31,1,7:47.0,E. Payton makes free throw 2 of 2,,8,15
32,1,7:36.0,,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),8,17
33,1,7:21.0,E. Fournier misses 2-pt jump shot from 20 ft,,8,17
34,1,7:20.0,,Defensive rebound by D. Howard,8,17
35,1,7:12.0,,T. Hardaway misses 2-pt hook shot from 15 ft,8,17
36,1,7:11.0,Defensive rebound by N. Vučević,,8,17
37,1,7:03.0,Turnover by E. Fournier (lost ball; steal by T. Hardaway),,8,17
38,1,6:55.0,,D. Schröder misses 2-pt jump shot from 16 ft,8,17
39,1,6:53.0,Defensive rebound by N. Vučević,,8,17
40,1,6:47.0,E. Payton misses 2-pt layup from 4 ft,,8,17
41,1,6:45.0,Offensive rebound by E. Payton,,8,17
42,1,6:42.0,N. Vučević misses 2-pt jump shot from 20 ft,,8,17
43,1,6:40.0,Offensive rebound by S. Ibaka,,8,17
44,1,6:40.0,S. Ibaka makes 2-pt dunk at rim,,10,17
45,1,6:21.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Schröder),10,19
46,1,6:07.0,A. Gordon makes 2-pt hook shot from 4 ft,,12,19
47,1,5:58.0,,D. Howard makes 2-pt dunk at rim (assist by P. Millsap),12,21
