,QUARTER,TIME_REMAINING,UTAH_ACTION,PHILADELPHIA_ACTION,UTAH_SCORE,PHILADELPHIA_SCORE
0,1,11:34.0,G. Hayward makes 2-pt jump shot from 16 ft,,2,0
1,1,11:18.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),2,3
2,1,11:03.0,R. Gobert makes 2-pt layup from 3 ft (assist by R. Hood),,4,3
3,1,10:41.0,,J. Embiid misses 2-pt layup from 1 ft,4,3
4,1,10:39.0,Defensive rebound by D. Favors,,4,3
5,1,10:31.0,Turnover by D. Favors (bad pass; steal by J. Embiid),,4,3
6,1,10:25.0,,S. Rodríguez misses 3-pt jump shot from 25 ft,4,3
7,1,10:24.0,Defensive rebound by R. Gobert,,4,3
8,1,10:18.0,Personal foul by G. Henderson (drawn by R. Hood),,4,3
9,1,10:14.0,R. Hood misses 2-pt jump shot from 19 ft,,4,3
10,1,10:12.0,,Defensive rebound by J. Embiid,4,3
11,1,9:52.0,,D. Šarić makes 2-pt jump shot from 20 ft,4,5
12,1,9:35.0,S. Mack makes 3-pt jump shot from 25 ft (assist by D. Favors),,7,5
13,1,9:31.0,,Turnover by S. Rodríguez (bad pass),7,5
14,1,9:12.0,G. Hayward misses 2-pt jump shot from 20 ft,,7,5
15,1,9:11.0,Offensive rebound by D. Favors,,7,5
16,1,9:09.0,D. Favors misses 2-pt jump shot from 3 ft (block by J. Embiid),,7,5
17,1,9:08.0,,Defensive rebound by S. Rodríguez,7,5
18,1,9:07.0,,Turnover by D. Šarić (lost ball; steal by R. Hood),7,5
19,1,8:36.0,R. Gobert misses 2-pt layup at rim,,7,5
20,1,8:34.0,,Defensive rebound by G. Henderson,7,5
21,1,8:30.0,,G. Henderson misses 2-pt jump shot from 15 ft,7,5
22,1,8:26.0,Defensive rebound by R. Hood,,7,5
23,1,8:25.0,,Offensive charge foul by R. Hood (drawn by G. Henderson),7,5
24,1,8:25.0,Turnover by R. Hood (offensive foul),,7,5
25,1,8:08.0,,J. Embiid misses 2-pt jump shot from 4 ft (block by R. Gobert),7,5
26,1,8:06.0,,Offensive rebound by S. Rodríguez,7,5
27,1,8:00.0,,G. Henderson makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),7,8
28,1,7:44.0,S. Mack misses 2-pt jump shot from 8 ft,,7,8
29,1,7:41.0,Offensive rebound by D. Favors,,7,8
30,1,7:32.0,Turnover by G. Hayward (lost ball; steal by G. Henderson),,7,8
31,1,7:27.0,,G. Henderson misses 2-pt layup from 3 ft,7,8
32,1,7:24.0,Defensive rebound by D. Favors,,7,8
33,1,7:24.0,Shooting foul by J. Embiid (drawn by R. Gobert),,7,8
34,1,7:24.0,R. Gobert makes free throw 1 of 2,,8,8
35,1,7:24.0,,J. Okafor enters the game for J. Embiid,7,8
36,1,7:24.0,R. Gobert makes free throw 2 of 2,,9,8
37,1,7:10.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),9,11
38,1,6:42.0,D. Favors makes 2-pt jump shot from 6 ft (assist by S. Mack),,11,11
39,1,6:27.0,,S. Rodríguez misses 3-pt jump shot from 26 ft,11,11
40,1,6:25.0,Defensive rebound by R. Gobert,,11,11
41,1,6:17.0,G. Hayward misses 2-pt jump shot from 3 ft,,11,11
42,1,6:15.0,,Defensive rebound by R. Covington,11,11
43,1,6:04.0,,J. Okafor makes 2-pt jump shot from 4 ft,11,13
44,1,6:04.0,Utah full timeout,,11,13
45,1,6:04.0,,E. İlyasova enters the game for G. Henderson,11,13
46,1,6:04.0,,N. Stauskas enters the game for D. Šarić,11,13
47,1,5:58.0,Turnover by S. Mack (lost ball; steal by S. Rodríguez),,11,13
48,1,5:53.0,,Shooting foul by D. Favors (drawn by R. Covington),11,13
49,1,5:53.0,,R. Covington makes free throw 1 of 2,11,14
50,1,5:53.0,,R. Covington misses free throw 2 of 2,11,14
51,1,5:53.0,J. Ingles enters the game for R. Hood,,11,14
52,1,5:51.0,Defensive rebound by R. Gobert,,11,14
53,1,5:36.0,D. Favors makes 2-pt jump shot from 17 ft (assist by J. Ingles),,13,14
54,1,5:18.0,,S. Rodríguez makes 2-pt jump shot from 17 ft,13,16
55,1,5:04.0,Personal foul by R. Covington (drawn by R. Gobert),,13,16
56,1,5:04.0,,T. McConnell enters the game for S. Rodríguez,13,16
57,1,5:04.0,D. Exum enters the game for D. Favors,,13,16
58,1,5:04.0,T. Lyles enters the game for S. Mack,,13,16
59,1,5:03.0,,H. Thompson enters the game for R. Covington,13,16
60,1,4:55.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,15,16
61,1,4:45.0,,Turnover by E. İlyasova (bad pass; steal by J. Ingles),15,16
62,1,4:29.0,G. Hayward makes 2-pt jump shot from 17 ft,,17,16
63,1,4:17.0,,Shooting foul by T. Lyles (drawn by J. Okafor),17,16
64,1,4:17.0,,J. Okafor misses free throw 1 of 2,17,16
65,1,4:17.0,,Offensive rebound by Team,17,16
66,1,4:17.0,,J. Okafor makes free throw 2 of 2,17,17
67,1,4:02.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,19,17
68,1,4:02.0,Shooting foul by N. Stauskas (drawn by R. Gobert),,19,17
69,1,4:02.0,R. Gobert misses free throw 1 of 1,,19,17
70,1,4:01.0,,Defensive rebound by J. Okafor,19,17
71,1,3:49.0,,T. McConnell misses 2-pt jump shot from 6 ft (block by D. Exum),19,17
72,1,3:46.0,Defensive rebound by R. Gobert,,19,17
73,1,3:39.0,J. Ingles misses 2-pt layup from 3 ft,,19,17
74,1,3:36.0,Offensive rebound by J. Ingles,,19,17
75,1,3:36.0,J. Ingles makes 2-pt layup from 1 ft,,21,17
76,1,3:13.0,,J. Okafor misses 2-pt jump shot from 19 ft,21,17
77,1,3:13.0,,Offensive rebound by Team,21,17
78,1,3:13.0,Loose ball foul by T. Lyles (drawn by E. İlyasova),,21,17
79,1,3:13.0,,Philadelphia full timeout,21,17
80,1,3:13.0,,J. Embiid enters the game for J. Okafor,21,17
81,1,2:59.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by T. McConnell),21,20
82,1,2:39.0,Offensive foul by R. Gobert (drawn by E. İlyasova),,21,20
83,1,2:39.0,Turnover by R. Gobert (offensive foul),,21,20
84,1,2:26.0,,N. Stauskas misses 3-pt jump shot from 26 ft,21,20
85,1,2:24.0,Defensive rebound by G. Hayward,,21,20
86,1,2:16.0,G. Hayward makes 2-pt jump shot from 6 ft,,23,20
87,1,2:03.0,,Turnover by J. Embiid (lost ball; steal by J. Ingles),23,20
88,1,2:00.0,J. Ingles makes 2-pt layup from 2 ft,,25,20
89,1,2:00.0,Shooting foul by T. McConnell (drawn by J. Ingles),,25,20
90,1,2:00.0,J. Johnson enters the game for G. Hayward,,25,20
91,1,2:00.0,D. Favors enters the game for R. Gobert,,25,20
92,1,2:00.0,J. Ingles makes free throw 1 of 1,,26,20
93,1,1:55.0,,Personal foul by D. Exum (drawn by T. McConnell),26,20
94,1,1:44.0,,T. McConnell misses 2-pt jump shot from 15 ft,26,20
95,1,1:42.0,Defensive rebound by J. Ingles,,26,20
96,1,1:33.0,T. Lyles misses 3-pt jump shot from 25 ft,,26,20
97,1,1:32.0,Offensive rebound by D. Exum,,26,20
98,1,1:19.0,J. Ingles misses 2-pt jump shot from 19 ft,,26,20
99,1,1:19.0,,Defensive rebound by Team,26,20
100,1,1:08.0,,Personal foul by D. Favors (drawn by J. Embiid),26,20
101,1,1:08.0,,J. Embiid makes free throw 1 of 2,26,21
102,1,1:08.0,,J. Embiid misses free throw 2 of 2,26,21
103,1,1:06.0,Defensive rebound by D. Favors,,26,21
104,1,0:50.0,T. Lyles misses 2-pt jump shot from 6 ft,,26,21
105,1,0:50.0,Offensive rebound by D. Favors,,26,21
106,1,0:50.0,D. Favors makes 2-pt layup from 1 ft,,28,21
107,1,0:41.0,,Turnover by E. İlyasova (bad pass; steal by J. Ingles),28,21
108,1,0:39.0,J. Ingles makes 2-pt layup from 1 ft,,30,21
109,1,0:25.0,,N. Stauskas makes 2-pt layup from 2 ft (assist by T. McConnell),30,23
110,1,0:25.0,,Away from play foul by D. Exum (drawn by J. Embiid),30,23
111,1,0:25.0,G. Hayward enters the game for J. Ingles,,30,23
112,1,0:25.0,R. Hood enters the game for T. Lyles,,30,23
113,1,0:25.0,,J. Embiid makes free throw 1 of 1,30,24
114,1,0:03.0,D. Exum misses 3-pt jump shot from 25 ft,,30,24
115,1,0:02.0,,Defensive rebound by N. Stauskas,30,24
116,2,11:39.0,,E. İlyasova misses 2-pt layup from 2 ft (block by J. Ingles),30,24
117,2,11:39.0,,Offensive rebound by Team,30,24
118,2,11:36.0,,E. İlyasova makes 2-pt jump shot from 20 ft (assist by T. McConnell),30,26
119,2,11:10.0,R. Hood makes 2-pt jump shot from 18 ft,,32,26
120,2,10:59.0,,E. İlyasova misses 3-pt jump shot from 25 ft,32,26
121,2,10:57.0,Defensive rebound by D. Favors,,32,26
122,2,10:41.0,Shooting foul by J. Okafor (drawn by D. Favors),,32,26
123,2,10:41.0,D. Favors misses free throw 1 of 2,,32,26
124,2,10:41.0,Offensive rebound by Team,,32,26
125,2,10:41.0,D. Favors makes free throw 2 of 2,,33,26
126,2,10:25.0,,N. Stauskas makes 3-pt jump shot from 25 ft,33,29
127,2,10:09.0,D. Favors makes 2-pt jump shot from 12 ft (assist by J. Ingles),,35,29
128,2,9:53.0,,J. Okafor makes 2-pt layup from 3 ft,35,31
129,2,9:32.0,R. Hood makes 2-pt jump shot from 18 ft,,37,31
130,2,9:21.0,,H. Thompson makes 2-pt layup from 2 ft (assist by E. İlyasova),37,33
131,2,9:06.0,Shooting foul by J. Okafor (drawn by D. Favors),,37,33
132,2,9:06.0,D. Favors misses free throw 1 of 2,,37,33
133,2,9:06.0,Offensive rebound by Team,,37,33
134,2,9:06.0,S. Mack enters the game for D. Exum,,37,33
135,2,9:06.0,,D. Šarić enters the game for E. İlyasova,37,33
136,2,9:06.0,,G. Henderson enters the game for H. Thompson,37,33
137,2,9:06.0,D. Favors makes free throw 2 of 2,,38,33
138,2,8:43.0,,J. Okafor misses 2-pt layup from 3 ft (block by D. Favors),38,33
139,2,8:40.0,,Offensive rebound by N. Stauskas,38,33
140,2,8:39.0,,N. Stauskas makes 2-pt dunk at rim,38,35
141,2,8:31.0,D. Favors misses 2-pt jump shot from 3 ft (block by J. Okafor),,38,35
142,2,8:29.0,,Defensive rebound by G. Henderson,38,35
143,2,8:28.0,,Personal foul by S. Mack (drawn by G. Henderson),38,35
144,2,8:28.0,Official timeout,,38,35
145,2,8:28.0,,S. Rodríguez enters the game for T. McConnell,38,35
146,2,8:28.0,,R. Covington enters the game for N. Stauskas,38,35
147,2,8:28.0,T. Lyles enters the game for J. Ingles,,38,35
148,2,8:28.0,R. Gobert enters the game for D. Favors,,38,35
149,2,8:22.0,Offensive charge foul by J. Okafor (drawn by R. Gobert),,38,35
150,2,8:22.0,,Turnover by J. Okafor (offensive foul),38,35
151,2,8:04.0,J. Johnson misses 2-pt jump shot from 7 ft,,38,35
152,2,8:02.0,,Defensive rebound by D. Šarić,38,35
153,2,7:47.0,,J. Okafor misses 2-pt layup from 2 ft (block by R. Gobert),38,35
154,2,7:44.0,Defensive rebound by R. Gobert,,38,35
