,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SACRAMENTO_ACTION,MILWAUKEE_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,,B. Hield makes 2-pt jump shot from 20 ft (assist by W. Cauley-Stein),0,2
1,1,11:27.0,Personal foul by S. Labissière (drawn by G. Antetokounmpo),,0,2
2,1,11:10.0,T. Maker makes 2-pt hook shot from 6 ft (assist by G. Antetokounmpo),,2,2
3,1,10:51.0,,A. Afflalo misses 2-pt jump shot from 22 ft,2,2
4,1,10:49.0,Defensive rebound by G. Antetokounmpo,,2,2
5,1,10:30.0,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),,2,2
6,1,10:30.0,G. Antetokounmpo makes free throw 1 of 2,,3,2
7,1,10:30.0,G. Antetokounmpo makes free throw 2 of 2,,4,2
8,1,10:15.0,,Def 3 sec tech foul by T. Maker,4,2
9,1,10:15.0,,D. Collison makes technical free throw,4,3
10,1,10:03.0,,Shooting foul by T. Maker (drawn by W. Cauley-Stein),4,3
11,1,10:03.0,,W. Cauley-Stein makes 2-pt layup from 3 ft,4,5
12,1,10:03.0,,W. Cauley-Stein misses free throw 1 of 1,4,5
13,1,10:02.0,Defensive rebound by G. Antetokounmpo,,4,5
14,1,9:53.0,G. Antetokounmpo makes 2-pt dunk at rim,,6,5
15,1,9:34.0,,S. Labissière misses 2-pt hook shot from 6 ft,6,5
16,1,9:34.0,Defensive rebound by T. Snell,,6,5
17,1,9:24.0,T. Maker makes 2-pt hook shot from 6 ft (assist by K. Middleton),,8,5
18,1,9:13.0,,S. Labissière misses 2-pt dunk at rim (block by G. Antetokounmpo),8,5
19,1,9:12.0,,Offensive rebound by W. Cauley-Stein,8,5
20,1,9:09.0,,W. Cauley-Stein misses 2-pt jump shot from 9 ft,8,5
21,1,9:08.0,Defensive rebound by G. Antetokounmpo,,8,5
22,1,8:49.0,M. Brogdon misses 3-pt jump shot from 25 ft,,8,5
23,1,8:48.0,,Defensive rebound by B. Hield,8,5
24,1,8:40.0,,B. Hield misses 3-pt jump shot from 26 ft,8,5
25,1,8:39.0,Defensive rebound by G. Antetokounmpo,,8,5
26,1,8:29.0,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),,8,5
27,1,8:29.0,G. Antetokounmpo misses free throw 1 of 2,,8,5
28,1,8:29.0,Offensive rebound by Team,,8,5
29,1,8:29.0,G. Antetokounmpo misses free throw 2 of 2,,8,5
30,1,8:28.0,,Defensive rebound by S. Labissière,8,5
31,1,8:15.0,,A. Afflalo makes 3-pt jump shot from 25 ft (assist by D. Collison),8,8
32,1,8:04.0,Turnover by M. Brogdon (dbl dribble),,8,8
33,1,7:54.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Collison),8,10
34,1,7:32.0,Turnover by K. Middleton (bad pass; steal by S. Labissière),,8,10
35,1,7:24.0,,B. Hield makes 2-pt layup from 2 ft (assist by D. Collison),8,12
36,1,7:14.0,M. Brogdon misses 2-pt layup from 2 ft (block by W. Cauley-Stein),,8,12
37,1,7:13.0,Offensive rebound by Team,,8,12
38,1,7:13.0,G. Monroe enters the game for T. Maker,,8,12
39,1,7:08.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,8,12
40,1,7:07.0,,Defensive rebound by A. Afflalo,8,12
41,1,6:58.0,,D. Collison misses 2-pt layup from 2 ft,8,12
42,1,6:57.0,Defensive rebound by G. Antetokounmpo,,8,12
43,1,6:46.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,11,12
44,1,6:27.0,M. Dellavedova enters the game for M. Brogdon,,11,12
45,1,6:27.0,,G. Papagiannis enters the game for W. Cauley-Stein,11,12
