,QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW ORLEANS_ACTION,BOSTON_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,K. Olynyk misses 3-pt jump shot from 25 ft,,0,0
1,1,11:42.0,,Defensive rebound by D. Cunningham,0,0
2,1,11:27.0,,B. Hield makes 2-pt jump shot from 8 ft (assist by T. Frazier),0,2
3,1,11:14.0,A. Bradley makes 2-pt layup from 3 ft,,2,2
4,1,10:58.0,,T. Frazier misses 3-pt jump shot from 25 ft,2,2
5,1,10:56.0,Defensive rebound by A. Bradley,,2,2
6,1,10:44.0,A. Johnson makes 3-pt jump shot from 25 ft (assist by I. Thomas),,5,2
7,1,10:32.0,,Turnover by A. Davis (bad pass),5,2
8,1,10:12.0,A. Johnson misses 3-pt jump shot from 23 ft,,5,2
9,1,10:12.0,,Defensive rebound by A. Davis,5,2
10,1,10:03.0,,Personal foul by A. Johnson (drawn by A. Davis),5,2
11,1,9:57.0,,A. Davis misses 2-pt jump shot from 18 ft,5,2
12,1,9:56.0,Defensive rebound by A. Bradley,,5,2
13,1,9:42.0,A. Bradley makes 2-pt layup from 2 ft,,7,2
14,1,9:18.0,,A. Davis misses 2-pt jump shot from 6 ft,7,2
15,1,9:17.0,Defensive rebound by K. Olynyk,,7,2
16,1,9:11.0,I. Thomas makes 2-pt layup from 2 ft,,9,2
17,1,8:55.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by B. Hield),9,4
18,1,8:33.0,A. Johnson misses 3-pt jump shot from 23 ft,,9,4
19,1,8:32.0,,Defensive rebound by A. Davis,9,4
20,1,8:28.0,,D. Cunningham makes 2-pt layup from 2 ft (assist by T. Frazier),9,6
21,1,8:10.0,K. Olynyk misses 3-pt jump shot from 25 ft,,9,6
22,1,8:09.0,Offensive rebound by A. Johnson,,9,6
23,1,8:06.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by A. Johnson),,12,6
24,1,7:55.0,,Shooting foul by A. Bradley (drawn by T. Frazier),12,6
25,1,7:55.0,,T. Frazier makes free throw 1 of 2,12,7
26,1,7:55.0,,T. Frazier makes free throw 2 of 2,12,8
27,1,7:35.0,K. Olynyk misses 2-pt jump shot from 3 ft,,12,8
28,1,7:33.0,,Defensive rebound by A. Davis,12,8
29,1,7:23.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by T. Frazier),12,10
30,1,7:09.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Johnson),,15,10
31,1,6:51.0,,Shooting foul by A. Johnson (drawn by A. Davis),15,10
32,1,6:51.0,,A. Davis misses free throw 1 of 2,15,10
33,1,6:51.0,,Offensive rebound by Team,15,10
34,1,6:51.0,,A. Davis makes free throw 2 of 2,15,11
35,1,6:37.0,Turnover by M. Smart (bad pass; steal by A. Davis),,15,11
36,1,6:29.0,Violation by M. Smart (kicked ball),,15,11
37,1,6:29.0,J. Mickey enters the game for A. Johnson,,15,11
38,1,6:12.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by B. Hield),15,13
39,1,5:53.0,I. Thomas misses 2-pt jump shot from 15 ft,,15,13
40,1,5:51.0,,Defensive rebound by Ö. Aşık,15,13
41,1,5:39.0,,A. Davis misses 2-pt layup from 3 ft,15,13
42,1,5:38.0,,Offensive rebound by Ö. Aşık,15,13
43,1,5:36.0,,Ö. Aşık makes 2-pt layup from 2 ft,15,15
