,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
30,1,8:22.0,,K. Faried makes free throw 1 of 2,9,8
31,1,8:22.0,,K. Faried makes free throw 2 of 2,9,9
32,1,8:16.0,Turnover by R. Hollis-Jefferson (bad pass),,9,9
33,1,8:08.0,,J. Nelson makes 3-pt jump shot from 24 ft,9,12
34,1,7:55.0,B. Lopez misses 3-pt jump shot from 24 ft,,9,12
35,1,7:54.0,,Defensive rebound by M. Plumlee,9,12
36,1,7:44.0,,G. Harris makes 2-pt layup from 3 ft (assist by M. Plumlee),9,14
37,1,7:44.0,Brooklyn full timeout,,9,14
38,1,7:31.0,J. Lin makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),,12,14
39,1,7:07.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by J. Nelson),12,17
40,1,6:44.0,R. Hollis-Jefferson misses 2-pt jump shot from 20 ft,,12,17
41,1,6:43.0,,Defensive rebound by M. Plumlee,12,17
42,1,6:37.0,,D. Gallinari misses 3-pt jump shot from 26 ft,12,17
43,1,6:35.0,Defensive rebound by R. Hollis-Jefferson,,12,17
44,1,6:29.0,Shooting foul by M. Plumlee (drawn by R. Hollis-Jefferson),,12,17
45,1,6:29.0,R. Hollis-Jefferson misses free throw 1 of 2,,12,17
46,1,6:29.0,Offensive rebound by Team,,12,17
47,1,6:29.0,R. Hollis-Jefferson misses free throw 2 of 2,,12,17
48,1,6:29.0,S. Kilpatrick enters the game for R. Foye,,12,17
49,1,6:29.0,S. Dinwiddie enters the game for J. Lin,,12,17
50,1,6:29.0,,W. Chandler enters the game for K. Faried,12,17
51,1,6:27.0,,Defensive rebound by M. Plumlee,12,17
52,1,6:17.0,,D. Gallinari misses 2-pt jump shot from 3 ft,12,17
53,1,6:16.0,,Offensive rebound by D. Gallinari,12,17
54,1,6:15.0,,D. Gallinari makes 2-pt layup from 2 ft,12,19
55,1,6:06.0,C. LeVert misses 3-pt jump shot from 25 ft,,12,19
56,1,6:05.0,,Defensive rebound by M. Plumlee,12,19
57,1,6:01.0,T. Booker enters the game for C. LeVert,,12,19
58,1,6:01.0,J. Harris enters the game for R. Hollis-Jefferson,,12,19
59,1,6:01.0,,W. Barton enters the game for G. Harris,12,19
60,1,5:47.0,,D. Gallinari misses 3-pt jump shot from 25 ft,12,19
61,1,5:46.0,Defensive rebound by S. Dinwiddie,,12,19
62,1,5:29.0,J. Harris misses 3-pt jump shot from 27 ft,,12,19
63,1,5:28.0,Offensive rebound by B. Lopez,,12,19
64,1,5:12.0,S. Dinwiddie misses 2-pt jump shot from 4 ft,,12,19
65,1,5:11.0,,Defensive rebound by D. Gallinari,12,19
66,1,5:01.0,,W. Chandler makes 3-pt jump shot from 26 ft (assist by M. Plumlee),12,22
67,1,4:53.0,B. Lopez misses 3-pt jump shot from 25 ft,,12,22
68,1,4:52.0,,Defensive rebound by W. Barton,12,22
69,1,4:43.0,,Personal foul by S. Dinwiddie (drawn by J. Nelson),12,22
70,1,4:36.0,,J. Nelson misses 3-pt jump shot from 24 ft,12,22
71,1,4:35.0,Defensive rebound by T. Booker,,12,22
72,1,4:22.0,T. Booker makes 2-pt layup from 3 ft (assist by B. Lopez),,14,22
73,1,4:00.0,,W. Barton misses 2-pt jump shot from 5 ft,14,22
74,1,3:59.0,,Offensive rebound by M. Plumlee,14,22
75,1,3:55.0,,M. Plumlee makes 2-pt layup from 1 ft,14,24
76,1,3:38.0,T. Booker makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,16,24
77,1,3:32.0,J. Hamilton enters the game for B. Lopez,,16,24
78,1,3:32.0,,J. Murray enters the game for J. Nelson,16,24
79,1,3:20.0,,M. Plumlee misses 2-pt layup from 3 ft,16,24
80,1,3:20.0,Defensive rebound by T. Booker,,16,24
81,1,3:06.0,J. Hamilton makes 3-pt jump shot from 24 ft (assist by T. Booker),,19,24
82,1,2:47.0,,W. Barton makes 2-pt layup from 1 ft (assist by M. Plumlee),19,26
83,1,2:28.0,J. Harris makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,22,26
84,1,2:09.0,,Denver full timeout,22,26
85,1,2:09.0,,G. Harris enters the game for D. Gallinari,22,26
86,1,2:08.0,Violation by J. Harris (def goaltending),,22,26
87,1,2:08.0,,G. Harris makes 2-pt layup from 1 ft (assist by W. Barton),22,28
88,1,1:57.0,S. Kilpatrick misses 2-pt jump shot from 20 ft,,22,28
89,1,1:55.0,,Defensive rebound by W. Chandler,22,28
90,1,1:37.0,,M. Plumlee misses 2-pt hook shot from 7 ft,22,28
91,1,1:37.0,Defensive rebound by T. Booker,,22,28
92,1,1:37.0,Personal foul by M. Plumlee (drawn by T. Booker),,22,28
93,1,1:37.0,T. Booker misses free throw 1 of 2,,22,28
94,1,1:37.0,Offensive rebound by Team,,22,28
95,1,1:37.0,,K. Faried enters the game for M. Plumlee,22,28
96,1,1:37.0,T. Booker makes free throw 2 of 2,,23,28
97,1,1:18.0,,W. Chandler misses 3-pt jump shot from 24 ft,23,28
98,1,1:18.0,,Offensive rebound by K. Faried,23,28
99,1,1:12.0,,G. Harris misses 3-pt jump shot from 27 ft,23,28
100,1,1:11.0,Defensive rebound by T. Booker,,23,28
101,1,0:58.0,,Offensive charge foul by J. Harris (drawn by K. Faried),23,28
102,1,0:58.0,Turnover by J. Harris (offensive foul),,23,28
103,1,0:43.0,,W. Chandler misses 2-pt jump shot from 12 ft,23,28
104,1,0:42.0,Defensive rebound by T. Booker,,23,28
105,1,0:34.0,T. Booker misses 2-pt layup from 2 ft,,23,28
106,1,0:33.0,,Defensive rebound by K. Faried,23,28
107,1,0:15.0,,J. Murray makes 2-pt layup from 2 ft,23,30
108,1,0:02.0,S. Dinwiddie makes 2-pt layup from 2 ft,,25,30
109,1,0:01.0,,J. Murray misses 3-pt jump shot from 68 ft,25,30
110,1,0:00.0,,Offensive rebound by Team,25,30
111,2,11:42.0,,W. Barton makes 2-pt layup from 2 ft,25,32
112,2,11:32.0,S. Dinwiddie misses 2-pt layup from 2 ft,,25,32
113,2,11:31.0,,Defensive rebound by K. Faried,25,32
114,2,11:30.0,,Personal foul by T. Booker (drawn by K. Faried),25,32
115,2,11:16.0,,W. Barton misses 2-pt jump shot from 4 ft,25,32
116,2,11:15.0,,Offensive rebound by K. Faried,25,32
117,2,11:15.0,,K. Faried misses 2-pt dunk at rim,25,32
118,2,11:13.0,Defensive rebound by T. Booker,,25,32
119,2,11:09.0,T. Booker misses 2-pt layup from 2 ft,,25,32
120,2,11:08.0,Offensive rebound by J. Hamilton,,25,32
121,2,11:07.0,J. Hamilton makes 2-pt dunk at rim,,27,32
122,2,10:41.0,,J. Murray makes 3-pt jump shot from 25 ft,27,35
123,2,10:21.0,T. Booker makes 2-pt layup from 1 ft,,29,35
124,2,10:17.0,,W. Chandler misses 3-pt jump shot from 25 ft,29,35
125,2,10:16.0,Defensive rebound by Team,,29,35
