,QUARTER,TIME_REMAINING,MIAMI_ACTION,MEMPHIS_ACTION,MIAMI_SCORE,MEMPHIS_SCORE
0,1,11:46.0,,M. Gasol misses 2-pt jump shot from 20 ft,0,0
1,1,11:46.0,Defensive rebound by J. Richardson,,0,0
2,1,11:37.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Waiters),,3,0
3,1,11:19.0,,Shooting foul by J. Richardson (drawn by A. Harrison),3,0
4,1,11:19.0,,A. Harrison makes free throw 1 of 2,3,1
5,1,11:19.0,,A. Harrison makes free throw 2 of 2,3,2
6,1,10:58.0,R. McGruder makes 2-pt dunk at rim (assist by H. Whiteside),,5,2
7,1,10:45.0,,T. Daniels misses 3-pt jump shot from 30 ft,5,2
8,1,10:45.0,Defensive rebound by Team,,5,2
9,1,10:27.0,D. Williams misses 3-pt jump shot from 25 ft,,5,2
10,1,10:26.0,,Defensive rebound by A. Harrison,5,2
11,1,10:17.0,,J. Green makes 2-pt layup from 2 ft,5,4
12,1,10:06.0,Personal foul by A. Harrison (drawn by J. Richardson),,5,4
13,1,9:56.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by J. Richardson),,8,4
14,1,9:43.0,,A. Harrison misses 2-pt jump shot from 17 ft,8,4
15,1,9:41.0,,Offensive rebound by J. Green,8,4
16,1,9:41.0,,J. Green misses 2-pt layup from 1 ft,8,4
17,1,9:39.0,Defensive rebound by H. Whiteside,,8,4
18,1,9:33.0,D. Waiters makes 2-pt jump shot from 18 ft,,10,4
19,1,9:21.0,,Turnover by T. Daniels (bad pass; steal by D. Waiters),10,4
20,1,9:20.0,Personal take foul by T. Daniels (drawn by D. Waiters),,10,4
21,1,9:10.0,D. Williams misses 2-pt layup from 2 ft (block by M. Gasol),,10,4
22,1,9:07.0,,Defensive rebound by J. Green,10,4
23,1,9:02.0,,Personal foul by R. McGruder (drawn by J. Green),10,4
24,1,8:50.0,,J. Green makes 2-pt layup from 1 ft (assist by A. Harrison),10,6
25,1,8:28.0,D. Waiters makes 3-pt jump shot from 24 ft (assist by D. Williams),,13,6
26,1,8:06.0,,T. Allen misses 3-pt jump shot from 24 ft,13,6
27,1,8:06.0,Defensive rebound by D. Williams,,13,6
28,1,7:51.0,J. Richardson misses 3-pt jump shot from 25 ft,,13,6
29,1,7:51.0,,Defensive rebound by J. Green,13,6
30,1,7:34.0,,T. Allen misses 3-pt jump shot from 26 ft,13,6
31,1,7:33.0,,Offensive rebound by A. Harrison,13,6
32,1,7:27.0,,Shooting foul by D. Waiters (drawn by A. Harrison),13,6
33,1,7:27.0,,A. Harrison makes free throw 1 of 2,13,7
34,1,7:27.0,,D. Davis enters the game for M. Gasol,13,7
35,1,7:27.0,,A. Harrison makes free throw 2 of 2,13,8
36,1,7:04.0,R. McGruder misses 3-pt jump shot from 24 ft,,13,8
37,1,7:03.0,,Defensive rebound by Team,13,8
38,1,6:52.0,,A. Harrison misses 2-pt jump shot from 16 ft,13,8
39,1,6:51.0,Defensive rebound by D. Williams,,13,8
40,1,6:33.0,D. Waiters makes 2-pt layup from 1 ft,,15,8
41,1,6:16.0,,Offensive foul by J. Green (drawn by J. Richardson),15,8
42,1,6:16.0,,Turnover by J. Green (offensive foul),15,8
43,1,6:16.0,T. Johnson enters the game for J. Richardson,,15,8
44,1,6:16.0,,V. Carter enters the game for T. Daniels,15,8
45,1,5:59.0,T. Johnson makes 2-pt layup from 2 ft,,17,8
46,1,5:53.0,,Memphis full timeout,17,8
47,1,5:40.0,,Turnover by D. Davis (bad pass; steal by D. Williams),17,8
48,1,5:33.0,Shooting foul by V. Carter (drawn by T. Johnson),,17,8
49,1,5:33.0,T. Johnson makes free throw 1 of 2,,18,8
50,1,5:33.0,,J. Martin enters the game for J. Green,18,8
51,1,5:33.0,T. Johnson makes free throw 2 of 2,,19,8
52,1,5:20.0,,A. Harrison misses 2-pt layup from 3 ft (block by H. Whiteside),19,8
53,1,5:19.0,Defensive rebound by R. McGruder,,19,8
54,1,5:02.0,R. McGruder misses 3-pt jump shot from 23 ft,,19,8
55,1,5:01.0,Offensive rebound by D. Waiters,,19,8
56,1,5:00.0,Shooting foul by J. Martin (drawn by D. Waiters),,19,8
57,1,5:00.0,D. Waiters makes free throw 1 of 2,,20,8
58,1,5:00.0,,W. Baldwin enters the game for T. Allen,20,8
59,1,5:00.0,D. Waiters makes free throw 2 of 2,,21,8
60,1,4:34.0,,W. Baldwin misses 2-pt layup from 2 ft,21,8
61,1,4:32.0,,Offensive rebound by D. Davis,21,8
62,1,4:32.0,,D. Davis makes 2-pt layup from 2 ft,21,10
63,1,4:21.0,Miami full timeout,,21,10
64,1,4:21.0,J. Johnson enters the game for D. Williams,,21,10
65,1,4:21.0,,M. Conley enters the game for A. Harrison,21,10
66,1,4:07.0,H. Whiteside misses 2-pt jump shot from 16 ft,,21,10
67,1,4:06.0,,Defensive rebound by V. Carter,21,10
68,1,3:54.0,,Shooting foul by H. Whiteside (drawn by V. Carter),21,10
69,1,3:54.0,,V. Carter makes free throw 1 of 2,21,11
70,1,3:54.0,,V. Carter makes free throw 2 of 2,21,12
71,1,3:44.0,J. Johnson misses 2-pt jump shot from 9 ft,,21,12
72,1,3:44.0,Offensive rebound by Team,,21,12
73,1,3:44.0,,Loose ball foul by V. Carter (drawn by H. Whiteside),21,12
74,1,3:44.0,H. Whiteside misses free throw 1 of 2,,21,12
75,1,3:44.0,Offensive rebound by Team,,21,12
76,1,3:44.0,H. Whiteside makes free throw 2 of 2,,22,12
77,1,3:24.0,,V. Carter misses 2-pt jump shot from 22 ft,22,12
