,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW YORK_ACTION,DALLAS_SCORE,NEW YORK_SCORE
0,1,11:45.0,D. Finney-Smith misses 2-pt layup from 1 ft,,0,0
1,1,11:44.0,,Defensive rebound by C. Anthony,0,0
2,1,11:21.0,,C. Anthony makes 2-pt jump shot from 7 ft,0,2
3,1,10:59.0,H. Barnes misses 2-pt jump shot from 16 ft,,0,2
4,1,10:58.0,,Defensive rebound by K. Porziņģis,0,2
5,1,10:42.0,,C. Lee misses 3-pt jump shot from 25 ft,0,2
6,1,10:41.0,Defensive rebound by A. Bogut,,0,2
7,1,10:31.0,J. Barea misses 2-pt layup from 3 ft,,0,2
8,1,10:30.0,Offensive rebound by A. Bogut,,0,2
9,1,10:25.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by A. Bogut),,3,2
10,1,10:04.0,,D. Rose makes 2-pt layup from 1 ft,3,4
11,1,9:37.0,H. Barnes misses 3-pt jump shot from 23 ft,,3,4
12,1,9:36.0,Offensive rebound by A. Bogut,,3,4
13,1,9:35.0,Personal foul by C. Lee (drawn by A. Bogut),,3,4
14,1,9:18.0,H. Barnes misses 2-pt jump shot from 17 ft,,3,4
15,1,9:17.0,,Defensive rebound by D. Rose,3,4
16,1,9:09.0,,Turnover by D. Rose (back court),3,4
17,1,8:55.0,D. Finney-Smith makes 2-pt jump shot from 17 ft (assist by H. Barnes),,5,4
18,1,8:47.0,,Personal foul by D. Finney-Smith (drawn by K. Porziņģis),5,4
19,1,8:39.0,,K. Porziņģis makes 2-pt jump shot from 12 ft,5,6
20,1,8:14.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,5,6
21,1,8:13.0,Offensive rebound by A. Bogut,,5,6
22,1,7:52.0,Personal block foul by D. Rose (drawn by H. Barnes),,5,6
23,1,7:40.0,H. Barnes makes 2-pt jump shot from 10 ft,,7,6
24,1,7:18.0,,Turnover by J. Noah (offensive goaltending),7,6
25,1,7:04.0,W. Matthews makes 2-pt jump shot from 20 ft,,9,6
26,1,6:51.0,,C. Anthony misses 3-pt jump shot from 24 ft,9,6
27,1,6:50.0,Defensive rebound by W. Matthews,,9,6
28,1,6:41.0,J. Barea misses 3-pt jump shot from 25 ft,,9,6
29,1,6:40.0,,Defensive rebound by J. Noah,9,6
30,1,6:31.0,,C. Anthony misses 2-pt jump shot from 17 ft,9,6
31,1,6:30.0,Defensive rebound by A. Bogut,,9,6
32,1,6:11.0,H. Barnes makes 2-pt jump shot from 16 ft,,11,6
33,1,5:56.0,,K. Porziņģis makes 3-pt jump shot from 23 ft (assist by C. Lee),11,9
34,1,5:31.0,A. Bogut makes 2-pt hook shot from 8 ft,,13,9
35,1,5:11.0,Offensive charge foul by D. Rose (drawn by A. Bogut),,13,9
36,1,5:11.0,,Turnover by D. Rose (offensive foul),13,9
37,1,5:11.0,,New York full timeout,13,9
38,1,5:11.0,,B. Jennings enters the game for D. Rose,13,9
39,1,5:11.0,S. Curry enters the game for A. Bogut,,13,9
40,1,5:11.0,D. Powell enters the game for J. Barea,,13,9
41,1,4:58.0,H. Barnes makes 2-pt dunk at rim,,15,9
42,1,4:34.0,,C. Anthony misses 2-pt layup at rim,15,9
43,1,4:33.0,,Offensive rebound by J. Noah,15,9
44,1,4:33.0,,J. Noah misses 2-pt layup from 2 ft,15,9
45,1,4:32.0,,Offensive rebound by J. Noah,15,9
46,1,4:32.0,,J. Noah misses 2-pt layup from 2 ft,15,9
47,1,4:31.0,Defensive rebound by D. Finney-Smith,,15,9
48,1,4:20.0,W. Matthews misses 3-pt jump shot from 26 ft,,15,9
49,1,4:19.0,,Defensive rebound by K. Porziņģis,15,9
50,1,4:12.0,,Personal foul by D. Finney-Smith (drawn by C. Anthony),15,9
51,1,4:12.0,,W. Hernangómez enters the game for J. Noah,15,9
52,1,4:12.0,,M. Ndour enters the game for K. Porziņģis,15,9
53,1,4:12.0,J. Anderson enters the game for D. Finney-Smith,,15,9
54,1,4:06.0,,W. Hernangómez misses 2-pt layup from 2 ft,15,9
55,1,4:05.0,Defensive rebound by H. Barnes,,15,9
56,1,3:45.0,H. Barnes makes 2-pt jump shot from 19 ft,,17,9
57,1,3:27.0,,Turnover by C. Anthony (lost ball; steal by W. Matthews),17,9
58,1,3:11.0,S. Curry misses 3-pt jump shot from 26 ft,,17,9
