,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BOSTON_ACTION,LA LAKERS_SCORE,BOSTON_SCORE
0,1,11:38.0,,A. Horford makes 2-pt jump shot from 12 ft,0,2
1,1,11:20.0,N. Young misses 3-pt jump shot from 26 ft,,0,2
2,1,11:18.0,,Defensive rebound by J. Crowder,0,2
3,1,11:09.0,,A. Horford makes 2-pt jump shot from 4 ft (assist by J. Brown),0,4
4,1,10:55.0,D. Russell misses 2-pt jump shot from 16 ft,,0,4
5,1,10:54.0,Offensive rebound by T. Black,,0,4
6,1,10:47.0,L. Deng misses 2-pt jump shot from 12 ft,,0,4
7,1,10:46.0,,Defensive rebound by J. Brown,0,4
8,1,10:35.0,,I. Thomas makes 3-pt jump shot from 27 ft (assist by A. Horford),0,7
9,1,10:12.0,D. Russell makes 2-pt jump shot from 18 ft,,2,7
10,1,9:46.0,,I. Thomas misses 2-pt jump shot from 20 ft,2,7
11,1,9:45.0,Defensive rebound by L. Deng,,2,7
12,1,9:37.0,D. Russell makes 2-pt layup from 3 ft,,4,7
13,1,9:25.0,,J. Crowder makes 2-pt jump shot from 17 ft,4,9
14,1,9:13.0,L. Deng makes 3-pt jump shot from 25 ft (assist by D. Russell),,7,9
15,1,8:58.0,,I. Thomas makes 3-pt jump shot from 23 ft (assist by A. Johnson),7,12
16,1,8:49.0,Shooting foul by A. Johnson (drawn by T. Mozgov),,7,12
17,1,8:49.0,T. Mozgov makes free throw 1 of 2,,8,12
18,1,8:49.0,T. Mozgov makes free throw 2 of 2,,9,12
19,1,8:32.0,,A. Johnson makes 2-pt jump shot from 4 ft (assist by A. Horford),9,14
20,1,8:15.0,D. Russell misses 2-pt jump shot from 20 ft,,9,14
21,1,8:14.0,Offensive rebound by T. Mozgov,,9,14
22,1,8:10.0,N. Young makes 3-pt jump shot from 26 ft (assist by T. Black),,12,14
23,1,7:52.0,,I. Thomas misses 3-pt jump shot from 25 ft,12,14
24,1,7:51.0,Defensive rebound by L. Deng,,12,14
25,1,7:34.0,D. Russell makes 3-pt jump shot from 24 ft (assist by T. Mozgov),,15,14
26,1,7:20.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by I. Thomas),15,17
27,1,6:57.0,T. Mozgov misses 2-pt hook shot from 8 ft,,15,17
28,1,6:56.0,Offensive rebound by L. Deng,,15,17
29,1,6:54.0,N. Young makes 3-pt jump shot from 25 ft (assist by L. Deng),,18,17
