,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
0,1,11:40.0,,R. Baker misses 2-pt jump shot from 21 ft,0,0
1,1,11:39.0,,Offensive rebound by J. Noah,0,0
2,1,11:25.0,,R. Baker misses 2-pt layup from 2 ft,0,0
3,1,11:24.0,,Offensive rebound by R. Baker,0,0
4,1,11:19.0,,R. Baker misses 3-pt jump shot from 25 ft,0,0
5,1,11:18.0,Defensive rebound by K. Bazemore,,0,0
6,1,11:05.0,P. Millsap misses 2-pt jump shot from 18 ft,,0,0
7,1,11:04.0,,Defensive rebound by D. Rose,0,0
8,1,10:58.0,Violation by D. Schröder (kicked ball),,0,0
9,1,10:51.0,,C. Anthony makes 2-pt jump shot from 19 ft (assist by D. Rose),0,2
10,1,10:28.0,K. Bazemore misses 3-pt jump shot from 24 ft,,0,2
11,1,10:27.0,,Defensive rebound by M. Kuzminskas,0,2
12,1,10:18.0,,M. Kuzminskas misses 3-pt jump shot from 25 ft,0,2
13,1,10:17.0,Defensive rebound by P. Millsap,,0,2
14,1,10:08.0,D. Schröder makes 2-pt jump shot from 18 ft,,2,2
15,1,9:53.0,,D. Rose misses 2-pt jump shot from 12 ft,2,2
16,1,9:52.0,Defensive rebound by Team,,2,2
17,1,9:41.0,K. Bazemore misses 2-pt jump shot from 17 ft,,2,2
18,1,9:40.0,,Defensive rebound by C. Anthony,2,2
19,1,9:27.0,,R. Baker makes 3-pt jump shot from 24 ft (assist by C. Anthony),2,5
20,1,9:16.0,P. Millsap misses 2-pt layup from 2 ft (block by J. Noah),,2,5
21,1,9:15.0,Offensive rebound by Team,,2,5
22,1,9:12.0,D. Schröder makes 2-pt jump shot from 19 ft (assist by T. Hardaway),,4,5
23,1,8:57.0,,D. Rose makes 2-pt layup from 2 ft,4,7
24,1,8:30.0,T. Sefolosha makes 3-pt jump shot from 24 ft (assist by D. Schröder),,7,7
25,1,8:21.0,,C. Anthony makes 2-pt jump shot from 21 ft,7,9
26,1,8:06.0,T. Sefolosha misses 2-pt jump shot from 16 ft,,7,9
27,1,8:05.0,,Defensive rebound by J. Noah,7,9
28,1,7:56.0,,C. Anthony misses 2-pt jump shot from 12 ft,7,9
29,1,7:55.0,Defensive rebound by T. Hardaway,,7,9
30,1,7:52.0,Turnover by T. Hardaway (bad pass),,7,9
31,1,7:43.0,,Turnover by R. Baker (lost ball; steal by T. Sefolosha),7,9
32,1,7:33.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by D. Schröder),,10,9
33,1,7:12.0,,M. Kuzminskas makes 3-pt jump shot from 26 ft (assist by J. Noah),10,12
34,1,6:57.0,D. Schröder misses 3-pt jump shot from 26 ft,,10,12
35,1,6:56.0,,Defensive rebound by J. Noah,10,12
36,1,6:52.0,,Shooting foul by P. Millsap (drawn by D. Rose),10,12
37,1,6:52.0,,D. Rose makes free throw 1 of 2,10,13
38,1,6:52.0,,D. Rose makes free throw 2 of 2,10,14
39,1,6:39.0,P. Millsap misses 2-pt jump shot from 11 ft,,10,14
40,1,6:38.0,,Defensive rebound by J. Noah,10,14
41,1,6:29.0,,M. Kuzminskas makes 2-pt layup from 1 ft (assist by D. Rose),10,16
42,1,6:16.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by T. Hardaway),,13,16
43,1,6:08.0,Offensive charge foul by D. Rose (drawn by T. Hardaway),,13,16
44,1,6:08.0,,Turnover by D. Rose (offensive foul),13,16
45,1,5:57.0,K. Bazemore misses 3-pt jump shot from 25 ft,,13,16
46,1,5:56.0,,Defensive rebound by C. Anthony,13,16
47,1,5:45.0,,Offensive foul by C. Anthony (drawn by T. Sefolosha),13,16
48,1,5:45.0,,Turnover by C. Anthony (offensive foul),13,16
49,1,5:45.0,,New York full timeout,13,16
50,1,5:33.0,T. Hardaway makes 2-pt jump shot from 20 ft (assist by P. Millsap),,15,16
51,1,5:14.0,,C. Anthony misses 3-pt jump shot from 25 ft,15,16
52,1,5:13.0,Defensive rebound by P. Millsap,,15,16
53,1,5:06.0,Shooting foul by J. Noah (drawn by P. Millsap),,15,16
54,1,5:06.0,P. Millsap makes free throw 1 of 2,,16,16
55,1,5:06.0,K. Humphries enters the game for K. Bazemore,,16,16
56,1,5:06.0,,K. O'Quinn enters the game for M. Kuzminskas,16,16
57,1,5:06.0,P. Millsap makes free throw 2 of 2,,17,16
58,1,4:52.0,,D. Rose makes 2-pt layup from 2 ft,17,18
59,1,4:40.0,T. Hardaway misses 2-pt layup from 3 ft,,17,18
60,1,4:39.0,,Defensive rebound by K. O'Quinn,17,18
61,1,4:27.0,,K. O'Quinn makes 2-pt jump shot from 3 ft (assist by D. Rose),17,20
62,1,4:16.0,D. Schröder misses 2-pt jump shot from 18 ft,,17,20
63,1,4:15.0,,Defensive rebound by K. O'Quinn,17,20
64,1,4:03.0,,Turnover by D. Rose (lost ball; steal by T. Hardaway),17,20
65,1,4:00.0,D. Schröder makes 2-pt layup from 1 ft (assist by T. Hardaway),,19,20
66,1,3:36.0,,K. O'Quinn misses 2-pt hook shot from 8 ft,19,20
67,1,3:35.0,,Offensive rebound by J. Noah,19,20
68,1,3:31.0,,R. Baker makes 3-pt jump shot from 25 ft (assist by J. Noah),19,23
69,1,3:23.0,Personal foul by R. Baker,,19,23
70,1,3:23.0,,C. Lee enters the game for R. Baker,19,23
71,1,3:23.0,,B. Jennings enters the game for D. Rose,19,23
72,1,3:23.0,T. Prince enters the game for T. Sefolosha,,19,23
