,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PORTLAND_ACTION,BROOKLYN_SCORE,PORTLAND_SCORE
0,1,11:45.0,J. Lin misses 2-pt hook shot from 3 ft,,0,0
1,1,11:44.0,Offensive rebound by R. Hollis-Jefferson,,0,0
2,1,11:42.0,B. Lopez makes 2-pt jump shot from 4 ft (assist by R. Hollis-Jefferson),,2,0
3,1,11:42.0,Shooting foul by J. Nurkić (drawn by B. Lopez),,2,0
4,1,11:42.0,B. Lopez makes free throw 1 of 1,,3,0
5,1,11:26.0,,Personal foul by R. Hollis-Jefferson (drawn by N. Vonleh),3,0
6,1,11:23.0,,C. McCollum makes 2-pt jump shot from 14 ft (assist by M. Harkless),3,2
7,1,11:05.0,Turnover by R. Hollis-Jefferson (lost ball; steal by N. Vonleh),,3,2
8,1,10:56.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by C. McCollum),3,5
9,1,10:35.0,Turnover by B. Lopez (bad pass; steal by M. Harkless),,3,5
10,1,10:30.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),3,7
11,1,10:30.0,,Shooting foul by R. Foye (drawn by J. Nurkić),3,7
12,1,10:30.0,,J. Nurkić makes free throw 1 of 1,3,8
13,1,10:24.0,Turnover by R. Hollis-Jefferson (lost ball; steal by N. Vonleh),,3,8
14,1,10:20.0,,Shooting foul by C. LeVert (drawn by J. Nurkić),3,8
15,1,10:20.0,,J. Nurkić misses free throw 1 of 2,3,8
16,1,10:20.0,,Offensive rebound by Team,3,8
17,1,10:20.0,,J. Nurkić misses free throw 2 of 2,3,8
18,1,10:19.0,Defensive rebound by R. Hollis-Jefferson,,3,8
19,1,10:04.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by R. Foye),,6,8
20,1,9:48.0,,D. Lillard makes 3-pt jump shot from 26 ft,6,11
21,1,9:35.0,J. Lin makes 2-pt layup from 1 ft,,8,11
22,1,9:26.0,,D. Lillard misses 3-pt jump shot from 25 ft,8,11
23,1,9:26.0,Defensive rebound by Team,,8,11
24,1,9:19.0,J. Lin misses 2-pt layup from 1 ft,,8,11
25,1,9:18.0,,Defensive rebound by J. Nurkić,8,11
