,QUARTER,TIME_REMAINING,NEW YORK_ACTION,OKLAHOMA CITY_ACTION,NEW YORK_SCORE,OKLAHOMA CITY_SCORE
0,1,11:47.0,,S. Adams misses 2-pt jump shot from 14 ft,0,0
1,1,11:46.0,Defensive rebound by W. Hernangómez,,0,0
2,1,11:33.0,Turnover by W. Hernangómez (lost ball; steal by A. Roberson),,0,0
3,1,11:27.0,,V. Oladipo misses 3-pt jump shot from 24 ft,0,0
4,1,11:25.0,,Offensive rebound by S. Adams,0,0
5,1,11:15.0,,S. Adams misses 2-pt layup from 2 ft,0,0
6,1,11:14.0,,Offensive rebound by A. Roberson,0,0
7,1,11:00.0,,D. Sabonis misses 3-pt jump shot from 25 ft,0,0
8,1,10:59.0,Defensive rebound by W. Hernangómez,,0,0
9,1,10:42.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by D. Rose),,2,0
10,1,10:20.0,,S. Adams misses 2-pt jump shot from 2 ft (block by W. Hernangómez),2,0
11,1,10:18.0,Defensive rebound by K. Porziņģis,,2,0
12,1,10:12.0,C. Lee makes 3-pt jump shot from 23 ft (assist by D. Rose),,5,0
13,1,10:01.0,,V. Oladipo makes 2-pt dunk at rim (assist by R. Westbrook),5,2
14,1,9:52.0,D. Rose makes 2-pt jump shot from 5 ft,,7,2
15,1,9:35.0,,D. Sabonis misses 2-pt hook shot from 6 ft,7,2
16,1,9:35.0,,Offensive rebound by S. Adams,7,2
17,1,9:32.0,,S. Adams misses 2-pt layup from 3 ft,7,2
18,1,9:31.0,,Offensive rebound by D. Sabonis,7,2
19,1,9:29.0,,S. Adams misses 2-pt dunk at rim (block by K. Porziņģis),7,2
20,1,9:27.0,Defensive rebound by C. Lee,,7,2
21,1,9:17.0,C. Anthony makes 3-pt jump shot from 23 ft (assist by D. Rose),,10,2
22,1,9:10.0,,A. Roberson misses 2-pt layup from 3 ft (block by C. Anthony),10,2
23,1,9:08.0,Defensive rebound by D. Rose,,10,2
24,1,9:01.0,C. Lee misses 3-pt jump shot from 24 ft,,10,2
25,1,9:01.0,Offensive rebound by W. Hernangómez,,10,2
26,1,8:57.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),,13,2
27,1,8:56.0,,Oklahoma City full timeout,13,2
28,1,8:44.0,,Turnover by R. Westbrook (bad pass; steal by K. Porziņģis),13,2
29,1,8:27.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,13,2
30,1,8:27.0,,Defensive rebound by V. Oladipo,13,2
31,1,8:16.0,,Shooting foul by D. Rose (drawn by R. Westbrook),13,2
32,1,8:16.0,,R. Westbrook misses free throw 1 of 2,13,2
33,1,8:16.0,,Offensive rebound by Team,13,2
34,1,8:16.0,,R. Westbrook misses free throw 2 of 2,13,2
35,1,8:16.0,Defensive rebound by C. Anthony,,13,2
36,1,8:01.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. Rose),,16,2
37,1,7:49.0,,R. Westbrook makes 2-pt jump shot from 12 ft,16,4
38,1,7:25.0,C. Lee makes 2-pt jump shot from 4 ft (assist by C. Anthony),,18,4
39,1,7:16.0,,R. Westbrook makes 2-pt layup at rim,18,6
40,1,7:04.0,D. Rose misses 2-pt jump shot from 4 ft,,18,6
41,1,7:04.0,Offensive rebound by Team,,18,6
42,1,6:57.0,K. Porziņģis makes 2-pt jump shot from 15 ft,,20,6
43,1,6:45.0,,D. Sabonis misses 2-pt jump shot from 6 ft,20,6
44,1,6:44.0,Defensive rebound by D. Rose,,20,6
45,1,6:41.0,Turnover by D. Rose (bad pass),,20,6
46,1,6:41.0,,J. Lauvergne enters the game for D. Sabonis,20,6
47,1,6:33.0,,Shooting foul by K. Porziņģis (drawn by R. Westbrook),20,6
48,1,6:33.0,,R. Westbrook makes free throw 1 of 2,20,7
49,1,6:33.0,,R. Westbrook makes free throw 2 of 2,20,8
50,1,6:23.0,Turnover by C. Lee (bad pass; steal by R. Westbrook),,20,8
51,1,6:22.0,,R. Westbrook makes 2-pt dunk at rim,20,10
52,1,6:22.0,,Shooting foul by D. Rose (drawn by R. Westbrook),20,10
53,1,6:22.0,,A. Morrow enters the game for V. Oladipo,20,10
54,1,6:22.0,R. Baker enters the game for D. Rose,,20,10
55,1,6:22.0,,R. Westbrook makes free throw 1 of 1,20,11
56,1,6:09.0,C. Lee makes 2-pt jump shot from 16 ft (assist by C. Anthony),,22,11
57,1,5:50.0,,A. Morrow makes 3-pt jump shot from 26 ft (assist by R. Westbrook),22,14
58,1,5:29.0,C. Anthony makes 2-pt jump shot from 11 ft,,24,14
59,1,5:17.0,,Personal foul by R. Baker (drawn by A. Morrow),24,14
60,1,5:03.0,,A. Morrow misses 2-pt jump shot from 13 ft,24,14
61,1,5:03.0,Defensive rebound by K. Porziņģis,,24,14
62,1,4:55.0,R. Baker makes 2-pt layup from 1 ft,,26,14
63,1,4:44.0,,J. Lauvergne misses 3-pt jump shot from 23 ft,26,14
64,1,4:43.0,Defensive rebound by C. Anthony,,26,14
65,1,4:34.0,C. Anthony makes 2-pt jump shot from 19 ft,,28,14
66,1,4:15.0,,S. Adams makes 2-pt hook shot from 4 ft (assist by R. Westbrook),28,16
67,1,4:01.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,28,16
68,1,4:00.0,,Defensive rebound by S. Adams,28,16
69,1,3:54.0,,Turnover by R. Westbrook (bad pass),28,16
70,1,3:54.0,L. Thomas enters the game for K. Porziņģis,,28,16
71,1,3:36.0,C. Anthony makes 2-pt jump shot from 10 ft,,30,16
72,1,3:21.0,,Shooting foul by W. Hernangómez (drawn by R. Westbrook),30,16
73,1,3:21.0,,R. Westbrook makes free throw 1 of 2,30,17
74,1,3:21.0,K. O'Quinn enters the game for W. Hernangómez,,30,17
75,1,3:21.0,,R. Westbrook makes free throw 2 of 2,30,18
76,1,3:05.0,C. Anthony makes 3-pt jump shot from 27 ft (assist by L. Thomas),,33,18
77,1,3:05.0,Shooting foul by A. Roberson (drawn by C. Anthony),,33,18
78,1,3:05.0,,V. Oladipo enters the game for A. Morrow,33,18
79,1,3:05.0,,J. Grant enters the game for S. Adams,33,18
80,1,3:05.0,C. Anthony makes free throw 1 of 1,,34,18
81,1,2:50.0,,J. Lauvergne makes 3-pt jump shot from 23 ft (assist by J. Grant),34,21
82,1,2:42.0,New York full timeout,,34,21
83,1,2:42.0,,C. Payne enters the game for R. Westbrook,34,21
84,1,2:35.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Baker),,37,21
85,1,2:22.0,,J. Lauvergne makes 2-pt jump shot from 16 ft (assist by C. Payne),37,23
86,1,1:55.0,K. O'Quinn misses 2-pt jump shot from 17 ft,,37,23
87,1,1:55.0,,Defensive rebound by C. Payne,37,23
88,1,1:40.0,,C. Payne misses 3-pt jump shot from 26 ft,37,23
89,1,1:40.0,Defensive rebound by L. Thomas,,37,23
90,1,1:24.0,C. Lee makes 2-pt jump shot from 16 ft,,39,23
91,1,1:10.0,J. Holiday enters the game for C. Lee,,39,23
92,1,1:00.0,,J. Lauvergne misses 2-pt jump shot from 19 ft,39,23
93,1,1:00.0,Defensive rebound by C. Anthony,,39,23
94,1,0:53.0,Personal foul by A. Roberson (drawn by C. Anthony),,39,23
95,1,0:49.0,Turnover by K. O'Quinn (bad pass; steal by J. Lauvergne),,39,23
96,1,0:45.0,,C. Payne misses 2-pt layup from 2 ft (block by K. O'Quinn),39,23
97,1,0:44.0,,Offensive rebound by J. Grant,39,23
98,1,0:43.0,,Shooting foul by J. Holiday (drawn by J. Grant),39,23
99,1,0:43.0,,J. Grant makes free throw 1 of 2,39,24
100,1,0:43.0,,Á. Abrines enters the game for A. Roberson,39,24
101,1,0:43.0,,J. Grant makes free throw 2 of 2,39,25
102,1,0:21.0,C. Anthony misses 2-pt jump shot from 17 ft,,39,25
103,1,0:19.0,,Defensive rebound by J. Lauvergne,39,25
104,1,0:18.0,,Personal foul by L. Thomas (drawn by J. Lauvergne),39,25
105,1,0:18.0,,J. Lauvergne makes free throw 1 of 2,39,26
106,1,0:18.0,,J. Lauvergne makes free throw 2 of 2,39,27
107,1,0:03.0,Turnover by C. Anthony (bad pass; steal by J. Grant),,39,27
108,2,12:00.0,Shooting foul by Á. Abrines (drawn by J. Holiday),,39,27
109,2,12:00.0,J. Holiday misses free throw 1 of 2,,39,27
110,2,12:00.0,Offensive rebound by Team,,39,27
111,2,12:00.0,J. Holiday makes free throw 2 of 2,,40,27
112,2,11:30.0,,Turnover by J. Lauvergne (lost ball; steal by K. O'Quinn),40,27
113,2,11:11.0,,Violation by J. Lauvergne (def goaltending),40,27
114,2,11:11.0,D. Rose makes 2-pt layup from 1 ft,,42,27
115,2,11:00.0,,J. Lauvergne misses 2-pt layup from 2 ft,42,27
116,2,10:59.0,Defensive rebound by K. Porziņģis,,42,27
117,2,10:51.0,K. O'Quinn misses 2-pt layup from 1 ft (block by J. Grant),,42,27
118,2,10:50.0,,Defensive rebound by J. Grant,42,27
119,2,10:43.0,,V. Oladipo misses 3-pt jump shot from 23 ft,42,27
120,2,10:42.0,Defensive rebound by L. Thomas,,42,27
121,2,10:33.0,D. Rose makes 2-pt layup from 2 ft,,44,27
122,2,10:33.0,Violation by Team (jump ball),,44,27
123,2,10:21.0,,V. Oladipo makes 2-pt layup from 1 ft,44,29
124,2,10:10.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,44,29
125,2,10:10.0,,Defensive rebound by J. Lauvergne,44,29
126,2,10:01.0,,C. Payne misses 2-pt jump shot from 12 ft (block by K. O'Quinn),44,29
127,2,10:01.0,,Offensive rebound by Team,44,29
128,2,10:01.0,,R. Westbrook enters the game for C. Payne,44,29
129,2,10:01.0,,D. Sabonis enters the game for J. Lauvergne,44,29
130,2,9:53.0,,Á. Abrines makes 3-pt jump shot from 25 ft (assist by J. Grant),44,32
131,2,9:36.0,D. Rose makes 2-pt layup from 1 ft,,46,32
132,2,9:36.0,Shooting foul by D. Sabonis (drawn by D. Rose),,46,32
133,2,9:36.0,D. Rose makes free throw 1 of 1,,47,32
134,2,9:22.0,,V. Oladipo misses 2-pt layup from 2 ft (block by J. Holiday),47,32
135,2,9:21.0,,Offensive rebound by D. Sabonis,47,32
136,2,9:19.0,,D. Sabonis misses 2-pt hook shot from 4 ft,47,32
137,2,9:19.0,Defensive rebound by K. O'Quinn,,47,32
138,2,9:00.0,K. O'Quinn makes 2-pt layup from 2 ft (assist by D. Rose),,49,32
139,2,8:50.0,,J. Grant makes 2-pt jump shot from 19 ft (assist by R. Westbrook),49,34
140,2,8:35.0,K. Porziņģis misses 2-pt hook shot from 9 ft,,49,34
141,2,8:34.0,,Defensive rebound by V. Oladipo,49,34
142,2,8:29.0,,V. Oladipo misses 2-pt layup from 2 ft (block by K. O'Quinn),49,34
143,2,8:28.0,,Offensive rebound by Team,49,34
144,2,8:27.0,Official timeout,,49,34
145,2,8:27.0,W. Hernangómez enters the game for L. Thomas,,49,34
146,2,8:27.0,C. Lee enters the game for K. O'Quinn,,49,34
147,2,8:21.0,,R. Westbrook misses 2-pt jump shot from 7 ft,49,34
