,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ATLANTA_ACTION,MINNESOTA_SCORE,ATLANTA_SCORE
0,1,11:46.0,K. Towns makes 2-pt dunk at rim (assist by A. Wiggins),,2,0
1,1,11:24.0,,Turnover by D. Schröder (bad pass),2,0
2,1,11:16.0,A. Wiggins makes 2-pt jump shot from 20 ft (assist by R. Rubio),,4,0
3,1,11:02.0,,K. Korver misses 3-pt jump shot from 26 ft,4,0
4,1,11:00.0,Defensive rebound by K. Towns,,4,0
5,1,10:47.0,A. Wiggins misses 3-pt jump shot from 23 ft,,4,0
6,1,10:46.0,,Defensive rebound by T. Sefolosha,4,0
7,1,10:31.0,,D. Schröder misses 3-pt jump shot from 25 ft,4,0
8,1,10:29.0,Defensive rebound by K. Towns,,4,0
9,1,10:24.0,A. Wiggins makes 2-pt layup at rim (assist by K. Towns),,6,0
10,1,10:10.0,,P. Millsap makes 2-pt jump shot from 8 ft (assist by D. Schröder),6,2
11,1,9:53.0,K. Towns misses 3-pt jump shot from 26 ft,,6,2
12,1,9:52.0,,Defensive rebound by K. Bazemore,6,2
13,1,9:45.0,,K. Bazemore misses 2-pt jump shot from 10 ft,6,2
14,1,9:43.0,Defensive rebound by A. Wiggins,,6,2
15,1,9:36.0,R. Rubio misses 2-pt jump shot from 5 ft,,6,2
16,1,9:35.0,Offensive rebound by R. Rubio,,6,2
17,1,9:30.0,G. Dieng makes 2-pt jump shot from 13 ft (assist by R. Rubio),,8,2
18,1,9:13.0,,D. Schröder misses 2-pt jump shot from 15 ft,8,2
19,1,9:11.0,Defensive rebound by G. Dieng,,8,2
20,1,9:01.0,G. Dieng makes 2-pt hook shot from 7 ft (assist by R. Rubio),,10,2
21,1,8:46.0,,P. Millsap misses 3-pt jump shot from 25 ft,10,2
22,1,8:45.0,Defensive rebound by Team,,10,2
23,1,8:33.0,G. Dieng makes 2-pt dunk at rim (assist by R. Rubio),,12,2
24,1,8:33.0,,Atlanta full timeout,12,2
25,1,8:33.0,,M. Muscala enters the game for K. Korver,12,2
26,1,8:13.0,,P. Millsap misses 2-pt jump shot from 3 ft (block by G. Dieng),12,2
27,1,8:10.0,,Offensive rebound by P. Millsap,12,2
28,1,8:08.0,,P. Millsap makes 2-pt layup from 2 ft,12,4
29,1,7:48.0,R. Rubio makes 3-pt jump shot from 25 ft (assist by K. Towns),,15,4
30,1,7:28.0,,M. Muscala makes 3-pt jump shot from 23 ft (assist by P. Millsap),15,7
31,1,7:13.0,G. Dieng misses 2-pt layup from 2 ft,,15,7
32,1,7:11.0,,Defensive rebound by T. Sefolosha,15,7
33,1,6:51.0,,K. Bazemore misses 2-pt jump shot from 9 ft,15,7
34,1,6:50.0,,Offensive rebound by M. Muscala,15,7
35,1,6:44.0,,M. Muscala makes 2-pt layup from 1 ft,15,9
36,1,6:32.0,Z. LaVine misses 2-pt jump shot from 16 ft,,15,9
37,1,6:31.0,Offensive rebound by A. Wiggins,,15,9
38,1,6:27.0,Z. LaVine misses 3-pt jump shot from 25 ft,,15,9
39,1,6:26.0,,Defensive rebound by P. Millsap,15,9
40,1,6:16.0,,T. Sefolosha misses 2-pt layup from 3 ft (block by A. Wiggins),15,9
41,1,6:14.0,Defensive rebound by G. Dieng,,15,9
42,1,6:04.0,Offensive foul by K. Towns (drawn by K. Bazemore),,15,9
43,1,6:04.0,Turnover by K. Towns (offensive foul),,15,9
44,1,6:04.0,,T. Hardaway enters the game for T. Sefolosha,15,9
45,1,5:53.0,,D. Schröder makes 2-pt layup from 1 ft,15,11
46,1,5:42.0,Turnover by G. Dieng (bad pass; steal by M. Muscala),,15,11
47,1,5:35.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by D. Schröder),15,14
48,1,5:18.0,K. Towns misses 2-pt jump shot from 4 ft,,15,14
49,1,5:16.0,,Defensive rebound by P. Millsap,15,14
50,1,5:07.0,,T. Hardaway makes 2-pt dunk at rim (assist by D. Schröder),15,16
51,1,5:01.0,Minnesota full timeout,,15,16
52,1,5:01.0,,T. Sefolosha enters the game for K. Bazemore,15,16
53,1,5:01.0,,K. Korver enters the game for T. Hardaway,15,16
54,1,5:01.0,S. Muhammad enters the game for Z. LaVine,,15,16
55,1,4:54.0,G. Dieng misses 3-pt jump shot from 23 ft,,15,16
56,1,4:53.0,,Defensive rebound by P. Millsap,15,16
57,1,4:41.0,,P. Millsap makes 2-pt jump shot from 7 ft,15,18
58,1,4:19.0,K. Towns makes 2-pt layup from 1 ft,,17,18
59,1,3:59.0,,D. Schröder makes 2-pt layup from 3 ft,17,20
60,1,3:48.0,A. Wiggins makes 2-pt jump shot from 10 ft,,19,20
61,1,3:34.0,,Personal foul by K. Towns (drawn by P. Millsap),19,20
62,1,3:34.0,,P. Millsap makes free throw 1 of 2,19,21
63,1,3:34.0,N. Bjelica enters the game for K. Towns,,19,21
64,1,3:34.0,,M. Scott enters the game for M. Muscala,19,21
65,1,3:34.0,,P. Millsap makes free throw 2 of 2,19,22
66,1,3:31.0,Personal foul by D. Schröder (drawn by R. Rubio),,19,22
67,1,3:31.0,,M. Muscala enters the game for P. Millsap,19,22
68,1,3:18.0,Turnover by R. Rubio (lost ball),,19,22
69,1,3:06.0,,M. Scott makes 2-pt jump shot from 6 ft (assist by D. Schröder),19,24
70,1,2:52.0,S. Muhammad misses 3-pt jump shot from 23 ft,,19,24
71,1,2:51.0,Offensive rebound by S. Muhammad,,19,24
72,1,2:42.0,N. Bjelica misses 3-pt jump shot from 25 ft,,19,24
73,1,2:41.0,Offensive rebound by A. Wiggins,,19,24
74,1,2:37.0,A. Wiggins makes 2-pt layup from 1 ft,,21,24
75,1,2:25.0,,D. Schröder misses 2-pt jump shot from 12 ft,21,24
76,1,2:23.0,Defensive rebound by R. Rubio,,21,24
77,1,2:12.0,S. Muhammad makes 2-pt hook shot from 7 ft,,23,24
78,1,1:58.0,,D. Schröder makes 2-pt layup from 1 ft,23,26
79,1,1:39.0,S. Muhammad makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,26,26
80,1,1:18.0,,M. Scott misses 2-pt hook shot from 6 ft,26,26
81,1,1:18.0,Defensive rebound by S. Muhammad,,26,26
82,1,1:03.0,A. Wiggins makes 2-pt jump shot from 19 ft,,28,26
83,1,0:39.0,,D. Schröder misses 3-pt jump shot from 25 ft,28,26
84,1,0:38.0,Defensive rebound by A. Wiggins,,28,26
