,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
0,1,11:45.0,,D. Williams misses 2-pt jump shot from 12 ft,0,0
1,1,11:43.0,Defensive rebound by D. Howard,,0,0
2,1,11:23.0,P. Millsap misses 2-pt jump shot from 12 ft,,0,0
3,1,11:22.0,,Defensive rebound by W. Matthews,0,0
4,1,11:02.0,,A. Bogut makes 2-pt hook shot from 7 ft (assist by D. Williams),0,2
5,1,10:42.0,D. Howard misses 2-pt jump shot from 15 ft,,0,2
6,1,10:41.0,,Defensive rebound by Team,0,2
7,1,10:11.0,,W. Matthews misses 3-pt jump shot from 25 ft,0,2
8,1,10:10.0,Defensive rebound by D. Howard,,0,2
9,1,9:55.0,D. Schröder makes 3-pt jump shot from 24 ft,,3,2
10,1,9:32.0,,D. Williams misses 2-pt jump shot from 7 ft,3,2
11,1,9:31.0,Defensive rebound by D. Schröder,,3,2
12,1,9:27.0,T. Sefolosha misses 2-pt jump shot from 20 ft,,3,2
13,1,9:25.0,,Defensive rebound by W. Matthews,3,2
14,1,9:16.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Williams),3,5
15,1,8:59.0,T. Sefolosha misses 2-pt jump shot from 18 ft,,3,5
16,1,8:58.0,,Defensive rebound by A. Bogut,3,5
17,1,8:50.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,3,5
18,1,8:50.0,Defensive rebound by D. Howard,,3,5
19,1,8:30.0,Shooting block foul by H. Barnes (drawn by P. Millsap),,3,5
20,1,8:30.0,P. Millsap makes free throw 1 of 2,,4,5
21,1,8:30.0,P. Millsap makes free throw 2 of 2,,5,5
22,1,8:12.0,,H. Barnes misses 3-pt jump shot from 24 ft,5,5
23,1,8:11.0,Defensive rebound by D. Howard,,5,5
24,1,8:04.0,D. Howard misses 2-pt jump shot from 20 ft,,5,5
25,1,8:04.0,,Defensive rebound by A. Bogut,5,5
26,1,7:53.0,,A. Bogut misses 2-pt jump shot from 12 ft,5,5
27,1,7:52.0,Defensive rebound by D. Howard,,5,5
28,1,7:51.0,Turnover by D. Howard (step out of bounds),,5,5
29,1,7:51.0,,S. Curry enters the game for D. Nowitzki,5,5
30,1,7:49.0,,H. Barnes misses 2-pt jump shot from 19 ft,5,5
31,1,7:47.0,Defensive rebound by K. Bazemore,,5,5
32,1,7:40.0,K. Bazemore misses 2-pt jump shot from 11 ft,,5,5
33,1,7:39.0,,Defensive rebound by A. Bogut,5,5
34,1,7:29.0,,H. Barnes makes 2-pt jump shot from 19 ft (assist by W. Matthews),5,7
35,1,7:15.0,T. Sefolosha misses 2-pt jump shot from 13 ft,,5,7
36,1,7:14.0,,Defensive rebound by A. Bogut,5,7
37,1,6:49.0,,W. Matthews misses 3-pt jump shot from 24 ft,5,7
38,1,6:47.0,Defensive rebound by D. Howard,,5,7
39,1,6:36.0,Shooting block foul by A. Bogut (drawn by D. Schröder),,5,7
40,1,6:36.0,D. Schröder makes free throw 1 of 2,,6,7
41,1,6:36.0,D. Schröder makes free throw 2 of 2,,7,7
42,1,6:25.0,,Personal foul by K. Bazemore (drawn by H. Barnes),7,7
43,1,6:23.0,,Turnover by A. Bogut (bad pass; steal by D. Howard),7,7
44,1,6:14.0,Turnover by P. Millsap (bad pass; steal by H. Barnes),,7,7
45,1,6:04.0,,Personal foul by D. Schröder (drawn by H. Barnes),7,7
46,1,6:04.0,T. Hardaway enters the game for T. Sefolosha,,7,7
47,1,5:56.0,,D. Williams misses 2-pt jump shot from 22 ft,7,7
48,1,5:53.0,Defensive rebound by Team,,7,7
49,1,5:53.0,,Dallas full timeout,7,7
50,1,5:46.0,Personal foul by S. Curry (drawn by T. Hardaway),,7,7
51,1,5:32.0,Shooting foul by H. Barnes (drawn by P. Millsap),,7,7
52,1,5:32.0,P. Millsap makes free throw 1 of 2,,8,7
53,1,5:32.0,,D. Nowitzki enters the game for H. Barnes,8,7
54,1,5:32.0,P. Millsap makes free throw 2 of 2,,9,7
55,1,5:13.0,,S. Curry misses 3-pt jump shot from 23 ft,9,7
56,1,5:12.0,Defensive rebound by D. Howard,,9,7
57,1,4:59.0,Personal block foul by S. Curry (drawn by D. Howard),,9,7
58,1,4:59.0,D. Howard makes free throw 1 of 2,,10,7
59,1,4:59.0,M. Delaney enters the game for K. Bazemore,,10,7
60,1,4:59.0,D. Howard makes free throw 2 of 2,,11,7
61,1,4:49.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,11,7
62,1,4:48.0,Defensive rebound by D. Howard,,11,7
63,1,4:36.0,Turnover by D. Schröder (bad pass),,11,7
64,1,4:25.0,,Turnover by D. Williams (bad pass; steal by P. Millsap),11,7
65,1,4:21.0,M. Delaney makes 2-pt jump shot from 16 ft (assist by P. Millsap),,13,7
66,1,4:20.0,,Dallas full timeout,13,7
67,1,4:20.0,,D. Harris enters the game for A. Bogut,13,7
68,1,4:20.0,,J. Barea enters the game for D. Williams,13,7
69,1,4:20.0,,D. Powell enters the game for S. Curry,13,7
70,1,4:20.0,M. Muscala enters the game for D. Howard,,13,7
71,1,4:04.0,,D. Harris misses 3-pt jump shot from 22 ft,13,7
72,1,4:03.0,,Offensive rebound by D. Powell,13,7
73,1,3:53.0,,Turnover by D. Nowitzki (lost ball),13,7
74,1,3:34.0,P. Millsap misses 3-pt jump shot from 28 ft,,13,7
75,1,3:33.0,,Defensive rebound by J. Barea,13,7
76,1,3:25.0,,D. Harris makes 2-pt layup from 3 ft (assist by J. Barea),13,9
77,1,3:13.0,D. Schröder misses 2-pt jump shot from 21 ft,,13,9
78,1,3:12.0,,Defensive rebound by J. Barea,13,9
79,1,3:05.0,,Personal foul by D. Schröder,13,9
80,1,3:05.0,T. Prince enters the game for D. Schröder,,13,9
81,1,2:57.0,,Shooting block foul by P. Millsap (drawn by D. Harris),13,9
82,1,2:57.0,Atlanta full timeout,,13,9
83,1,2:57.0,,D. Harris makes free throw 1 of 2,13,10
84,1,2:57.0,,D. Finney-Smith enters the game for W. Matthews,13,9
85,1,2:57.0,,D. Harris makes free throw 2 of 2,13,11
86,1,2:52.0,Offensive foul by T. Hardaway (drawn by D. Harris),,13,11
87,1,2:52.0,Turnover by T. Hardaway (offensive foul),,13,11
88,1,2:43.0,,D. Powell makes 2-pt dunk at rim (assist by J. Barea),13,13
89,1,2:38.0,M. Muscala makes 2-pt dunk at rim (assist by T. Hardaway),,15,13
90,1,2:24.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,15,13
91,1,2:23.0,Defensive rebound by T. Hardaway,,15,13
92,1,2:10.0,M. Muscala makes 2-pt jump shot from 17 ft (assist by P. Millsap),,17,13
93,1,1:47.0,,D. Finney-Smith makes 3-pt jump shot from 22 ft (assist by J. Barea),17,16
94,1,1:31.0,T. Hardaway makes 2-pt jump shot from 18 ft (assist by P. Millsap),,19,16
95,1,1:05.0,,J. Barea misses 2-pt jump shot from 7 ft,19,16
96,1,1:04.0,Defensive rebound by P. Millsap,,19,16
97,1,0:57.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by M. Delaney),,22,16
98,1,0:39.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by J. Barea),22,18
99,1,0:31.0,M. Delaney misses 2-pt jump shot from 17 ft,,22,18
100,1,0:29.0,Offensive rebound by M. Muscala,,22,18
101,1,0:23.0,M. Muscala misses 3-pt jump shot from 22 ft,,22,18
102,1,0:22.0,,Defensive rebound by J. Barea,22,18
103,1,0:02.0,,Shooting foul by M. Delaney (drawn by D. Nowitzki),22,18
104,1,0:02.0,,D. Nowitzki makes free throw 1 of 2,22,19
105,1,0:02.0,K. Humphries enters the game for P. Millsap,,22,19
106,1,0:02.0,,D. Nowitzki makes free throw 2 of 2,22,20
107,2,11:41.0,Turnover by K. Humphries (bad pass; steal by D. Nowitzki),,22,20
108,2,11:40.0,,Turnover by D. Finney-Smith (bad pass),22,20
109,2,11:36.0,K. Humphries misses 2-pt jump shot from 20 ft,,22,20
110,2,11:36.0,,Defensive rebound by Team,22,20
111,2,11:29.0,,D. Nowitzki misses 2-pt jump shot from 12 ft,22,20
112,2,11:25.0,,Offensive rebound by Team,22,20
113,2,11:15.0,,Personal block foul by M. Delaney (drawn by D. Powell),22,20
114,2,11:02.0,,J. Barea misses 3-pt jump shot from 25 ft,22,20
115,2,11:01.0,,Offensive rebound by D. Powell,22,20
116,2,10:53.0,,D. Powell makes 2-pt dunk at rim (assist by J. Barea),22,22
117,2,10:31.0,T. Hardaway misses 2-pt jump shot from 20 ft,,22,22
118,2,10:30.0,,Defensive rebound by J. Barea,22,22
119,2,10:22.0,,D. Nowitzki makes 2-pt layup from 2 ft (assist by J. Barea),22,24
120,2,10:21.0,Atlanta full timeout,,22,24
121,2,10:03.0,Turnover by T. Hardaway (bad pass; steal by D. Powell),,22,24
122,2,9:51.0,,D. Harris makes 3-pt jump shot from 25 ft,22,27
123,2,9:35.0,T. Prince makes 2-pt layup from 1 ft,,24,27
124,2,9:19.0,,J. Barea misses 2-pt jump shot from 19 ft,24,27
125,2,9:18.0,Defensive rebound by K. Humphries,,24,27
126,2,9:10.0,Personal foul by J. Barea,,24,27
127,2,9:10.0,D. Howard enters the game for K. Humphries,,24,27
128,2,9:10.0,,A. Bogut enters the game for D. Powell,24,27
129,2,9:10.0,,H. Barnes enters the game for D. Nowitzki,24,27
130,2,8:55.0,T. Prince misses 2-pt layup from 1 ft,,24,27
131,2,8:54.0,Offensive rebound by D. Howard,,24,27
132,2,8:54.0,D. Howard makes 2-pt dunk at rim,,26,27
133,2,8:35.0,,H. Barnes makes 2-pt jump shot from 13 ft,26,29
134,2,8:25.0,M. Muscala misses 2-pt layup from 2 ft (block by D. Finney-Smith),,26,29
135,2,8:25.0,Offensive rebound by Team,,26,29
136,2,8:21.0,T. Hardaway makes 2-pt jump shot from 16 ft (assist by M. Muscala),,28,29
137,2,8:09.0,,J. Barea makes 3-pt jump shot from 26 ft,28,32
138,2,7:54.0,Shooting block foul by D. Finney-Smith (drawn by T. Prince),,28,32
139,2,7:54.0,T. Hardaway misses free throw 1 of 2,,28,32
140,2,7:54.0,Offensive rebound by Team,,28,32
141,2,7:54.0,,D. Williams enters the game for D. Harris,28,32
142,2,7:54.0,K. Bazemore enters the game for M. Delaney,,28,32
143,2,7:54.0,,W. Matthews enters the game for J. Barea,28,32
144,2,7:54.0,T. Hardaway makes free throw 2 of 2,,29,32
145,2,7:36.0,,H. Barnes makes 3-pt jump shot from 28 ft (assist by D. Finney-Smith),29,35
146,2,7:24.0,K. Bazemore misses 2-pt jump shot from 20 ft,,29,35
147,2,7:23.0,,Defensive rebound by D. Williams,29,35
148,2,7:13.0,,D. Williams misses 3-pt jump shot from 26 ft,29,35
149,2,7:13.0,Defensive rebound by D. Howard,,29,35
150,2,7:00.0,D. Howard misses 2-pt jump shot from 18 ft,,29,35
151,2,6:59.0,,Defensive rebound by A. Bogut,29,35
152,2,6:47.0,,H. Barnes makes 2-pt jump shot from 7 ft,29,37
153,2,6:46.0,Atlanta full timeout,,29,37
154,2,6:46.0,T. Sefolosha enters the game for T. Hardaway,,29,37
155,2,6:46.0,D. Schröder enters the game for M. Muscala,,29,37
156,2,6:46.0,P. Millsap enters the game for T. Prince,,29,37
157,2,6:35.0,D. Howard makes 2-pt dunk at rim (assist by K. Bazemore),,31,37
158,2,6:10.0,,W. Matthews misses 2-pt jump shot from 11 ft,31,37
159,2,6:09.0,Defensive rebound by T. Sefolosha,,31,37
160,2,5:59.0,D. Howard makes 2-pt layup at rim (assist by D. Schröder),,33,37
161,2,5:59.0,Shooting foul by D. Williams (drawn by D. Howard),,33,37
162,2,5:59.0,Official timeout,,33,37
163,2,5:59.0,D. Howard makes free throw 1 of 1,,34,37
164,2,5:47.0,,D. Williams makes 2-pt jump shot from 5 ft,34,39
165,2,5:33.0,D. Schröder makes 2-pt jump shot from 5 ft,,36,39
166,2,5:21.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,36,39
167,2,5:20.0,,Offensive rebound by D. Williams,36,39
168,2,5:05.0,Offensive charge foul by D. Williams (drawn by D. Schröder),,36,39
169,2,5:05.0,,Turnover by D. Williams (offensive foul),36,39
170,2,4:56.0,Personal foul by D. Finney-Smith (drawn by P. Millsap),,36,39
171,2,4:43.0,D. Schröder makes 2-pt jump shot from 4 ft,,38,39
172,2,4:26.0,,W. Matthews misses 2-pt jump shot from 23 ft (block by K. Bazemore),38,39
173,2,4:25.0,Defensive rebound by D. Howard,,38,39
174,2,4:17.0,D. Schröder misses 3-pt jump shot from 25 ft,,38,39
175,2,4:16.0,,Defensive rebound by A. Bogut,38,39
176,2,4:00.0,,Turnover by W. Matthews (lost ball),38,39
177,2,3:53.0,Shooting foul by W. Matthews (drawn by D. Schröder),,38,39
178,2,3:53.0,D. Schröder makes free throw 1 of 2,,39,39
179,2,3:53.0,,Dallas full timeout,39,39
180,2,3:53.0,D. Schröder misses free throw 2 of 2,,39,39
181,2,3:53.0,,D. Nowitzki enters the game for D. Finney-Smith,39,39
182,2,3:52.0,,Defensive rebound by A. Bogut,39,39
183,2,3:35.0,,H. Barnes makes 2-pt jump shot from 15 ft,39,41
184,2,3:27.0,P. Millsap misses 2-pt layup from 4 ft,,39,41
185,2,3:25.0,,Defensive rebound by H. Barnes,39,41
186,2,3:08.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,39,41
187,2,3:05.0,Defensive rebound by D. Schröder,,39,41
188,2,2:51.0,P. Millsap misses 2-pt jump shot from 17 ft,,39,41
189,2,2:50.0,,Defensive rebound by W. Matthews,39,41
190,2,2:49.0,T. Hardaway enters the game for K. Bazemore,,39,41
191,2,2:34.0,,W. Matthews misses 2-pt jump shot from 7 ft,39,41
192,2,2:32.0,Defensive rebound by D. Howard,,39,41
193,2,2:19.0,D. Schröder misses 3-pt jump shot from 25 ft,,39,41
194,2,2:16.0,,Defensive rebound by A. Bogut,39,41
195,2,1:56.0,,Turnover by D. Williams (bad pass),39,41
196,2,1:56.0,K. Bazemore enters the game for T. Sefolosha,,39,41
197,2,1:47.0,T. Hardaway misses 3-pt jump shot from 26 ft,,39,41
198,2,1:46.0,,Defensive rebound by A. Bogut,39,41
199,2,1:33.0,,Personal foul by K. Bazemore (drawn by H. Barnes),39,41
200,2,1:18.0,,W. Matthews misses 2-pt jump shot from 16 ft,39,41
201,2,1:17.0,Defensive rebound by P. Millsap,,39,41
202,2,1:11.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by P. Millsap),,42,41
203,2,0:50.0,,D. Williams misses 3-pt jump shot from 28 ft,42,41
204,2,0:42.0,Defensive rebound by D. Schröder,,42,41
205,2,0:33.0,D. Schröder misses 2-pt jump shot from 13 ft (block by D. Nowitzki),,42,41
206,2,0:31.0,Offensive rebound by K. Bazemore,,42,41
207,2,0:30.0,K. Bazemore makes 3-pt jump shot from 23 ft,,45,41
208,2,0:15.0,,Personal foul by D. Schröder (drawn by H. Barnes),45,41
209,2,0:15.0,,H. Barnes misses free throw 1 of 2,45,41
210,2,0:15.0,,Offensive rebound by Team,45,41
211,2,0:15.0,,D. Finney-Smith enters the game for D. Nowitzki,45,41
212,2,0:15.0,M. Delaney enters the game for D. Schröder,,45,41
213,2,0:15.0,,H. Barnes makes free throw 2 of 2,45,42
214,2,0:03.0,T. Hardaway misses 2-pt jump shot from 18 ft,,45,42
215,2,0:00.0,,Defensive rebound by D. Williams,45,42
216,3,11:52.0,K. Bazemore misses 3-pt jump shot from 22 ft,,45,42
217,3,11:46.0,,Defensive rebound by D. Williams,45,42
218,3,11:31.0,,Personal foul by D. Schröder (drawn by D. Nowitzki),45,42
219,3,11:28.0,,Turnover by A. Bogut (bad pass; steal by T. Sefolosha),45,42
220,3,11:22.0,Personal take foul by A. Bogut (drawn by D. Schröder),,45,42
221,3,11:12.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. Millsap),,48,42
222,3,10:54.0,,A. Bogut misses 2-pt hook shot from 7 ft,48,42
223,3,10:53.0,Defensive rebound by P. Millsap,,48,42
224,3,10:47.0,Turnover by D. Schröder (bad pass; steal by D. Nowitzki),,48,42
225,3,10:29.0,,H. Barnes misses 2-pt jump shot from 18 ft,48,42
226,3,10:28.0,Defensive rebound by D. Howard,,48,42
227,3,10:11.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. Millsap),,51,42
228,3,9:57.0,,Turnover by D. Nowitzki (lost ball; steal by P. Millsap),51,42
229,3,9:56.0,Personal take foul by D. Williams (drawn by D. Schröder),,51,42
230,3,9:42.0,Turnover by P. Millsap (lost ball; steal by H. Barnes),,51,42
231,3,9:36.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,51,42
232,3,9:35.0,Defensive rebound by D. Howard,,51,42
233,3,9:19.0,D. Schröder misses 2-pt jump shot from 9 ft,,51,42
234,3,9:17.0,,Defensive rebound by W. Matthews,51,42
235,3,8:55.0,,H. Barnes misses 2-pt jump shot from 15 ft,51,42
236,3,8:54.0,Defensive rebound by K. Bazemore,,51,42
237,3,8:35.0,D. Howard misses 2-pt jump shot from 6 ft (block by A. Bogut),,51,42
238,3,8:33.0,,Defensive rebound by Team,51,42
239,3,8:07.0,,H. Barnes makes 2-pt jump shot from 13 ft,51,44
240,3,7:44.0,K. Bazemore misses 3-pt jump shot from 25 ft,,51,44
241,3,7:43.0,Offensive rebound by D. Howard,,51,44
242,3,7:35.0,D. Schröder misses 2-pt jump shot from 15 ft,,51,44
243,3,7:34.0,,Defensive rebound by D. Williams,51,44
244,3,7:20.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Williams),51,47
245,3,7:06.0,D. Howard misses 2-pt jump shot from 18 ft,,51,47
246,3,7:05.0,,Defensive rebound by A. Bogut,51,47
247,3,6:49.0,,Personal foul by T. Sefolosha (drawn by D. Nowitzki),51,47
248,3,6:49.0,M. Delaney enters the game for D. Schröder,,51,47
249,3,6:49.0,T. Hardaway enters the game for T. Sefolosha,,51,47
250,3,6:43.0,,D. Williams misses 2-pt jump shot from 10 ft,51,47
251,3,6:41.0,Defensive rebound by D. Howard,,51,47
252,3,6:29.0,P. Millsap misses 2-pt jump shot from 11 ft,,51,47
253,3,6:28.0,Offensive rebound by D. Howard,,51,47
254,3,6:28.0,D. Howard misses 2-pt layup from 2 ft,,51,47
255,3,6:26.0,,Defensive rebound by D. Nowitzki,51,47
256,3,6:13.0,,Def 3 sec tech foul by D. Howard,51,47
257,3,6:13.0,,D. Nowitzki makes technical free throw,51,48
258,3,6:13.0,M. Muscala enters the game for D. Howard,,51,48
259,3,6:13.0,,D. Finney-Smith enters the game for D. Nowitzki,51,48
260,3,6:00.0,,W. Matthews misses 2-pt jump shot from 13 ft,51,48
261,3,5:58.0,,Offensive rebound by H. Barnes,51,48
262,3,5:50.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),51,51
263,3,5:30.0,P. Millsap makes 2-pt jump shot from 11 ft,,53,51
264,3,5:30.0,Shooting foul by A. Bogut (drawn by P. Millsap),,53,51
