,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
0,1,11:44.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,0,0
1,1,11:43.0,Defensive rebound by K. Towns,,0,0
2,1,11:25.0,Turnover by K. Towns (bad pass; steal by J. Holiday),,0,0
3,1,11:20.0,,Personal foul by Z. LaVine (drawn by D. Rose),0,0
4,1,11:14.0,,D. Rose makes 2-pt jump shot from 10 ft,0,2
5,1,11:00.0,K. Towns misses 2-pt jump shot from 14 ft,,0,2
6,1,10:59.0,Offensive rebound by K. Towns,,0,2
7,1,10:57.0,K. Towns misses 2-pt layup from 1 ft,,0,2
8,1,10:56.0,,Defensive rebound by J. Holiday,0,2
9,1,10:50.0,,C. Anthony misses 3-pt jump shot from 25 ft,0,2
10,1,10:50.0,,Offensive rebound by K. Porziņģis,0,2
11,1,10:44.0,,D. Rose misses 2-pt jump shot from 15 ft,0,2
12,1,10:44.0,Defensive rebound by Z. LaVine,,0,2
13,1,10:30.0,A. Wiggins misses 2-pt jump shot from 8 ft,,0,2
14,1,10:30.0,,Defensive rebound by K. O'Quinn,0,2
15,1,10:16.0,,Turnover by K. O'Quinn (bad pass; steal by R. Rubio),0,2
16,1,10:09.0,R. Rubio misses 2-pt layup at rim (block by K. O'Quinn),,0,2
17,1,10:08.0,,Defensive rebound by K. Porziņģis,0,2
18,1,10:02.0,,D. Rose misses 2-pt layup from 2 ft (block by K. Towns),0,2
19,1,10:00.0,,Offensive rebound by D. Rose,0,2
20,1,9:59.0,,D. Rose makes 2-pt layup at rim,0,4
21,1,9:39.0,G. Dieng misses 2-pt jump shot from 12 ft,,0,4
22,1,9:38.0,,Defensive rebound by J. Holiday,0,4
23,1,9:29.0,,Shooting foul by G. Dieng (drawn by K. Porziņģis),0,4
24,1,9:29.0,,K. Porziņģis makes free throw 1 of 2,0,5
25,1,9:29.0,,K. Porziņģis makes free throw 2 of 2,0,6
26,1,9:16.0,Z. LaVine makes 3-pt jump shot from 25 ft,,3,6
27,1,8:52.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by C. Anthony),3,9
28,1,8:38.0,K. Towns misses 2-pt jump shot from 20 ft,,3,9
29,1,8:37.0,,Defensive rebound by J. Holiday,3,9
30,1,8:29.0,,D. Rose misses 2-pt jump shot from 11 ft,3,9
31,1,8:28.0,Defensive rebound by G. Dieng,,3,9
32,1,8:21.0,Z. LaVine makes 2-pt jump shot from 21 ft,,5,9
33,1,8:09.0,,K. Porziņģis misses 3-pt jump shot from 24 ft,5,9
34,1,8:08.0,,Offensive rebound by Team,5,9
35,1,8:08.0,Loose ball foul by K. Towns (drawn by K. O'Quinn),,5,9
36,1,7:53.0,,K. Porziņģis misses 2-pt jump shot from 15 ft,5,9
37,1,7:52.0,,Offensive rebound by K. O'Quinn,5,9
38,1,7:48.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by K. O'Quinn),5,12
39,1,7:22.0,Z. LaVine misses 3-pt jump shot from 27 ft,,5,12
40,1,7:21.0,,Defensive rebound by C. Anthony,5,12
41,1,7:08.0,,J. Holiday misses 3-pt jump shot from 24 ft,5,12
42,1,7:07.0,Defensive rebound by G. Dieng,,5,12
43,1,6:54.0,K. Towns misses 2-pt layup from 2 ft,,5,12
