,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW ORLEANS_ACTION,GOLDEN STATE_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,,B. Hield makes 2-pt jump shot from 11 ft (assist by J. Holiday),0,2
1,1,11:23.0,S. Curry misses 3-pt jump shot from 25 ft,,0,2
2,1,11:21.0,Offensive rebound by J. McGee,,0,2
3,1,11:20.0,J. McGee makes 2-pt layup from 1 ft,,2,2
4,1,11:11.0,,B. Hield makes 3-pt jump shot from 27 ft (assist by J. Holiday),2,5
5,1,11:11.0,J. McGee misses 2-pt layup from 3 ft,,2,5
6,1,11:11.0,,Defensive rebound by S. Hill,2,5
7,1,10:51.0,,S. Hill misses 2-pt jump shot from 10 ft,2,5
8,1,10:50.0,Defensive rebound by J. McGee,,2,5
9,1,10:43.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),,5,5
10,1,10:29.0,,S. Hill misses 2-pt layup from 2 ft (block by K. Thompson),5,5
11,1,10:28.0,,Offensive rebound by J. Holiday,5,5
12,1,10:26.0,,S. Hill makes 2-pt layup from 2 ft (assist by J. Holiday),5,7
13,1,10:13.0,Turnover by D. Green (bad pass; steal by J. Holiday),,5,7
14,1,10:09.0,,B. Hield misses 3-pt jump shot from 25 ft,5,7
15,1,10:07.0,Defensive rebound by K. Durant,,5,7
16,1,9:54.0,,Violation by B. Hield (kicked ball),5,7
17,1,9:48.0,K. Thompson misses 2-pt jump shot from 11 ft,,5,7
18,1,9:47.0,,Defensive rebound by A. Ajinça,5,7
19,1,9:39.0,,A. Davis makes 2-pt layup from 3 ft (assist by B. Hield),5,9
20,1,9:15.0,K. Durant misses 2-pt layup from 3 ft,,5,9
21,1,9:14.0,,Defensive rebound by J. Holiday,5,9
22,1,9:09.0,,B. Hield misses 2-pt layup from 2 ft,5,9
23,1,9:08.0,,Offensive rebound by J. Holiday,5,9
24,1,9:07.0,,J. Holiday misses 2-pt layup from 3 ft,5,9
25,1,9:07.0,Defensive rebound by S. Curry,,5,9
26,1,8:58.0,Turnover by K. Thompson (bad pass; steal by A. Ajinça),,5,9
27,1,8:50.0,Offensive charge foul by A. Davis (drawn by D. Green),,5,9
28,1,8:50.0,,Turnover by A. Davis (offensive foul),5,9
29,1,8:36.0,D. Green misses 3-pt jump shot from 24 ft,,5,9
30,1,8:35.0,,Defensive rebound by B. Hield,5,9
31,1,8:23.0,,Shooting foul by K. Durant (drawn by A. Davis),5,9
32,1,8:23.0,,A. Davis makes free throw 1 of 2,5,10
33,1,8:23.0,,A. Davis makes free throw 2 of 2,5,11
34,1,8:21.0,Turnover by K. Durant (bad pass; steal by J. Holiday),,5,11
35,1,8:21.0,,J. Holiday makes 2-pt dunk at rim,5,13
36,1,8:21.0,Golden State full timeout,,5,13
37,1,8:06.0,K. Durant makes 2-pt jump shot from 14 ft,,7,13
38,1,7:48.0,,A. Ajinça misses 2-pt jump shot from 17 ft,7,13
39,1,7:47.0,Defensive rebound by D. Green,,7,13
40,1,7:31.0,K. Thompson misses 2-pt layup from 2 ft,,7,13
41,1,7:29.0,,Defensive rebound by J. Holiday,7,13
42,1,7:16.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by A. Ajinça),7,16
43,1,7:00.0,K. Thompson makes 2-pt jump shot from 4 ft (assist by S. Curry),,9,16
44,1,6:39.0,,A. Davis makes 2-pt jump shot from 6 ft,9,18
45,1,6:24.0,J. McGee makes 2-pt dunk at rim (assist by D. Green),,11,18
46,1,6:17.0,,J. Holiday misses 3-pt jump shot from 25 ft,11,18
47,1,6:16.0,Defensive rebound by J. McGee,,11,18
48,1,6:06.0,Shooting foul by S. Hill (drawn by J. McGee),,11,18
49,1,6:06.0,J. McGee misses free throw 1 of 2,,11,18
50,1,6:06.0,Offensive rebound by Team,,11,18
51,1,6:06.0,A. Iguodala enters the game for K. Durant,,11,18
52,1,6:06.0,J. McGee makes free throw 2 of 2,,12,18
53,1,5:43.0,,A. Davis makes 2-pt jump shot from 16 ft (assist by J. Holiday),12,20
54,1,5:17.0,S. Curry misses 2-pt jump shot from 13 ft,,12,20
55,1,5:17.0,,Defensive rebound by A. Davis,12,20
56,1,5:03.0,,B. Hield misses 2-pt jump shot from 16 ft,12,20
57,1,5:02.0,Defensive rebound by K. Thompson,,12,20
58,1,4:51.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,15,20
59,1,4:23.0,,Turnover by J. Holiday (lost ball; steal by D. Green),15,20
60,1,4:16.0,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Thompson),,18,20
61,1,4:09.0,,New Orleans full timeout,18,20
62,1,4:09.0,,E. Moore enters the game for S. Hill,18,20
63,1,4:09.0,,T. Jones enters the game for A. Ajinça,18,20
64,1,4:09.0,K. Durant enters the game for J. McGee,,18,20
65,1,4:09.0,I. Clark enters the game for K. Thompson,,18,20
66,1,3:49.0,,J. Holiday misses 2-pt jump shot from 16 ft,18,20
67,1,3:48.0,Defensive rebound by I. Clark,,18,20
68,1,3:34.0,Shooting foul by E. Moore (drawn by K. Durant),,18,20
69,1,3:34.0,K. Durant makes free throw 1 of 3,,19,20
70,1,3:34.0,K. Durant misses free throw 2 of 3,,19,20
71,1,3:34.0,Offensive rebound by Team,,19,20
72,1,3:34.0,,T. Frazier enters the game for J. Holiday,19,20
73,1,3:34.0,K. Durant makes free throw 3 of 3,,20,20
74,1,3:25.0,,A. Davis misses 2-pt jump shot from 19 ft,20,20
75,1,3:24.0,Defensive rebound by K. Durant,,20,20
76,1,3:16.0,K. Durant makes 2-pt jump shot from 11 ft,,22,20
77,1,2:56.0,,T. Jones makes 2-pt jump shot from 9 ft (assist by T. Frazier),22,22
78,1,2:45.0,K. Durant misses 2-pt jump shot from 11 ft,,22,22
79,1,2:44.0,,Defensive rebound by A. Davis,22,22
80,1,2:40.0,,Turnover by A. Davis (bad pass),22,22
81,1,2:40.0,,L. Galloway enters the game for B. Hield,22,22
82,1,2:29.0,S. Curry makes 3-pt jump shot from 27 ft,,25,22
83,1,2:13.0,,A. Davis makes 2-pt layup from 2 ft,25,24
84,1,2:04.0,S. Curry misses 3-pt jump shot from 27 ft,,25,24
85,1,2:02.0,,Defensive rebound by T. Jones,25,24
86,1,1:56.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by E. Moore),25,27
87,1,1:38.0,D. Green misses 2-pt jump shot from 21 ft,,25,27
88,1,1:37.0,,Defensive rebound by L. Galloway,25,27
89,1,1:23.0,,T. Frazier makes 3-pt jump shot from 26 ft (assist by A. Davis),25,30
90,1,1:08.0,S. Curry makes 2-pt layup from 2 ft,,27,30
91,1,0:55.0,,E. Moore misses 3-pt jump shot from 24 ft,27,30
92,1,0:54.0,Defensive rebound by D. Green,,27,30
93,1,0:48.0,K. Durant makes 2-pt dunk at rim,,29,30
94,1,0:33.0,,A. Davis makes 3-pt jump shot from 25 ft (assist by E. Moore),29,33
95,1,0:17.0,K. Durant misses 2-pt layup from 2 ft (block by A. Davis),,29,33
96,1,0:17.0,,Defensive rebound by T. Jones,29,33
97,1,0:01.0,,T. Frazier makes 2-pt jump shot from 15 ft,29,35
98,1,0:00.0,A. Iguodala misses 3-pt jump shot from 27 ft,,29,35
99,1,0:00.0,Offensive rebound by Team,,29,35
100,2,11:46.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. West),,32,35
101,2,11:30.0,,L. Galloway misses 3-pt jump shot from 26 ft,32,35
102,2,11:28.0,Defensive rebound by D. West,,32,35
103,2,11:18.0,Shooting block foul by R. Williams (drawn by K. Thompson),,32,35
104,2,11:18.0,K. Thompson makes free throw 1 of 2,,33,35
105,2,11:18.0,K. Thompson misses free throw 2 of 2,,33,35
