,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PORTLAND_ACTION,ATLANTA_SCORE,PORTLAND_SCORE
0,1,11:46.0,P. Millsap misses 2-pt jump shot from 19 ft,,0,0
1,1,11:45.0,,Defensive rebound by C. McCollum,0,0
2,1,11:32.0,,D. Lillard makes 2-pt layup from 2 ft,0,2
3,1,11:10.0,D. Howard makes 2-pt dunk at rim (assist by K. Bazemore),,2,2
4,1,10:48.0,,M. Leonard misses 3-pt jump shot from 24 ft,2,2
5,1,10:48.0,Defensive rebound by D. Howard,,2,2
6,1,10:21.0,P. Millsap misses 2-pt jump shot from 8 ft,,2,2
7,1,10:21.0,,Defensive rebound by N. Vonleh,2,2
8,1,10:09.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by M. Leonard),2,5
9,1,9:58.0,D. Schröder misses 2-pt jump shot from 6 ft,,2,5
10,1,9:57.0,Offensive rebound by Team,,2,5
11,1,9:56.0,Turnover by K. Bazemore (lost ball),,2,5
12,1,9:31.0,,C. McCollum misses 3-pt jump shot from 23 ft,2,5
13,1,9:31.0,Defensive rebound by D. Howard,,2,5
14,1,9:19.0,T. Hardaway misses 2-pt layup from 2 ft (block by M. Harkless),,2,5
15,1,9:19.0,Offensive rebound by Team,,2,5
16,1,9:07.0,K. Bazemore misses 3-pt jump shot from 25 ft,,2,5
17,1,9:05.0,,Defensive rebound by N. Vonleh,2,5
18,1,8:54.0,,M. Harkless misses 2-pt layup from 2 ft (block by D. Howard),2,5
19,1,8:54.0,Defensive rebound by D. Howard,,2,5
20,1,8:44.0,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),,4,5
21,1,8:24.0,,M. Leonard misses 3-pt jump shot from 24 ft,4,5
22,1,8:23.0,,Offensive rebound by M. Harkless,4,5
23,1,8:22.0,,M. Harkless misses 2-pt layup from 2 ft (block by D. Howard),4,5
24,1,8:22.0,,Offensive rebound by Team,4,5
25,1,8:11.0,,M. Leonard misses 3-pt jump shot from 26 ft,4,5
26,1,8:10.0,Defensive rebound by D. Howard,,4,5
27,1,7:58.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by K. Bazemore),,7,5
28,1,7:42.0,,Personal foul by D. Schröder (drawn by D. Lillard),7,5
29,1,7:38.0,,D. Lillard misses 3-pt jump shot from 26 ft,7,5
30,1,7:36.0,,Offensive rebound by M. Leonard,7,5
31,1,7:30.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by M. Leonard),7,8
32,1,7:22.0,D. Schröder misses 2-pt jump shot from 16 ft,,7,8
33,1,7:21.0,,Defensive rebound by C. McCollum,7,8
34,1,7:15.0,,C. McCollum makes 2-pt jump shot from 5 ft,7,10
35,1,7:03.0,D. Howard makes 2-pt layup from 2 ft (assist by K. Bazemore),,9,10
36,1,6:51.0,,M. Harkless misses 2-pt layup from 2 ft (block by D. Howard),9,10
37,1,6:51.0,Defensive rebound by D. Schröder,,9,10
38,1,6:47.0,T. Hardaway makes 2-pt layup from 2 ft (assist by D. Schröder),,11,10
39,1,6:47.0,Shooting foul by M. Leonard (drawn by T. Hardaway),,11,10
40,1,6:47.0,T. Hardaway makes free throw 1 of 1,,12,10
