,QUARTER,TIME_REMAINING,ATLANTA_ACTION,OKLAHOMA CITY_ACTION,ATLANTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:39.0,D. Schröder makes 2-pt jump shot from 16 ft,,2,0
1,1,11:11.0,,A. Roberson misses 2-pt layup from 3 ft,2,0
2,1,11:11.0,Defensive rebound by P. Millsap,,2,0
3,1,10:54.0,Turnover by T. Sefolosha (bad pass),,2,0
4,1,10:40.0,,Turnover by D. Sabonis (traveling),2,0
5,1,10:31.0,Turnover by D. Schröder (bad pass; steal by S. Adams),,2,0
6,1,10:26.0,,R. Westbrook misses 2-pt layup from 2 ft,2,0
7,1,10:25.0,,Offensive rebound by S. Adams,2,0
8,1,10:25.0,,S. Adams misses 2-pt layup from 1 ft,2,0
9,1,10:23.0,Defensive rebound by Team,,2,0
10,1,10:13.0,K. Korver misses 2-pt jump shot from 19 ft,,2,0
11,1,10:13.0,,Defensive rebound by S. Adams,2,0
12,1,9:53.0,,S. Adams makes 2-pt jump shot from 2 ft (assist by R. Westbrook),2,2
13,1,9:39.0,D. Schröder makes 2-pt jump shot from 8 ft,,4,2
14,1,9:24.0,,A. Morrow makes 2-pt jump shot from 14 ft (assist by R. Westbrook),4,4
15,1,9:09.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,7,4
16,1,8:56.0,,Shooting foul by P. Millsap (drawn by R. Westbrook),7,4
17,1,8:56.0,,R. Westbrook misses free throw 1 of 2,7,4
18,1,8:56.0,,Offensive rebound by Team,7,4
19,1,8:56.0,,R. Westbrook makes free throw 2 of 2,7,5
20,1,8:42.0,K. Bazemore misses 2-pt layup from 2 ft,,7,5
21,1,8:41.0,,Defensive rebound by R. Westbrook,7,5
22,1,8:35.0,,A. Roberson misses 3-pt jump shot from 23 ft,7,5
23,1,8:35.0,Defensive rebound by T. Sefolosha,,7,5
24,1,8:19.0,Shooting foul by D. Sabonis (drawn by D. Schröder),,7,5
25,1,8:19.0,D. Schröder makes free throw 1 of 2,,8,5
26,1,8:19.0,D. Schröder makes free throw 2 of 2,,9,5
27,1,7:55.0,,R. Westbrook misses 3-pt jump shot from 24 ft,9,5
28,1,7:55.0,Defensive rebound by K. Bazemore,,9,5
29,1,7:49.0,K. Bazemore misses 2-pt jump shot from 15 ft,,9,5
30,1,7:47.0,,Defensive rebound by R. Westbrook,9,5
31,1,7:36.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by A. Morrow),9,7
32,1,7:27.0,Personal foul by A. Morrow (drawn by D. Schröder),,9,7
33,1,7:17.0,D. Schröder misses 2-pt layup from 1 ft,,9,7
34,1,7:16.0,,Defensive rebound by R. Westbrook,9,7
35,1,7:10.0,,A. Morrow misses 3-pt jump shot from 23 ft,9,7
36,1,7:09.0,,Offensive rebound by A. Roberson,9,7
37,1,6:55.0,,Turnover by D. Sabonis (lost ball; steal by K. Bazemore),9,7
38,1,6:45.0,T. Sefolosha makes 2-pt dunk at rim (assist by D. Schröder),,11,7
39,1,6:26.0,,D. Sabonis misses 3-pt jump shot from 24 ft,11,7
40,1,6:25.0,Defensive rebound by P. Millsap,,11,7
41,1,6:14.0,Atlanta full timeout,,11,7
42,1,6:14.0,,J. Grant enters the game for D. Sabonis,11,7
43,1,6:14.0,T. Hardaway enters the game for K. Bazemore,,11,7
44,1,6:08.0,D. Schröder makes 2-pt jump shot from 23 ft (assist by T. Sefolosha),,13,7
45,1,5:56.0,Offensive charge foul by R. Westbrook (drawn by K. Korver),,13,7
46,1,5:56.0,,Turnover by R. Westbrook (offensive foul),13,7
47,1,5:56.0,,S. Christon enters the game for A. Morrow,13,7
48,1,5:46.0,P. Millsap makes 2-pt layup from 2 ft (assist by D. Schröder),,15,7
49,1,5:27.0,,S. Christon misses 2-pt jump shot from 6 ft,15,7
50,1,5:26.0,,Offensive rebound by A. Roberson,15,7
51,1,5:15.0,,R. Westbrook misses 2-pt jump shot from 18 ft,15,7
52,1,5:14.0,Defensive rebound by K. Korver,,15,7
53,1,5:03.0,P. Millsap makes 2-pt jump shot from 7 ft,,17,7
54,1,4:36.0,,A. Roberson misses 3-pt jump shot from 25 ft,17,7
55,1,4:35.0,Defensive rebound by D. Schröder,,17,7
56,1,4:26.0,T. Hardaway misses 3-pt jump shot from 25 ft,,17,7
57,1,4:26.0,,Defensive rebound by S. Christon,17,7
58,1,4:18.0,,Shooting foul by T. Hardaway (drawn by R. Westbrook),17,7
59,1,4:18.0,,R. Westbrook makes free throw 1 of 2,17,8
60,1,4:18.0,,Á. Abrines enters the game for A. Roberson,17,8
61,1,4:18.0,,R. Westbrook makes free throw 2 of 2,17,9
62,1,4:05.0,P. Millsap misses 2-pt layup from 1 ft (block by S. Adams),,17,9
63,1,4:04.0,,Defensive rebound by S. Adams,17,9
64,1,3:58.0,K. Bazemore enters the game for T. Sefolosha,,17,9
65,1,3:48.0,,R. Westbrook misses 2-pt jump shot from 15 ft,17,9
66,1,3:47.0,Defensive rebound by P. Millsap,,17,9
67,1,3:39.0,K. Korver misses 3-pt jump shot from 24 ft,,17,9
68,1,3:38.0,,Defensive rebound by S. Adams,17,9
69,1,3:29.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),17,12
70,1,3:12.0,D. Schröder misses 2-pt jump shot from 18 ft,,17,12
71,1,3:11.0,,Defensive rebound by S. Adams,17,12
72,1,3:01.0,,Turnover by R. Westbrook (bad pass; steal by T. Hardaway),17,12
73,1,3:00.0,Turnover by T. Hardaway (bad pass; steal by R. Westbrook),,17,12
74,1,2:56.0,,R. Westbrook misses 3-pt jump shot from 25 ft,17,12
75,1,2:55.0,Defensive rebound by P. Millsap,,17,12
76,1,2:45.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),,20,12
77,1,2:28.0,,Turnover by R. Westbrook (bad pass; steal by K. Bazemore),20,12
78,1,2:22.0,Turnover by D. Schröder (lost ball),,20,12
79,1,2:22.0,,Oklahoma City full timeout,20,12
80,1,2:22.0,,E. Freedom enters the game for S. Adams,20,12
81,1,2:22.0,,A. Roberson enters the game for R. Westbrook,20,12
82,1,2:22.0,M. Muscala enters the game for K. Korver,,20,12
83,1,2:22.0,M. Delaney enters the game for D. Schröder,,20,12
84,1,2:07.0,,Á. Abrines misses 3-pt jump shot from 25 ft,20,12
85,1,2:06.0,Defensive rebound by T. Hardaway,,20,12
86,1,1:59.0,Turnover by T. Hardaway (bad pass; steal by Á. Abrines),,20,12
87,1,1:35.0,,Á. Abrines misses 2-pt jump shot from 5 ft,20,12
88,1,1:35.0,,Offensive rebound by E. Freedom,20,12
89,1,1:34.0,,E. Freedom makes 2-pt layup from 2 ft,20,14
90,1,1:16.0,M. Muscala misses 2-pt jump shot from 9 ft,,20,14
91,1,1:15.0,,Defensive rebound by E. Freedom,20,14
92,1,1:01.0,,Á. Abrines misses 3-pt jump shot from 25 ft,20,14
93,1,1:00.0,,Offensive rebound by E. Freedom,20,14
94,1,1:00.0,,E. Freedom makes 2-pt layup from 3 ft,20,16
95,1,0:49.0,P. Millsap makes 2-pt layup from 1 ft (assist by T. Hardaway),,22,16
96,1,0:36.0,,Turnover by E. Freedom (lost ball),22,16
97,1,0:36.0,K. Korver enters the game for P. Millsap,,22,16
98,1,0:36.0,,J. Lauvergne enters the game for J. Grant,22,16
99,1,0:25.0,T. Hardaway misses 2-pt jump shot from 9 ft,,22,16
100,1,0:25.0,,Defensive rebound by J. Lauvergne,22,16
101,1,0:04.0,,S. Christon misses 3-pt jump shot from 23 ft,22,16
102,1,0:03.0,Defensive rebound by M. Muscala,,22,16
103,1,0:00.0,T. Hardaway misses 3-pt jump shot from 42 ft,,22,16
104,1,0:00.0,Offensive rebound by Team,,22,16
