,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
0,1,11:41.0,N. Young makes 2-pt jump shot from 19 ft,,2,0
1,1,11:20.0,,D. Lillard makes 2-pt jump shot from 20 ft,2,2
2,1,11:03.0,J. Calderón misses 2-pt jump shot from 17 ft,,2,2
3,1,11:02.0,,Defensive rebound by N. Vonleh,2,2
4,1,10:54.0,,D. Lillard makes 2-pt jump shot from 20 ft,2,4
5,1,10:42.0,T. Mozgov misses 2-pt jump shot from 9 ft,,2,4
6,1,10:41.0,,Defensive rebound by N. Vonleh,2,4
7,1,10:33.0,,D. Lillard misses 3-pt jump shot from 25 ft,2,4
8,1,10:33.0,Defensive rebound by L. Deng,,2,4
9,1,10:28.0,L. Deng makes 2-pt jump shot from 5 ft,,4,4
10,1,9:58.0,,E. Turner makes 2-pt jump shot from 8 ft,4,6
11,1,9:51.0,J. Randle makes 2-pt jump shot from 15 ft,,6,6
12,1,9:38.0,,Shooting foul by N. Young (drawn by C. McCollum),6,6
13,1,9:38.0,,C. McCollum makes free throw 1 of 2,6,7
14,1,9:38.0,,C. McCollum makes free throw 2 of 2,6,8
15,1,9:19.0,Turnover by J. Randle (traveling),,6,8
16,1,9:09.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by M. Plumlee),6,11
17,1,8:56.0,Personal foul by M. Plumlee (drawn by T. Mozgov),,6,11
18,1,8:49.0,N. Young makes 2-pt jump shot from 15 ft (assist by J. Randle),,8,11
19,1,8:20.0,,M. Plumlee misses 2-pt jump shot from 18 ft,8,11
20,1,8:19.0,Defensive rebound by J. Randle,,8,11
21,1,8:13.0,T. Mozgov misses 2-pt layup from 2 ft,,8,11
22,1,8:12.0,,Defensive rebound by N. Vonleh,8,11
23,1,8:06.0,,C. McCollum misses 2-pt jump shot from 8 ft,8,11
24,1,8:05.0,Defensive rebound by L. Deng,,8,11
25,1,7:49.0,J. Calderón misses 2-pt jump shot from 15 ft,,8,11
26,1,7:47.0,Offensive rebound by T. Mozgov,,8,11
27,1,7:45.0,N. Young makes 3-pt jump shot from 26 ft (assist by T. Mozgov),,11,11
28,1,7:26.0,,M. Plumlee misses 2-pt layup from 1 ft (block by T. Mozgov),11,11
29,1,7:26.0,Defensive rebound by T. Mozgov,,11,11
30,1,7:08.0,N. Young misses 3-pt jump shot from 25 ft,,11,11
31,1,7:08.0,,Defensive rebound by M. Plumlee,11,11
32,1,6:59.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by E. Turner),11,14
33,1,6:59.0,LA Lakers full timeout,,11,14
34,1,6:41.0,L. Deng makes 2-pt jump shot from 14 ft,,13,14
35,1,6:24.0,,C. McCollum misses 2-pt jump shot from 17 ft,13,14
36,1,6:23.0,Defensive rebound by J. Randle,,13,14
37,1,6:18.0,Turnover by J. Randle (lost ball),,13,14
38,1,6:03.0,,C. McCollum makes 2-pt layup from 2 ft,13,16
39,1,6:03.0,,Shooting foul by N. Young (drawn by C. McCollum),13,16
40,1,6:03.0,,M. Leonard enters the game for M. Plumlee,13,16
41,1,6:03.0,,C. McCollum makes free throw 1 of 1,13,17
42,1,5:46.0,J. Calderón misses 3-pt jump shot from 25 ft,,13,17
43,1,5:45.0,,Defensive rebound by M. Leonard,13,17
44,1,5:34.0,,C. McCollum misses 2-pt jump shot from 9 ft,13,17
45,1,5:33.0,,Offensive rebound by N. Vonleh,13,17
46,1,5:30.0,,A. Crabbe enters the game for C. McCollum,13,17
47,1,5:30.0,J. Clarkson enters the game for L. Deng,,13,17
48,1,5:30.0,B. Ingram enters the game for N. Young,,13,17
49,1,5:22.0,,D. Lillard misses 3-pt jump shot from 25 ft,13,17
50,1,5:21.0,Defensive rebound by B. Ingram,,13,17
