,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHOENIX_ACTION,SACRAMENTO_SCORE,PHOENIX_SCORE
0,1,11:36.0,K. Koufos makes 2-pt dunk at rim (assist by W. Cauley-Stein),,2,0
1,1,11:23.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by T. Ulis),2,3
2,1,11:02.0,Personal block foul by A. Len (drawn by W. Cauley-Stein),,2,3
3,1,10:51.0,Turnover by T. Lawson (bad pass; steal by A. Len),,2,3
4,1,10:39.0,,M. Chriss misses 3-pt jump shot from 26 ft,2,3
5,1,10:39.0,,Offensive rebound by A. Len,2,3
6,1,10:35.0,,T. Ulis misses 2-pt jump shot from 16 ft,2,3
7,1,10:34.0,Defensive rebound by W. Cauley-Stein,,2,3
8,1,10:17.0,K. Koufos misses 2-pt layup from 3 ft,,2,3
9,1,10:15.0,,Defensive rebound by A. Len,2,3
10,1,10:03.0,,M. Chriss makes 2-pt dunk at rim (assist by T. Warren),2,5
11,1,9:46.0,B. Hield makes 2-pt jump shot from 13 ft,,4,5
12,1,9:30.0,,M. Chriss misses 3-pt jump shot from 24 ft,4,5
13,1,9:29.0,Defensive rebound by B. Hield,,4,5
14,1,9:23.0,B. Hield misses 2-pt layup from 2 ft (block by M. Chriss),,4,5
15,1,9:22.0,,Defensive rebound by T. Warren,4,5
16,1,9:17.0,,Shooting foul by A. Afflalo (drawn by M. Chriss),4,5
17,1,9:17.0,,M. Chriss makes free throw 1 of 2,4,6
18,1,9:17.0,,M. Chriss makes free throw 2 of 2,4,7
19,1,8:57.0,A. Afflalo misses 2-pt jump shot from 17 ft (block by T. Warren),,4,7
20,1,8:56.0,,Defensive rebound by M. Chriss,4,7
21,1,8:50.0,,D. Booker makes 2-pt layup from 2 ft (assist by T. Ulis),4,9
22,1,8:32.0,A. Afflalo makes 2-pt layup from 1 ft (assist by K. Koufos),,6,9
23,1,8:21.0,,Shooting foul by K. Koufos (drawn by M. Chriss),6,9
24,1,8:21.0,,M. Chriss misses free throw 1 of 2,6,9
25,1,8:21.0,,Offensive rebound by Team,6,9
26,1,8:21.0,,M. Chriss misses free throw 2 of 2,6,9
27,1,8:20.0,Defensive rebound by K. Koufos,,6,9
28,1,8:01.0,A. Afflalo misses 3-pt jump shot from 24 ft,,6,9
29,1,8:01.0,,Defensive rebound by A. Len,6,9
30,1,7:51.0,,M. Chriss misses 2-pt jump shot from 22 ft,6,9
31,1,7:50.0,,Offensive rebound by Team,6,9
32,1,7:45.0,,T. Warren makes 2-pt jump shot from 16 ft (assist by M. Chriss),6,11
33,1,7:32.0,T. Lawson misses 2-pt jump shot from 11 ft,,6,11
34,1,7:32.0,Offensive rebound by Team,,6,11
35,1,7:32.0,,Loose ball foul by M. Chriss (drawn by K. Koufos),6,11
36,1,7:21.0,B. Hield makes 2-pt jump shot from 8 ft (assist by K. Koufos),,8,11
37,1,7:13.0,,D. Booker misses 2-pt jump shot from 21 ft,8,11
38,1,7:12.0,Defensive rebound by Team,,8,11
39,1,6:58.0,K. Koufos makes 2-pt jump shot from 9 ft (assist by T. Lawson),,10,11
40,1,6:39.0,,D. Booker makes 2-pt jump shot from 16 ft,10,13
41,1,6:23.0,K. Koufos misses 2-pt jump shot from 12 ft,,10,13
42,1,6:23.0,,Defensive rebound by A. Len,10,13
43,1,6:10.0,,T. Warren makes 2-pt jump shot from 13 ft,10,15
44,1,6:01.0,T. Lawson misses 2-pt layup from 3 ft,,10,15
45,1,6:00.0,,Defensive rebound by A. Len,10,15
46,1,5:56.0,,D. Booker makes 3-pt jump shot from 26 ft,10,18
47,1,5:47.0,Sacramento full timeout,,10,18
48,1,5:47.0,S. Labissière enters the game for K. Koufos,,10,18
49,1,5:47.0,G. Temple enters the game for B. Hield,,10,18
50,1,5:36.0,W. Cauley-Stein misses 2-pt layup from 3 ft,,10,18
51,1,5:34.0,,Defensive rebound by T. Warren,10,18
52,1,5:19.0,,A. Len makes 2-pt jump shot from 20 ft (assist by T. Ulis),10,20
53,1,5:00.0,G. Temple makes 3-pt jump shot from 27 ft (assist by W. Cauley-Stein),,13,20
54,1,4:48.0,,Turnover by A. Len (bad pass; steal by W. Cauley-Stein),13,20
55,1,4:41.0,A. Afflalo makes 2-pt layup from 2 ft (assist by T. Lawson),,15,20
56,1,4:24.0,,Turnover by T. Warren (bad pass; steal by W. Cauley-Stein),15,20
57,1,4:21.0,W. Cauley-Stein makes 2-pt dunk at rim,,17,20
58,1,4:21.0,,Phoenix full timeout,17,20
59,1,4:21.0,,A. Williams enters the game for A. Len,17,20
60,1,4:10.0,,D. Booker misses 3-pt jump shot from 25 ft,17,20
61,1,4:10.0,Defensive rebound by S. Labissière,,17,20
62,1,3:50.0,Shooting foul by A. Williams (drawn by T. Lawson),,17,20
