,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DALLAS_ACTION,LA CLIPPERS_SCORE,DALLAS_SCORE
0,1,11:36.0,,H. Barnes makes 2-pt jump shot from 17 ft,0,2
1,1,11:12.0,Shooting foul by D. Nowitzki (drawn by D. Jordan),,0,2
2,1,11:12.0,D. Jordan makes free throw 1 of 2,,1,2
3,1,11:12.0,D. Jordan misses free throw 2 of 2,,1,2
4,1,11:12.0,,Defensive rebound by D. Nowitzki,1,2
5,1,11:02.0,,H. Barnes makes 2-pt jump shot from 9 ft,1,4
6,1,10:58.0,Offensive foul by D. Jordan (drawn by D. Nowitzki),,1,4
7,1,10:58.0,Turnover by D. Jordan (offensive foul),,1,4
8,1,10:47.0,,Personal foul by J. Redick (drawn by W. Matthews),1,4
9,1,10:36.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by S. Curry),1,7
10,1,10:18.0,J. Redick makes 2-pt jump shot from 18 ft (assist by B. Griffin),,3,7
11,1,10:07.0,,W. Matthews misses 2-pt jump shot from 19 ft,3,7
12,1,10:06.0,,Offensive rebound by A. Bogut,3,7
13,1,10:04.0,,Turnover by A. Bogut (lost ball; steal by C. Paul),3,7
14,1,9:57.0,Turnover by B. Griffin (bad pass; steal by A. Bogut),,3,7
15,1,9:41.0,,A. Bogut makes 2-pt hook shot from 4 ft (assist by W. Matthews),3,9
16,1,9:23.0,D. Jordan misses 2-pt hook shot from 6 ft,,3,9
17,1,9:22.0,,Defensive rebound by A. Bogut,3,9
18,1,9:14.0,,H. Barnes misses 2-pt jump shot from 15 ft,3,9
19,1,9:13.0,Defensive rebound by D. Jordan,,3,9
20,1,9:01.0,B. Griffin misses 2-pt jump shot from 18 ft,,3,9
21,1,9:00.0,,Defensive rebound by D. Nowitzki,3,9
22,1,8:48.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,3,9
23,1,8:47.0,Defensive rebound by D. Jordan,,3,9
24,1,8:40.0,B. Griffin misses 2-pt hook shot from 1 ft,,3,9
25,1,8:39.0,,Defensive rebound by D. Nowitzki,3,9
26,1,8:21.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,3,9
27,1,8:20.0,Defensive rebound by D. Jordan,,3,9
28,1,8:11.0,C. Paul misses 2-pt jump shot from 16 ft,,3,9
29,1,8:10.0,,Defensive rebound by D. Nowitzki,3,9
30,1,7:57.0,,H. Barnes makes 2-pt layup at rim (assist by A. Bogut),3,11
31,1,7:54.0,LA Clippers full timeout,,3,11
32,1,7:54.0,,D. Finney-Smith enters the game for D. Nowitzki,3,11
33,1,7:40.0,J. Redick makes 2-pt jump shot from 16 ft (assist by B. Griffin),,5,11
34,1,7:24.0,,H. Barnes makes 2-pt hook shot from 3 ft,5,13
35,1,7:04.0,B. Griffin misses 2-pt jump shot from 17 ft,,5,13
36,1,7:03.0,,Defensive rebound by S. Curry,5,13
37,1,6:48.0,,S. Curry misses 3-pt jump shot from 25 ft,5,13
38,1,6:47.0,Defensive rebound by D. Jordan,,5,13
39,1,6:39.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,7,13
40,1,6:25.0,,S. Curry misses 2-pt jump shot from 19 ft,7,13
41,1,6:24.0,,Offensive rebound by A. Bogut,7,13
42,1,6:24.0,,A. Bogut makes 2-pt layup at rim,7,15
43,1,6:10.0,Personal block foul by S. Curry (drawn by C. Paul),,7,15
44,1,6:10.0,J. Crawford enters the game for L. Mbah a Moute,,7,15
45,1,6:10.0,,J. Gibson enters the game for S. Curry,7,15
46,1,6:02.0,Personal foul by J. Gibson (drawn by C. Paul),,7,15
47,1,5:54.0,C. Paul makes 2-pt jump shot from 17 ft,,9,15
48,1,5:42.0,,Turnover by J. Gibson (bad pass; steal by B. Griffin),9,15
49,1,5:39.0,Shooting foul by D. Finney-Smith (drawn by B. Griffin),,9,15
50,1,5:39.0,B. Griffin makes free throw 1 of 2,,10,15
51,1,5:39.0,B. Griffin makes free throw 2 of 2,,11,15
52,1,5:21.0,,Turnover by W. Matthews (bad pass; steal by C. Paul),11,15
53,1,5:14.0,J. Redick misses 3-pt jump shot from 23 ft,,11,15
54,1,5:13.0,,Defensive rebound by D. Finney-Smith,11,15
55,1,4:55.0,,J. Gibson misses 3-pt jump shot from 24 ft,11,15
56,1,4:54.0,Defensive rebound by J. Crawford,,11,15
57,1,4:46.0,C. Paul makes 3-pt jump shot from 24 ft,,14,15
58,1,4:45.0,,Dallas full timeout,14,15
