,QUARTER,TIME_REMAINING,TORONTO_ACTION,DETROIT_ACTION,TORONTO_SCORE,DETROIT_SCORE
0,1,11:38.0,,R. Jackson misses 2-pt jump shot from 7 ft,0,0
1,1,11:37.0,Defensive rebound by D. DeRozan,,0,0
2,1,11:26.0,J. Valančiūnas misses 2-pt jump shot from 17 ft,,0,0
3,1,11:24.0,,Defensive rebound by A. Drummond,0,0
4,1,11:16.0,,Turnover by T. Harris (bad pass; steal by J. Valančiūnas),0,0
5,1,11:12.0,D. Carroll misses 2-pt jump shot from 5 ft,,0,0
6,1,11:10.0,,Defensive rebound by A. Drummond,0,0
7,1,11:00.0,,M. Morris misses 2-pt jump shot from 12 ft,0,0
8,1,10:59.0,Defensive rebound by D. DeRozan,,0,0
9,1,10:46.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,3,0
10,1,10:38.0,,Detroit full timeout,3,0
11,1,10:26.0,,Turnover by R. Jackson (bad pass; steal by D. Carroll),3,0
12,1,10:21.0,Shooting foul by M. Morris (drawn by D. Carroll),,3,0
13,1,10:21.0,D. Carroll misses free throw 1 of 2,,3,0
14,1,10:21.0,Offensive rebound by Team,,3,0
15,1,10:21.0,D. Carroll makes free throw 2 of 2,,4,0
16,1,10:00.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by R. Jackson),4,2
17,1,9:40.0,S. Ibaka makes 2-pt jump shot from 15 ft (assist by C. Joseph),,6,2
18,1,9:20.0,,T. Harris misses 2-pt jump shot from 15 ft,6,2
19,1,9:17.0,Defensive rebound by S. Ibaka,,6,2
20,1,9:00.0,S. Ibaka misses 2-pt jump shot from 18 ft,,6,2
21,1,8:58.0,Offensive rebound by J. Valančiūnas,,6,2
22,1,8:55.0,J. Valančiūnas makes 2-pt layup from 1 ft,,8,2
23,1,8:41.0,,Shooting foul by S. Ibaka (drawn by R. Jackson),8,2
24,1,8:41.0,,R. Jackson makes free throw 1 of 2,8,3
25,1,8:41.0,,R. Jackson misses free throw 2 of 2,8,3
26,1,8:39.0,Defensive rebound by J. Valančiūnas,,8,3
27,1,8:15.0,D. DeRozan misses 2-pt jump shot from 18 ft,,8,3
28,1,8:11.0,,Defensive rebound by A. Drummond,8,3
29,1,8:06.0,,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,8,3
30,1,8:05.0,,Offensive rebound by A. Drummond,8,3
31,1,8:04.0,,A. Drummond misses 2-pt layup from 2 ft (block by J. Valančiūnas),8,3
32,1,7:58.0,Defensive rebound by C. Joseph,,8,3
33,1,7:53.0,D. Carroll makes 2-pt layup from 1 ft (assist by C. Joseph),,10,3
34,1,7:33.0,,M. Morris misses 2-pt jump shot from 14 ft,10,3
35,1,7:32.0,,Offensive rebound by A. Drummond,10,3
36,1,7:32.0,,Shooting foul by D. Carroll (drawn by A. Drummond),10,3
37,1,7:32.0,,A. Drummond misses free throw 1 of 2,10,3
38,1,7:32.0,,Offensive rebound by Team,10,3
39,1,7:32.0,,A. Drummond misses free throw 2 of 2,10,3
40,1,7:31.0,Defensive rebound by J. Valančiūnas,,10,3
41,1,7:22.0,J. Valančiūnas makes 2-pt layup at rim (assist by C. Joseph),,12,3
42,1,7:08.0,,M. Morris misses 2-pt jump shot from 16 ft,12,3
43,1,7:07.0,,Offensive rebound by T. Harris,12,3
44,1,7:05.0,,Shooting foul by C. Joseph (drawn by T. Harris),12,3
45,1,7:05.0,,T. Harris makes free throw 1 of 2,12,4
46,1,7:05.0,,T. Harris makes free throw 2 of 2,12,5
47,1,6:53.0,Turnover by C. Joseph (bad pass; steal by A. Drummond),,12,5
48,1,6:43.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,12,5
49,1,6:42.0,Defensive rebound by S. Ibaka,,12,5
50,1,6:28.0,S. Ibaka misses 3-pt jump shot from 27 ft,,12,5
51,1,6:27.0,,Defensive rebound by A. Drummond,12,5
52,1,6:16.0,,R. Jackson makes 2-pt jump shot from 13 ft,12,7
53,1,5:56.0,Turnover by C. Joseph (bad pass; steal by T. Harris),,12,7
54,1,5:51.0,,T. Harris makes 2-pt layup from 1 ft,12,9
55,1,5:40.0,Toronto full timeout,,12,9
56,1,5:40.0,,J. Leuer enters the game for T. Harris,12,9
57,1,5:40.0,,I. Smith enters the game for R. Jackson,12,9
58,1,5:37.0,P. Tucker enters the game for D. Carroll,,12,9
59,1,5:28.0,C. Joseph misses 3-pt jump shot from 25 ft,,12,9
60,1,5:27.0,,Defensive rebound by M. Morris,12,9
61,1,5:17.0,,Turnover by A. Drummond (offensive foul),12,9
62,1,5:17.0,,Offensive foul by A. Drummond (drawn by C. Joseph),12,9
63,1,4:58.0,Turnover by J. Valančiūnas (3 sec),,12,9
64,1,4:43.0,,M. Morris misses 2-pt jump shot from 15 ft,12,9
65,1,4:42.0,Defensive rebound by C. Joseph,,12,9
66,1,4:35.0,S. Ibaka misses 3-pt jump shot from 25 ft,,12,9
67,1,4:34.0,,Defensive rebound by K. Caldwell-Pope,12,9
68,1,4:26.0,,Shooting foul by J. Valančiūnas (drawn by A. Drummond),12,9
69,1,4:26.0,,A. Drummond misses free throw 1 of 2,12,9
70,1,4:26.0,,Offensive rebound by Team,12,9
71,1,4:26.0,,A. Drummond misses free throw 2 of 2,12,9
72,1,4:26.0,J. Poeltl enters the game for J. Valančiūnas,,12,9
73,1,4:25.0,Defensive rebound by S. Ibaka,,12,9
74,1,4:01.0,P. Tucker misses 2-pt jump shot from 6 ft,,12,9
75,1,4:00.0,,Defensive rebound by M. Morris,12,9
76,1,3:54.0,Violation by J. Poeltl (kicked ball),,12,9
77,1,3:42.0,,A. Drummond misses 2-pt layup from 2 ft,12,9
78,1,3:42.0,,Offensive rebound by A. Drummond,12,9
79,1,3:41.0,,A. Drummond misses 2-pt layup from 1 ft,12,9
80,1,3:38.0,Defensive rebound by C. Joseph,,12,9
81,1,3:26.0,D. DeRozan misses 2-pt jump shot from 19 ft,,12,9
82,1,3:25.0,,Defensive rebound by A. Drummond,12,9
83,1,3:12.0,,I. Smith makes 2-pt jump shot from 15 ft,12,11
84,1,2:53.0,C. Joseph makes 2-pt jump shot from 18 ft,,14,11
85,1,2:37.0,,I. Smith misses 2-pt jump shot from 19 ft,14,11
86,1,2:36.0,Defensive rebound by S. Ibaka,,14,11
87,1,2:25.0,D. DeRozan misses 2-pt jump shot from 17 ft,,14,11
88,1,2:24.0,,Defensive rebound by A. Drummond,14,11
89,1,2:17.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,14,11
90,1,2:16.0,Defensive rebound by S. Ibaka,,14,11
91,1,2:08.0,J. Poeltl misses 2-pt jump shot from 5 ft,,14,11
92,1,2:08.0,,Defensive rebound by Team,14,11
93,1,2:08.0,D. Wright enters the game for C. Joseph,,14,11
94,1,2:08.0,P. Patterson enters the game for S. Ibaka,,14,11
95,1,1:50.0,,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),14,13
96,1,1:35.0,D. Wright misses 2-pt jump shot from 6 ft,,14,13
97,1,1:34.0,,Defensive rebound by I. Smith,14,13
98,1,1:29.0,,Turnover by I. Smith (bad pass; steal by P. Tucker),14,13
99,1,1:15.0,Turnover by J. Poeltl (traveling),,14,13
100,1,1:15.0,,A. Baynes enters the game for A. Drummond,14,13
101,1,1:15.0,,T. Harris enters the game for M. Morris,14,13
102,1,1:15.0,N. Powell enters the game for D. DeRozan,,14,13
103,1,0:58.0,,A. Baynes misses 2-pt jump shot from 15 ft,14,13
104,1,0:57.0,Defensive rebound by P. Tucker,,14,13
105,1,0:43.0,P. Patterson misses 3-pt jump shot from 25 ft,,14,13
