,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,K. Thompson misses 2-pt jump shot from 17 ft,,0,0
1,1,11:41.0,,Defensive rebound by Team,0,0
2,1,11:26.0,,B. Griffin makes 2-pt jump shot from 18 ft,0,2
3,1,11:17.0,Shooting foul by J. Redick (drawn by K. Thompson),,0,2
4,1,11:17.0,K. Thompson makes free throw 1 of 2,,1,2
5,1,11:17.0,K. Thompson makes free throw 2 of 2,,2,2
6,1,11:05.0,Violation by Z. Pachulia (kicked ball),,2,2
7,1,10:59.0,,J. Redick misses 3-pt jump shot from 25 ft,2,2
8,1,10:57.0,Defensive rebound by K. Durant,,2,2
9,1,10:52.0,K. Thompson misses 3-pt jump shot from 23 ft,,2,2
10,1,10:49.0,Offensive rebound by D. Green,,2,2
11,1,10:46.0,K. Durant misses 3-pt jump shot from 28 ft,,2,2
12,1,10:45.0,,Defensive rebound by L. Mbah a Moute,2,2
13,1,10:38.0,,Turnover by C. Paul (lost ball),2,2
14,1,10:38.0,,Technical foul by C. Paul,2,2
15,1,10:38.0,S. Curry makes technical free throw,,3,2
16,1,10:23.0,K. Durant misses 3-pt jump shot from 26 ft,,3,2
17,1,10:22.0,,Defensive rebound by B. Griffin,3,2
18,1,10:16.0,,Turnover by B. Griffin (bad pass; steal by S. Curry),3,2
19,1,10:11.0,K. Durant misses 2-pt dunk at rim,,3,2
20,1,10:11.0,,Defensive rebound by Team,3,2
21,1,9:54.0,,C. Paul misses 3-pt jump shot from 23 ft,3,2
22,1,9:53.0,Defensive rebound by Z. Pachulia,,3,2
23,1,9:45.0,Personal foul by D. Jordan (drawn by K. Thompson),,3,2
24,1,9:38.0,K. Thompson misses 2-pt jump shot from 11 ft,,3,2
25,1,9:37.0,,Defensive rebound by D. Jordan,3,2
26,1,9:30.0,,B. Griffin misses 2-pt jump shot from 19 ft,3,2
27,1,9:30.0,,Offensive rebound by D. Jordan,3,2
28,1,9:30.0,,Shooting foul by K. Durant (drawn by D. Jordan),3,2
29,1,9:30.0,,D. Jordan misses free throw 1 of 2,3,2
30,1,9:30.0,,Offensive rebound by Team,3,2
31,1,9:30.0,,D. Jordan misses free throw 2 of 2,3,2
32,1,9:28.0,,Offensive rebound by B. Griffin,3,2
33,1,9:22.0,,Turnover by B. Griffin (3 sec),3,2
34,1,9:04.0,K. Thompson misses 2-pt jump shot from 5 ft,,3,2
35,1,9:03.0,,Defensive rebound by B. Griffin,3,2
36,1,8:59.0,,Turnover by B. Griffin (bad pass; steal by D. Green),3,2
