,QUARTER,TIME_REMAINING,TORONTO_ACTION,HOUSTON_ACTION,TORONTO_SCORE,HOUSTON_SCORE
0,1,11:40.0,J. Valančiūnas makes 2-pt hook shot from 9 ft,,2,0
1,1,11:24.0,,T. Ariza misses 3-pt jump shot from 26 ft,2,0
2,1,11:23.0,Defensive rebound by P. Siakam,,2,0
3,1,11:11.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by D. DeRozan),,4,0
4,1,10:46.0,,P. Beverley makes 2-pt jump shot from 11 ft (assist by T. Ariza),4,2
5,1,10:29.0,D. DeRozan misses 2-pt jump shot from 5 ft (block by C. Capela),,4,2
6,1,10:27.0,Offensive rebound by J. Valančiūnas,,4,2
7,1,10:21.0,J. Valančiūnas makes 2-pt layup from 1 ft,,6,2
8,1,10:17.0,,R. Anderson misses 3-pt jump shot from 25 ft,6,2
9,1,10:16.0,Defensive rebound by J. Valančiūnas,,6,2
10,1,10:07.0,J. Valančiūnas misses 2-pt jump shot from 4 ft (block by C. Capela),,6,2
11,1,10:07.0,Offensive rebound by Team,,6,2
12,1,10:05.0,Shooting foul by P. Beverley (drawn by D. DeRozan),,6,2
13,1,10:05.0,D. DeRozan makes free throw 1 of 2,,7,2
14,1,10:05.0,D. DeRozan makes free throw 2 of 2,,8,2
15,1,9:58.0,Violation by J. Valančiūnas (kicked ball),,8,2
16,1,9:46.0,,R. Anderson makes 2-pt layup from 1 ft (assist by J. Harden),8,4
17,1,9:35.0,Turnover by D. Carroll (bad pass),,8,4
18,1,9:20.0,,C. Capela makes 2-pt hook shot from 7 ft (assist by R. Anderson),8,6
19,1,9:00.0,D. DeRozan misses 2-pt jump shot from 20 ft,,8,6
20,1,8:58.0,Offensive rebound by D. Carroll,,8,6
21,1,8:53.0,D. Carroll makes 2-pt jump shot from 22 ft,,10,6
22,1,8:42.0,,Turnover by P. Beverley (bad pass; steal by D. Carroll),10,6
23,1,8:38.0,K. Lowry makes 2-pt layup from 3 ft (assist by D. Carroll),,12,6
24,1,8:16.0,,R. Anderson misses 2-pt layup from 1 ft (block by J. Valančiūnas),12,6
25,1,8:13.0,,Offensive rebound by R. Anderson,12,6
26,1,8:11.0,,T. Ariza makes 2-pt layup from 2 ft (assist by R. Anderson),12,8
27,1,7:47.0,D. Carroll misses 3-pt jump shot from 26 ft,,12,8
28,1,7:45.0,Offensive rebound by J. Valančiūnas,,12,8
29,1,7:37.0,J. Valančiūnas misses 2-pt jump shot from 18 ft,,12,8
30,1,7:36.0,,Defensive rebound by R. Anderson,12,8
31,1,7:26.0,,Turnover by J. Harden (bad pass; steal by D. Carroll),12,8
32,1,7:20.0,D. Carroll makes 2-pt layup from 3 ft (assist by K. Lowry),,14,8
33,1,7:03.0,,P. Beverley misses 3-pt jump shot from 23 ft,14,8
34,1,7:02.0,Defensive rebound by J. Valančiūnas,,14,8
