,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PORTLAND_ACTION,CHARLOTTE_SCORE,PORTLAND_SCORE
0,1,11:40.0,M. Williams misses 3-pt jump shot from 24 ft,,0,0
1,1,11:39.0,,Defensive rebound by C. McCollum,0,0
2,1,11:23.0,,C. McCollum misses 3-pt jump shot from 23 ft,0,0
3,1,11:22.0,Defensive rebound by K. Walker,,0,0
4,1,11:16.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by K. Walker),,2,0
5,1,10:59.0,,D. Lillard misses 2-pt layup from 2 ft,2,0
6,1,10:58.0,Defensive rebound by M. Kidd-Gilchrist,,2,0
7,1,10:50.0,K. Walker makes 2-pt jump shot from 15 ft,,4,0
8,1,10:34.0,,E. Turner misses 2-pt jump shot from 17 ft,4,0
9,1,10:33.0,,Offensive rebound by N. Vonleh,4,0
10,1,10:33.0,,N. Vonleh misses 2-pt layup from 1 ft,4,0
11,1,10:32.0,Defensive rebound by R. Hibbert,,4,0
12,1,10:25.0,K. Walker misses 2-pt jump shot from 17 ft,,4,0
13,1,10:24.0,,Defensive rebound by N. Vonleh,4,0
14,1,10:15.0,,N. Vonleh misses 2-pt jump shot from 3 ft,4,0
15,1,10:13.0,Defensive rebound by K. Walker,,4,0
16,1,10:08.0,Turnover by N. Batum (bad pass; steal by C. McCollum),,4,0
17,1,10:02.0,,E. Turner misses 3-pt jump shot from 23 ft,4,0
18,1,10:00.0,Defensive rebound by R. Hibbert,,4,0
19,1,9:48.0,R. Hibbert misses 2-pt jump shot from 20 ft,,4,0
20,1,9:48.0,,Defensive rebound by Team,4,0
21,1,9:29.0,,C. McCollum misses 2-pt jump shot from 18 ft,4,0
22,1,9:27.0,,Offensive rebound by Team,4,0
23,1,9:20.0,,N. Vonleh misses 2-pt hook shot from 2 ft,4,0
24,1,9:19.0,Defensive rebound by M. Kidd-Gilchrist,,4,0
25,1,9:10.0,M. Kidd-Gilchrist misses 2-pt jump shot from 21 ft,,4,0
26,1,9:08.0,,Defensive rebound by N. Vonleh,4,0
27,1,8:59.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by C. McCollum),4,3
28,1,8:38.0,K. Walker misses 3-pt jump shot from 27 ft,,4,3
29,1,8:38.0,,Defensive rebound by D. Lillard,4,3
30,1,8:28.0,,E. Turner misses 2-pt layup from 2 ft (block by M. Williams),4,3
31,1,8:28.0,,Offensive rebound by Team,4,3
32,1,8:23.0,,C. McCollum misses 3-pt jump shot from 24 ft,4,3
33,1,8:22.0,,Offensive rebound by M. Plumlee,4,3
34,1,8:16.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),4,6
35,1,7:58.0,N. Batum misses 2-pt jump shot from 20 ft,,4,6
36,1,7:58.0,,Defensive rebound by E. Turner,4,6
37,1,7:50.0,,N. Vonleh makes 2-pt jump shot from 2 ft (assist by E. Turner),4,8
38,1,7:25.0,R. Hibbert makes 2-pt jump shot from 13 ft (assist by N. Batum),,6,8
39,1,7:15.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),6,11
40,1,6:58.0,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),,9,11
41,1,6:42.0,,D. Lillard misses 2-pt jump shot from 4 ft,9,11
42,1,6:42.0,,Offensive rebound by N. Vonleh,9,11
