,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:43.0,,S. Adams makes 2-pt hook shot from 5 ft (assist by V. Oladipo),0,2
1,1,11:24.0,K. Durant makes 2-pt jump shot from 12 ft (assist by D. Green),,2,2
2,1,11:05.0,,D. Sabonis makes 2-pt jump shot from 6 ft (assist by V. Oladipo),2,4
3,1,10:44.0,K. Durant misses 2-pt jump shot from 11 ft,,2,4
4,1,10:43.0,,Defensive rebound by R. Westbrook,2,4
5,1,10:39.0,,Shooting foul by D. Green (drawn by D. Sabonis),2,4
6,1,10:39.0,,D. Sabonis makes free throw 1 of 2,2,5
7,1,10:39.0,,D. Sabonis misses free throw 2 of 2,2,5
8,1,10:38.0,Defensive rebound by D. Green,,2,5
9,1,10:18.0,Turnover by K. Thompson (lost ball; steal by V. Oladipo),,2,5
10,1,10:13.0,,R. Westbrook misses 2-pt layup from 2 ft,2,5
11,1,10:12.0,Defensive rebound by S. Curry,,2,5
12,1,10:08.0,J. McGee makes 2-pt dunk at rim (assist by S. Curry),,4,5
13,1,9:55.0,,R. Westbrook makes 2-pt jump shot from 18 ft,4,7
14,1,9:46.0,S. Curry makes 2-pt jump shot from 16 ft,,6,7
15,1,9:34.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by R. Westbrook),6,9
16,1,9:16.0,D. Green misses 3-pt jump shot from 25 ft,,6,9
17,1,9:15.0,,Defensive rebound by D. Sabonis,6,9
18,1,9:09.0,,V. Oladipo misses 3-pt jump shot from 23 ft,6,9
19,1,9:08.0,Defensive rebound by K. Durant,,6,9
20,1,9:04.0,Turnover by K. Durant (lost ball; steal by S. Adams),,6,9
21,1,9:00.0,,R. Westbrook misses 3-pt jump shot from 25 ft,6,9
22,1,9:00.0,Defensive rebound by S. Curry,,6,9
23,1,8:53.0,K. Thompson misses 2-pt layup from 1 ft,,6,9
24,1,8:53.0,,Defensive rebound by R. Westbrook,6,9
25,1,8:47.0,,A. Roberson misses 3-pt jump shot from 25 ft,6,9
26,1,8:46.0,Defensive rebound by D. Green,,6,9
27,1,8:32.0,K. Thompson misses 3-pt jump shot from 26 ft,,6,9
28,1,8:32.0,,Defensive rebound by A. Roberson,6,9
29,1,8:31.0,,Shooting foul by K. Thompson (drawn by D. Sabonis),6,9
30,1,8:31.0,,D. Sabonis makes free throw 1 of 2,6,10
31,1,8:31.0,,D. Sabonis makes free throw 2 of 2,6,11
32,1,8:13.0,S. Curry misses 3-pt jump shot from 24 ft,,6,11
33,1,8:12.0,,Defensive rebound by A. Roberson,6,11
34,1,8:02.0,,Turnover by R. Westbrook (bad pass),6,11
35,1,7:50.0,J. McGee makes 2-pt dunk at rim (assist by S. Curry),,8,11
36,1,7:36.0,,V. Oladipo makes 2-pt dunk at rim (assist by D. Sabonis),8,13
37,1,7:33.0,Golden State full timeout,,8,13
38,1,7:23.0,Personal foul by A. Roberson (drawn by K. Durant),,8,13
39,1,7:07.0,K. Durant misses 2-pt jump shot from 20 ft,,8,13
40,1,7:06.0,,Defensive rebound by V. Oladipo,8,13
41,1,6:46.0,,S. Adams makes 2-pt jump shot from 12 ft (assist by R. Westbrook),8,15
42,1,6:24.0,K. Durant misses 2-pt jump shot from 14 ft,,8,15
43,1,6:22.0,Offensive rebound by J. McGee,,8,15
44,1,6:22.0,J. McGee makes 2-pt layup from 1 ft,,10,15
45,1,6:20.0,,Personal foul by D. Green (drawn by R. Westbrook),10,15
46,1,6:20.0,A. Iguodala enters the game for D. Green,,10,15
47,1,6:13.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),10,17
48,1,5:57.0,K. Durant makes 2-pt jump shot from 18 ft (assist by S. Curry),,12,17
49,1,5:42.0,,Shooting foul by K. Durant (drawn by S. Adams),12,17
