,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
0,1,11:44.0,S. Adams makes 2-pt hook shot from 8 ft (assist by Á. Abrines),,2,0
1,1,11:28.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,2,0
2,1,11:27.0,Defensive rebound by D. Sabonis,,2,0
3,1,11:08.0,S. Adams makes 2-pt hook shot from 8 ft (assist by Á. Abrines),,4,0
4,1,10:58.0,,Personal block foul by Á. Abrines (drawn by S. Curry),4,0
5,1,10:55.0,,Y. Ferrell makes 2-pt layup at rim (assist by D. Nowitzki),4,2
6,1,10:31.0,R. Westbrook makes 3-pt jump shot from 24 ft (assist by S. Adams),,7,2
7,1,10:15.0,,H. Barnes misses 2-pt hook shot from 6 ft,7,2
8,1,10:14.0,Defensive rebound by Team,,7,2
9,1,9:56.0,Á. Abrines misses 3-pt jump shot from 25 ft,,7,2
10,1,9:55.0,,Defensive rebound by D. Nowitzki,7,2
11,1,9:39.0,,S. Curry makes 3-pt jump shot from 25 ft,7,5
12,1,9:18.0,D. Sabonis makes 2-pt hook shot from 6 ft,,9,5
13,1,9:00.0,,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by S. Curry),9,7
14,1,8:42.0,Turnover by S. Adams (3 sec),,9,7
15,1,8:30.0,,S. Curry makes 2-pt jump shot from 16 ft,9,9
16,1,8:17.0,Á. Abrines misses 3-pt jump shot from 25 ft,,9,9
17,1,8:16.0,,Defensive rebound by Y. Ferrell,9,9
18,1,8:09.0,,S. Curry makes 2-pt layup at rim (assist by D. Nowitzki),9,11
19,1,7:58.0,R. Westbrook makes 2-pt jump shot from 2 ft,,11,11
20,1,7:39.0,,H. Barnes makes 2-pt dunk at rim (assist by Y. Ferrell),11,13
21,1,7:21.0,D. Sabonis misses 3-pt jump shot from 24 ft,,11,13
22,1,7:20.0,Offensive rebound by A. Roberson,,11,13
23,1,7:08.0,Á. Abrines misses 2-pt jump shot from 7 ft,,11,13
24,1,7:08.0,Offensive rebound by S. Adams,,11,13
25,1,7:08.0,S. Adams misses 2-pt layup from 2 ft,,11,13
26,1,7:07.0,Offensive rebound by S. Adams,,11,13
27,1,7:07.0,Shooting foul by D. Nowitzki (drawn by S. Adams),,11,13
28,1,7:07.0,S. Adams misses free throw 1 of 2,,11,13
29,1,7:07.0,Offensive rebound by Team,,11,13
30,1,7:07.0,S. Adams makes free throw 2 of 2,,12,13
31,1,6:56.0,,Personal foul by A. Roberson (drawn by S. Curry),12,13
32,1,6:49.0,,S. Curry misses 3-pt jump shot from 28 ft,12,13
33,1,6:48.0,Defensive rebound by D. Sabonis,,12,13
34,1,6:37.0,R. Westbrook misses 2-pt jump shot from 6 ft,,12,13
35,1,6:36.0,,Defensive rebound by Y. Ferrell,12,13
36,1,6:20.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by W. Matthews),12,16
37,1,6:19.0,Oklahoma City full timeout,,12,16
38,1,6:19.0,,Q. Cook enters the game for D. Nowitzki,12,16
39,1,6:19.0,,N. Noel enters the game for Y. Ferrell,12,16
40,1,6:07.0,R. Westbrook misses 2-pt layup from 3 ft,,12,16
41,1,6:06.0,,Defensive rebound by H. Barnes,12,16
42,1,5:43.0,,S. Curry misses 2-pt jump shot from 12 ft,12,16
43,1,5:43.0,Defensive rebound by A. Roberson,,12,16
44,1,5:37.0,R. Westbrook makes 2-pt jump shot from 7 ft (assist by A. Roberson),,14,16
45,1,5:26.0,,N. Noel misses 2-pt layup from 1 ft,14,16
46,1,5:26.0,,Offensive rebound by Team,14,16
47,1,5:16.0,,H. Barnes makes 2-pt jump shot from 20 ft (assist by Q. Cook),14,18
48,1,4:59.0,Turnover by D. Sabonis (lost ball; steal by W. Matthews),,14,18
49,1,4:50.0,,S. Curry misses 3-pt jump shot from 23 ft,14,18
50,1,4:49.0,,Offensive rebound by N. Noel,14,18
51,1,4:46.0,,Turnover by N. Noel (lost ball; steal by R. Westbrook),14,18
52,1,4:44.0,Shooting foul by Q. Cook (drawn by R. Westbrook),,14,18
53,1,4:44.0,R. Westbrook makes free throw 1 of 2,,15,18
54,1,4:44.0,T. Gibson enters the game for D. Sabonis,,15,18
55,1,4:44.0,N. Cole enters the game for Á. Abrines,,15,18
56,1,4:44.0,R. Westbrook makes free throw 2 of 2,,16,18
57,1,4:26.0,,Q. Cook misses 2-pt jump shot from 10 ft,16,18
58,1,4:25.0,Defensive rebound by T. Gibson,,16,18
59,1,4:19.0,Shooting foul by N. Noel (drawn by S. Adams),,16,18
60,1,4:19.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,18,18
61,1,4:19.0,S. Adams misses free throw 1 of 1,,18,18
62,1,4:18.0,,Defensive rebound by N. Noel,18,18
63,1,3:58.0,,H. Barnes misses 2-pt jump shot from 6 ft,18,18
64,1,3:57.0,Defensive rebound by S. Adams,,18,18
65,1,3:51.0,R. Westbrook makes 2-pt layup at rim,,20,18
66,1,3:51.0,,Dallas full timeout,20,18
67,1,3:51.0,,D. Harris enters the game for S. Curry,20,18
68,1,3:34.0,,H. Barnes misses 2-pt jump shot from 8 ft,20,18
69,1,3:33.0,Defensive rebound by R. Westbrook,,20,18
70,1,3:20.0,N. Cole makes 2-pt jump shot from 10 ft (assist by R. Westbrook),,22,18
71,1,2:57.0,,H. Barnes makes 2-pt jump shot from 8 ft,22,20
72,1,2:36.0,A. Roberson misses 3-pt jump shot from 26 ft,,22,20
73,1,2:35.0,,Defensive rebound by Q. Cook,22,20
74,1,2:18.0,,N. Noel makes 2-pt hook shot from 5 ft (assist by W. Matthews),22,22
75,1,2:02.0,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),,24,22
76,1,1:45.0,,N. Noel makes 2-pt layup at rim (assist by D. Harris),24,24
77,1,1:31.0,Shooting foul by N. Noel (drawn by R. Westbrook),,24,24
78,1,1:31.0,R. Westbrook makes free throw 1 of 2,,25,24
79,1,1:31.0,R. Westbrook misses free throw 2 of 2,,25,24
80,1,1:31.0,,Y. Ferrell enters the game for W. Matthews,25,24
81,1,1:31.0,,D. Finney-Smith enters the game for H. Barnes,25,24
82,1,1:31.0,,D. Nowitzki enters the game for Q. Cook,25,24
83,1,1:31.0,,S. Mejri enters the game for N. Noel,25,24
84,1,1:31.0,E. Freedom enters the game for S. Adams,,25,24
85,1,1:30.0,,Defensive rebound by D. Nowitzki,25,24
86,1,1:12.0,,D. Finney-Smith makes 2-pt jump shot from 5 ft,25,26
87,1,0:57.0,R. Westbrook misses 3-pt jump shot from 25 ft,,25,26
88,1,0:55.0,Offensive rebound by E. Freedom,,25,26
89,1,0:55.0,E. Freedom misses 2-pt layup at rim,,25,26
90,1,0:54.0,Offensive rebound by E. Freedom,,25,26
91,1,0:53.0,E. Freedom misses 2-pt layup from 2 ft (block by S. Mejri),,25,26
92,1,0:52.0,,Defensive rebound by D. Finney-Smith,25,26
93,1,0:44.0,,D. Nowitzki makes 2-pt jump shot from 11 ft (assist by D. Harris),25,28
94,1,0:32.0,R. Westbrook makes 2-pt layup from 1 ft,,27,28
95,1,0:09.0,,Y. Ferrell misses 2-pt jump shot from 19 ft,27,28
96,1,0:08.0,Defensive rebound by A. Roberson,,27,28
97,1,0:03.0,,W. Matthews enters the game for D. Nowitzki,27,28
98,1,0:03.0,Á. Abrines enters the game for A. Roberson,,27,28
99,1,0:01.0,R. Westbrook misses 2-pt layup from 2 ft,,27,28
100,1,0:00.0,,Defensive rebound by D. Finney-Smith,27,28
101,2,11:48.0,,S. Mejri makes 2-pt dunk at rim (assist by D. Harris),27,30
102,2,11:29.0,T. Gibson misses 2-pt hook shot from 4 ft,,27,30
103,2,11:28.0,,Defensive rebound by S. Mejri,27,30
104,2,11:24.0,,Shooting foul by Á. Abrines (drawn by D. Harris),27,30
105,2,11:24.0,,D. Harris makes free throw 1 of 2,27,31
106,2,11:24.0,,D. Harris makes free throw 2 of 2,27,32
107,2,11:10.0,E. Freedom misses 2-pt layup from 2 ft,,27,32
108,2,11:07.0,,Defensive rebound by D. Nowitzki,27,32
109,2,10:58.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,27,32
110,2,10:57.0,Defensive rebound by E. Freedom,,27,32
111,2,10:49.0,N. Cole misses 2-pt jump shot from 14 ft,,27,32
112,2,10:47.0,,Defensive rebound by S. Mejri,27,32
113,2,10:23.0,,D. Harris misses 3-pt jump shot from 26 ft,27,32
114,2,10:22.0,Defensive rebound by N. Cole,,27,32
115,2,10:14.0,Personal foul by D. Harris (drawn by Á. Abrines),,27,32
116,2,10:05.0,D. McDermott misses 2-pt jump shot from 7 ft,,27,32
117,2,10:04.0,Offensive rebound by E. Freedom,,27,32
118,2,10:02.0,E. Freedom misses 2-pt layup from 2 ft,,27,32
119,2,10:01.0,,Defensive rebound by D. Nowitzki,27,32
120,2,9:53.0,,Personal block foul by T. Gibson (drawn by D. Harris),27,32
