,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
0,1,11:36.0,,D. Collison misses 2-pt jump shot from 17 ft,0,0
1,1,11:35.0,Defensive rebound by G. Dieng,,0,0
2,1,11:14.0,B. Rush misses 3-pt jump shot from 25 ft,,0,0
3,1,11:14.0,,Defensive rebound by K. Koufos,0,0
4,1,11:04.0,,T. Lawson misses 2-pt jump shot from 16 ft,0,0
5,1,11:03.0,Defensive rebound by B. Rush,,0,0
6,1,10:44.0,Turnover by R. Rubio (bad pass; steal by W. Cauley-Stein),,0,0
7,1,10:40.0,,T. Lawson misses 2-pt layup from 3 ft (block by B. Rush),0,0
8,1,10:36.0,Defensive rebound by R. Rubio,,0,0
9,1,10:34.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,2,0
10,1,10:15.0,,K. Koufos makes 2-pt hook shot from 11 ft,2,2
11,1,10:01.0,A. Wiggins misses 2-pt jump shot from 17 ft,,2,2
12,1,10:01.0,,Defensive rebound by K. Koufos,2,2
13,1,9:57.0,,Personal foul by R. Rubio (drawn by B. McLemore),2,2
14,1,9:40.0,,B. McLemore makes 2-pt jump shot from 18 ft (assist by D. Collison),2,4
15,1,9:21.0,R. Rubio makes 2-pt layup from 4 ft (assist by G. Dieng),,4,4
16,1,9:12.0,,D. Collison makes 2-pt jump shot from 17 ft,4,6
17,1,8:50.0,A. Wiggins makes 2-pt jump shot from 19 ft,,6,6
18,1,8:44.0,,K. Koufos makes 2-pt layup from 1 ft (assist by T. Lawson),6,8
19,1,8:39.0,Minnesota full timeout,,6,8
20,1,8:31.0,R. Rubio misses 2-pt jump shot from 11 ft,,6,8
21,1,8:30.0,,Defensive rebound by K. Koufos,6,8
22,1,8:09.0,,B. McLemore misses 2-pt layup from 3 ft,6,8
23,1,8:08.0,Defensive rebound by K. Towns,,6,8
24,1,7:54.0,G. Dieng misses 3-pt jump shot from 24 ft,,6,8
25,1,7:52.0,,Defensive rebound by Team,6,8
26,1,7:37.0,,W. Cauley-Stein makes 2-pt hook shot from 7 ft,6,10
27,1,7:16.0,R. Rubio misses 2-pt jump shot from 21 ft,,6,10
28,1,7:16.0,,Defensive rebound by W. Cauley-Stein,6,10
29,1,7:12.0,Violation by K. Towns (def goaltending),,6,10
30,1,7:12.0,,D. Collison makes 2-pt layup from 3 ft (assist by W. Cauley-Stein),6,12
31,1,7:00.0,K. Towns makes 2-pt layup from 2 ft (assist by R. Rubio),,8,12
32,1,6:55.0,,Personal foul by K. Towns (drawn by W. Cauley-Stein),8,12
33,1,6:46.0,,B. McLemore makes 2-pt jump shot from 19 ft (assist by W. Cauley-Stein),8,14
34,1,6:32.0,Turnover by B. Rush (bad pass),,8,14
35,1,6:24.0,,Turnover by T. Lawson (bad pass; steal by R. Rubio),8,14
36,1,6:13.0,G. Dieng misses 2-pt jump shot from 19 ft,,8,14
37,1,6:12.0,,Defensive rebound by B. McLemore,8,14
38,1,6:06.0,,K. Koufos makes 2-pt hook shot from 5 ft (assist by B. McLemore),8,16
39,1,5:48.0,Turnover by G. Dieng (lost ball; steal by T. Lawson),,8,16
40,1,5:35.0,,K. Koufos misses 2-pt jump shot from 15 ft,8,16
41,1,5:34.0,Defensive rebound by R. Rubio,,8,16
42,1,5:22.0,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),,10,16
43,1,5:17.0,,Sacramento full timeout,10,16
44,1,5:04.0,,W. Cauley-Stein misses 2-pt jump shot from 16 ft (block by K. Towns),10,16
45,1,5:03.0,,Offensive rebound by B. McLemore,10,16
46,1,5:03.0,,B. McLemore misses 2-pt layup from 2 ft,10,16
47,1,5:01.0,,Offensive rebound by K. Koufos,10,16
48,1,5:00.0,,K. Koufos makes 2-pt layup from 2 ft,10,18
49,1,4:46.0,Shooting foul by W. Cauley-Stein (drawn by G. Dieng),,10,18
50,1,4:46.0,G. Dieng makes free throw 1 of 2,,11,18
51,1,4:46.0,N. Bjelica enters the game for K. Towns,,11,18
52,1,4:46.0,,T. Evans enters the game for T. Lawson,11,18
53,1,4:46.0,,A. Tolliver enters the game for K. Koufos,11,18
54,1,4:46.0,G. Dieng makes free throw 2 of 2,,12,18
55,1,4:26.0,,W. Cauley-Stein misses 2-pt jump shot from 12 ft,12,18
56,1,4:25.0,Defensive rebound by G. Dieng,,12,18
57,1,4:16.0,B. Rush makes 3-pt jump shot from 23 ft (assist by R. Rubio),,15,18
58,1,3:47.0,,B. McLemore makes 3-pt jump shot from 23 ft (assist by T. Evans),15,21
59,1,3:39.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,17,21
60,1,3:16.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,17,23
61,1,3:16.0,,Shooting foul by G. Dieng (drawn by W. Cauley-Stein),17,23
62,1,3:16.0,,W. Cauley-Stein misses free throw 1 of 1,17,23
63,1,3:16.0,,B. Hield enters the game for B. McLemore,17,23
64,1,3:15.0,Defensive rebound by G. Dieng,,17,23
65,1,3:01.0,G. Dieng misses 2-pt dunk at rim (block by W. Cauley-Stein),,17,23
66,1,3:00.0,,Defensive rebound by B. Hield,17,23
67,1,2:45.0,,D. Collison misses 2-pt jump shot from 14 ft,17,23
68,1,2:45.0,Defensive rebound by G. Dieng,,17,23
69,1,2:35.0,Personal foul by T. Evans (drawn by A. Wiggins),,17,23
70,1,2:35.0,Minnesota full timeout,,17,23
71,1,2:23.0,N. Bjelica misses 2-pt jump shot from 8 ft,,17,23
72,1,2:22.0,,Defensive rebound by A. Tolliver,17,23
73,1,2:00.0,,Turnover by B. Hield (bad pass; steal by A. Wiggins),17,23
74,1,1:55.0,B. Rush misses 2-pt layup from 2 ft (block by T. Evans),,17,23
75,1,1:53.0,,Defensive rebound by W. Cauley-Stein,17,23
76,1,1:49.0,,Turnover by B. Hield (lost ball; steal by A. Wiggins),17,23
77,1,1:45.0,Shooting foul by W. Cauley-Stein (drawn by A. Wiggins),,17,23
78,1,1:45.0,A. Wiggins makes free throw 1 of 2,,18,23
79,1,1:45.0,,S. Labissière enters the game for W. Cauley-Stein,18,23
80,1,1:45.0,S. Muhammad enters the game for B. Rush,,18,23
81,1,1:45.0,A. Wiggins makes free throw 2 of 2,,19,23
82,1,1:20.0,,D. Collison misses 3-pt jump shot from 27 ft,19,23
83,1,1:19.0,Defensive rebound by A. Wiggins,,19,23
84,1,1:08.0,G. Dieng misses 2-pt jump shot from 18 ft,,19,23
85,1,1:08.0,Offensive rebound by Team,,19,23
86,1,1:08.0,,Loose ball foul by S. Labissière (drawn by A. Wiggins),19,23
87,1,1:08.0,A. Wiggins misses free throw 1 of 2,,19,23
88,1,1:08.0,Offensive rebound by Team,,19,23
89,1,1:08.0,K. Dunn enters the game for G. Dieng,,19,23
90,1,1:08.0,C. Aldrich enters the game for R. Rubio,,19,23
91,1,1:08.0,A. Wiggins makes free throw 2 of 2,,20,23
92,1,0:52.0,,Turnover by T. Evans (bad pass; steal by A. Wiggins),20,23
93,1,0:44.0,A. Wiggins misses 2-pt jump shot from 9 ft,,20,23
94,1,0:43.0,,Defensive rebound by B. Hield,20,23
95,1,0:39.0,,B. Hield makes 2-pt layup from 1 ft,20,25
96,1,0:29.0,Turnover by C. Aldrich (traveling),,20,25
97,1,0:08.0,,T. Evans misses 2-pt layup from 4 ft (block by C. Aldrich),20,25
98,1,0:05.0,Defensive rebound by N. Bjelica,,20,25
99,2,11:38.0,S. Muhammad misses 3-pt jump shot from 25 ft,,20,25
100,2,11:37.0,,Defensive rebound by B. Hield,20,25
101,2,11:35.0,,Turnover by B. Hield (lost ball; steal by K. Dunn),20,25
102,2,11:29.0,N. Bjelica misses 3-pt jump shot from 23 ft,,20,25
103,2,11:29.0,,Defensive rebound by S. Labissière,20,25
104,2,11:19.0,,S. Labissière makes 2-pt dunk at rim (assist by T. Lawson),20,27
105,2,10:59.0,S. Muhammad misses 2-pt jump shot from 10 ft,,20,27
106,2,10:58.0,,Defensive rebound by S. Labissière,20,27
107,2,10:48.0,,T. Lawson misses 2-pt jump shot from 12 ft,20,27
108,2,10:48.0,Defensive rebound by N. Bjelica,,20,27
109,2,10:41.0,T. Jones makes 3-pt jump shot from 23 ft (assist by K. Dunn),,23,27
110,2,10:22.0,,A. Tolliver misses 3-pt jump shot from 24 ft,23,27
111,2,10:22.0,Defensive rebound by K. Towns,,23,27
112,2,10:14.0,T. Jones misses 3-pt jump shot from 25 ft,,23,27
113,2,10:12.0,,Defensive rebound by A. Tolliver,23,27
114,2,10:06.0,,T. Evans misses 2-pt layup from 3 ft,23,27
115,2,10:05.0,Defensive rebound by N. Bjelica,,23,27
116,2,9:59.0,Turnover by S. Muhammad (bad pass; steal by A. Tolliver),,23,27
117,2,9:52.0,,B. Hield misses 3-pt jump shot from 24 ft,23,27
118,2,9:52.0,Defensive rebound by K. Towns,,23,27
119,2,9:43.0,Personal foul by S. Labissière (drawn by K. Towns),,23,27
120,2,9:29.0,N. Bjelica makes 2-pt jump shot from 8 ft,,25,27
121,2,9:21.0,,Sacramento full timeout,25,27
122,2,9:06.0,,S. Labissière makes 2-pt jump shot from 17 ft (assist by A. Tolliver),25,29
123,2,8:50.0,Turnover by T. Jones (bad pass; steal by T. Lawson),,25,29
124,2,8:46.0,,T. Lawson makes 2-pt layup from 5 ft,25,31
125,2,8:31.0,K. Towns makes 2-pt jump shot from 7 ft (assist by T. Jones),,27,31
126,2,8:13.0,,T. Evans misses 2-pt layup from 3 ft,27,31
127,2,8:12.0,Defensive rebound by N. Bjelica,,27,31
128,2,8:01.0,K. Towns makes 2-pt jump shot from 16 ft (assist by T. Jones),,29,31
129,2,7:38.0,,S. Labissière misses 2-pt jump shot from 6 ft (block by K. Towns),29,31
130,2,7:38.0,Defensive rebound by Team,,29,31
131,2,7:38.0,,K. Koufos enters the game for A. Tolliver,29,31
132,2,7:32.0,K. Dunn misses 2-pt layup from 4 ft (block by S. Labissière),,29,31
133,2,7:32.0,Offensive rebound by Team,,29,31
134,2,7:25.0,S. Muhammad makes 2-pt jump shot from 12 ft,,31,31
135,2,7:10.0,,Turnover by K. Koufos (lost ball),31,31
136,2,6:55.0,T. Jones misses 3-pt jump shot from 26 ft,,31,31
137,2,6:55.0,Offensive rebound by Team,,31,31
138,2,6:55.0,,W. Cauley-Stein enters the game for S. Labissière,31,31
139,2,6:53.0,K. Towns makes 2-pt jump shot from 6 ft (assist by S. Muhammad),,33,31
140,2,6:53.0,Shooting foul by T. Evans (drawn by K. Towns),,33,31
141,2,6:53.0,,B. McLemore enters the game for T. Evans,33,31
142,2,6:53.0,K. Towns makes free throw 1 of 1,,34,31
143,2,6:35.0,,B. McLemore misses 2-pt layup from 4 ft (block by K. Dunn),34,31
144,2,6:34.0,Defensive rebound by T. Jones,,34,31
145,2,6:27.0,K. Dunn makes 2-pt jump shot from 9 ft (assist by T. Jones),,36,31
146,2,6:15.0,,Turnover by T. Lawson (bad pass; steal by S. Muhammad),36,31
147,2,6:09.0,T. Jones misses 2-pt jump shot from 4 ft,,36,31
148,2,6:08.0,Offensive rebound by K. Towns,,36,31
149,2,6:08.0,K. Towns makes 2-pt dunk at rim,,38,31
150,2,5:58.0,,Sacramento full timeout,38,31
151,2,5:58.0,Official timeout,,38,31
152,2,5:58.0,,D. Collison enters the game for B. Hield,38,31
153,2,5:47.0,,B. McLemore makes 2-pt jump shot from 16 ft (assist by W. Cauley-Stein),38,33
154,2,5:27.0,K. Towns makes 2-pt jump shot from 12 ft,,40,33
155,2,5:15.0,,Shooting foul by K. Dunn (drawn by K. Koufos),40,33
156,2,5:15.0,,K. Koufos makes free throw 1 of 2,40,34
157,2,5:15.0,A. Wiggins enters the game for S. Muhammad,,40,34
158,2,5:15.0,,K. Koufos makes free throw 2 of 2,40,35
159,2,5:07.0,N. Bjelica misses 3-pt jump shot from 26 ft,,40,35
160,2,5:06.0,,Defensive rebound by K. Koufos,40,35
161,2,4:53.0,,K. Koufos makes 2-pt jump shot from 4 ft (assist by T. Lawson),40,37
162,2,4:35.0,A. Wiggins misses 2-pt jump shot from 11 ft,,40,37
163,2,4:33.0,Offensive rebound by N. Bjelica,,40,37
164,2,4:33.0,N. Bjelica misses 2-pt layup from 3 ft,,40,37
165,2,4:33.0,Offensive rebound by K. Dunn,,40,37
166,2,4:33.0,Personal foul by T. Lawson (drawn by K. Dunn),,40,37
167,2,4:33.0,R. Rubio enters the game for K. Dunn,,40,37
168,2,4:26.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by K. Towns),,43,37
169,2,4:08.0,,D. Collison misses 2-pt jump shot from 9 ft,43,37
170,2,4:08.0,,Offensive rebound by D. Collison,43,37
171,2,4:01.0,,W. Cauley-Stein misses 2-pt jump shot from 18 ft,43,37
172,2,4:01.0,Defensive rebound by Team,,43,37
173,2,4:01.0,,Loose ball foul by K. Koufos (drawn by N. Bjelica),43,37
174,2,3:45.0,R. Rubio misses 2-pt jump shot from 17 ft,,43,37
175,2,3:44.0,Offensive rebound by N. Bjelica,,43,37
176,2,3:39.0,A. Wiggins misses 3-pt jump shot from 26 ft,,43,37
177,2,3:38.0,,Defensive rebound by Team,43,37
178,2,3:27.0,,T. Lawson misses 3-pt jump shot from 25 ft,43,37
179,2,3:27.0,Defensive rebound by N. Bjelica,,43,37
180,2,3:21.0,Personal foul by T. Lawson (drawn by R. Rubio),,43,37
181,2,3:21.0,R. Rubio makes free throw 1 of 2,,44,37
182,2,3:21.0,R. Rubio makes free throw 2 of 2,,45,37
183,2,3:11.0,Violation by N. Bjelica (kicked ball),,45,37
184,2,3:01.0,,B. McLemore misses 2-pt layup from 4 ft,45,37
185,2,3:00.0,Defensive rebound by R. Rubio,,45,37
186,2,2:52.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by R. Rubio),,48,37
187,2,2:36.0,,D. Collison misses 2-pt jump shot from 4 ft (block by K. Towns),48,37
188,2,2:36.0,,Offensive rebound by Team,48,37
189,2,2:36.0,Minnesota full timeout,,48,37
190,2,2:32.0,,Turnover by W. Cauley-Stein (bad pass; steal by A. Wiggins),48,37
191,2,2:26.0,A. Wiggins makes 2-pt dunk from 2 ft,,50,37
192,2,2:04.0,,Personal foul by K. Towns (drawn by W. Cauley-Stein),50,37
193,2,2:04.0,,W. Cauley-Stein makes free throw 1 of 2,50,38
194,2,2:04.0,,W. Cauley-Stein makes free throw 2 of 2,50,39
195,2,1:54.0,N. Bjelica misses 2-pt jump shot from 10 ft,,50,39
196,2,1:54.0,Offensive rebound by Team,,50,39
197,2,1:33.0,N. Bjelica makes 3-pt jump shot from 24 ft (assist by R. Rubio),,53,39
198,2,1:23.0,,Turnover by B. McLemore (lost ball),53,39
199,2,1:09.0,N. Bjelica misses 2-pt jump shot from 13 ft,,53,39
200,2,1:08.0,,Defensive rebound by B. McLemore,53,39
201,2,1:00.0,,Shooting foul by N. Bjelica (drawn by W. Cauley-Stein),53,39
202,2,1:00.0,,W. Cauley-Stein makes free throw 1 of 2,53,40
203,2,1:00.0,,W. Cauley-Stein misses free throw 2 of 2,53,40
204,2,0:59.0,,Offensive rebound by K. Koufos,53,40
205,2,0:59.0,,K. Koufos makes 2-pt layup from 2 ft,53,42
206,2,0:52.0,N. Bjelica misses 3-pt jump shot from 26 ft,,53,42
207,2,0:51.0,Offensive rebound by A. Wiggins,,53,42
208,2,0:40.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by T. Jones),,56,42
209,2,0:37.0,,Shooting foul by A. Wiggins (drawn by B. McLemore),56,42
210,2,0:37.0,,B. McLemore makes free throw 1 of 2,56,43
211,2,0:37.0,,B. McLemore makes free throw 2 of 2,56,44
212,2,0:27.0,K. Towns misses 2-pt jump shot from 6 ft,,56,44
213,2,0:27.0,Offensive rebound by K. Towns,,56,44
214,2,0:26.0,K. Towns makes 2-pt jump shot from 4 ft,,58,44
215,2,0:25.0,,Turnover by B. McLemore (bad pass; steal by R. Rubio),58,44
216,2,0:08.0,R. Rubio makes 2-pt jump shot from 18 ft,,60,44
217,2,0:02.0,,T. Lawson misses 2-pt jump shot from 18 ft,60,44
218,2,0:02.0,Defensive rebound by K. Towns,,60,44
219,3,11:41.0,K. Towns makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,63,44
220,3,11:21.0,,T. Lawson makes 2-pt layup from 3 ft (assist by W. Cauley-Stein),63,46
221,3,11:21.0,Violation by G. Dieng (def goaltending),,63,46
222,3,11:05.0,A. Wiggins misses 2-pt jump shot from 9 ft,,63,46
223,3,11:05.0,,Defensive rebound by K. Koufos,63,46
224,3,10:55.0,,T. Lawson misses 2-pt jump shot from 9 ft,63,46
225,3,10:54.0,Defensive rebound by G. Dieng,,63,46
