,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHARLOTTE_ACTION,DETROIT_SCORE,CHARLOTTE_SCORE
0,1,11:37.0,R. Jackson misses 3-pt jump shot from 23 ft,,0,0
1,1,11:36.0,,Defensive rebound by N. Batum,0,0
2,1,11:26.0,,C. Zeller misses 2-pt layup from 1 ft (block by R. Jackson),0,0
3,1,11:24.0,Defensive rebound by M. Morris,,0,0
4,1,11:19.0,R. Jackson makes 2-pt layup from 2 ft (assist by M. Morris),,2,0
5,1,11:02.0,,C. Zeller misses 2-pt layup from 1 ft,2,0
6,1,11:01.0,Defensive rebound by A. Drummond,,2,0
7,1,10:52.0,Turnover by R. Jackson (bad pass),,2,0
8,1,10:41.0,,K. Walker makes 3-pt jump shot from 24 ft,2,3
9,1,10:23.0,M. Morris misses 3-pt jump shot from 25 ft,,2,3
10,1,10:22.0,,Defensive rebound by M. Williams,2,3
11,1,10:11.0,,M. Williams makes 2-pt jump shot from 9 ft,2,5
12,1,9:44.0,A. Drummond misses 2-pt hook shot from 9 ft,,2,5
13,1,9:43.0,,Defensive rebound by N. Batum,2,5
14,1,9:30.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft (block by A. Drummond),2,5
15,1,9:28.0,,Offensive rebound by M. Kidd-Gilchrist,2,5
16,1,9:28.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,2,5
17,1,9:26.0,Defensive rebound by A. Drummond,,2,5
18,1,9:15.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft,,4,5
19,1,9:02.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,4,5
20,1,9:00.0,Defensive rebound by A. Drummond,,4,5
21,1,8:48.0,T. Harris misses 3-pt jump shot from 24 ft,,4,5
22,1,8:47.0,,Defensive rebound by K. Walker,4,5
23,1,8:40.0,,M. Williams misses 3-pt jump shot from 25 ft,4,5
24,1,8:39.0,Defensive rebound by R. Jackson,,4,5
25,1,8:33.0,R. Jackson misses 3-pt jump shot from 25 ft,,4,5
26,1,8:32.0,,Defensive rebound by N. Batum,4,5
27,1,8:25.0,,N. Batum makes 2-pt dunk at rim,4,7
28,1,8:16.0,Detroit full timeout,,4,7
29,1,8:16.0,J. Leuer enters the game for M. Morris,,4,7
30,1,8:06.0,J. Leuer misses 3-pt jump shot from 23 ft,,4,7
31,1,8:05.0,,Defensive rebound by M. Williams,4,7
32,1,7:56.0,,K. Walker misses 2-pt jump shot from 21 ft,4,7
33,1,7:54.0,Defensive rebound by A. Drummond,,4,7
34,1,7:38.0,A. Drummond misses 2-pt hook shot at rim,,4,7
35,1,7:37.0,,Defensive rebound by N. Batum,4,7
36,1,7:28.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 11 ft,4,7
37,1,7:27.0,,Offensive rebound by M. Kidd-Gilchrist,4,7
38,1,7:20.0,,M. Williams makes 2-pt layup from 1 ft (assist by N. Batum),4,9
39,1,7:06.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by J. Leuer),,7,9
40,1,6:50.0,,M. Williams misses 2-pt jump shot from 9 ft,7,9
41,1,6:48.0,Defensive rebound by R. Jackson,,7,9
42,1,6:41.0,T. Harris misses 3-pt jump shot from 24 ft,,7,9
43,1,6:40.0,,Defensive rebound by M. Kidd-Gilchrist,7,9
44,1,6:28.0,,C. Zeller misses 2-pt jump shot from 7 ft,7,9
45,1,6:27.0,Defensive rebound by A. Drummond,,7,9
46,1,6:14.0,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,9,9
47,1,6:05.0,,Charlotte full timeout,9,9
48,1,5:54.0,,N. Batum misses 2-pt jump shot from 14 ft,9,9
49,1,5:53.0,Defensive rebound by T. Harris,,9,9
50,1,5:46.0,,Violation by M. Williams (kicked ball),9,9
51,1,5:39.0,Shooting foul by C. Zeller (drawn by A. Drummond),,9,9
52,1,5:39.0,A. Drummond makes free throw 1 of 2,,10,9
53,1,5:39.0,A. Drummond makes free throw 2 of 2,,11,9
54,1,5:27.0,,K. Walker misses 2-pt jump shot from 22 ft,11,9
55,1,5:26.0,Defensive rebound by J. Leuer,,11,9
56,1,5:21.0,Turnover by R. Jackson (traveling),,11,9
57,1,5:21.0,,M. Belinelli enters the game for M. Kidd-Gilchrist,11,9
58,1,5:21.0,,F. Kaminsky enters the game for M. Williams,11,9
59,1,5:10.0,,Turnover by N. Batum (bad pass; steal by K. Caldwell-Pope),11,9
60,1,5:04.0,J. Leuer makes 2-pt layup at rim (assist by K. Caldwell-Pope),,13,9
61,1,4:51.0,,C. Zeller makes 2-pt hook shot from 6 ft (assist by K. Walker),13,11
62,1,4:35.0,J. Leuer misses 2-pt jump shot from 13 ft,,13,11
63,1,4:34.0,,Defensive rebound by N. Batum,13,11
64,1,4:17.0,,K. Walker makes 2-pt layup at rim,13,13
65,1,4:06.0,Turnover by R. Jackson (bad pass; steal by K. Walker),,13,13
66,1,4:00.0,,K. Walker makes 2-pt layup from 1 ft,13,15
67,1,3:47.0,Turnover by R. Jackson (bad pass; steal by F. Kaminsky),,13,15
68,1,3:38.0,,Shooting foul by A. Drummond (drawn by C. Zeller),13,15
69,1,3:38.0,,C. Zeller makes free throw 1 of 2,13,16
70,1,3:38.0,,R. Sessions enters the game for K. Walker,13,16
71,1,3:38.0,I. Smith enters the game for R. Jackson,,13,16
72,1,3:38.0,,C. Zeller makes free throw 2 of 2,13,17
