,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,WASHINGTON_ACTION,LA CLIPPERS_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,Turnover by M. Gortat (lost ball; steal by L. Mbah a Moute),0,0
1,1,11:33.0,D. Jordan misses 2-pt layup from 1 ft (block by M. Gortat),,0,0
2,1,11:33.0,Offensive rebound by Team,,0,0
3,1,11:24.0,,Offensive charge foul by D. Jordan (drawn by M. Gortat),0,0
4,1,11:24.0,Turnover by D. Jordan (offensive foul),,0,0
5,1,11:05.0,,M. Morris misses 2-pt jump shot from 18 ft,0,0
6,1,11:04.0,Defensive rebound by D. Jordan,,0,0
7,1,10:59.0,Turnover by C. Paul (bad pass),,0,0
8,1,10:47.0,,Shooting foul by B. Griffin (drawn by M. Morris),0,0
9,1,10:47.0,,M. Morris makes free throw 1 of 2,0,1
10,1,10:47.0,,M. Morris makes free throw 2 of 2,0,2
11,1,10:30.0,C. Paul misses 3-pt jump shot from 25 ft,,0,2
12,1,10:30.0,,Defensive rebound by M. Gortat,0,2
13,1,10:25.0,,Turnover by J. Wall (bad pass),0,2
14,1,10:18.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by M. Gortat),,0,2
15,1,10:16.0,Offensive rebound by L. Mbah a Moute,,0,2
16,1,10:04.0,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Griffin),,2,2
17,1,9:52.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by B. Beal),2,4
18,1,9:42.0,J. Redick misses 3-pt jump shot from 25 ft,,2,4
19,1,9:41.0,,Defensive rebound by M. Gortat,2,4
20,1,9:29.0,,J. Wall misses 2-pt layup from 2 ft,2,4
21,1,9:29.0,,Offensive rebound by Team,2,4
22,1,9:25.0,,M. Morris misses 2-pt jump shot from 11 ft,2,4
23,1,9:25.0,Defensive rebound by D. Jordan,,2,4
24,1,9:00.0,C. Paul misses 3-pt jump shot from 27 ft,,2,4
25,1,9:00.0,,Defensive rebound by J. Wall,2,4
26,1,8:51.0,,J. Wall makes 2-pt jump shot from 20 ft,2,6
27,1,8:50.0,LA Clippers full timeout,,2,6
