,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BROOKLYN_ACTION,PHILADELPHIA_SCORE,BROOKLYN_SCORE
0,1,11:47.0,D. Šarić misses 2-pt jump shot from 19 ft,,0,0
1,1,11:46.0,,Defensive rebound by J. Lin,0,0
2,1,11:25.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by R. Foye),0,2
3,1,11:02.0,D. Šarić makes 2-pt layup from 2 ft (assist by T. McConnell),,2,2
4,1,10:55.0,,Personal foul by R. Holmes (drawn by B. Lopez),2,2
5,1,10:47.0,,J. Lin misses 2-pt jump shot from 19 ft,2,2
6,1,10:46.0,Defensive rebound by R. Covington,,2,2
7,1,10:38.0,R. Holmes misses 2-pt layup from 3 ft (block by R. Hollis-Jefferson),,2,2
8,1,10:37.0,Offensive rebound by Team,,2,2
9,1,10:34.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by J. Lin),,2,2
10,1,10:24.0,,Turnover by J. Lin (bad pass),2,2
11,1,10:16.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,,2,2
12,1,10:15.0,,Defensive rebound by R. Hollis-Jefferson,2,2
13,1,10:09.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),2,5
14,1,9:52.0,T. McConnell makes 2-pt jump shot from 9 ft,,4,5
15,1,9:44.0,,Personal foul by T. McConnell (drawn by J. Lin),4,5
16,1,9:37.0,,R. Hollis-Jefferson misses 3-pt jump shot from 26 ft,4,5
17,1,9:36.0,Defensive rebound by R. Covington,,4,5
18,1,9:27.0,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),,6,5
19,1,9:08.0,,R. Foye makes 3-pt jump shot from 25 ft (assist by B. Lopez),6,8
20,1,8:53.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,,6,8
21,1,8:52.0,,Defensive rebound by B. Lopez,6,8
22,1,8:44.0,,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,6,8
23,1,8:43.0,Defensive rebound by R. Holmes,,6,8
