,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ORLANDO_ACTION,PORTLAND_SCORE,ORLANDO_SCORE
0,1,11:45.0,,E. Fournier misses 2-pt layup from 2 ft (block by J. Nurkić),0,0
1,1,11:45.0,,Offensive rebound by Team,0,0
2,1,11:45.0,,Turnover by E. Fournier (bad pass),0,0
3,1,11:30.0,Turnover by N. Vonleh (illegal assist),,0,0
4,1,11:17.0,,N. Vučević misses 2-pt jump shot from 19 ft,0,0
5,1,11:15.0,Defensive rebound by M. Harkless,,0,0
6,1,11:06.0,D. Lillard misses 2-pt jump shot from 20 ft,,0,0
7,1,11:03.0,Offensive rebound by N. Vonleh,,0,0
8,1,10:52.0,D. Lillard misses 2-pt layup from 2 ft,,0,0
9,1,10:46.0,,Defensive rebound by N. Vučević,0,0
10,1,10:31.0,,E. Fournier misses 2-pt jump shot from 8 ft,0,0
11,1,10:30.0,,Offensive rebound by A. Gordon,0,0
12,1,10:30.0,,A. Gordon misses 2-pt layup from 2 ft,0,0
13,1,10:29.0,Defensive rebound by J. Nurkić,,0,0
14,1,10:22.0,Shooting foul by T. Ross (drawn by C. McCollum),,0,0
15,1,10:22.0,C. McCollum makes free throw 1 of 2,,1,0
16,1,10:22.0,C. McCollum makes free throw 2 of 2,,2,0
17,1,10:12.0,,N. Vučević misses 2-pt jump shot from 22 ft,2,0
18,1,10:10.0,,Offensive rebound by A. Gordon,2,0
19,1,10:07.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),2,2
20,1,9:49.0,Turnover by N. Vonleh (bad pass; steal by T. Ross),,2,2
21,1,9:41.0,,T. Ross misses 3-pt jump shot from 27 ft,2,2
22,1,9:40.0,,Offensive rebound by A. Gordon,2,2
23,1,9:33.0,,A. Gordon misses 2-pt layup from 2 ft (block by N. Vonleh),2,2
24,1,9:29.0,,Offensive rebound by A. Gordon,2,2
25,1,9:29.0,,A. Gordon makes 2-pt layup from 2 ft,2,4
26,1,9:15.0,C. McCollum misses 2-pt jump shot from 6 ft,,2,4
27,1,9:13.0,,Defensive rebound by Team,2,4
28,1,9:05.0,,Turnover by N. Vučević (lost ball; steal by J. Nurkić),2,4
29,1,8:59.0,D. Lillard misses 2-pt layup from 1 ft (block by E. Payton),,2,4
30,1,8:55.0,,Defensive rebound by E. Payton,2,4
31,1,8:51.0,,T. Ross misses 2-pt jump shot from 8 ft (block by M. Harkless),2,4
32,1,8:50.0,,Offensive rebound by Team,2,4
33,1,8:41.0,,N. Vučević misses 2-pt layup from 1 ft,2,4
34,1,8:39.0,Defensive rebound by N. Vonleh,,2,4
35,1,8:20.0,J. Nurkić misses 2-pt layup from 2 ft (block by A. Gordon),,2,4
36,1,8:20.0,Offensive rebound by Team,,2,4
37,1,8:14.0,C. McCollum misses 3-pt jump shot from 25 ft,,2,4
38,1,8:14.0,Offensive rebound by Team,,2,4
39,1,8:14.0,Turnover by Team (shot clock),,2,4
40,1,8:02.0,,E. Payton makes 2-pt jump shot from 17 ft,2,6
41,1,7:48.0,J. Nurkić makes 2-pt layup from 2 ft,,4,6
42,1,7:36.0,,Shooting foul by D. Lillard (drawn by E. Payton),4,6
43,1,7:36.0,,E. Payton misses free throw 1 of 2,4,6
44,1,7:36.0,,Offensive rebound by Team,4,6
45,1,7:36.0,,E. Payton misses free throw 2 of 2,4,6
46,1,7:34.0,Defensive rebound by M. Harkless,,4,6
47,1,7:30.0,Personal foul by N. Vučević (drawn by J. Nurkić),,4,6
48,1,7:24.0,J. Nurkić misses 2-pt layup from 2 ft,,4,6
49,1,7:22.0,Offensive rebound by J. Nurkić,,4,6
50,1,7:21.0,J. Nurkić makes 2-pt layup from 2 ft,,6,6
51,1,7:05.0,,Shooting foul by N. Vonleh (drawn by N. Vučević),6,6
52,1,7:05.0,,N. Vučević misses free throw 1 of 2,6,6
53,1,7:05.0,,Offensive rebound by Team,6,6
54,1,7:05.0,,N. Vučević makes free throw 2 of 2,6,7
55,1,6:49.0,Turnover by J. Nurkić (offensive goaltending),,6,7
56,1,6:35.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by E. Payton),6,9
57,1,6:29.0,Turnover by M. Harkless (bad pass),,6,9
58,1,6:17.0,,Shooting foul by J. Nurkić (drawn by N. Vučević),6,9
59,1,6:17.0,,N. Vučević makes free throw 1 of 2,6,10
60,1,6:17.0,,N. Vučević makes free throw 2 of 2,6,11
61,1,6:00.0,C. McCollum makes 2-pt jump shot from 14 ft,,8,11
62,1,5:45.0,,Turnover by E. Payton (bad pass),8,11
63,1,5:45.0,,Orlando full timeout,8,11
64,1,5:45.0,A. Crabbe enters the game for C. McCollum,,8,11
65,1,5:25.0,A. Crabbe makes 2-pt layup from 3 ft (assist by J. Nurkić),,10,11
66,1,5:05.0,,A. Gordon makes 2-pt layup from 1 ft,10,13
67,1,4:55.0,D. Lillard makes 2-pt jump shot from 5 ft,,12,13
68,1,4:44.0,,T. Ross misses 2-pt jump shot from 8 ft (block by J. Nurkić),12,13
69,1,4:41.0,Defensive rebound by D. Lillard,,12,13
70,1,4:39.0,M. Harkless makes 2-pt dunk from 1 ft (assist by D. Lillard),,14,13
71,1,4:19.0,,E. Fournier misses 2-pt jump shot from 16 ft,14,13
72,1,4:18.0,,Offensive rebound by Team,14,13
73,1,4:18.0,M. Leonard enters the game for J. Nurkić,,14,13
74,1,4:18.0,E. Davis enters the game for N. Vonleh,,14,13
75,1,4:18.0,,M. Hezonja enters the game for T. Ross,14,13
76,1,4:02.0,,A. Gordon misses 3-pt jump shot from 26 ft,14,13
77,1,3:59.0,,Offensive rebound by E. Payton,14,13
78,1,3:55.0,,Def 3 sec tech foul by A. Crabbe,14,13
79,1,3:55.0,,E. Fournier makes technical free throw,14,14
80,1,3:55.0,,J. Green enters the game for A. Gordon,14,14
81,1,3:55.0,,D. Augustin enters the game for E. Payton,14,14
82,1,3:46.0,,N. Vučević makes 2-pt hook shot from 7 ft,14,16
83,1,3:30.0,D. Lillard makes 2-pt jump shot from 17 ft,,16,16
84,1,3:14.0,,N. Vučević misses 2-pt jump shot from 16 ft,16,16
85,1,3:13.0,Defensive rebound by E. Davis,,16,16
86,1,3:00.0,D. Lillard makes 2-pt jump shot from 6 ft,,18,16
87,1,3:00.0,Shooting foul by D. Augustin (drawn by D. Lillard),,18,16
88,1,3:00.0,,B. Biyombo enters the game for N. Vučević,18,16
89,1,3:00.0,J. Layman enters the game for M. Harkless,,18,16
90,1,3:00.0,D. Lillard makes free throw 1 of 1,,19,16
91,1,2:49.0,,E. Fournier misses 2-pt jump shot from 8 ft,19,16
92,1,2:47.0,,Offensive rebound by E. Fournier,19,16
93,1,2:46.0,,E. Fournier makes 2-pt layup from 1 ft,19,18
94,1,2:43.0,Portland full timeout,,19,18
95,1,2:43.0,C. McCollum enters the game for D. Lillard,,19,18
96,1,2:27.0,C. McCollum misses 2-pt jump shot from 20 ft,,19,18
97,1,2:25.0,,Defensive rebound by E. Fournier,19,18
98,1,2:04.0,,M. Hezonja makes 2-pt jump shot from 12 ft,19,20
99,1,1:52.0,E. Davis makes 2-pt layup from 2 ft (assist by C. McCollum),,21,20
100,1,1:38.0,,E. Fournier makes 2-pt jump shot from 5 ft (assist by J. Green),21,22
101,1,1:15.0,Shooting foul by B. Biyombo (drawn by E. Davis),,21,22
102,1,1:15.0,E. Davis misses free throw 1 of 2,,21,22
103,1,1:15.0,Offensive rebound by Team,,21,22
104,1,1:15.0,E. Davis misses free throw 2 of 2,,21,22
105,1,1:13.0,,Defensive rebound by B. Biyombo,21,22
106,1,1:00.0,,Shooting foul by C. McCollum (drawn by D. Augustin),21,22
107,1,1:00.0,,D. Augustin makes free throw 1 of 2,21,23
108,1,1:00.0,,D. Augustin makes free throw 2 of 2,21,24
109,1,0:48.0,Turnover by A. Crabbe (step out of bounds),,21,24
110,1,0:39.0,,D. Augustin misses 2-pt jump shot from 23 ft,21,24
111,1,0:37.0,Defensive rebound by C. McCollum,,21,24
112,1,0:29.0,C. McCollum makes 2-pt layup from 1 ft,,23,24
113,1,0:10.0,,Shooting foul by E. Davis (drawn by E. Fournier),23,24
114,1,0:10.0,,E. Fournier misses free throw 1 of 2,23,24
115,1,0:10.0,,Offensive rebound by Team,23,24
