,QUARTER,TIME_REMAINING,DENVER_ACTION,HOUSTON_ACTION,DENVER_SCORE,HOUSTON_SCORE
0,1,11:42.0,,J. Harden misses 3-pt jump shot from 24 ft,0,0
1,1,11:41.0,Defensive rebound by J. Hernangómez,,0,0
2,1,11:30.0,G. Harris makes 2-pt layup from 2 ft,,2,0
3,1,11:18.0,,P. Beverley makes 2-pt layup from 2 ft,2,2
4,1,11:07.0,J. Nelson misses 2-pt jump shot from 22 ft,,2,2
5,1,11:06.0,,Defensive rebound by C. Capela,2,2
6,1,10:49.0,,J. Harden misses 2-pt jump shot from 11 ft,2,2
7,1,10:48.0,Defensive rebound by N. Jokić,,2,2
8,1,10:42.0,J. Hernangómez makes 2-pt layup from 1 ft (assist by N. Jokić),,4,2
9,1,10:26.0,,T. Ariza makes 2-pt dunk at rim,4,4
10,1,10:04.0,G. Harris misses 3-pt jump shot from 26 ft,,4,4
11,1,10:03.0,,Defensive rebound by C. Capela,4,4
12,1,9:55.0,,C. Capela misses 2-pt layup from 2 ft (block by N. Jokić),4,4
13,1,9:52.0,Defensive rebound by G. Harris,,4,4
14,1,9:44.0,Personal foul by C. Capela (drawn by N. Jokić),,4,4
15,1,9:36.0,M. Plumlee misses 2-pt jump shot from 18 ft,,4,4
16,1,9:35.0,,Defensive rebound by J. Harden,4,4
17,1,9:24.0,,Turnover by J. Harden (bad pass; steal by J. Hernangómez),4,4
18,1,9:11.0,N. Jokić misses 3-pt jump shot from 25 ft,,4,4
19,1,9:10.0,,Defensive rebound by J. Harden,4,4
20,1,9:01.0,,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),4,7
21,1,8:45.0,G. Harris makes 2-pt layup from 1 ft (assist by J. Nelson),,6,7
22,1,8:35.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Harden),6,10
23,1,8:21.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,6,10
24,1,8:18.0,,Defensive rebound by C. Capela,6,10
25,1,8:12.0,,R. Anderson misses 3-pt jump shot from 23 ft,6,10
26,1,8:11.0,Defensive rebound by J. Hernangómez,,6,10
27,1,7:59.0,Turnover by G. Harris (bad pass; steal by J. Harden),,6,10
28,1,7:56.0,,J. Harden makes 2-pt dunk at rim,6,12
29,1,7:55.0,Denver full timeout,,6,12
30,1,7:55.0,W. Barton enters the game for J. Hernangómez,,6,12
31,1,7:39.0,M. Plumlee makes 2-pt dunk at rim (assist by G. Harris),,8,12
32,1,7:21.0,,C. Capela makes 2-pt layup from 2 ft (assist by R. Anderson),8,14
33,1,7:06.0,G. Harris makes 2-pt jump shot from 17 ft,,10,14
34,1,7:06.0,Shooting foul by T. Ariza (drawn by G. Harris),,10,14
35,1,7:06.0,G. Harris makes free throw 1 of 1,,11,14
36,1,6:59.0,,Personal foul by W. Barton (drawn by T. Ariza),11,14
37,1,6:50.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by T. Ariza),11,17
38,1,6:39.0,J. Nelson misses 3-pt jump shot from 25 ft,,11,17
39,1,6:38.0,,Defensive rebound by Team,11,17
40,1,6:24.0,,T. Ariza misses 2-pt layup from 1 ft,11,17
41,1,6:23.0,Defensive rebound by J. Nelson,,11,17
42,1,6:17.0,G. Harris makes 2-pt layup from 1 ft (assist by W. Barton),,13,17
43,1,5:58.0,,Shooting foul by M. Plumlee (drawn by J. Harden),13,17
44,1,5:58.0,,J. Harden makes free throw 1 of 2,13,18
45,1,5:58.0,,J. Harden misses free throw 2 of 2,13,18
46,1,5:58.0,Defensive rebound by N. Jokić,,13,18
47,1,5:58.0,,E. Gordon enters the game for P. Beverley,13,18
48,1,5:58.0,,N. Hilário enters the game for C. Capela,13,18
49,1,5:58.0,K. Faried enters the game for M. Plumlee,,13,18
50,1,5:34.0,Turnover by Team (shot clock),,13,18
51,1,5:26.0,,J. Harden misses 2-pt jump shot from 9 ft,13,18
52,1,5:24.0,Defensive rebound by N. Jokić,,13,18
53,1,5:16.0,K. Faried misses 2-pt layup from 2 ft,,13,18
54,1,5:15.0,Offensive rebound by N. Jokić,,13,18
55,1,5:14.0,,Offensive charge foul by K. Faried (drawn by N. Hilário),13,18
56,1,5:14.0,Turnover by K. Faried (offensive foul),,13,18
