,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MEMPHIS_ACTION,NEW ORLEANS_SCORE,MEMPHIS_SCORE
0,1,11:42.0,S. Hill misses 3-pt jump shot from 23 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Green,0,0
2,1,11:21.0,,J. Green misses 2-pt dunk at rim,0,0
3,1,11:19.0,,Offensive rebound by M. Gasol,0,0
4,1,11:15.0,,M. Conley makes 3-pt jump shot from 29 ft (assist by M. Gasol),0,3
5,1,10:57.0,A. Davis makes 2-pt jump shot from 17 ft (assist by J. Holiday),,2,3
6,1,10:35.0,,Turnover by T. Allen (bad pass; steal by A. Ajinça),2,3
7,1,10:27.0,A. Davis misses 2-pt jump shot from 16 ft,,2,3
8,1,10:27.0,,Defensive rebound by M. Conley,2,3
9,1,10:09.0,,C. Parsons misses 3-pt jump shot from 25 ft,2,3
10,1,10:08.0,,Offensive rebound by Team,2,3
11,1,10:01.0,,M. Conley makes 2-pt jump shot from 19 ft,2,5
12,1,9:42.0,J. Holiday misses 2-pt jump shot from 17 ft,,2,5
13,1,9:39.0,,Defensive rebound by J. Green,2,5
14,1,9:26.0,,M. Conley misses 3-pt jump shot from 24 ft,2,5
15,1,9:26.0,,Offensive rebound by J. Green,2,5
16,1,9:07.0,,C. Parsons makes 3-pt jump shot from 26 ft (assist by M. Gasol),2,8
17,1,8:44.0,J. Holiday misses 2-pt layup from 1 ft,,2,8
18,1,8:42.0,Offensive rebound by A. Ajinça,,2,8
19,1,8:41.0,Turnover by A. Ajinça (bad pass; steal by C. Parsons),,2,8
20,1,8:41.0,,Personal foul by B. Hield (drawn by C. Parsons),2,8
21,1,8:24.0,,M. Gasol makes 2-pt jump shot from 10 ft,2,10
22,1,8:11.0,A. Davis misses 2-pt jump shot from 12 ft,,2,10
23,1,8:11.0,Offensive rebound by J. Holiday,,2,10
24,1,8:05.0,Shooting foul by C. Parsons (drawn by A. Ajinça),,2,10
25,1,8:05.0,A. Ajinça misses free throw 1 of 2,,2,10
26,1,8:05.0,Offensive rebound by Team,,2,10
27,1,8:05.0,A. Ajinça makes free throw 2 of 2,,3,10
28,1,7:53.0,,Turnover by M. Gasol (traveling),3,10
29,1,7:37.0,A. Davis misses 2-pt jump shot from 7 ft,,3,10
30,1,7:37.0,,Defensive rebound by M. Gasol,3,10
31,1,7:28.0,,T. Allen misses 2-pt jump shot from 7 ft (block by A. Davis),3,10
32,1,7:26.0,Defensive rebound by A. Ajinça,,3,10
33,1,7:16.0,B. Hield misses 3-pt jump shot from 23 ft,,3,10
34,1,7:16.0,,Defensive rebound by T. Allen,3,10
35,1,7:05.0,,Personal foul by J. Holiday (drawn by M. Conley),3,10
36,1,6:56.0,,M. Conley misses 2-pt jump shot from 21 ft,3,10
37,1,6:54.0,,Offensive rebound by J. Green,3,10
38,1,6:54.0,,J. Green makes 2-pt layup from 3 ft,3,12
39,1,6:54.0,,Shooting foul by A. Ajinça (drawn by J. Green),3,12
40,1,6:54.0,,J. Green misses free throw 1 of 1,3,12
41,1,6:53.0,Defensive rebound by A. Ajinça,,3,12
42,1,6:48.0,New Orleans full timeout,,3,12
43,1,6:38.0,Turnover by A. Davis (lost ball),,3,12
44,1,6:26.0,,M. Gasol misses 3-pt jump shot from 26 ft,3,12
45,1,6:26.0,Defensive rebound by B. Hield,,3,12
46,1,6:03.0,S. Hill makes 2-pt jump shot from 6 ft,,5,12
47,1,5:45.0,,C. Parsons makes 2-pt layup from 2 ft (assist by J. Green),5,14
48,1,5:31.0,B. Hield makes 3-pt jump shot from 26 ft,,8,14
49,1,5:17.0,,Turnover by M. Gasol (bad pass; steal by S. Hill),8,14
50,1,5:11.0,J. Holiday makes 2-pt layup from 1 ft,,10,14
51,1,4:42.0,,T. Allen misses 2-pt jump shot from 12 ft,10,14
52,1,4:40.0,Defensive rebound by A. Davis,,10,14
53,1,4:33.0,S. Hill makes 2-pt layup from 1 ft,,12,14
54,1,4:22.0,,Memphis full timeout,12,14
55,1,4:22.0,,V. Carter enters the game for C. Parsons,12,14
56,1,4:22.0,,T. Douglas enters the game for J. Green,12,14
57,1,4:22.0,,J. Ennis enters the game for T. Allen,12,14
58,1,4:22.0,,Z. Randolph enters the game for M. Conley,12,14
59,1,4:22.0,D. Motiejūnas enters the game for A. Ajinça,,12,14
60,1,4:12.0,,J. Ennis makes 2-pt dunk at rim (assist by M. Gasol),12,16
61,1,3:58.0,A. Davis makes 2-pt layup from 2 ft,,14,16
62,1,3:43.0,,V. Carter misses 2-pt jump shot from 21 ft,14,16
63,1,3:42.0,Defensive rebound by S. Hill,,14,16
64,1,3:34.0,S. Hill makes 2-pt dunk at rim,,16,16
65,1,3:18.0,,M. Gasol makes 2-pt jump shot from 22 ft,16,18
66,1,3:10.0,Personal foul by V. Carter (drawn by D. Motiejūnas),,16,18
67,1,3:10.0,,B. Wright enters the game for M. Gasol,16,18
68,1,3:04.0,B. Hield makes 2-pt layup from 1 ft (assist by S. Hill),,18,18
69,1,2:47.0,,T. Douglas misses 3-pt jump shot from 26 ft,18,18
70,1,2:46.0,Defensive rebound by A. Davis,,18,18
71,1,2:37.0,J. Holiday makes 2-pt layup from 1 ft (assist by A. Davis),,20,18
72,1,2:28.0,Violation by B. Hield (kicked ball),,20,18
73,1,2:28.0,E. Moore enters the game for B. Hield,,20,18
74,1,2:17.0,,J. Ennis misses 3-pt jump shot from 23 ft,20,18
75,1,2:17.0,Defensive rebound by A. Davis,,20,18
76,1,2:10.0,E. Moore misses 2-pt jump shot from 9 ft,,20,18
77,1,2:10.0,Offensive rebound by Team,,20,18
78,1,2:10.0,,Loose ball foul by V. Carter (drawn by D. Motiejūnas),20,18
79,1,2:10.0,T. Evans enters the game for J. Holiday,,20,18
80,1,1:58.0,Turnover by A. Davis (lost ball; steal by Z. Randolph),,20,18
81,1,1:52.0,,J. Ennis makes 2-pt layup from 2 ft (assist by T. Douglas),20,20
82,1,1:35.0,A. Davis misses 2-pt jump shot from 12 ft,,20,20
83,1,1:34.0,,Defensive rebound by V. Carter,20,20
84,1,1:30.0,,Personal foul by A. Davis (drawn by Z. Randolph),20,20
85,1,1:20.0,,Z. Randolph misses 2-pt jump shot from 21 ft,20,20
86,1,1:19.0,Defensive rebound by Team,,20,20
87,1,1:19.0,A. Ajinça enters the game for A. Davis,,20,20
88,1,1:05.0,S. Hill makes 3-pt jump shot from 26 ft (assist by D. Motiejūnas),,23,20
89,1,0:48.0,,Z. Randolph makes 2-pt jump shot from 21 ft (assist by T. Douglas),23,22
90,1,0:40.0,S. Hill makes 3-pt jump shot from 25 ft (assist by T. Evans),,26,22
91,1,0:30.0,Offensive charge foul by Z. Randolph (drawn by D. Motiejūnas),,26,22
92,1,0:30.0,,Turnover by Z. Randolph (offensive foul),26,22
93,1,0:06.0,E. Moore misses 3-pt jump shot from 25 ft,,26,22
94,1,0:06.0,Offensive rebound by A. Ajinça,,26,22
95,1,0:03.0,A. Ajinça makes 2-pt layup from 1 ft,,28,22
96,1,0:01.0,,J. Ennis misses 3-pt jump shot from 41 ft,28,22
97,1,0:00.0,,Offensive rebound by Team,28,22
98,2,11:44.0,,M. Conley misses 2-pt jump shot from 20 ft,28,22
99,2,11:43.0,Defensive rebound by D. Motiejūnas,,28,22
100,2,11:28.0,L. Galloway misses 2-pt jump shot from 10 ft,,28,22
101,2,11:26.0,,Defensive rebound by Z. Randolph,28,22
102,2,11:25.0,,Turnover by M. Conley (bad pass; steal by T. Evans),28,22
103,2,11:20.0,T. Evans makes 2-pt layup at rim,,30,22
104,2,11:03.0,,Z. Randolph misses 2-pt jump shot from 5 ft,30,22
105,2,11:02.0,Defensive rebound by A. Ajinça,,30,22
106,2,10:53.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by T. Evans),,33,22
107,2,10:31.0,,B. Wright makes 2-pt dunk at rim (assist by V. Carter),33,24
108,2,10:16.0,T. Evans misses 2-pt jump shot from 8 ft,,33,24
109,2,10:15.0,,Defensive rebound by B. Wright,33,24
110,2,10:11.0,,Personal foul by E. Moore (drawn by Z. Randolph),33,24
111,2,10:03.0,,Shooting foul by T. Evans (drawn by V. Carter),33,24
112,2,10:03.0,,V. Carter misses free throw 1 of 2,33,24
113,2,10:03.0,,Offensive rebound by Team,33,24
114,2,10:03.0,,V. Carter misses free throw 2 of 2,33,24
115,2,10:02.0,Defensive rebound by T. Evans,,33,24
116,2,9:54.0,Turnover by T. Evans (bad pass; steal by J. Ennis),,33,24
117,2,9:46.0,,Shooting foul by D. Motiejūnas (drawn by Z. Randolph),33,24
118,2,9:46.0,,Z. Randolph makes free throw 1 of 2,33,25
119,2,9:46.0,,Z. Randolph makes free throw 2 of 2,33,26
120,2,9:35.0,Shooting foul by V. Carter (drawn by D. Motiejūnas),,33,26
121,2,9:35.0,D. Motiejūnas misses free throw 1 of 2,,33,26
122,2,9:35.0,Offensive rebound by Team,,33,26
123,2,9:35.0,D. Motiejūnas misses free throw 2 of 2,,33,26
124,2,9:35.0,,T. Allen enters the game for V. Carter,33,26
