,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
0,1,11:37.0,,D. Cousins misses 2-pt jump shot from 16 ft,0,0
1,1,11:36.0,Defensive rebound by B. Hield,,0,0
2,1,11:14.0,D. Collison misses 2-pt jump shot from 11 ft,,0,0
3,1,11:13.0,,Defensive rebound by J. Holiday,0,0
4,1,11:10.0,,Turnover by J. Holiday (lost ball; steal by D. Collison),0,0
5,1,11:05.0,D. Collison misses 2-pt jump shot from 11 ft,,0,0
6,1,11:00.0,Offensive rebound by W. Cauley-Stein,,0,0
7,1,11:00.0,Turnover by S. Labissière (lost ball; steal by A. Davis),,0,0
8,1,10:57.0,,T. Frazier makes 2-pt layup from 1 ft (assist by S. Hill),0,2
9,1,10:40.0,T. Evans makes 3-pt jump shot from 25 ft (assist by B. Hield),,3,2
10,1,10:25.0,,S. Hill misses 3-pt jump shot from 24 ft,3,2
11,1,10:24.0,Defensive rebound by B. Hield,,3,2
12,1,10:13.0,S. Labissière makes 2-pt layup from 3 ft (assist by B. Hield),,5,2
13,1,10:07.0,,Turnover by J. Holiday (bad pass; steal by W. Cauley-Stein),5,2
14,1,9:44.0,T. Evans misses 3-pt jump shot from 24 ft,,5,2
15,1,9:43.0,,Defensive rebound by D. Cousins,5,2
16,1,9:30.0,,A. Davis misses 2-pt jump shot from 17 ft,5,2
17,1,9:30.0,Defensive rebound by B. Hield,,5,2
18,1,9:19.0,Turnover by W. Cauley-Stein (bad pass; steal by J. Holiday),,5,2
19,1,9:11.0,,S. Hill misses 3-pt jump shot from 23 ft,5,2
20,1,9:10.0,,Offensive rebound by T. Frazier,5,2
21,1,9:03.0,,Turnover by D. Cousins (bad pass; steal by T. Evans),5,2
22,1,8:59.0,Turnover by B. Hield (lost ball),,5,2
23,1,8:47.0,,D. Cousins makes 3-pt jump shot from 26 ft (assist by J. Holiday),5,5
24,1,8:33.0,T. Evans makes 2-pt layup from 2 ft,,7,5
25,1,8:29.0,,Turnover by J. Holiday (bad pass),7,5
26,1,8:10.0,S. Labissière misses 2-pt layup from 4 ft,,7,5
27,1,8:09.0,,Defensive rebound by D. Cousins,7,5
28,1,8:01.0,,D. Cousins misses 2-pt layup from 1 ft,7,5
29,1,8:00.0,,Offensive rebound by A. Davis,7,5
30,1,8:00.0,,A. Davis makes 2-pt layup from 2 ft,7,7
31,1,7:47.0,B. Hield misses 3-pt jump shot from 26 ft,,7,7
32,1,7:46.0,,Defensive rebound by Team,7,7
33,1,7:27.0,,A. Davis misses 2-pt jump shot from 16 ft,7,7
34,1,7:26.0,Defensive rebound by B. Hield,,7,7
35,1,7:12.0,B. Hield makes 2-pt jump shot from 15 ft,,9,7
36,1,6:57.0,,J. Holiday misses 2-pt layup from 3 ft (block by B. Hield),9,7
37,1,6:57.0,,Offensive rebound by Team,9,7
38,1,6:57.0,,S. Hill makes 3-pt jump shot from 24 ft (assist by J. Holiday),9,10
39,1,6:35.0,S. Labissière makes 2-pt jump shot from 11 ft (assist by T. Evans),,11,10
40,1,6:24.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by J. Holiday),11,13
41,1,6:08.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,11,13
42,1,6:05.0,,Defensive rebound by A. Davis,11,13
43,1,6:03.0,Violation by W. Cauley-Stein (def goaltending),,11,13
