,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,Turnover by J. Teague (bad pass; steal by T. McConnell),,0,0
1,1,11:37.0,,J. Anderson misses 3-pt jump shot from 25 ft,0,0
2,1,11:36.0,Defensive rebound by M. Ellis,,0,0
3,1,11:27.0,M. Turner misses 2-pt jump shot from 6 ft (block by D. Šarić),,0,0
4,1,11:25.0,Offensive rebound by M. Turner,,0,0
5,1,11:22.0,M. Turner makes 2-pt layup from 1 ft,,2,0
6,1,11:12.0,,Turnover by T. McConnell (bad pass),2,0
7,1,11:07.0,Turnover by M. Turner (traveling),,2,0
8,1,10:48.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by D. Šarić),2,2
9,1,10:32.0,M. Ellis makes 2-pt jump shot from 18 ft (assist by P. George),,4,2
10,1,10:16.0,,Turnover by J. Anderson (bad pass; steal by J. Teague),4,2
11,1,10:10.0,T. Young makes 2-pt dunk at rim (assist by M. Ellis),,6,2
12,1,9:51.0,,T. McConnell misses 3-pt jump shot from 24 ft,6,2
13,1,9:50.0,Defensive rebound by M. Turner,,6,2
14,1,9:45.0,T. Young makes 2-pt layup from 3 ft (assist by J. Teague),,8,2
15,1,9:29.0,,Turnover by D. Šarić (lost ball),8,2
16,1,9:25.0,P. George makes 3-pt jump shot from 25 ft (assist by J. Teague),,11,2
17,1,9:25.0,,Philadelphia full timeout,11,2
18,1,9:12.0,,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by D. Šarić),11,4
19,1,8:56.0,P. George misses 3-pt jump shot from 24 ft,,11,4
20,1,8:54.0,,Defensive rebound by T. McConnell,11,4
21,1,8:45.0,,D. Šarić misses 3-pt jump shot from 25 ft,11,4
22,1,8:43.0,Defensive rebound by T. Young,,11,4
23,1,8:38.0,Personal foul by R. Holmes (drawn by M. Turner),,11,4
24,1,8:30.0,P. George makes 2-pt jump shot from 16 ft (assist by M. Turner),,13,4
25,1,8:19.0,,R. Holmes misses 2-pt jump shot from 18 ft,13,4
26,1,8:18.0,Defensive rebound by M. Turner,,13,4
27,1,8:16.0,Turnover by M. Turner (bad pass; steal by D. Šarić),,13,4
28,1,7:52.0,,J. Anderson misses 3-pt jump shot from 25 ft (block by P. George),13,4
29,1,7:51.0,Defensive rebound by T. Young,,13,4
30,1,7:44.0,P. George makes 3-pt jump shot from 27 ft (assist by T. Young),,16,4
31,1,7:26.0,,Shooting foul by J. Teague (drawn by J. Anderson),16,4
32,1,7:26.0,,J. Anderson makes free throw 1 of 2,16,5
33,1,7:26.0,,J. Anderson makes free throw 2 of 2,16,6
34,1,7:12.0,Shooting foul by R. Holmes (drawn by M. Turner),,16,6
35,1,7:12.0,M. Turner makes free throw 1 of 2,,17,6
36,1,7:12.0,,G. Henderson enters the game for J. Anderson,17,6
37,1,7:12.0,,T. Splitter enters the game for R. Holmes,17,6
38,1,7:12.0,M. Turner makes free throw 2 of 2,,18,6
39,1,7:02.0,,Turnover by T. Splitter (bad pass),18,6
40,1,6:52.0,Shooting foul by T. McConnell (drawn by P. George),,18,6
41,1,6:52.0,P. George makes free throw 1 of 2,,19,6
42,1,6:52.0,,N. Stauskas enters the game for T. Luwawu-Cabarrot,19,6
43,1,6:52.0,P. George makes free throw 2 of 2,,20,6
44,1,6:30.0,,G. Henderson misses 2-pt jump shot from 17 ft,20,6
45,1,6:30.0,,Offensive rebound by Team,20,6
46,1,6:28.0,,Turnover by T. McConnell (bad pass; steal by P. George),20,6
47,1,6:23.0,T. Young makes 2-pt dunk at rim (assist by P. George),,22,6
48,1,6:03.0,,T. Splitter misses 2-pt layup from 3 ft (block by M. Turner),22,6
49,1,6:00.0,,Offensive rebound by G. Henderson,22,6
50,1,5:59.0,,G. Henderson makes 2-pt layup from 3 ft,22,8
51,1,5:53.0,J. Teague makes 2-pt jump shot from 21 ft,,24,8
52,1,5:36.0,,Shooting foul by M. Turner (drawn by T. Splitter),24,8
53,1,5:36.0,,T. Splitter makes free throw 1 of 2,24,9
54,1,5:36.0,,A. Poythress enters the game for D. Šarić,24,9
55,1,5:36.0,,T. Splitter makes free throw 2 of 2,24,10
56,1,5:19.0,M. Turner misses 2-pt layup from 2 ft,,24,10
57,1,5:18.0,,Defensive rebound by T. Splitter,24,10
58,1,4:59.0,,Personal foul by T. Young (drawn by G. Henderson),24,10
59,1,4:45.0,,G. Henderson misses 3-pt jump shot from 26 ft,24,10
60,1,4:42.0,Defensive rebound by J. Teague,,24,10
61,1,4:31.0,P. George makes 2-pt jump shot from 16 ft,,26,10
62,1,4:11.0,,T. McConnell misses 2-pt layup at rim,26,10
63,1,4:09.0,Defensive rebound by M. Turner,,26,10
64,1,3:58.0,T. Young misses 2-pt hook shot from 6 ft,,26,10
65,1,3:57.0,,Defensive rebound by T. Splitter,26,10
66,1,3:49.0,,N. Stauskas misses 3-pt jump shot from 24 ft,26,10
67,1,3:47.0,Defensive rebound by M. Turner,,26,10
68,1,3:31.0,P. George makes 2-pt layup from 1 ft,,28,10
69,1,3:19.0,,T. McConnell makes 2-pt layup from 2 ft,28,12
70,1,3:16.0,,S. Long enters the game for T. Splitter,28,12
71,1,3:16.0,,T. Luwawu-Cabarrot enters the game for T. McConnell,28,12
72,1,3:16.0,Indiana full timeout,,28,12
73,1,3:16.0,K. Séraphin enters the game for T. Young,,28,12
74,1,3:16.0,C. Miles enters the game for M. Turner,,28,12
75,1,3:04.0,P. George misses 3-pt jump shot from 25 ft,,28,12
76,1,3:03.0,,Defensive rebound by S. Long,28,12
77,1,2:46.0,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by M. Ellis),28,12
78,1,2:41.0,P. George makes 3-pt jump shot from 26 ft (assist by M. Ellis),,31,12
