,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
0,1,11:39.0,Shooting foul by J. Randle (drawn by A. Aminu),,0,0
1,1,11:39.0,A. Aminu misses free throw 1 of 2,,0,0
2,1,11:39.0,Offensive rebound by Team,,0,0
3,1,11:39.0,A. Aminu makes free throw 2 of 2,,1,0
4,1,11:22.0,,T. Mozgov makes 2-pt hook shot from 5 ft (assist by N. Young),1,2
5,1,11:04.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),,4,2
6,1,10:51.0,,J. Randle misses 2-pt jump shot from 7 ft,4,2
7,1,10:49.0,Defensive rebound by M. Harkless,,4,2
8,1,10:44.0,C. McCollum makes 2-pt jump shot from 19 ft,,6,2
9,1,10:32.0,,L. Deng makes 2-pt layup from 3 ft,6,4
10,1,10:17.0,C. McCollum misses 3-pt jump shot from 26 ft,,6,4
11,1,10:16.0,,Defensive rebound by J. Randle,6,4
12,1,10:07.0,,Turnover by D. Russell (bad pass; steal by M. Harkless),6,4
13,1,10:01.0,M. Harkless makes 2-pt layup from 3 ft,,8,4
14,1,9:38.0,,D. Russell misses 3-pt jump shot from 24 ft,8,4
15,1,9:37.0,Defensive rebound by A. Aminu,,8,4
16,1,9:26.0,D. Lillard misses 3-pt jump shot from 28 ft,,8,4
17,1,9:25.0,Offensive rebound by A. Aminu,,8,4
18,1,9:22.0,M. Plumlee makes 2-pt layup from 1 ft (assist by A. Aminu),,10,4
19,1,9:00.0,,L. Deng misses 2-pt jump shot from 14 ft,10,4
20,1,8:58.0,Defensive rebound by A. Aminu,,10,4
21,1,8:39.0,D. Lillard misses 3-pt jump shot from 27 ft,,10,4
22,1,8:38.0,,Defensive rebound by D. Russell,10,4
23,1,8:28.0,,T. Mozgov misses 2-pt layup from 1 ft,10,4
24,1,8:25.0,,Offensive rebound by L. Deng,10,4
25,1,8:24.0,,L. Deng misses 2-pt layup from 1 ft,10,4
26,1,8:23.0,,Offensive rebound by L. Deng,10,4
27,1,8:21.0,,L. Deng makes 2-pt layup from 1 ft,10,6
28,1,8:11.0,M. Plumlee misses 2-pt layup from 3 ft,,10,6
29,1,8:10.0,,Defensive rebound by J. Randle,10,6
30,1,8:01.0,,Turnover by J. Randle (bad pass; steal by M. Plumlee),10,6
31,1,7:57.0,Turnover by D. Lillard (bad pass; steal by D. Russell),,10,6
32,1,7:42.0,,D. Russell makes 2-pt jump shot from 9 ft,10,8
33,1,7:29.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,12,8
34,1,7:29.0,,LA Lakers full timeout,12,8
35,1,7:11.0,,N. Young misses 2-pt jump shot from 13 ft,12,8
36,1,7:06.0,Defensive rebound by A. Aminu,,12,8
37,1,6:56.0,A. Aminu misses 3-pt jump shot from 25 ft,,12,8
38,1,6:55.0,,Defensive rebound by D. Russell,12,8
39,1,6:39.0,,Shooting foul by D. Lillard (drawn by L. Deng),12,8
40,1,6:39.0,,L. Deng makes free throw 1 of 2,12,9
41,1,6:39.0,,L. Deng makes free throw 2 of 2,12,10
42,1,6:27.0,Personal foul by T. Mozgov (drawn by M. Plumlee),,12,10
43,1,6:20.0,Shooting foul by N. Young (drawn by C. McCollum),,12,10
44,1,6:20.0,C. McCollum misses free throw 1 of 2,,12,10
45,1,6:20.0,Offensive rebound by Team,,12,10
46,1,6:20.0,C. McCollum makes free throw 2 of 2,,13,10
47,1,6:02.0,,D. Russell misses 2-pt layup from 3 ft,13,10
48,1,6:01.0,,Offensive rebound by T. Mozgov,13,10
49,1,6:00.0,,Shooting foul by C. McCollum (drawn by N. Young),13,10
50,1,6:00.0,,N. Young misses free throw 1 of 3,13,10
51,1,6:00.0,,Offensive rebound by Team,13,10
52,1,6:00.0,,N. Young makes free throw 2 of 3,13,11
53,1,6:00.0,,B. Ingram enters the game for J. Randle,13,11
