,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,OKLAHOMA CITY_ACTION,PHILADELPHIA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,V. Oladipo misses 2-pt jump shot from 14 ft,0,0
1,1,11:43.0,Defensive rebound by J. Okafor,,0,0
2,1,11:30.0,D. Šarić misses 2-pt jump shot from 17 ft,,0,0
3,1,11:30.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:26.0,,T. Gibson misses 2-pt layup from 2 ft (block by D. Šarić),0,0
5,1,11:24.0,,Offensive rebound by T. Gibson,0,0
6,1,11:19.0,,A. Roberson misses 3-pt jump shot from 23 ft,0,0
7,1,11:18.0,Defensive rebound by D. Šarić,,0,0
8,1,11:09.0,Turnover by R. Covington (bad pass; steal by S. Adams),,0,0
9,1,11:06.0,,Turnover by V. Oladipo (lost ball; steal by T. McConnell),0,0
10,1,10:56.0,D. Šarić misses 2-pt layup from 2 ft (block by R. Westbrook),,0,0
11,1,10:55.0,,Defensive rebound by R. Westbrook,0,0
12,1,10:39.0,,T. Gibson misses 2-pt jump shot from 14 ft,0,0
13,1,10:39.0,Defensive rebound by J. Okafor,,0,0
14,1,10:27.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by S. Adams),,0,0
15,1,10:12.0,,T. Gibson misses 2-pt layup from 1 ft,0,0
16,1,10:11.0,Defensive rebound by R. Covington,,0,0
17,1,10:01.0,J. Okafor makes 2-pt jump shot from 7 ft,,2,0
18,1,9:41.0,,S. Adams makes 2-pt dunk at rim,2,2
19,1,9:20.0,D. Šarić misses 2-pt jump shot from 17 ft,,2,2
20,1,9:20.0,,Defensive rebound by R. Westbrook,2,2
21,1,9:02.0,,R. Westbrook makes 2-pt jump shot from 18 ft,2,4
22,1,8:45.0,R. Covington makes 2-pt layup from 2 ft,,4,4
23,1,8:45.0,Shooting foul by A. Roberson (drawn by R. Covington),,4,4
24,1,8:45.0,R. Covington makes free throw 1 of 1,,5,4
25,1,8:34.0,,V. Oladipo misses 2-pt layup from 2 ft,5,4
26,1,8:33.0,Defensive rebound by R. Covington,,5,4
27,1,8:15.0,J. Okafor misses 2-pt jump shot from 16 ft,,5,4
28,1,8:15.0,,Defensive rebound by V. Oladipo,5,4
29,1,8:03.0,,Turnover by V. Oladipo (traveling),5,4
30,1,7:48.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,5,4
31,1,7:47.0,,Defensive rebound by R. Westbrook,5,4
32,1,7:38.0,,S. Adams misses 2-pt jump shot from 8 ft,5,4
33,1,7:37.0,,Offensive rebound by A. Roberson,5,4
34,1,7:37.0,,A. Roberson makes 2-pt layup from 3 ft,5,6
35,1,7:19.0,R. Covington misses 2-pt jump shot from 5 ft (block by A. Roberson),,5,6
36,1,7:18.0,,Defensive rebound by Team,5,6
37,1,7:09.0,,A. Roberson misses 2-pt dunk at rim (block by R. Covington),5,6
38,1,7:09.0,Defensive rebound by Team,,5,6
39,1,6:52.0,J. Okafor makes 2-pt hook shot from 5 ft,,7,6
40,1,6:40.0,,Turnover by T. Gibson (lost ball),7,6
41,1,6:40.0,R. Holmes enters the game for R. Covington,,7,6
42,1,6:40.0,N. Stauskas enters the game for J. Okafor,,7,6
43,1,6:25.0,D. Šarić makes 2-pt jump shot from 14 ft (assist by T. Luwawu-Cabarrot),,9,6
44,1,6:11.0,,Turnover by T. Gibson (lost ball; steal by T. McConnell),9,6
45,1,6:01.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 4 ft (block by S. Adams),,9,6
46,1,6:01.0,,Defensive rebound by Team,9,6
47,1,6:01.0,,E. Freedom enters the game for T. Gibson,9,6
48,1,6:01.0,,Á. Abrines enters the game for V. Oladipo,9,6
49,1,5:53.0,,R. Westbrook makes 2-pt layup from 1 ft,9,8
50,1,5:53.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by R. Westbrook),9,8
51,1,5:53.0,,Oklahoma City full timeout,9,8
52,1,5:53.0,,R. Westbrook makes free throw 1 of 1,9,9
53,1,5:36.0,R. Holmes misses 2-pt jump shot from 6 ft,,9,9
54,1,5:36.0,,Defensive rebound by E. Freedom,9,9
55,1,5:32.0,,Shooting foul by T. McConnell (drawn by R. Westbrook),9,9
56,1,5:32.0,,R. Westbrook makes free throw 1 of 2,9,10
57,1,5:32.0,,R. Westbrook makes free throw 2 of 2,9,11
58,1,5:20.0,D. Šarić makes 3-pt jump shot from 25 ft,,12,11
59,1,5:07.0,,A. Roberson makes 2-pt jump shot from 6 ft (assist by R. Westbrook),12,13
60,1,4:49.0,D. Šarić misses 2-pt layup from 2 ft (block by E. Freedom),,12,13
61,1,4:48.0,,Defensive rebound by E. Freedom,12,13
62,1,4:41.0,,Á. Abrines misses 3-pt jump shot from 25 ft,12,13
63,1,4:40.0,,Offensive rebound by E. Freedom,12,13
64,1,4:27.0,,E. Freedom misses 2-pt jump shot from 5 ft (block by D. Šarić),12,13
65,1,4:25.0,,Offensive rebound by S. Adams,12,13
66,1,4:25.0,,Turnover by S. Adams (step out of bounds),12,13
67,1,4:25.0,G. Henderson enters the game for T. Luwawu-Cabarrot,,12,13
68,1,4:25.0,R. Covington enters the game for D. Šarić,,12,13
69,1,4:09.0,R. Covington makes 2-pt layup from 1 ft (assist by N. Stauskas),,14,13
70,1,3:52.0,,R. Westbrook makes 2-pt layup from 2 ft,14,15
71,1,3:31.0,T. McConnell misses 2-pt jump shot from 6 ft,,14,15
72,1,3:30.0,,Defensive rebound by E. Freedom,14,15
73,1,3:19.0,,Turnover by R. Westbrook (bad pass; steal by T. McConnell),14,15
74,1,3:13.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by T. McConnell),,17,15
75,1,2:59.0,,Shooting foul by T. McConnell (drawn by R. Westbrook),17,15
76,1,2:59.0,,R. Westbrook makes 2-pt jump shot from 3 ft,17,17
77,1,2:59.0,Philadelphia full timeout,,17,17
78,1,2:59.0,S. Rodríguez enters the game for T. McConnell,,17,17
79,1,2:59.0,,D. Sabonis enters the game for S. Adams,17,17
80,1,2:59.0,,R. Westbrook makes free throw 1 of 1,17,18
81,1,2:45.0,R. Covington misses 2-pt layup from 2 ft,,17,18
82,1,2:44.0,,Defensive rebound by D. Sabonis,17,18
83,1,2:37.0,,Personal foul by R. Holmes (drawn by R. Westbrook),17,18
84,1,2:37.0,,S. Christon enters the game for R. Westbrook,17,18
85,1,2:25.0,,E. Freedom makes 2-pt layup from 1 ft,17,20
86,1,2:13.0,G. Henderson misses 2-pt layup from 2 ft (block by Á. Abrines),,17,20
87,1,2:13.0,Offensive rebound by G. Henderson,,17,20
88,1,2:00.0,N. Stauskas makes 3-pt jump shot from 24 ft (assist by S. Rodríguez),,20,20
89,1,1:42.0,,Shooting foul by R. Holmes (drawn by E. Freedom),20,20
90,1,1:42.0,,E. Freedom makes free throw 1 of 2,20,21
91,1,1:42.0,S. Long enters the game for R. Holmes,,20,21
92,1,1:42.0,,V. Oladipo enters the game for A. Roberson,20,21
93,1,1:42.0,,E. Freedom makes free throw 2 of 2,20,22
94,1,1:28.0,Turnover by S. Rodríguez (bad pass; steal by D. Sabonis),,20,22
95,1,1:24.0,,E. Freedom makes 2-pt layup from 2 ft (assist by D. Sabonis),20,24
96,1,1:24.0,,Shooting foul by G. Henderson (drawn by E. Freedom),20,24
97,1,1:24.0,,E. Freedom makes free throw 1 of 1,20,25
98,1,1:13.0,G. Henderson misses 3-pt jump shot from 25 ft,,20,25
99,1,1:12.0,,Defensive rebound by D. Sabonis,20,25
100,1,0:51.0,,D. Sabonis makes 2-pt hook shot from 8 ft,20,27
101,1,0:37.0,S. Long misses 2-pt jump shot from 15 ft,,20,27
102,1,0:36.0,,Defensive rebound by Á. Abrines,20,27
103,1,0:18.0,,Shooting foul by S. Long (drawn by E. Freedom),20,27
104,1,0:18.0,,E. Freedom makes free throw 1 of 2,20,28
105,1,0:18.0,,E. Freedom makes free throw 2 of 2,20,29
106,1,0:06.0,Personal take foul by S. Christon (drawn by S. Rodríguez),,20,29
107,1,0:06.0,,A. Roberson enters the game for E. Freedom,20,29
108,1,0:02.0,Shooting foul by Á. Abrines (drawn by S. Long),,20,29
