,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
0,1,11:43.0,,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),0,2
1,1,11:21.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by M. Delaney),,3,2
2,1,10:53.0,,A. Gordon misses 2-pt jump shot from 6 ft (block by D. Howard),3,2
3,1,10:51.0,Defensive rebound by K. Bazemore,,3,2
4,1,10:37.0,P. Millsap misses 2-pt layup from 3 ft,,3,2
5,1,10:36.0,,Defensive rebound by N. Vučević,3,2
6,1,10:29.0,,T. Ross misses 3-pt jump shot from 24 ft,3,2
7,1,10:29.0,,Offensive rebound by N. Vučević,3,2
8,1,10:23.0,,Shooting block foul by T. Hardaway (drawn by E. Payton),3,2
9,1,10:23.0,,E. Payton makes free throw 1 of 2,3,3
10,1,10:23.0,,E. Payton makes free throw 2 of 2,3,4
11,1,10:11.0,Turnover by P. Millsap (bad pass; steal by N. Vučević),,3,4
12,1,10:04.0,,A. Gordon makes 2-pt layup from 1 ft,3,6
13,1,9:50.0,P. Millsap misses 2-pt layup from 1 ft,,3,6
14,1,9:49.0,,Defensive rebound by T. Ross,3,6
15,1,9:44.0,,A. Gordon misses 3-pt jump shot from 24 ft,3,6
16,1,9:43.0,Defensive rebound by D. Howard,,3,6
17,1,9:27.0,K. Bazemore makes 2-pt layup from 3 ft (assist by P. Millsap),,5,6
18,1,9:11.0,,E. Fournier misses 2-pt jump shot from 18 ft,5,6
19,1,9:11.0,Defensive rebound by P. Millsap,,5,6
20,1,8:57.0,P. Millsap misses 3-pt jump shot from 26 ft,,5,6
21,1,8:56.0,,Defensive rebound by N. Vučević,5,6
22,1,8:50.0,,Shooting foul by K. Bazemore (drawn by A. Gordon),5,6
23,1,8:50.0,,A. Gordon makes free throw 1 of 2,5,7
24,1,8:50.0,,A. Gordon makes free throw 2 of 2,5,8
25,1,8:36.0,K. Bazemore makes 2-pt layup at rim (assist by M. Delaney),,7,8
26,1,8:25.0,,Turnover by E. Payton (traveling),7,8
27,1,8:12.0,Turnover by T. Hardaway (bad pass; steal by T. Ross),,7,8
28,1,8:12.0,,Personal foul by M. Delaney (drawn by E. Payton),7,8
29,1,7:59.0,,N. Vučević misses 2-pt jump shot from 13 ft,7,8
30,1,7:59.0,Defensive rebound by P. Millsap,,7,8
31,1,7:51.0,D. Howard misses 2-pt jump shot from 9 ft,,7,8
32,1,7:50.0,,Defensive rebound by N. Vučević,7,8
33,1,7:40.0,,N. Vučević makes 2-pt jump shot from 22 ft (assist by T. Ross),7,10
34,1,7:28.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by M. Delaney),,10,10
35,1,7:14.0,,T. Ross makes 2-pt jump shot from 10 ft (assist by E. Payton),10,12
36,1,6:58.0,M. Delaney misses 2-pt jump shot from 9 ft (block by N. Vučević),,10,12
37,1,6:57.0,,Defensive rebound by N. Vučević,10,12
38,1,6:52.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Payton),10,14
39,1,6:30.0,Turnover by M. Delaney (bad pass; steal by E. Payton),,10,14
