,QUARTER,TIME_REMAINING,PHOENIX_ACTION,INDIANA_ACTION,PHOENIX_SCORE,INDIANA_SCORE
0,1,11:46.0,T. Warren misses 2-pt jump shot from 5 ft,,0,0
1,1,11:45.0,Offensive rebound by A. Len,,0,0
2,1,11:45.0,A. Len makes 2-pt layup from 1 ft,,2,0
3,1,11:28.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by T. Young),2,2
4,1,11:11.0,M. Chriss misses 3-pt jump shot from 24 ft,,2,2
5,1,11:10.0,,Defensive rebound by J. Teague,2,2
6,1,11:00.0,,M. Turner misses 2-pt jump shot from 19 ft,2,2
7,1,10:59.0,Defensive rebound by E. Bledsoe,,2,2
8,1,10:51.0,E. Bledsoe misses 2-pt layup from 2 ft,,2,2
9,1,10:49.0,Offensive rebound by Team,,2,2
10,1,10:48.0,Turnover by T. Warren (traveling),,2,2
11,1,10:36.0,,C. Miles misses 2-pt layup from 2 ft (block by A. Len),2,2
12,1,10:35.0,Defensive rebound by A. Len,,2,2
13,1,10:27.0,E. Bledsoe makes 2-pt jump shot from 18 ft (assist by D. Booker),,4,2
14,1,10:10.0,,J. Teague makes 2-pt jump shot from 3 ft,4,4
15,1,9:55.0,D. Booker makes 2-pt jump shot from 18 ft,,6,4
16,1,9:42.0,,Turnover by M. Turner (lost ball; steal by E. Bledsoe),6,4
17,1,9:36.0,E. Bledsoe makes 2-pt layup from 1 ft,,8,4
18,1,9:15.0,,M. Turner makes 2-pt layup from 3 ft (assist by J. Teague),8,6
19,1,8:56.0,A. Len makes 2-pt layup from 1 ft,,10,6
20,1,8:45.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by J. Teague),10,8
21,1,8:26.0,A. Len makes 2-pt dunk from 4 ft (assist by E. Bledsoe),,12,8
22,1,8:08.0,,J. Teague makes 2-pt jump shot from 5 ft,12,10
23,1,7:46.0,M. Chriss misses 2-pt jump shot from 18 ft,,12,10
24,1,7:46.0,,Defensive rebound by M. Ellis,12,10
25,1,7:25.0,,T. Young misses 2-pt jump shot from 13 ft (block by M. Chriss),12,10
26,1,7:24.0,,Offensive rebound by T. Young,12,10
27,1,7:22.0,,T. Young misses 2-pt jump shot from 8 ft (block by M. Chriss),12,10
28,1,7:21.0,Defensive rebound by A. Len,,12,10
29,1,7:17.0,Turnover by M. Chriss (bad pass; steal by T. Young),,12,10
30,1,7:15.0,,Personal take foul by E. Bledsoe (drawn by T. Young),12,10
31,1,7:08.0,,C. Miles misses 2-pt jump shot from 19 ft,12,10
32,1,7:07.0,Defensive rebound by E. Bledsoe,,12,10
33,1,6:54.0,A. Len misses 2-pt jump shot from 7 ft,,12,10
34,1,6:54.0,,Defensive rebound by J. Teague,12,10
35,1,6:36.0,,J. Teague misses 3-pt jump shot from 26 ft,12,10
36,1,6:35.0,Defensive rebound by A. Len,,12,10
37,1,6:20.0,Turnover by D. Booker (lost ball; steal by M. Ellis),,12,10
38,1,6:16.0,,T. Young misses 2-pt layup from 1 ft,12,10
39,1,6:14.0,,Offensive rebound by T. Young,12,10
40,1,6:14.0,,T. Young misses 2-pt layup from 1 ft,12,10
41,1,6:13.0,,Offensive rebound by M. Ellis,12,10
42,1,6:11.0,,M. Ellis misses 2-pt jump shot from 16 ft,12,10
43,1,6:11.0,Defensive rebound by Team,,12,10
44,1,6:11.0,,Loose ball foul by T. Young (drawn by D. Booker),12,10
45,1,5:57.0,T. Warren makes 2-pt jump shot from 8 ft,,14,10
46,1,5:50.0,,Turnover by J. Teague (bad pass; steal by D. Booker),14,10
47,1,5:40.0,A. Len makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),,16,10
48,1,5:40.0,,Indiana full timeout,16,10
49,1,5:40.0,,A. Jefferson enters the game for M. Turner,16,10
50,1,5:40.0,A. Williams enters the game for A. Len,,16,10
51,1,5:40.0,B. Knight enters the game for E. Bledsoe,,16,10
