,QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
0,1,11:41.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by T. Thompson),0,3
1,1,11:16.0,T. Zeller misses 2-pt jump shot from 6 ft,,0,3
2,1,11:14.0,Offensive rebound by T. Zeller,,0,3
3,1,11:14.0,T. Zeller makes 2-pt layup at rim,,2,3
4,1,10:48.0,,L. James misses 2-pt jump shot from 6 ft,2,3
5,1,10:48.0,Defensive rebound by I. Thomas,,2,3
6,1,10:39.0,I. Thomas misses 3-pt jump shot from 25 ft,,2,3
7,1,10:38.0,,Defensive rebound by T. Thompson,2,3
8,1,10:29.0,,K. Irving makes 2-pt jump shot from 17 ft,2,5
9,1,10:11.0,J. Brown misses 2-pt jump shot from 8 ft (block by K. Love),,2,5
10,1,10:11.0,Offensive rebound by Team,,2,5
11,1,10:05.0,A. Bradley misses 2-pt jump shot from 11 ft,,2,5
12,1,10:03.0,,Defensive rebound by T. Thompson,2,5
13,1,9:53.0,,T. Thompson makes 2-pt hook shot from 6 ft (assist by K. Irving),2,7
14,1,9:34.0,A. Bradley makes 2-pt layup from 1 ft (assist by T. Zeller),,4,7
15,1,9:23.0,,J. Smith misses 3-pt jump shot from 27 ft,4,7
16,1,9:23.0,,Offensive rebound by Team,4,7
17,1,9:12.0,,T. Thompson misses 2-pt layup from 1 ft,4,7
18,1,9:12.0,Defensive rebound by A. Johnson,,4,7
19,1,9:01.0,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Johnson),,7,7
20,1,8:46.0,,K. Irving makes 3-pt jump shot from 27 ft,7,10
21,1,8:27.0,A. Bradley makes 2-pt jump shot from 20 ft,,9,10
22,1,8:09.0,,K. Love misses 2-pt jump shot from 16 ft (block by A. Johnson),9,10
23,1,8:08.0,Defensive rebound by T. Zeller,,9,10
24,1,7:57.0,T. Zeller makes 2-pt layup from 1 ft (assist by A. Bradley),,11,10
25,1,7:45.0,,K. Irving misses 3-pt jump shot from 24 ft,11,10
26,1,7:44.0,Defensive rebound by A. Bradley,,11,10
27,1,7:36.0,A. Bradley makes 2-pt layup from 1 ft,,13,10
28,1,7:36.0,,Cleveland full timeout,13,10
29,1,7:22.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),13,13
30,1,7:00.0,I. Thomas misses 3-pt jump shot from 25 ft,,13,13
31,1,7:00.0,,Defensive rebound by L. James,13,13
32,1,6:57.0,,Shooting foul by I. Thomas (drawn by K. Love),13,13
33,1,6:57.0,,K. Love makes free throw 1 of 2,13,14
34,1,6:57.0,,K. Love makes free throw 2 of 2,13,15
