,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DENVER_ACTION,ATLANTA_SCORE,DENVER_SCORE
0,1,11:42.0,P. Millsap makes 2-pt layup from 1 ft (assist by K. Bazemore),,2,0
1,1,11:25.0,,W. Chandler misses 3-pt jump shot from 25 ft,2,0
2,1,11:24.0,Defensive rebound by Team,,2,0
3,1,11:09.0,K. Bazemore makes 2-pt dunk at rim (assist by K. Humphries),,4,0
4,1,10:55.0,,G. Harris makes 2-pt jump shot from 13 ft (assist by N. Jokić),4,2
5,1,10:39.0,Turnover by P. Millsap (bad pass),,4,2
6,1,10:20.0,,W. Chandler makes 2-pt jump shot from 10 ft (assist by G. Harris),4,4
7,1,10:04.0,D. Schröder makes 2-pt jump shot from 19 ft (assist by K. Humphries),,6,4
8,1,9:52.0,,W. Chandler misses 3-pt jump shot from 26 ft,6,4
9,1,9:51.0,Defensive rebound by K. Humphries,,6,4
10,1,9:41.0,T. Sefolosha misses 2-pt jump shot from 16 ft,,6,4
11,1,9:40.0,,Defensive rebound by Team,6,4
12,1,9:21.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by W. Chandler),6,7
13,1,9:12.0,Turnover by K. Bazemore (bad pass; steal by W. Chandler),,6,7
14,1,9:06.0,,W. Chandler makes 2-pt jump shot from 6 ft,6,9
15,1,8:52.0,K. Humphries makes 2-pt dunk at rim (assist by K. Bazemore),,8,9
16,1,8:42.0,,D. Gallinari misses 3-pt jump shot from 24 ft,8,9
17,1,8:41.0,Defensive rebound by K. Bazemore,,8,9
18,1,8:27.0,T. Sefolosha misses 2-pt layup from 4 ft,,8,9
19,1,8:27.0,,Defensive rebound by D. Gallinari,8,9
20,1,8:21.0,,Turnover by D. Gallinari (lost ball; steal by T. Sefolosha),8,9
21,1,8:16.0,K. Humphries makes 2-pt layup from 1 ft (assist by T. Sefolosha),,10,9
22,1,8:16.0,,Denver full timeout,10,9
23,1,7:54.0,,D. Gallinari misses 2-pt dunk at rim (block by P. Millsap),10,9
24,1,7:52.0,Defensive rebound by K. Humphries,,10,9
25,1,7:47.0,K. Humphries makes 2-pt layup from 3 ft (assist by T. Sefolosha),,12,9
26,1,7:31.0,,W. Chandler makes 2-pt layup from 2 ft (assist by N. Jokić),12,11
27,1,7:14.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),,15,11
28,1,7:01.0,,W. Chandler makes 2-pt jump shot from 17 ft (assist by N. Jokić),15,13
29,1,6:46.0,P. Millsap makes 2-pt layup from 1 ft,,17,13
30,1,6:35.0,,G. Harris makes 2-pt dunk at rim (assist by N. Jokić),17,15
31,1,6:19.0,K. Humphries misses 3-pt jump shot from 24 ft,,17,15
32,1,6:18.0,,Defensive rebound by W. Chandler,17,15
33,1,6:08.0,,W. Chandler makes 3-pt jump shot from 26 ft (assist by G. Harris),17,18
34,1,5:50.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. Millsap),,20,18
35,1,5:38.0,,E. Mudiay misses 2-pt jump shot from 16 ft,20,18
36,1,5:37.0,Defensive rebound by K. Humphries,,20,18
37,1,5:31.0,D. Schröder misses 2-pt jump shot from 1 ft,,20,18
38,1,5:30.0,,Defensive rebound by D. Gallinari,20,18
39,1,5:25.0,Violation by K. Humphries (kicked ball),,20,18
40,1,5:25.0,,K. Faried enters the game for D. Gallinari,20,18
41,1,5:25.0,M. Delaney enters the game for K. Bazemore,,20,18
42,1,5:25.0,M. Muscala enters the game for K. Humphries,,20,18
43,1,5:25.0,M. Scott enters the game for P. Millsap,,20,18
44,1,5:16.0,,Turnover by N. Jokić (bad pass; steal by D. Schröder),20,18
45,1,5:12.0,D. Schröder makes 2-pt layup from 1 ft,,22,18
46,1,5:12.0,,Denver full timeout,22,18
47,1,4:50.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),22,21
48,1,4:33.0,T. Sefolosha misses 2-pt layup from 2 ft (block by K. Faried),,22,21
49,1,4:31.0,,Defensive rebound by N. Jokić,22,21
50,1,4:23.0,,G. Harris misses 2-pt layup from 2 ft,22,21
51,1,4:22.0,Defensive rebound by D. Schröder,,22,21
52,1,4:10.0,D. Schröder misses 2-pt layup from 2 ft (block by N. Jokić),,22,21
53,1,4:09.0,,Defensive rebound by Team,22,21
54,1,4:09.0,T. Prince enters the game for T. Sefolosha,,22,21
55,1,3:55.0,,G. Harris misses 2-pt layup from 1 ft (block by M. Muscala),22,21
56,1,3:54.0,,Offensive rebound by G. Harris,22,21
57,1,3:54.0,,Personal foul by M. Muscala (drawn by G. Harris),22,21
58,1,3:54.0,,J. Nelson enters the game for E. Mudiay,22,21
59,1,3:48.0,,W. Chandler makes 2-pt dunk at rim (assist by N. Jokić),22,23
60,1,3:48.0,Atlanta full timeout,,22,23
61,1,3:48.0,,W. Barton enters the game for G. Harris,22,23
62,1,3:48.0,P. Millsap enters the game for M. Delaney,,22,23
63,1,3:34.0,D. Schröder misses 2-pt layup at rim,,22,23
64,1,3:34.0,,Defensive rebound by W. Chandler,22,23
65,1,3:28.0,,K. Faried makes 2-pt dunk at rim (assist by J. Nelson),22,25
66,1,3:15.0,Shooting foul by W. Chandler (drawn by T. Prince),,22,25
67,1,3:15.0,T. Prince misses free throw 1 of 2,,22,25
68,1,3:15.0,Offensive rebound by Team,,22,25
69,1,3:15.0,M. Delaney enters the game for P. Millsap,,22,25
70,1,3:15.0,T. Prince makes free throw 2 of 2,,23,25
71,1,2:59.0,,Turnover by N. Jokić (lost ball; steal by M. Scott),23,25
72,1,2:55.0,M. Muscala makes 2-pt layup from 1 ft (assist by M. Delaney),,25,25
73,1,2:55.0,Shooting foul by W. Chandler (drawn by M. Muscala),,25,25
74,1,2:55.0,M. Muscala misses free throw 1 of 1,,25,25
75,1,2:55.0,,J. Murray enters the game for W. Chandler,25,25
76,1,2:55.0,,D. Gallinari enters the game for N. Jokić,25,25
77,1,2:55.0,K. Bazemore enters the game for T. Prince,,25,25
78,1,2:54.0,,Defensive rebound by K. Faried,25,25
79,1,2:28.0,,J. Nelson misses 3-pt jump shot from 26 ft,25,25
80,1,2:27.0,Defensive rebound by K. Bazemore,,25,25
81,1,2:19.0,D. Schröder misses 2-pt layup from 3 ft,,25,25
82,1,2:18.0,,Defensive rebound by K. Faried,25,25
83,1,2:09.0,,W. Barton misses 2-pt jump shot from 16 ft,25,25
84,1,2:08.0,Defensive rebound by M. Scott,,25,25
85,1,2:03.0,M. Delaney misses 2-pt jump shot from 18 ft,,25,25
86,1,1:59.0,,Defensive rebound by D. Gallinari,25,25
87,1,1:57.0,,Personal foul by M. Scott (drawn by D. Gallinari),25,25
